t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1815.0,1.872,-7.942,6.191,10.242,-0.863,0.076,-0.382
1871.0,1.798,-7.937,6.177,10.217,0.115,0.168,0.16
1927.0,1.891,-7.884,6.172,10.19,0.771,-0.115,0.252
1983.0,1.824,-7.901,6.153,10.179,-0.061,-0.26,0.191
2039.0,1.798,-7.92,6.144,10.183,-0.26,-0.069,0.076
2095.0,1.882,-7.927,6.105,10.181,0.015,-0.107,-0.092
2151.0,1.81,-7.908,6.151,10.181,0.206,0.191,0.137
2207.0,1.827,-7.946,6.112,10.19,0.023,0.015,-0.023
2263.0,1.769,-7.92,6.148,10.181,0.275,0.183,0.198
2319.0,1.827,-7.91,6.148,10.184,0.168,0.153,0.107
2375.0,1.858,-7.946,6.258,10.284,0.229,-0.237,0.053
2430.0,1.839,-7.922,6.17,10.208,0.13,-0.122,0.198
2487.0,2.456,-7.642,5.911,9.969,-12.916,5.863,32.634
2543.0,2.033,-8.322,6.45,10.724,-72.504,54.298,50.176
2599.0,1.475,-8.66,5.72,10.483,5.229,4.084,13.466
2655.0,1.365,-7.894,5.329,9.622,104.374,-7.962,1.466
2711.0,1.47,-7.415,6.4,9.904,103.687,0.931,-5.863
2767.0,1.19,-7.242,7.3,10.352,2.962,7.145,-16.504
2823.0,1.401,-6.677,6.223,9.234,14.321,26.275,-4.069
2879.0,0.534,-6.665,7.456,10.015,39.786,31.16,21.832
2935.0,0.572,-6.385,6.934,9.443,51.641,49.473,0.687
2992.0,0.239,-6.278,8.554,10.613,139.244,31.832,-4.26
3048.0,2.619,-3.828,7.63,8.93,141.42,149.099,20.573
3103.0,-0.632,-4.329,9.019,10.024,70.855,23.145,-0.122
3160.0,-1.609,-3.689,8.904,9.772,39.298,11.435,-3.962
3216.0,-0.529,-3.187,10.781,11.255,56.58,43.618,6.511
3272.0,-1.42,-2.485,9.136,9.574,41.176,13.229,-5.702
3328.0,-1.559,-3.175,8.95,9.623,34.939,27.046,5.557
3384.0,-1.733,-1.963,10.477,10.799,-5.779,-3.802,-6.855
3440.0,-1.286,-3.081,8.856,9.465,-14.183,-21.618,8.649
3496.0,-1.575,-2.705,10.942,11.381,19.634,-64.191,10.733
3553.0,0.668,-2.873,11.535,11.906,-29.481,-112.107,-0.855
3609.0,0.668,-3.091,9.68,10.183,-26.756,-141.321,-16.626
3664.0,0.816,-2.919,7.568,8.152,-66.626,-135.504,-10.786
3721.0,2.739,-4.305,8.226,9.68,-54.107,-135.557,-14.634
3777.0,4.044,-4.24,7.001,9.129,-64.916,-127.145,-10.634
3833.0,5.157,-4.554,5.619,8.883,-42.313,-105.29,-7.771
3890.0,5.291,-4.559,7.226,10.049,-27.069,-101.053,-8.015
3946.0,5.816,-4.642,5.274,9.121,9.947,-68.634,-7.412
4001.0,5.339,-4.647,4.25,8.256,10.74,-25.397,1.206
4058.0,6.685,-4.219,3.352,8.586,1.015,5.008,-9.71
4114.0,6.428,-4.14,3.905,8.585,7.351,50.359,16.786
4169.0,6.005,-3.522,4.166,8.113,18.634,78.328,19.046
4226.0,4.906,-4.922,5.483,8.852,88.992,140.389,44.275
4282.0,3.215,-2.66,7.889,8.925,97.031,154.176,17.626
4338.0,2.488,-3.869,8.547,9.706,-12.282,163.221,-1.679
4395.0,1.346,-3.661,10.056,10.786,10.313,211.145,30.031
4450.0,-1.516,-5.873,12.069,13.508,-57.992,109.328,39.206
4506.0,-1.776,-5.028,10.12,11.439,20.366,104.122,35.176
4562.0,-3.254,-6.888,11.234,13.573,-34.16,10.603,-11.176
4619.0,-0.625,-5.895,10.748,12.274,-20.405,-73.618,-38.618
4675.0,-1.25,-5.693,9.946,11.528,-76.305,-124.038,-51.267
4731.0,0.673,-6.297,8.248,10.399,-48.786,-145.229,-62.084
4788.0,2.207,-6.412,7.18,9.876,-13.13,-147.443,-64.626
4844.0,2.777,-6.158,5.452,8.681,-3.702,-128.802,-61.313
4899.0,4.331,-3.551,3.419,6.562,45.565,-73.855,-24.947
4956.0,3.469,-4.518,2.751,6.326,13.84,24.115,-2.84
5012.0,5.466,-4.152,2.605,7.341,91.122,134.534,70.183
5068.0,3.242,-5.686,7.556,9.997,-27.328,211.985,82.176
5125.0,0.124,-5.978,8.875,10.702,76.496,216.809,107.489
5181.0,-2.763,-4.453,10.329,11.582,12.092,166.519,97.916
5237.0,-4.86,-6.251,12.0,14.377,-27.519,39.115,48.267
5293.0,-4.597,-5.662,10.271,12.597,-35.74,-31.206,2.435
5349.0,-1.901,-6.625,9.682,11.885,-49.267,-100.817,-33.55
5405.0,-1.125,-3.766,7.915,8.837,-79.046,-119.267,-50.374
5462.0,-0.486,-8.073,7.398,10.961,-47.115,-99.473,-132.298
5518.0,1.496,-8.107,5.035,9.66,57.0,-83.595,-41.244
5574.0,1.204,-4.752,6.493,8.136,33.084,-77.038,-53.947
5629.0,3.79,-4.829,5.329,8.129,6.718,-57.198,-48.267
5686.0,2.48,2.909,1.99,4.31,-250.137,60.71,57.55
5742.0,2.614,-7.319,5.952,9.789,156.221,125.55,86.565
5798.0,1.319,-5.851,7.207,9.376,148.16,65.221,16.969
5855.0,0.883,-6.867,9.895,12.077,45.84,-41.847,-17.115
5910.0,1.717,-7.065,5.095,8.878,-1.084,-44.496,-41.198
5966.0,1.968,-5.092,6.309,8.343,-2.863,20.412,4.389
6023.0,1.393,-7.834,7.463,10.909,-5.237,13.824,41.26
6079.0,1.295,-8.401,7.673,11.452,-4.29,-2.87,-19.588
6134.0,1.635,-6.45,6.843,9.545,-8.374,-19.168,-16.076
6191.0,1.745,-6.986,6.055,9.408,-0.443,9.832,11.359
6247.0,1.377,-7.523,7.561,10.754,0.916,10.053,11.878
6303.0,-7.084,-15.411,19.613,25.93,-31.954,5.252,53.58
6359.0,-6.273,-14.437,5.657,16.727,15.771,-250.137,-203.786
6415.0,2.437,-0.283,-0.433,2.492,-23.16,-43.489,-187.527
6471.0,3.249,-0.749,5.6,6.517,5.359,90.221,154.878
6528.0,-0.237,-12.371,8.6,15.068,11.687,85.382,150.244
6584.0,-11.293,1.219,6.893,13.287,250.13,250.13,-8.618
6640.0,-0.776,-6.393,16.254,17.483,250.13,-98.771,-31.221
6696.0,0.709,-7.254,1.013,7.359,-43.962,-172.939,-135.137
6753.0,2.737,-1.204,2.971,4.215,-13.198,54.061,-32.153
6809.0,0.965,-6.85,8.09,10.644,-3.87,59.962,146.863
6864.0,-4.606,-15.969,17.729,24.301,-250.137,149.649,-250.137
6921.0,-5.574,-5.926,19.613,21.233,-65.412,-250.137,13.397
6977.0,-1.827,-11.94,4.104,12.757,15.45,-239.229,-185.733
7033.0,2.138,-2.234,1.195,3.315,23.626,-9.718,-87.237
7090.0,0.065,-4.29,6.716,7.969,16.435,77.313,131.687
7146.0,14.03,-7.556,12.651,20.347,250.13,250.13,88.74
7202.0,-3.227,-5.109,19.613,20.523,137.489,-167.328,56.634
7259.0,-1.927,-11.588,-2.121,11.937,-58.84,-250.137,-171.099
7315.0,2.591,0.127,0.709,2.689,-33.588,80.069,-123.679
7371.0,19.613,-9.625,-19.613,29.359,248.16,250.13,250.13
7428.0,-1.741,-9.27,19.613,21.763,215.878,-10.458,233.725
7484.0,-1.942,-16.305,1.358,16.476,-53.458,-239.069,-184.244
7540.0,1.748,-0.034,2.878,3.367,-44.267,19.237,-188.58
7597.0,-7.582,-6.009,-18.478,20.858,250.13,250.13,250.13
7653.0,-6.67,-11.703,19.613,23.793,227.405,-32.542,250.13
7709.0,-1.554,-17.382,1.942,17.559,-51.55,-250.137,-250.137
7766.0,1.03,1.935,0.098,2.194,-59.107,-1.573,-250.137
7821.0,3.196,1.104,6.689,7.495,30.557,55.679,178.183
7877.0,-1.348,-13.939,6.146,15.293,23.794,91.626,209.519
7933.0,-1.427,-13.029,11.679,17.555,-8.496,2.977,-118.496
7990.0,0.651,-4.439,6.098,7.571,-22.534,-113.008,-102.351
8046.0,2.021,-5.492,1.877,6.146,3.092,18.954,35.649
8102.0,0.397,-8.231,8.341,11.726,8.947,71.107,73.229
8158.0,-0.057,-10.513,8.533,13.54,-7.527,-23.779,-5.344
8214.0,0.819,-7.484,5.605,9.386,-8.496,-27.336,-64.16
8270.0,1.35,-5.741,5.638,8.159,1.786,4.069,16.099
8327.0,0.687,-8.799,6.498,10.96,5.107,23.771,38.832
8382.0,0.438,-8.978,7.7,11.836,-2.557,-5.779,-14.45
8438.0,0.941,-7.489,5.928,9.598,-5.328,-18.366,-23.214
8495.0,1.056,-7.135,5.954,9.353,2.893,10.092,10.962
8550.0,0.668,-8.406,6.867,10.875,1.351,7.985,17.626
8606.0,0.699,-8.511,6.756,10.89,-2.321,-5.939,-12.534
8663.0,0.943,-7.444,6.22,9.746,-1.962,-6.046,-8.977
8719.0,0.893,-7.743,6.141,9.923,1.267,6.198,10.313
8774.0,0.74,-8.351,6.759,10.769,0.58,3.061,5.008
8830.0,0.776,-8.128,6.582,10.488,-2.298,-5.397,-7.947
8887.0,0.888,-7.666,6.29,9.956,-0.779,-0.702,-2.015
8942.0,0.821,-7.997,6.404,10.278,0.718,3.405,6.878
8998.0,0.807,-8.229,6.56,10.555,-0.626,0.511,-0.168
9055.0,0.857,-7.985,6.481,10.32,-1.038,-3.168,-4.71
9110.0,0.876,-7.848,6.237,10.063,0.008,0.527,1.13
9166.0,0.785,-8.04,6.507,10.373,0.267,1.84,3.626
9223.0,0.792,-8.124,6.572,10.479,-0.359,-1.092,-1.473
9278.0,0.855,-7.925,6.39,10.216,-0.695,-1.214,-2.198
9334.0,0.852,-7.92,6.409,10.224,0.099,0.573,2.008
9391.0,0.816,-8.068,6.455,10.365,-0.092,0.84,1.58
9446.0,0.802,-8.018,6.433,10.311,-0.664,-1.214,-1.298
9502.0,0.85,-7.968,6.328,10.21,-0.275,-0.122,-0.45
9559.0,0.816,-7.997,6.407,10.279,-0.26,0.466,1.214
9614.0,0.855,-8.09,6.395,10.348,0.0,0.0,0.305
9670.0,0.824,-8.006,6.428,10.301,-0.412,-0.618,-0.878
9725.0,0.383,-8.018,6.292,10.199,-0.947,-0.313,-2.427
9782.0,0.766,-8.131,6.304,10.317,1.153,1.008,1.046
9838.0,0.84,-8.021,6.51,10.364,-0.382,-0.74,-0.366
9893.0,0.879,-8.013,6.376,10.278,0.351,-0.664,-0.618
9950.0,0.843,-8.021,6.412,10.303,0.573,1.351,0.061
10006.0,0.797,-8.083,6.349,10.309,-0.58,0.191,0.298
10061.0,0.812,-8.03,6.376,10.286,-0.237,-0.298,-0.87
10118.0,0.821,-8.023,6.402,10.297,0.542,-0.42,0.023
10174.0,0.812,-8.013,6.354,10.259,0.122,0.336,0.511
10229.0,0.826,-8.001,6.5,10.342,-0.099,0.038,-0.244
10286.0,0.788,-8.054,6.416,10.328,-0.252,-0.328,-0.183
10342.0,0.828,-8.066,6.416,10.34,0.634,0.412,0.16
10398.0,0.838,-8.071,6.325,10.288,0.252,-0.427,0.641
10454.0,0.826,-8.078,6.345,10.305,0.252,0.321,-0.359
10510.0,0.828,-8.021,6.412,10.302,-0.16,-0.802,0.015
10566.0,0.86,-8.078,6.388,10.334,0.008,0.366,-0.267
10621.0,0.836,-8.049,6.467,10.359,-0.069,-0.275,0.282
10678.0,0.816,-8.092,6.321,10.301,-0.092,0.008,-0.084
10734.0,0.828,-8.064,6.366,10.307,-0.115,0.122,-0.122
10789.0,0.819,-8.092,6.426,10.366,-0.176,0.107,0.099
10846.0,0.819,-8.033,6.378,10.289,0.061,0.26,-0.046
10902.0,0.821,-8.076,6.445,10.365,-0.252,-0.153,-0.008
10958.0,0.848,-8.076,6.361,10.315,0.16,0.061,0.084
11014.0,0.871,-8.1,6.333,10.318,-0.061,0.191,0.183
11070.0,0.848,-8.078,6.323,10.293,-0.221,-0.176,0.29
11126.0,0.855,-8.035,6.316,10.256,0.153,0.053,0.168
11182.0,0.814,-8.073,6.309,10.278,0.305,0.023,0.298
11238.0,0.809,-8.124,6.328,10.329,-0.13,0.031,-0.229
11294.0,0.828,-8.066,6.316,10.278,-0.252,-0.649,-0.168
11350.0,0.845,-8.045,6.369,10.295,-0.137,-0.45,-0.069
11406.0,0.795,-8.071,6.337,10.292,-0.099,0.511,0.664
11462.0,0.797,-8.064,6.416,10.336,0.038,0.038,-0.275
11517.0,0.843,-8.102,6.294,10.294,-0.282,-0.405,-0.137
11574.0,0.79,-8.049,6.33,10.271,0.076,-0.046,0.366
11630.0,0.833,-8.102,6.29,10.291,-0.168,-0.427,0.053
11686.0,0.85,-8.083,6.402,10.346,0.16,0.29,0.229
11742.0,0.819,-8.124,6.364,10.352,-0.023,-0.527,0.214
11798.0,0.8,-8.114,6.335,10.325,0.16,0.015,-0.397
11854.0,0.809,-8.119,6.318,10.319,-0.053,-0.176,0.229
11910.0,0.886,-7.98,6.385,10.258,5.298,0.359,-0.031
