t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
2316.0,-0.682,2.708,9.567,9.966,-10.214,-5.076,-6.336
2372.0,-0.632,2.634,9.273,9.66,-3.687,-0.229,0.206
2427.0,-0.472,2.461,9.297,9.629,6.122,2.466,1.977
2484.0,-0.627,2.526,9.436,9.788,-9.885,-5.885,-6.45
2540.0,-0.622,2.698,9.22,9.627,0.924,0.55,0.168
2595.0,-0.455,2.476,9.412,9.742,3.573,2.198,1.206
2652.0,-0.608,2.535,9.239,9.6,-7.733,-4.817,-4.908
2708.0,-0.591,2.593,9.239,9.614,2.168,1.359,0.832
2763.0,-0.484,2.569,9.39,9.747,2.153,1.305,0.931
2820.0,-0.555,2.478,9.237,9.58,-6.634,-3.832,-3.878
2876.0,-0.565,2.66,9.261,9.652,2.855,1.473,1.298
2931.0,-0.479,2.497,9.328,9.668,1.641,0.901,0.206
2988.0,-0.601,2.528,9.325,9.681,-5.664,-3.29,-2.855
3043.0,-0.558,2.562,9.232,9.597,4.053,2.29,1.809
3099.0,-0.51,2.531,9.34,9.69,-1.74,-1.107,-1.191
3155.0,-0.551,2.564,9.333,9.694,-2.733,-1.908,-1.603
3211.0,-0.543,2.605,9.309,9.682,2.893,1.74,1.145
3267.0,-0.587,2.528,9.347,9.701,-1.038,-1.275,-0.58
3323.0,-0.587,2.528,9.278,9.634,-2.809,-1.794,-1.053
3379.0,-0.524,2.595,9.316,9.685,4.267,1.565,1.511
3435.0,-0.56,2.545,9.328,9.685,-2.42,-1.344,-1.153
3490.0,-0.584,2.535,9.278,9.635,-0.626,-0.863,-0.74
3547.0,-0.539,2.567,9.309,9.671,1.947,0.695,1.313
3603.0,-0.548,2.545,9.34,9.696,-1.641,-1.16,-0.695
3658.0,-0.57,2.567,9.304,9.668,-0.069,-0.221,0.0
3715.0,-0.567,2.579,9.275,9.644,1.168,0.595,0.603
3771.0,-0.563,2.564,9.371,9.732,-1.389,-1.206,-0.794
3826.0,-0.539,2.579,9.261,9.628,0.397,-0.328,0.382
3883.0,-0.546,2.579,9.28,9.647,0.397,0.229,0.191
3938.0,-0.596,2.586,9.282,9.654,-0.893,-0.771,-0.473
3994.0,-0.524,2.576,9.34,9.703,0.718,-0.053,0.42
4050.0,-0.52,2.602,9.359,9.728,0.45,-0.031,0.092
4106.0,-0.539,2.586,9.345,9.711,-0.695,-0.695,-0.351
4162.0,-0.553,2.562,9.306,9.668,0.58,0.489,0.282
4217.0,-0.529,2.567,9.278,9.641,0.374,-0.084,0.023
4274.0,-0.558,2.591,9.292,9.662,-0.611,-0.878,-0.275
4330.0,-0.508,2.581,9.333,9.696,0.336,-0.053,0.374
4385.0,-0.539,2.54,9.371,9.724,0.191,-0.122,0.008
4442.0,-0.555,2.607,9.227,9.605,-0.015,-0.16,0.0
4497.0,-0.567,2.569,9.325,9.689,-0.214,-0.336,-0.115
4553.0,-0.532,2.593,9.323,9.691,-0.008,-0.214,0.168
4610.0,-0.563,2.576,9.359,9.723,0.328,-0.305,0.13
4665.0,-0.527,2.559,9.249,9.611,-0.015,-0.26,0.084
4721.0,-0.536,2.569,9.304,9.667,0.183,-0.145,0.084
