t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
643195.0,-3.783,-1.104,9.718,10.487,0.542,-3.748,6.344
643248.0,-3.546,-1.264,9.407,10.132,-2.977,-3.214,2.313
643300.0,-3.431,-0.927,9.428,10.076,-4.305,0.336,-0.427
643352.0,-3.682,-0.711,9.471,10.187,-3.092,-0.511,-0.198
643404.0,-3.517,-0.713,9.424,10.084,-3.046,4.557,0.878
643456.0,-3.299,-0.52,9.333,9.912,-5.969,2.305,2.847
643508.0,-3.747,-0.943,9.764,10.5,-1.313,4.511,3.908
643560.0,-3.5,-1.111,9.634,10.31,-0.244,4.756,2.466
643612.0,-3.428,-1.101,9.474,10.135,-1.145,1.702,1.977
643664.0,-3.723,-1.188,9.498,10.27,1.076,7.885,-0.313
643716.0,-3.747,-1.164,9.395,10.181,0.824,10.511,-4.382
643768.0,-4.202,-1.034,9.689,10.612,-0.198,12.466,-5.168
643825.0,-4.197,-0.804,9.565,10.476,-1.427,8.511,-5.527
643877.0,-4.398,-1.252,9.608,10.641,-0.489,5.954,-7.649
643929.0,-4.379,-0.776,9.57,10.552,2.122,1.649,-2.008
643981.0,-4.319,-1.147,9.773,10.746,2.13,0.359,-1.084
644033.0,-4.077,-1.097,9.493,10.39,1.885,-0.405,1.397
644085.0,-4.183,-1.128,9.783,10.699,5.71,-6.328,0.931
644137.0,-3.831,-0.9,9.407,10.197,-0.435,-4.29,1.893
644189.0,-3.931,-1.099,9.39,10.239,-2.534,0.031,0.87
644241.0,-3.766,-1.015,9.589,10.352,-0.458,-0.031,0.061
644293.0,-4.008,-1.034,9.9,10.73,-2.13,-2.939,-2.092
644345.0,-3.986,-1.204,9.764,10.615,-4.527,-3.008,-0.328
644397.0,-3.919,-1.039,9.833,10.636,-1.771,-15.244,-3.046
644449.0,-3.725,-1.061,9.27,10.047,0.962,-2.603,-4.237
644501.0,-4.046,-0.929,10.127,10.945,4.496,-12.489,-2.748
644553.0,-3.474,-1.14,10.393,11.018,-0.496,-29.305,-8.168
644605.0,-2.586,-1.267,9.443,9.872,-55.962,-5.321,-4.565
644657.0,-3.445,-2.083,9.689,10.492,0.924,25.656,4.061
644709.0,-3.831,1.061,9.771,10.548,-110.557,38.176,4.42
644761.0,-3.352,-2.6,8.226,9.256,-226.0,32.573,4.534
644813.0,-4.477,-2.744,6.981,8.736,-250.137,38.427,12.084
644865.0,-5.473,-9.716,5.174,12.293,-245.603,82.649,40.496
644917.0,-5.449,-11.837,2.207,13.217,-246.282,100.244,19.473
644969.0,-6.467,-9.977,1.877,12.036,-189.489,81.634,16.084
645021.0,-7.032,-11.691,1.671,13.745,-95.939,73.099,24.099
645073.0,-6.766,-10.297,1.041,12.365,-32.412,21.496,-8.237
645125.0,-5.646,-8.794,0.038,10.45,-1.336,-0.176,-1.542
645177.0,-5.926,-9.191,-0.148,10.937,3.725,7.855,6.214
645229.0,-6.373,-9.996,0.096,11.855,-2.29,1.87,12.481
645281.0,-6.591,-10.597,0.541,12.491,2.397,1.779,10.191
645333.0,-6.254,-9.965,0.402,11.771,-1.656,-1.504,-0.435
645385.0,-6.63,-9.668,0.479,11.732,2.824,4.679,4.962
645437.0,-6.754,-9.862,0.663,11.971,-2.847,-4.779,2.824
645489.0,-6.752,-9.893,0.436,11.985,5.908,2.611,3.687
645541.0,-6.512,-9.869,0.297,11.828,-0.229,-4.794,-0.321
645593.0,-6.735,-9.893,0.505,11.978,4.534,-1.382,2.267
645645.0,-6.536,-9.857,0.326,11.832,1.481,-3.916,-0.122
645697.0,-6.591,-9.649,0.63,11.702,0.641,1.672,-0.511
645749.0,-6.732,-9.701,0.69,11.829,2.687,4.45,1.687
645801.0,-6.682,-9.713,0.577,11.804,2.634,1.71,2.252
645858.0,-6.665,-9.85,0.637,11.91,0.84,1.198,0.824
645910.0,-6.658,-9.725,0.584,11.801,5.053,-1.45,3.229
645962.0,-6.814,-10.068,0.508,12.167,2.298,0.061,-1.305
646014.0,-6.57,-9.771,0.575,11.788,3.725,-2.366,1.26
646066.0,-6.653,-9.831,0.625,11.887,-1.626,-0.229,-2.153
646118.0,-6.462,-9.618,0.627,11.604,3.74,0.084,1.267
646170.0,-6.522,-9.804,0.546,11.788,-1.427,-0.26,-0.168
646222.0,-6.986,-10.039,0.912,12.265,8.221,4.496,2.809
646274.0,-6.567,-9.845,0.682,11.854,3.786,-1.336,-1.168
646326.0,-6.742,-9.639,1.053,11.81,3.42,0.267,1.985
646378.0,-6.701,-9.871,0.888,11.964,0.405,-2.542,1.351
646430.0,-6.914,-9.957,1.223,12.184,6.053,-1.916,2.397
646482.0,-6.656,-9.742,1.111,11.851,-0.557,-4.847,-1.947
646534.0,-6.665,-9.768,0.917,11.861,5.214,-2.115,0.351
646586.0,-6.563,-9.922,0.761,11.92,2.878,-1.641,-0.794
646638.0,-6.5,-9.51,0.558,11.533,5.595,1.649,1.763
