ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-4.678,-1.233,9.512,-0.626,3.137,5.145,dislike,5
-5.248,-1.188,9.847,1.817,-5.359,5.763,dislike,5
-4.671,-1.453,9.39,-3.565,-6.969,5.405,dislike,5
-4.415,-1.322,9.297,-1.985,-8.779,3.145,dislike,5
-4.604,-1.156,9.515,1.679,-8.13,1.313,dislike,5
-4.391,-0.946,9.395,-1.969,-7.282,3.855,dislike,5
-4.456,-0.895,9.407,-7.824,-5.359,5.344,dislike,5
-4.197,-1.123,9.546,-7.695,-4.618,4.16,dislike,5
-4.029,-1.384,9.673,-8.809,-3.267,1.855,dislike,5
-4.015,-1.477,9.582,-7.435,-0.298,-0.565,dislike,5
-4.065,-1.765,9.342,-2.58,2.634,-3.061,dislike,5
-4.36,-1.398,9.23,3.145,1.511,-4.664,dislike,5
-5.088,-1.384,9.728,-3.702,3.618,-7.779,dislike,5
-4.872,-1.571,9.234,0.466,-4.145,1.611,dislike,5
-4.673,-1.568,9.139,-5.832,3.489,3.0,dislike,5
-4.606,-1.657,9.4,-6.893,5.794,-1.122,dislike,5
-4.46,-1.741,9.538,-7.817,0.214,-1.794,dislike,5
-4.223,-1.865,9.414,-7.71,0.061,-0.031,dislike,5
-4.29,-2.172,9.436,-7.588,1.679,2.053,dislike,5
-4.247,-2.274,9.215,-9.122,-2.908,-2.786,dislike,5
-4.3,-2.186,9.117,-2.58,-2.176,-2.0,dislike,5
-4.235,-1.927,8.981,-4.527,-0.122,-2.183,dislike,5
-4.673,-1.956,9.354,-0.824,1.725,-1.534,dislike,5
-4.604,-1.956,9.309,1.29,-1.779,-0.527,dislike,5
-4.441,-1.999,9.39,1.725,0.489,0.786,dislike,5
-4.458,-2.069,9.428,0.313,0.71,1.153,dislike,5
-4.489,-2.002,9.354,0.061,0.939,0.412,dislike,5
-4.482,-2.152,9.373,0.244,0.763,-0.435,dislike,5
-4.391,-1.994,9.33,0.855,0.282,-0.473,dislike,5
-4.405,-2.018,9.45,1.458,0.809,-0.702,dislike,5
-4.482,-1.978,9.445,1.244,1.336,-0.649,dislike,5
-4.446,-1.966,9.416,1.412,-0.756,-0.687,dislike,5
-4.307,-1.98,9.395,1.038,-0.099,-0.176,dislike,5
-4.381,-1.927,9.543,0.107,-0.328,0.107,dislike,5
-4.511,-2.203,9.632,-3.916,-1.679,-0.733,dislike,5
-4.345,-2.071,9.292,-5.092,0.588,-1.267,dislike,5
-4.336,-1.997,9.378,-3.168,0.076,0.42,dislike,5
-4.226,-1.836,9.287,-11.115,2.496,-2.359,dislike,5
-4.31,-2.358,9.888,-18.16,2.733,-5.573,dislike,5
-3.783,-2.042,9.907,-70.183,8.206,-16.328,dislike,5
-3.893,-3.508,7.872,-17.198,53.458,2.359,dislike,5
-5.598,-2.193,8.909,-137.656,24.992,-30.603,dislike,5
-3.785,-3.759,8.104,-203.061,-8.588,-13.122,dislike,5
-4.19,-7.149,4.99,-250.137,57.756,14.374,dislike,5
