t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1341006.0,0.017,-0.275,9.809,9.813,-2.359,7.229,1.374
1341059.0,-0.026,-0.503,9.833,9.846,-1.176,2.756,1.168
1341111.0,0.124,-0.534,9.776,9.791,-2.55,4.206,1.405
1341163.0,-0.17,-0.397,9.864,9.874,0.191,6.092,0.962
1341215.0,-0.031,-0.467,9.996,10.007,-3.298,4.679,2.679
1341267.0,0.124,-0.491,9.967,9.98,-2.328,2.16,1.573
1341319.0,0.043,-0.453,9.823,9.834,0.656,3.015,-0.031
1341371.0,0.182,-0.362,9.766,9.774,-2.366,4.374,0.397
1341423.0,0.057,-0.34,9.79,9.796,-0.13,5.008,0.176
1341475.0,0.026,-0.467,9.993,10.004,-3.954,3.863,1.275
1341527.0,0.093,-0.543,9.847,9.863,-0.84,3.977,1.031
1341579.0,0.096,-0.543,9.855,9.87,-1.939,3.977,0.336
1341631.0,0.136,-0.316,9.816,9.822,0.527,4.794,-0.588
1341683.0,-0.038,-0.445,9.778,9.788,0.527,9.008,-1.206
1341735.0,0.045,-0.426,9.9,9.909,-1.878,6.221,0.336
1341787.0,0.067,-0.536,9.876,9.891,1.237,7.29,-0.824
1341839.0,0.074,-0.249,9.855,9.858,0.046,7.244,0.366
1341891.0,0.11,-0.462,10.192,10.203,-5.198,4.611,1.71
1341943.0,0.204,-0.436,9.941,9.952,0.672,1.985,-0.908
1341995.0,0.089,-0.381,9.862,9.869,-2.252,3.198,0.695
1342047.0,0.187,-0.546,9.936,9.953,0.45,5.809,-0.71
1342099.0,-0.002,-0.582,9.878,9.896,3.244,8.191,-2.466
1342151.0,-0.022,-0.752,9.768,9.797,-11.237,0.603,6.237
1342203.0,-0.01,-0.608,9.979,9.998,-22.397,-3.542,5.542
1342255.0,0.026,-0.824,10.108,10.142,-40.649,-4.58,15.16
1342307.0,0.256,-0.845,10.005,10.044,-51.748,-8.237,30.511
1342359.0,0.515,-1.097,9.713,9.789,-78.817,-27.802,34.008
1342411.0,0.048,-2.421,10.355,10.634,-86.832,-42.664,44.267
1342463.0,2.09,-3.053,9.675,10.358,-106.802,-65.916,59.779
1342515.0,1.463,-3.534,8.188,9.037,-139.29,-33.893,95.427
1342567.0,-1.032,-5.399,6.282,8.348,-157.573,8.916,107.748
1342619.0,1.396,-11.839,6.548,13.601,-123.053,-5.42,72.046
1342671.0,0.184,-6.886,6.141,9.228,-42.458,-1.725,3.763
1342723.0,-0.024,-7.252,5.993,9.408,-33.427,13.328,21.71
1342775.0,0.371,-6.855,6.311,9.325,-12.824,2.16,6.527
1342832.0,0.103,-7.604,6.335,9.898,7.321,2.473,-3.237
1342884.0,0.28,-6.828,6.333,9.317,-0.023,11.931,-3.679
1342936.0,0.35,-7.738,6.359,10.022,-5.977,-0.229,3.595
1342988.0,0.364,-8.016,6.376,10.249,0.573,14.557,-1.87
1343040.0,0.534,-7.393,6.251,9.697,-6.756,6.595,0.809
1343092.0,0.115,-7.391,6.23,9.667,-2.527,-4.328,-1.756
1343144.0,0.045,-7.508,6.428,9.884,-2.626,5.55,0.565
1343196.0,0.05,-7.585,6.184,9.787,-2.015,7.542,0.26
1343248.0,0.555,-7.745,6.108,9.879,-2.092,9.405,6.137
1343300.0,-0.486,-7.549,6.215,9.79,-9.092,5.763,8.237
1343352.0,0.05,-8.023,6.33,10.22,1.992,6.412,3.115
1343404.0,-0.019,-7.621,6.007,9.704,-1.878,3.397,0.298
1343456.0,0.084,-7.647,6.033,9.741,-1.58,9.038,-1.702
1343508.0,-0.002,-7.743,6.105,9.86,0.771,6.748,1.916
1343560.0,0.05,-7.93,6.012,9.951,0.42,8.656,-0.611
1343612.0,0.273,-7.958,6.167,10.072,0.656,7.466,-1.573
1343664.0,-0.081,-7.961,6.235,10.112,2.565,4.779,-3.672
1343716.0,-0.213,-7.594,6.275,9.854,-0.87,4.496,-0.122
1343768.0,0.268,-7.645,6.177,9.832,1.718,4.985,-0.053
1343820.0,0.122,-7.377,6.333,9.723,0.267,5.916,0.687
1343872.0,-0.048,-7.666,6.215,9.869,2.092,4.977,1.985
1343924.0,0.074,-7.949,6.325,10.159,-0.198,2.26,1.756
1343976.0,0.002,-7.614,6.1,9.756,1.679,6.321,-2.359
1344028.0,-0.002,-7.657,6.287,9.907,-0.695,3.977,-0.672
1344080.0,0.151,-7.697,6.321,9.961,1.366,8.26,-0.954
1344132.0,0.093,-7.714,6.211,9.904,2.679,3.58,-1.718
1344184.0,-0.019,-7.726,6.297,9.967,-1.076,6.275,2.29
1344236.0,-0.17,-7.566,6.419,9.923,-1.618,0.962,3.374
1344288.0,0.127,-7.575,6.282,9.842,2.794,5.695,2.244
1344340.0,-0.072,-7.518,6.452,9.907,0.069,3.122,0.176
1344392.0,-0.014,-7.621,6.299,9.887,5.603,5.84,-5.26
1344444.0,0.328,-7.69,6.227,9.901,-3.344,1.863,3.328
1344496.0,-0.067,-7.396,6.416,9.791,-3.504,6.557,2.344
1344548.0,0.359,-7.554,6.302,9.844,-3.344,4.878,-0.214
1344600.0,0.225,-7.693,6.445,10.038,-1.969,1.573,-0.718
1344652.0,0.192,-7.326,6.359,9.703,-1.061,5.092,1.435
1344704.0,-0.115,-7.365,6.388,9.75,-1.763,5.168,-0.252
1344757.0,-0.165,-7.444,6.543,9.912,-1.473,2.58,3.053
1344809.0,0.062,-7.566,6.328,9.863,0.855,5.756,-1.015
1344866.0,0.144,-7.482,6.503,9.914,1.191,1.206,0.29
1344918.0,0.168,-7.647,6.371,9.955,-0.45,6.809,0.847
1344970.0,0.077,-7.525,6.369,9.858,-0.076,1.725,2.489
1345022.0,-0.007,-7.532,6.373,9.867,-0.107,5.733,0.824
1345074.0,0.098,-7.398,6.428,9.801,-2.176,6.595,1.16
1345126.0,-0.041,-7.52,6.357,9.847,0.634,6.427,-1.145
1345178.0,-0.096,-7.554,6.512,9.974,-0.366,5.809,0.466
1345230.0,0.141,-7.594,6.39,9.926,-1.344,6.076,1.366
1345282.0,0.158,-7.53,6.381,9.871,-4.084,4.366,1.321
1345334.0,0.086,-7.4,6.364,9.761,-2.336,5.565,2.473
1345386.0,0.144,-7.724,6.297,9.966,-8.389,1.366,9.641
1345438.0,0.072,-7.822,6.409,10.113,-0.626,6.015,-1.435
1345490.0,-0.017,-7.377,6.354,9.736,0.427,10.435,-3.229
1345542.0,-0.091,-7.446,6.44,9.845,-5.191,2.359,2.573
1345594.0,-0.16,-7.712,6.366,10.001,-4.389,7.046,4.779
1345646.0,0.213,-7.609,6.203,9.819,-2.779,7.908,2.328
1345698.0,0.062,-7.523,6.196,9.746,1.466,5.435,-3.099
1345750.0,-0.017,-7.798,6.505,10.155,-1.771,7.031,2.305
1345802.0,0.007,-7.561,6.314,9.85,1.847,5.168,-0.84
1345854.0,-0.053,-7.776,6.531,10.155,-2.214,5.153,0.473
1345906.0,0.189,-7.539,6.076,9.685,2.229,4.26,-1.992
1345958.0,-0.115,-7.592,6.369,9.91,0.42,3.16,5.122
1346010.0,0.036,-7.628,6.244,9.858,1.267,7.298,-2.489
1346062.0,-0.244,-7.573,6.541,10.01,0.977,3.977,-0.16
1346114.0,-0.067,-7.582,6.292,9.853,-2.084,6.061,0.985
1346166.0,-0.163,-7.444,6.287,9.745,-2.45,4.321,2.977
1346218.0,-0.072,-7.482,6.278,9.767,-9.061,4.29,7.145
1346270.0,0.084,-7.796,6.256,9.996,1.153,6.069,0.405
1346322.0,-0.115,-7.614,6.381,9.934,0.115,6.779,-0.137
1346374.0,-0.043,-7.688,6.436,10.026,-1.244,3.817,1.687
1346426.0,-0.115,-7.695,6.445,10.038,-0.588,4.519,0.496
