ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-0.012,-1.199,9.752,-1.603,5.351,1.473,dislike,2
0.12,-1.346,9.835,-2.29,4.344,0.344,dislike,2
0.072,-1.144,9.797,-2.183,4.985,0.107,dislike,2
0.132,-1.188,9.749,-0.794,4.412,-0.038,dislike,2
0.072,-1.118,9.874,-2.42,4.931,0.84,dislike,2
0.148,-1.128,9.847,-1.183,2.305,0.664,dislike,2
0.101,-1.192,9.831,-1.26,3.374,0.924,dislike,2
0.108,-1.255,9.747,-0.626,5.397,0.275,dislike,2
0.026,-1.286,9.771,-1.053,3.015,0.176,dislike,2
0.117,-1.13,9.582,1.26,4.985,-0.702,dislike,2
0.139,-1.223,9.744,-3.344,4.802,0.13,dislike,2
0.175,-1.192,9.771,1.45,4.863,-0.733,dislike,2
0.077,-1.092,9.828,-1.855,5.954,0.168,dislike,2
0.113,-1.214,9.845,-0.55,4.58,0.321,dislike,2
0.089,-1.101,9.735,-1.374,4.855,0.611,dislike,2
0.108,-1.204,9.787,-1.534,5.702,1.344,dislike,2
0.115,-1.209,9.725,-1.756,4.328,0.206,dislike,2
0.005,-1.267,9.759,0.74,5.672,-0.427,dislike,2
0.105,-1.219,9.747,1.748,6.382,-0.481,dislike,2
0.369,-1.851,9.618,26.908,15.863,-9.069,dislike,2
-0.158,-1.125,10.247,45.328,3.71,-16.435,dislike,2
-0.486,-0.4,10.501,18.244,-35.725,2.305,dislike,2
-1.575,-0.328,10.594,-4.374,-138.824,13.847,dislike,2
1.913,0.122,6.876,-227.015,-139.725,90.176,dislike,2
2.006,-5.672,8.198,-220.878,-118.496,196.779,dislike,2
2.717,-5.203,6.673,-216.687,-38.985,126.908,dislike,2
2.545,-9.742,6.711,-198.595,-10.908,204.603,dislike,2
2.09,-10.257,5.193,-46.58,2.237,6.237,dislike,2
-0.022,-5.866,5.521,-52.374,22.496,33.229,dislike,2
0.443,-7.616,5.167,-11.321,12.618,6.115,dislike,2
0.747,-7.197,4.334,-2.756,21.573,10.244,dislike,2
1.202,-8.327,5.061,-1.656,4.641,1.015,dislike,2
0.534,-8.217,5.212,2.313,-1.168,5.221,dislike,2
1.355,-9.325,4.745,-0.504,7.924,0.908,dislike,2
0.883,-8.423,5.073,-1.71,7.313,2.397,dislike,2
