ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
0.558,6.048,7.575,-1.412,4.0,-0.023,dislike,1
0.493,5.986,7.717,-3.756,3.206,0.13,dislike,1
0.39,5.988,7.738,-0.863,5.489,1.176,dislike,1
0.366,5.997,7.822,-1.427,3.42,1.924,dislike,1
0.412,5.923,7.649,-0.641,4.534,-0.069,dislike,1
0.431,5.916,7.683,-3.099,3.679,0.992,dislike,1
0.366,5.804,7.736,0.382,4.985,0.702,dislike,1
0.426,6.079,7.755,-3.473,3.656,0.473,dislike,1
0.429,5.969,7.76,0.275,5.038,-0.282,dislike,1
0.431,5.904,7.781,-7.557,4.511,0.603,dislike,1
0.381,5.906,7.772,3.664,3.74,0.519,dislike,1
0.359,5.887,7.858,-5.046,5.756,0.603,dislike,1
0.417,5.804,7.796,-1.511,3.954,-0.977,dislike,1
0.431,5.918,7.793,-2.176,1.664,-0.038,dislike,1
0.46,5.918,7.721,-2.244,3.328,-1.252,dislike,1
0.412,5.933,7.726,-3.206,3.183,-0.344,dislike,1
0.532,5.811,7.721,0.885,4.863,-0.809,dislike,1
0.836,6.11,7.977,-14.863,5.069,2.878,dislike,1
1.149,5.832,8.667,-36.008,22.176,-6.221,dislike,1
1.178,6.285,8.502,-86.26,51.069,-36.137,dislike,1
-0.749,3.23,8.375,-105.878,105.87,-56.153,dislike,1
-1.144,3.366,7.338,-117.656,113.076,-58.344,dislike,1
-2.653,1.022,7.726,-115.725,136.947,-45.305,dislike,1
-4.049,1.039,7.523,-129.71,140.489,-46.947,dislike,1
-5.77,-1.073,7.185,-109.809,133.183,-29.458,dislike,1
-5.26,-0.769,6.821,-123.763,147.374,-54.107,dislike,1
-7.034,0.242,6.026,-106.611,119.687,-15.0,dislike,1
-6.584,-2.54,3.804,-149.863,108.916,28.733,dislike,1
-10.628,-4.424,5.375,-59.679,68.626,-2.191,dislike,1
-8.507,-5.279,3.809,20.084,81.084,-19.557,dislike,1
-9.074,-3.263,4.147,15.809,62.137,-34.71,dislike,1
-8.973,-3.584,3.816,10.809,37.206,-13.092,dislike,1
-9.369,-4.626,3.45,-2.45,19.847,-10.435,dislike,1
-9.213,-3.472,3.417,-9.252,15.053,-9.221,dislike,1
-8.519,-4.116,3.019,0.794,6.924,-6.382,dislike,1
-8.701,-4.037,3.27,-3.405,-1.679,0.954,dislike,1
-8.614,-3.819,3.074,1.924,13.427,-4.244,dislike,1
-8.207,-2.512,3.28,-6.084,7.191,1.244,dislike,1
-8.744,-3.534,3.522,13.924,0.84,8.252,dislike,1
-8.475,-4.092,3.165,-2.794,4.725,2.931,dislike,1
-8.284,-2.835,3.249,-8.031,3.664,1.176,dislike,1
-8.665,-3.539,3.215,1.534,-1.992,4.557,dislike,1
-8.617,-3.749,3.132,-8.023,0.588,-0.565,dislike,1
-8.461,-3.342,3.259,-7.802,1.87,-1.229,dislike,1
-8.521,-3.903,3.177,-0.527,0.687,2.969,dislike,1
-8.243,-3.943,3.057,-6.695,6.061,-2.351,dislike,1
-8.698,-3.524,3.491,-1.939,1.847,2.863,dislike,1
-8.547,-3.96,3.172,0.924,4.702,1.328,dislike,1
-8.428,-3.587,2.998,-9.519,3.748,-1.382,dislike,1
-8.176,-3.51,3.014,-6.977,6.679,0.244,dislike,1
-8.447,-3.768,3.12,-6.183,6.885,0.382,dislike,1
-8.466,-3.871,3.062,-6.779,9.458,-2.977,dislike,1
-8.552,-3.524,3.311,0.244,4.435,3.504,dislike,1
-8.478,-3.814,3.132,-6.519,7.931,-1.252,dislike,1
-8.437,-3.515,3.045,-2.13,6.992,-0.565,dislike,1
-8.633,-3.694,3.158,2.458,2.992,0.817,dislike,1
-8.492,-3.764,2.933,-3.099,7.863,-1.397,dislike,1
-8.475,-3.847,2.921,-4.84,4.718,-1.252,dislike,1
-8.523,-3.893,3.005,-3.435,8.015,2.244,dislike,1
-8.471,-3.788,2.883,-4.931,6.45,-0.611,dislike,1
-8.662,-3.745,3.06,-1.015,8.794,2.481,dislike,1
-8.461,-4.013,2.715,-4.687,6.977,-0.168,dislike,1
-8.519,-3.486,2.94,-7.679,6.885,0.458,dislike,1
