t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
603409.0,1.355,4.039,8.756,9.737,-0.412,4.038,1.076
603461.0,1.286,4.214,8.772,9.816,-0.939,5.351,-0.145
603513.0,1.403,4.211,8.837,9.889,-1.275,3.748,2.504
603565.0,1.197,4.137,8.722,9.727,-0.504,3.832,-0.046
603617.0,1.319,4.257,8.823,9.884,-2.244,4.924,0.527
603669.0,1.369,4.185,8.736,9.783,0.168,4.763,-0.969
603721.0,1.341,4.231,8.794,9.85,-1.214,2.969,1.74
603773.0,1.326,4.159,8.748,9.777,-1.13,4.29,0.878
603825.0,1.281,4.302,8.696,9.786,-1.779,5.977,1.305
603877.0,1.197,4.137,8.698,9.706,-0.878,4.74,0.939
603929.0,1.171,4.264,8.813,9.86,-1.756,5.405,-1.58
603981.0,1.336,4.343,8.748,9.858,-0.382,3.351,-0.42
604033.0,1.451,4.243,8.923,9.986,-2.351,6.023,0.511
604085.0,1.408,4.214,8.899,9.947,-0.176,3.015,-1.45
604137.0,1.477,4.307,8.88,9.979,-2.817,4.618,1.336
604189.0,1.446,4.252,8.952,10.015,-3.901,4.634,3.481
604241.0,1.425,4.235,8.849,9.913,-6.107,3.359,3.336
604293.0,1.302,4.405,9.189,10.273,-16.939,3.733,6.733
604345.0,1.525,4.312,9.565,10.602,-33.275,-5.718,11.229
604397.0,1.803,4.032,9.682,10.642,-56.153,-14.939,18.908
604449.0,2.789,2.286,8.873,9.578,-63.634,-8.023,2.504
604501.0,2.512,3.096,9.251,10.074,-85.328,86.702,-11.863
604553.0,0.151,1.956,9.886,10.078,-118.84,88.786,9.298
604610.0,2.164,2.887,6.991,7.867,-185.374,155.962,53.008
604662.0,-2.423,-0.51,10.173,10.47,-226.771,161.565,82.527
604714.0,-3.321,-2.574,6.469,7.714,-224.092,180.817,79.473
604766.0,-5.468,-6.402,6.177,10.442,-170.786,128.573,55.229
604818.0,-6.522,-5.746,5.169,10.113,-118.038,121.397,22.397
604870.0,-5.684,-7.238,4.633,10.303,-68.389,100.061,-4.038
604923.0,-6.527,-6.852,4.367,10.422,-31.947,64.092,-24.802
604975.0,-6.563,-7.966,4.781,11.374,0.985,48.435,-28.931
605027.0,-6.302,-4.669,3.385,8.542,21.099,21.061,-29.015
605079.0,-6.522,-6.0,4.36,9.876,29.237,5.931,-7.794
605131.0,-6.246,-6.874,4.099,10.152,-2.046,-11.985,7.328
605183.0,-6.318,-6.05,4.336,9.763,22.359,7.962,-7.74
605235.0,-6.067,-6.242,4.444,9.773,4.611,-1.748,-0.947
605287.0,-6.1,-5.751,4.391,9.464,7.504,3.305,-4.099
605339.0,-6.074,-6.424,4.714,10.019,12.802,-3.229,-3.756
605391.0,-6.225,-6.074,4.798,9.933,-0.099,-4.137,1.115
605443.0,-5.837,-6.014,4.432,9.481,10.13,2.298,-2.565
605495.0,-6.249,-6.165,4.922,10.064,7.145,-1.069,0.351
605547.0,-5.801,-5.969,4.757,9.587,3.198,1.832,2.42
605599.0,-5.95,-6.055,4.743,9.724,2.115,1.969,-2.038
605651.0,-5.914,-6.227,5.037,9.956,6.954,-0.756,3.405
605703.0,-5.744,-5.93,4.791,9.545,-0.053,4.359,0.29
605755.0,-5.842,-6.031,4.915,9.729,5.557,1.863,2.076
605807.0,-5.942,-6.381,5.016,10.059,9.534,-0.366,-3.763
605860.0,-5.71,-5.854,4.834,9.499,-10.748,4.023,8.26
605912.0,-6.141,-5.974,5.124,9.982,10.626,3.099,0.015
605964.0,-5.89,-6.122,5.08,9.898,-0.458,7.908,4.046
606016.0,-6.045,-5.49,5.222,9.693,2.588,0.573,3.015
606068.0,-5.995,-6.112,5.215,10.025,0.824,3.74,3.374
606120.0,-5.918,-5.93,5.195,9.859,-0.191,2.832,0.13
606172.0,-6.014,-5.588,5.406,9.83,1.389,7.351,1.427
606224.0,-5.839,-5.856,5.181,9.759,1.053,-0.122,0.718
606276.0,-6.065,-5.918,5.246,9.966,-0.45,5.099,0.031
606328.0,-5.938,-5.993,5.164,9.891,3.992,2.947,0.29
606380.0,-5.969,-5.986,5.229,9.94,-1.0,4.565,-0.718
606432.0,-5.818,-5.65,5.248,9.66,-2.008,6.618,-0.252
606484.0,-6.05,-5.978,5.363,10.055,4.45,0.42,0.656
606536.0,-5.957,-5.902,5.514,10.036,-3.153,7.427,-1.672
606588.0,-5.758,-5.449,5.358,9.569,5.076,5.382,-2.031
606645.0,-5.804,-5.751,5.444,9.818,2.931,2.863,-0.992
606697.0,-5.871,-5.895,5.375,9.905,1.756,6.29,0.191
606749.0,-5.794,-5.49,5.693,9.804,-2.412,3.626,0.458
606801.0,-5.82,-5.792,5.387,9.82,3.527,2.229,0.458
606853.0,-5.851,-5.933,5.382,9.92,1.382,3.916,-0.198
606905.0,-5.883,-5.519,5.521,9.775,1.305,4.183,0.794
606957.0,-5.95,-5.89,5.459,9.994,1.229,3.374,-0.198
607009.0,-5.933,-5.667,5.641,9.957,0.702,2.641,1.55
607061.0,-5.789,-5.605,5.327,9.66,-3.878,3.672,0.305
607113.0,-5.957,-6.105,5.59,10.199,4.817,2.145,1.489
607165.0,-5.818,-5.59,5.713,9.886,-0.924,3.954,0.649
607217.0,-5.804,-5.612,5.499,9.768,-0.534,5.573,-0.504
607269.0,-5.933,-5.801,5.665,10.047,0.664,4.588,-0.924
607321.0,-5.715,-5.65,5.409,9.687,-2.229,6.305,1.145
607373.0,-5.847,-5.775,5.497,9.887,5.183,5.008,-1.855
607425.0,-5.842,-5.777,5.593,9.939,-1.389,6.023,0.366
607477.0,-5.746,-5.44,5.507,9.64,2.244,6.252,-1.282
607529.0,-5.823,-5.88,5.488,9.929,1.763,4.901,-1.458
607581.0,-5.756,-5.473,5.763,9.813,-4.794,7.321,0.031
