ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.049,4.245,8.612,-2.099,4.992,2.321,dislike,3
0.843,4.25,8.686,-0.802,5.511,0.992,dislike,3
0.927,4.302,8.777,-0.74,4.863,-0.405,dislike,3
0.931,4.475,8.753,-2.786,5.542,1.977,dislike,3
0.893,4.302,8.832,-2.878,3.519,0.427,dislike,3
1.195,4.492,9.014,-1.092,8.649,0.252,dislike,3
1.049,4.173,9.182,-4.107,3.702,1.771,dislike,3
0.965,4.456,8.904,-2.71,2.809,-0.092,dislike,3
1.049,4.456,8.902,-5.206,3.504,3.26,dislike,3
1.061,4.183,8.746,-4.786,3.855,3.145,dislike,3
0.941,4.159,8.559,-2.84,1.092,2.725,dislike,3
0.915,4.104,8.593,-3.13,3.145,3.87,dislike,3
1.053,4.022,8.701,-4.221,5.397,3.87,dislike,3
0.91,3.926,8.552,0.122,4.634,-0.542,dislike,3
0.905,4.142,8.684,-3.763,7.115,0.519,dislike,3
0.96,4.132,8.784,-1.145,5.061,-1.26,dislike,3
0.939,4.183,8.933,-1.863,6.458,-0.557,dislike,3
1.101,4.106,9.33,-4.687,2.595,-1.389,dislike,3
0.965,4.116,9.041,-10.977,-7.13,2.053,dislike,3
-0.861,-0.559,0.161,0.0,0.0,0.0,dislike,3
1.247,4.166,8.808,-4.359,2.053,1.87,dislike,3
1.259,3.97,8.914,-2.214,5.595,-1.832,dislike,3
1.19,4.132,8.751,0.779,5.153,-3.748,dislike,3
1.192,4.252,8.763,-2.359,5.336,0.359,dislike,3
1.188,3.953,8.921,-5.168,7.771,1.55,dislike,3
1.128,3.912,8.981,-3.244,5.725,-1.908,dislike,3
1.259,3.926,8.993,-7.29,9.527,-4.519,dislike,3
1.092,4.077,9.249,-22.015,11.275,3.992,dislike,3
1.334,3.812,9.433,-24.053,14.374,2.244,dislike,3
1.171,3.886,9.519,-39.13,24.969,4.748,dislike,3
1.008,3.093,9.287,-44.16,22.557,4.092,dislike,3
0.912,3.984,9.5,-58.977,30.725,13.313,dislike,3
0.211,2.289,8.624,-101.695,76.702,16.718,dislike,3
-0.419,2.066,9.579,-116.656,66.435,38.832,dislike,3
-0.816,0.266,8.691,-155.847,113.496,56.305,dislike,3
-2.555,-1.25,8.928,-123.786,81.321,52.443,dislike,3
-2.974,-1.283,8.061,-162.626,112.275,68.87,dislike,3
-4.374,-3.563,7.989,-126.687,93.817,53.611,dislike,3
-5.646,-4.59,6.871,-108.305,107.595,30.931,dislike,3
-5.483,-5.43,6.855,-95.969,53.176,16.855,dislike,3
-5.918,-5.938,5.61,-55.603,67.489,0.023,dislike,3
-6.184,-6.031,5.887,-30.725,60.275,-15.29,dislike,3
-6.038,-6.167,5.066,-8.58,63.58,-17.794,dislike,3
-6.263,-5.047,5.399,13.832,25.931,-20.443,dislike,3
