t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
655959.0,1.788,3.208,9.175,9.883,1.45,1.42,1.305
656011.0,2.052,3.352,9.074,9.889,-5.305,1.664,2.71
656063.0,1.994,3.124,9.17,9.891,-6.985,5.008,-1.084
656115.0,2.037,3.206,9.222,9.974,-10.061,6.573,-1.573
656167.0,2.033,3.139,9.1,9.839,-11.13,4.374,-1.626
656219.0,2.107,2.842,9.086,9.75,-16.672,8.969,-5.58
656271.0,2.136,2.686,9.227,9.845,-11.313,8.481,-6.908
656323.0,1.645,2.761,9.673,10.192,-7.389,4.832,-10.626
656375.0,1.906,2.789,9.165,9.768,-3.527,1.924,-7.198
656427.0,1.958,2.88,9.16,9.8,-8.74,4.756,-3.252
656484.0,1.853,2.782,9.438,10.012,-3.977,3.565,-3.977
656536.0,1.891,2.725,9.378,9.947,-1.901,-0.802,-1.481
656588.0,2.14,2.6,8.89,9.506,-2.634,0.321,-0.275
656640.0,2.131,2.605,9.052,9.658,1.229,0.351,-0.763
656692.0,2.234,2.684,8.801,9.468,-0.458,4.023,-0.87
656744.0,2.212,2.476,9.096,9.683,-1.863,7.26,-1.153
656796.0,2.093,2.636,9.263,9.856,-4.466,5.504,-1.466
656848.0,1.944,3.021,9.201,9.878,-1.427,5.389,-1.466
656900.0,1.817,2.811,9.309,9.892,-0.313,6.603,-0.473
656952.0,2.004,2.662,9.323,9.901,-2.282,3.023,2.0
657004.0,2.095,2.583,9.273,9.851,-1.328,4.305,1.031
657056.0,1.937,2.557,9.4,9.932,0.679,5.229,-0.679
657108.0,1.867,2.605,9.309,9.845,-1.183,3.481,1.221
657160.0,1.956,2.485,9.227,9.754,-3.031,4.397,1.824
657212.0,2.037,2.543,9.266,9.822,2.626,4.168,0.305
657264.0,2.085,2.433,9.364,9.897,-1.221,4.931,-0.489
657316.0,2.121,2.689,9.531,10.128,0.458,4.519,-0.496
657368.0,1.791,2.919,9.967,10.539,-4.092,-3.893,3.122
657420.0,2.619,2.624,9.9,10.571,-14.405,5.496,6.198
657472.0,2.03,2.885,8.61,9.304,-16.725,51.076,-27.588
657524.0,2.571,2.787,9.656,10.374,-67.634,15.84,24.069
657576.0,2.04,2.066,8.724,9.195,-93.0,86.122,-16.901
657628.0,0.852,-0.062,10.74,10.774,-101.389,49.099,17.595
657680.0,0.524,0.177,7.865,7.884,-135.87,59.473,8.962
657732.0,-1.525,-3.249,10.918,11.492,-144.786,90.481,-12.534
657784.0,-0.704,-2.586,8.095,8.527,-169.489,83.977,-12.13
657836.0,-2.054,-5.045,9.136,10.637,-171.969,58.405,4.481
657888.0,-1.7,-6.014,7.894,10.068,-128.969,38.031,5.046
657940.0,-2.782,-6.232,8.14,10.623,-78.13,40.443,-7.855
657992.0,-1.913,-6.081,6.431,9.055,-70.847,9.275,12.198
658044.0,-2.507,-7.908,6.744,10.692,-58.511,34.947,2.817
658096.0,-1.903,-8.471,6.088,10.604,-13.328,9.473,0.023
658148.0,-2.327,-8.246,5.942,10.427,-25.527,6.305,-2.924
658201.0,-2.042,-7.128,5.049,8.97,-13.099,3.328,-0.748
658253.0,-2.552,-6.349,4.587,8.238,6.534,-11.466,2.206
658305.0,-2.691,-8.574,6.416,11.042,10.931,7.107,1.351
658357.0,-2.322,-7.096,5.229,9.116,-0.794,-0.038,4.29
658409.0,-2.49,-8.023,5.808,10.213,6.802,5.275,1.214
658461.0,-2.531,-8.013,6.076,10.37,6.298,-2.107,4.55
658518.0,-2.588,-7.855,6.249,10.366,7.588,1.145,1.298
658570.0,-2.602,-7.726,6.29,10.297,0.122,5.382,-0.397
658622.0,-2.444,-7.25,6.127,9.802,2.748,3.969,-0.634
658674.0,-2.346,-7.08,5.993,9.568,6.969,2.053,-1.321
658726.0,-2.358,-7.403,6.079,9.865,-2.595,6.901,-0.084
658778.0,-2.389,-7.199,6.033,9.692,-4.092,3.115,2.458
658830.0,-2.461,-7.982,6.519,10.596,4.702,5.084,-1.878
658882.0,-2.31,-6.974,5.519,9.189,-7.878,2.206,2.206
658934.0,-2.387,-7.494,6.218,10.026,4.901,1.885,1.115
658986.0,-2.294,-7.369,6.151,9.869,-0.748,4.382,1.267
659038.0,-2.318,-7.051,5.885,9.472,-1.069,0.939,-0.229
659090.0,-2.401,-7.64,6.208,10.133,6.534,3.397,2.16
659142.0,-2.241,-7.116,5.823,9.463,-3.878,2.71,2.664
659194.0,-2.502,-7.24,6.021,9.743,-0.252,7.588,2.137
659246.0,-2.361,-7.441,6.179,9.956,5.542,0.244,7.519
659298.0,-2.049,-7.4,5.873,9.667,-0.069,10.282,1.229
659350.0,-2.77,-6.998,6.852,10.178,8.809,2.794,0.252
659402.0,-2.435,-6.744,6.191,9.474,3.74,1.534,3.237
659454.0,-2.476,-7.97,6.694,10.699,9.519,0.794,0.137
659506.0,-2.693,-6.895,6.548,9.883,4.557,2.046,0.061
659558.0,-2.447,-7.19,6.34,9.893,5.29,-0.221,2.206
659610.0,-2.48,-7.298,6.608,10.152,5.45,2.328,-3.344
659662.0,-2.509,-6.677,6.452,9.619,2.58,1.344,-1.924
659714.0,-2.272,-6.984,6.357,9.713,0.779,1.87,1.336
659766.0,-2.176,-7.175,6.551,9.957,2.931,3.374,-1.344
659818.0,-2.277,-6.886,6.986,10.07,-0.542,6.634,-3.473
659870.0,-2.236,-6.608,6.809,9.748,7.985,-0.458,-1.939
659922.0,-2.339,-6.742,6.84,9.885,0.443,2.931,0.55
659974.0,-2.296,-6.699,6.752,9.784,5.832,-1.992,2.794
660026.0,-2.174,-7.168,6.402,9.854,2.573,1.015,4.763
660078.0,-2.078,-7.101,6.706,9.986,-2.046,6.832,-0.634
660130.0,-2.356,-6.838,7.041,10.094,-2.969,6.053,-3.901
660182.0,-2.361,-6.445,6.754,9.63,0.107,0.809,-1.115
660234.0,-2.253,-6.737,6.941,9.932,1.107,1.275,-1.313
660286.0,-2.059,-6.589,6.685,9.609,0.198,2.611,-0.763
660338.0,-2.131,-6.694,6.819,9.79,3.649,4.649,-0.901
660390.0,-2.133,-6.376,6.869,9.612,0.061,4.069,0.847
660442.0,-2.169,-6.682,7.034,9.942,2.618,0.618,0.71
660494.0,-2.004,-6.68,6.831,9.762,-0.092,-0.794,3.855
660551.0,-2.126,-6.651,6.989,9.879,1.924,2.573,-1.008
660603.0,-2.045,-6.855,7.027,10.027,-1.466,5.275,-1.13
660655.0,-2.16,-6.404,7.063,9.776,1.832,3.191,-1.435
660707.0,-2.047,-6.424,7.142,9.821,-0.534,1.977,0.588
660759.0,-2.03,-6.364,7.128,9.768,0.626,2.046,1.42
