ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
2.358,1.733,9.708,-3.008,5.832,3.725,dislike,4
2.203,1.755,9.538,-4.992,3.634,0.076,dislike,4
2.181,1.853,9.369,-1.786,0.595,1.092,dislike,4
2.136,1.896,9.345,-4.29,4.107,-1.412,dislike,4
2.294,1.935,9.299,-6.718,5.809,-2.313,dislike,4
2.155,2.15,9.538,-1.87,2.351,-1.527,dislike,4
2.069,2.203,9.309,-2.298,1.084,-0.359,dislike,4
2.552,1.762,9.093,5.679,-2.023,4.603,dislike,4
2.516,1.877,9.143,-4.527,8.405,-0.733,dislike,4
2.394,1.975,9.392,-0.809,3.756,0.481,dislike,4
2.186,1.623,9.414,-0.313,5.656,-0.267,dislike,4
2.296,1.923,9.4,-0.641,6.847,-0.527,dislike,4
2.267,1.659,9.479,-6.015,8.542,1.573,dislike,4
2.126,1.477,9.646,-1.947,5.473,-0.107,dislike,4
2.186,1.482,9.682,-5.305,6.977,-0.855,dislike,4
2.274,1.432,9.632,-4.382,3.076,-0.992,dislike,4
2.298,1.571,9.273,-2.779,4.611,-3.55,dislike,4
2.236,1.676,9.206,-3.802,7.779,-3.779,dislike,4
2.248,1.949,9.531,-4.26,6.214,-2.435,dislike,4
2.167,1.882,9.629,0.313,4.046,-0.878,dislike,4
2.241,1.815,9.299,0.115,4.122,0.084,dislike,4
2.239,1.839,9.44,-1.008,4.565,-0.115,dislike,4
2.253,1.853,9.459,-2.076,3.504,1.977,dislike,4
2.313,1.683,9.51,-1.382,5.786,1.427,dislike,4
2.121,1.923,9.766,-3.008,4.809,2.489,dislike,4
2.291,1.561,9.431,0.069,4.0,1.794,dislike,4
2.219,1.621,9.445,-1.435,4.672,1.687,dislike,4
2.174,1.633,9.373,-1.435,5.137,-0.26,dislike,4
2.107,1.738,9.407,0.954,3.908,-1.351,dislike,4
2.188,1.709,9.498,-3.771,5.817,-0.168,dislike,4
2.205,1.719,9.459,-1.748,3.947,0.313,dislike,4
2.124,1.796,9.383,-2.046,4.687,0.603,dislike,4
2.16,1.578,9.167,-1.534,5.244,0.443,dislike,4
2.217,1.551,9.428,-0.664,2.824,0.55,dislike,4
2.222,1.824,9.548,-1.496,3.702,0.794,dislike,4
1.707,1.887,10.24,-11.427,-11.855,-4.443,dislike,4
2.954,1.784,9.845,-8.519,-23.656,5.374,dislike,4
3.457,1.48,9.706,-3.687,21.542,-18.397,dislike,4
2.703,2.155,10.053,-42.756,14.16,6.328,dislike,4
2.274,2.174,8.684,-72.771,68.496,-16.42,dislike,4
1.142,1.492,10.216,-143.595,53.046,23.832,dislike,4
1.618,-1.132,9.673,-137.237,79.641,6.504,dislike,4
-0.405,-2.44,9.27,-164.55,100.733,0.42,dislike,4
-0.63,-3.151,8.14,-174.473,93.198,13.397,dislike,4
-2.325,-4.877,8.631,-143.13,74.237,12.496,dislike,4
-1.99,-7.041,7.585,-107.008,53.763,5.687,dislike,4
-1.891,-5.703,5.631,-74.794,39.618,6.427,dislike,4
-2.119,-7.08,5.976,-44.122,22.527,11.069,dislike,4
-2.614,-6.495,5.818,-21.382,10.26,-0.931,dislike,4
-2.799,-7.396,6.503,-10.679,5.931,3.176,dislike,4
-2.397,-7.822,6.182,-20.908,22.183,-3.092,dislike,4
-2.028,-6.151,5.143,-0.458,-1.817,1.908,dislike,4
-2.44,-8.224,6.656,15.42,1.008,-0.305,dislike,4
-2.088,-7.106,5.562,2.092,4.099,3.206,dislike,4
-2.404,-7.638,6.206,9.321,1.763,1.298,dislike,4
-2.279,-7.274,6.304,-3.885,9.87,4.252,dislike,4
-2.14,-6.941,5.612,-0.557,-4.038,7.626,dislike,4
-2.646,-8.581,7.23,9.099,2.748,1.771,dislike,4
-2.21,-7.42,6.031,-3.878,3.901,3.962,dislike,4
-2.425,-7.029,5.847,1.634,0.565,2.244,dislike,4
-2.543,-7.915,6.744,2.954,6.145,-0.351,dislike,4
-2.073,-7.187,5.983,0.176,4.221,1.901,dislike,4
-2.602,-7.005,6.651,2.969,3.244,-0.305,dislike,4
-2.109,-7.365,6.086,-7.557,5.542,5.878,dislike,4
-2.394,-7.807,6.292,4.977,2.038,1.031,dislike,4
-2.646,-7.736,6.627,-1.053,1.389,1.557,dislike,4
-2.466,-7.508,6.115,-2.038,3.397,1.298,dislike,4
-2.243,-7.111,5.756,3.679,2.977,-1.412,dislike,4
-2.444,-7.482,6.507,2.328,6.786,-0.13,dislike,4
-2.1,-7.084,5.768,-3.656,5.015,-0.786,dislike,4
-2.356,-7.345,6.625,2.595,4.748,0.771,dislike,4
-2.179,-7.202,6.306,2.695,3.466,1.275,dislike,4
-2.437,-7.367,6.689,8.397,4.046,0.992,dislike,4
-2.301,-6.886,6.237,1.115,0.878,2.649,dislike,4
-2.296,-7.183,6.596,2.878,0.664,2.313,dislike,4
-2.301,-6.778,6.299,-2.0,3.702,-0.076,dislike,4
-2.385,-7.314,6.503,0.748,1.473,2.252,dislike,4
-2.313,-7.281,6.503,0.702,5.237,-2.252,dislike,4
-2.435,-6.589,6.563,1.275,4.198,-0.908,dislike,4
-2.322,-6.941,6.57,3.214,1.863,0.924,dislike,4
-2.279,-6.871,6.527,6.573,2.328,1.595,dislike,4
-2.234,-7.029,6.452,7.718,3.985,1.466,dislike,4
-2.31,-7.01,6.754,4.26,3.802,1.351,dislike,4
-2.32,-6.958,6.555,-5.023,5.992,2.573,dislike,4
-2.286,-7.053,6.563,0.779,3.962,1.527,dislike,4
-2.112,-7.195,6.656,-4.298,10.214,-1.458,dislike,4
-2.473,-7.063,6.998,2.641,4.351,-3.809,dislike,4
-2.389,-6.924,6.807,6.511,4.519,-0.267,dislike,4
-2.298,-6.852,6.869,5.397,0.855,0.031,dislike,4
-2.203,-7.171,6.761,4.206,3.718,-0.672,dislike,4
-2.239,-6.469,6.601,9.84,3.832,-3.641,dislike,4
-2.195,-6.732,6.998,-3.26,6.183,0.794,dislike,4
-2.375,-6.507,6.864,-5.458,5.229,5.42,dislike,4
-2.239,-6.416,6.766,-12.26,4.626,0.87,dislike,4
-2.234,-6.709,6.869,0.366,4.481,2.473,dislike,4
-2.186,-7.02,6.673,-6.771,7.336,1.122,dislike,4
-2.274,-6.981,6.823,-3.947,6.252,0.008,dislike,4
-2.409,-7.053,7.061,-3.137,6.939,0.191,dislike,4
-2.289,-6.682,6.627,0.321,1.855,-0.031,dislike,4
-2.31,-6.886,6.788,6.412,3.748,2.328,dislike,4
-2.15,-6.761,6.625,-3.557,5.603,2.069,dislike,4
-2.38,-6.955,6.895,0.298,2.412,0.672,dislike,4
-2.198,-6.78,6.608,-2.046,7.405,2.313,dislike,4
-2.399,-6.699,6.847,0.221,6.191,1.786,dislike,4
-2.342,-6.67,6.821,-0.992,4.16,1.473,dislike,4
-2.373,-6.661,6.852,-3.573,5.702,1.221,dislike,4
-2.26,-6.859,6.673,2.473,1.298,1.305,dislike,4
-2.327,-6.709,6.754,-2.855,7.0,0.71,dislike,4
-2.399,-6.998,7.163,3.771,2.977,-0.985,dislike,4
-2.251,-6.527,6.883,0.947,3.366,-0.763,dislike,4
-2.274,-6.632,6.819,-0.832,1.885,1.267,dislike,4
-2.308,-6.555,6.888,2.076,2.771,-0.26,dislike,4
-2.193,-6.644,6.828,1.084,2.71,1.626,dislike,4
-2.172,-6.596,6.843,-0.046,5.565,0.771,dislike,4
-2.337,-6.953,7.099,-1.565,4.611,1.58,dislike,4
-2.267,-6.349,6.677,-5.641,6.069,2.13,dislike,4
-2.224,-6.998,6.881,-2.183,3.786,0.855,dislike,4
-2.294,-6.847,6.981,1.718,3.634,0.023,dislike,4
-2.387,-6.74,6.929,-4.924,6.122,-0.649,dislike,4
-2.279,-6.63,6.888,0.58,2.588,-0.618,dislike,4
-2.224,-6.555,6.833,-0.42,4.092,0.954,dislike,4
-2.184,-7.068,6.919,-3.45,4.695,0.076,dislike,4
-2.308,-6.582,6.888,-1.023,4.015,-0.527,dislike,4
-2.222,-6.883,6.898,-0.794,5.321,0.893,dislike,4
-2.351,-6.855,6.974,-1.053,2.931,0.237,dislike,4
-2.109,-6.486,6.603,-1.084,6.672,0.351,dislike,4
-2.332,-6.979,7.185,1.008,2.878,1.466,dislike,4
-2.21,-6.792,7.001,-1.42,6.275,-1.702,dislike,4
-2.234,-6.46,6.819,3.641,2.229,0.634,dislike,4
-2.222,-6.646,7.056,1.008,4.107,0.947,dislike,4
-2.198,-6.402,6.823,-2.573,4.328,0.74,dislike,4
-2.289,-6.335,6.979,1.351,3.771,-0.244,dislike,4
-2.184,-6.603,7.089,1.588,4.244,1.16,dislike,4
-2.32,-6.749,7.197,-0.015,3.298,1.626,dislike,4
-2.169,-6.357,6.996,-2.023,4.16,-0.359,dislike,4
-2.04,-6.737,6.919,1.824,2.824,-1.565,dislike,4
-2.241,-6.414,7.027,-2.031,6.084,-1.252,dislike,4
-2.176,-6.589,7.032,1.702,3.344,-0.794,dislike,4
-2.253,-6.29,7.065,2.679,4.13,-0.893,dislike,4
-2.006,-6.864,7.053,2.74,3.718,-0.626,dislike,4
-2.272,-6.223,7.199,1.847,3.511,0.817,dislike,4
-2.207,-6.464,7.113,-2.695,2.328,3.344,dislike,4
-2.114,-6.649,7.113,3.939,1.748,1.893,dislike,4
-2.064,-6.433,7.039,-0.168,5.542,-0.466,dislike,4
-2.136,-6.701,7.348,0.679,4.046,0.954,dislike,4
-2.27,-6.428,7.293,-2.489,2.595,-0.481,dislike,4
-2.157,-6.244,7.072,-1.313,4.008,0.305,dislike,4
-2.047,-6.462,7.156,4.046,4.794,-0.595,dislike,4
-2.184,-5.763,7.29,-3.168,6.328,2.733,dislike,4
-1.978,-6.792,7.424,4.939,1.008,2.58,dislike,4
-1.963,-6.275,6.934,-1.267,2.687,2.344,dislike,4
-2.133,-6.529,7.195,0.504,4.992,2.252,dislike,4
-2.136,-6.505,7.101,0.092,4.916,0.145,dislike,4
-2.069,-6.697,7.104,4.885,3.687,-0.229,dislike,4
-2.152,-6.199,7.18,-1.908,5.359,-1.397,dislike,4
