ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-3.299,-1.805,9.51,4.802,6.611,2.962,like,5
-3.048,-2.016,9.397,10.649,10.351,7.008,like,5
-3.218,-1.618,9.859,11.26,8.344,8.756,like,5
-3.096,-2.021,9.644,-0.901,3.115,0.763,like,5
-3.505,-1.465,9.632,13.214,3.473,6.412,like,5
-3.168,-1.633,9.529,-0.84,4.756,-1.099,like,5
-3.421,-1.504,9.725,16.015,6.855,3.817,like,5
-3.543,-1.073,9.957,-9.527,2.779,-5.038,like,5
-3.397,-1.298,9.708,7.008,4.26,-0.153,like,5
-3.689,-1.283,9.706,-11.0,1.573,-3.634,like,5
-3.431,-1.853,9.452,-0.74,3.466,-0.282,like,5
-3.749,-1.662,9.744,5.656,7.618,1.374,like,5
-3.907,-1.487,9.735,-1.779,-0.924,-2.626,like,5
-3.591,-1.678,9.38,4.71,-3.748,-0.779,like,5
-3.44,-1.518,9.318,8.802,0.962,3.481,like,5
-3.496,-1.336,9.55,-4.725,-1.015,-0.336,like,5
-3.388,-1.501,9.713,1.45,5.084,4.214,like,5
-3.63,-1.628,9.905,-4.527,0.313,0.779,like,5
-3.622,-1.628,9.562,0.855,-0.824,1.351,like,5
-3.57,-1.776,9.462,0.618,1.26,-0.687,like,5
-3.816,-1.554,9.637,-0.626,0.458,-2.725,like,5
-3.606,-1.714,9.548,-2.992,0.092,-1.87,like,5
-3.761,-1.477,9.61,-0.969,2.305,-1.893,like,5
-3.685,-1.592,9.613,-3.298,2.847,-1.137,like,5
-3.728,-1.681,9.708,-3.405,3.237,-0.87,like,5
-3.677,-1.583,9.553,-2.458,1.153,-1.435,like,5
-3.634,-1.441,9.582,1.534,-0.397,0.107,like,5
-3.587,-1.549,9.589,0.702,-1.931,-0.191,like,5
-3.666,-1.523,9.61,0.779,0.687,0.771,like,5
-3.766,-1.647,9.728,8.496,-13.71,1.489,like,5
-3.373,-1.578,9.495,5.214,-8.397,3.046,like,5
-2.461,-1.403,8.957,35.626,-13.824,8.191,like,5
-3.443,-0.809,9.981,47.076,-4.496,12.13,like,5
-3.026,-0.634,9.436,69.038,-9.779,12.29,like,5
-3.311,0.127,9.596,80.855,-9.786,13.328,like,5
-2.902,0.924,9.594,90.298,-21.527,13.664,like,5
-3.1,1.451,9.361,78.42,-26.267,12.443,like,5
-2.641,1.867,8.854,89.099,-38.076,13.313,like,5
-2.037,3.443,8.873,61.863,-31.74,11.328,like,5
-1.441,2.89,8.21,95.473,-44.794,15.183,like,5
-1.925,4.678,7.872,87.504,-24.84,7.527,like,5
-1.109,6.129,7.271,80.939,-33.328,17.954,like,5
-0.929,5.42,6.883,106.916,-20.893,20.115,like,5
-0.141,6.448,6.203,82.695,-22.656,17.985,like,5
-0.567,7.001,5.732,148.55,-19.092,27.061,like,5
0.089,7.211,4.233,108.916,-0.015,19.13,like,5
0.364,8.011,3.189,103.702,4.351,22.45,like,5
-0.419,7.987,3.232,88.344,19.046,6.817,like,5
0.654,8.016,2.416,67.962,20.794,13.412,like,5
-0.108,8.042,1.81,59.672,23.061,12.038,like,5
0.426,8.954,1.681,41.832,23.664,9.595,like,5
0.486,7.389,0.654,27.046,15.969,8.588,like,5
-0.168,9.369,1.355,31.29,10.595,9.481,like,5
0.352,7.154,0.117,47.183,11.779,4.794,like,5
0.239,8.198,0.385,20.947,2.519,9.282,like,5
0.503,7.769,-0.129,26.229,0.237,10.557,like,5
0.642,8.037,-0.215,25.435,-4.198,12.031,like,5
0.711,7.367,-0.417,5.595,-4.427,8.87,like,5
1.03,7.585,-0.634,-5.916,-4.252,0.893,like,5
0.893,8.253,-0.424,-6.015,-1.664,-3.443,like,5
0.675,8.095,-0.292,-4.924,0.672,-2.252,like,5
0.778,8.37,-0.225,-8.115,-1.893,-0.122,like,5
0.673,8.131,-0.362,2.733,0.145,-0.13,like,5
0.613,8.006,-0.22,-7.237,-2.382,-0.977,like,5
0.618,8.296,-0.127,-0.901,0.443,-3.084,like,5
0.632,8.423,-0.053,-11.069,-0.389,-1.87,like,5
0.594,8.475,0.065,-0.076,-0.626,-0.504,like,5
0.728,8.152,-0.244,-4.794,-2.031,-0.252,like,5
0.486,7.769,-0.144,-1.489,-0.802,-0.779,like,5
0.512,8.373,-0.06,-3.649,-1.573,-1.237,like,5
0.512,8.133,-0.093,0.802,-0.092,-1.702,like,5
0.563,8.207,-0.007,-4.076,0.176,-0.855,like,5
0.62,8.183,-0.079,-4.595,0.634,-0.725,like,5
0.587,8.291,-0.048,-3.611,0.359,-0.542,like,5
0.577,8.09,-0.079,-1.481,0.069,0.847,like,5
0.512,8.231,0.067,-0.321,1.153,0.55,like,5
0.62,8.133,0.091,-3.519,0.855,1.191,like,5
0.565,8.126,0.177,-2.031,0.817,0.504,like,5
0.503,8.054,0.084,-0.931,-0.634,-0.053,like,5
0.438,8.033,0.113,-0.092,0.008,-0.466,like,5
0.546,8.296,0.175,-1.443,1.794,-0.611,like,5
0.481,8.138,0.187,-3.397,-1.267,0.229,like,5
0.548,8.243,0.259,-2.374,1.069,-1.206,like,5
0.522,8.085,0.127,-2.382,-1.634,-0.252,like,5
0.565,8.27,0.223,-0.489,0.191,0.084,like,5
0.481,8.337,0.182,-1.473,-0.733,0.122,like,5
0.438,8.097,0.316,-2.45,-0.557,0.878,like,5
0.52,8.262,0.225,-4.634,-0.382,-1.031,like,5
0.453,8.004,0.163,-7.832,1.359,-1.405,like,5
0.402,8.332,0.438,-8.29,1.962,-1.061,like,5
0.357,8.284,0.548,-6.099,0.679,0.305,like,5
0.381,8.056,0.522,-0.779,-0.382,0.115,like,5
0.417,8.274,0.431,-1.489,-0.206,0.832,like,5
0.412,8.181,0.448,0.45,2.351,-1.153,like,5
0.433,8.25,0.608,-1.855,3.672,-0.71,like,5
0.472,8.298,0.632,-1.344,0.153,1.389,like,5
0.457,8.155,0.455,-1.267,1.473,-0.16,like,5
0.433,8.272,0.615,-1.435,-0.26,0.527,like,5
0.515,8.088,0.603,0.725,0.779,0.489,like,5
0.395,8.162,0.601,-2.214,-0.458,0.29,like,5
0.376,8.236,0.591,1.267,0.13,0.55,like,5
0.397,8.243,0.469,-0.695,0.206,0.695,like,5
0.299,8.207,0.69,0.618,0.046,0.473,like,5
0.414,8.277,0.532,-0.443,-0.687,0.939,like,5
0.321,8.193,0.637,-0.115,0.252,0.267,like,5
0.433,8.205,0.582,0.351,-1.557,1.16,like,5
0.407,8.08,0.445,-1.397,-0.053,-0.382,like,5
0.385,8.248,0.558,0.145,-1.031,-0.168,like,5
0.441,8.236,0.512,-0.45,1.137,-0.435,like,5
0.448,8.212,0.589,1.351,-0.71,1.374,like,5
0.278,8.112,0.603,-0.733,0.191,0.733,like,5
0.464,8.126,0.596,-0.015,-0.855,0.008,like,5
0.261,8.303,0.668,-0.214,-0.71,-0.023,like,5
0.412,8.265,0.546,-0.267,-0.435,0.282,like,5
0.409,8.329,0.563,-0.092,0.969,-0.351,like,5
0.417,8.176,0.589,-1.641,-0.405,0.763,like,5
0.362,8.193,0.551,1.183,0.893,0.122,like,5
0.373,8.27,0.594,-1.069,0.046,0.542,like,5
0.333,8.27,0.733,0.176,0.855,0.031,like,5
0.388,8.155,0.644,-0.656,0.847,0.496,like,5
0.29,8.045,0.639,-0.366,1.977,-0.519,like,5
0.333,8.231,0.646,0.649,-0.634,-0.443,like,5
0.261,8.212,0.637,0.153,0.015,-0.412,like,5
0.383,8.313,0.524,-0.237,-1.481,0.061,like,5
0.263,8.203,0.539,-0.84,0.786,-0.122,like,5
0.311,8.045,0.668,-1.954,-0.901,0.069,like,5
0.306,8.282,0.637,-1.458,0.824,-0.145,like,5
0.292,8.092,0.704,-0.053,0.366,0.412,like,5
0.285,8.109,0.5,1.435,0.718,0.656,like,5
0.211,8.255,0.79,-4.305,-0.046,-0.374,like,5
0.335,8.389,0.73,-0.267,-0.534,0.008,like,5
0.333,8.356,0.721,-0.611,0.145,0.725,like,5
0.232,8.195,0.79,1.137,0.221,1.374,like,5
0.299,8.205,0.843,-1.733,0.267,0.473,like,5
0.299,8.059,0.68,-0.672,-0.176,-0.038,like,5
0.201,8.222,0.706,-1.756,1.389,-2.145,like,5
0.256,8.205,0.673,0.611,-1.053,-0.244,like,5
0.227,8.26,0.67,1.275,-0.649,0.954,like,5
0.189,8.186,0.694,1.954,-0.244,0.397,like,5
0.251,8.286,0.761,0.351,1.427,0.084,like,5
0.383,8.056,0.807,-1.916,1.267,-1.985,like,5
0.278,8.418,0.95,-2.931,2.366,-1.328,like,5
0.223,8.253,0.857,-0.695,-1.397,1.458,like,5
0.189,8.135,0.778,0.504,-0.427,1.702,like,5
0.158,8.088,0.613,0.634,-2.374,0.076,like,5
0.206,8.296,0.589,-0.969,0.504,-1.427,like,5
0.342,8.191,0.682,-0.641,-1.237,-0.344,like,5
0.192,8.212,0.639,-0.397,0.992,-1.26,like,5
0.218,8.222,0.666,-1.122,0.031,-0.664,like,5
0.151,8.193,0.737,0.29,-0.634,-0.878,like,5
0.115,8.363,0.84,0.221,0.496,0.031,like,5
0.141,8.346,0.974,-4.0,-0.733,1.046,like,5
0.215,8.028,0.919,-0.626,0.122,0.145,like,5
0.227,8.171,0.773,-0.397,-1.931,0.122,like,5
0.156,8.188,0.802,0.115,-0.824,0.58,like,5
0.247,8.116,0.778,0.328,-0.664,1.0,like,5
0.218,8.203,0.769,-0.168,-0.779,-0.221,like,5
0.177,8.353,0.615,1.099,-0.626,0.466,like,5
0.168,8.121,0.85,-0.328,0.015,0.817,like,5
0.146,8.236,0.929,-0.244,-0.145,0.206,like,5
0.177,8.104,0.828,-0.695,-1.45,-0.58,like,5
0.175,8.255,0.702,0.183,-0.748,0.664,like,5
0.204,8.25,0.749,0.183,0.282,1.366,like,5
0.184,8.011,0.795,0.336,-0.053,0.305,like,5
0.218,8.301,0.713,0.221,1.023,-0.954,like,5
0.182,8.361,0.86,-1.885,1.664,0.779,like,5
