t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
471470.0,-1.48,-1.252,9.859,10.048,3.214,7.588,7.504
471522.0,-1.638,-1.037,9.931,10.119,1.183,4.252,5.573
471574.0,-2.073,-1.305,10.075,10.368,4.725,2.702,7.588
471626.0,-1.468,-0.941,9.536,9.694,4.634,6.519,10.275
471678.0,-1.595,-1.049,9.984,10.165,15.328,7.863,8.664
471730.0,-1.697,-0.541,9.574,9.739,17.244,19.824,11.084
471782.0,-1.334,-0.053,9.294,9.39,14.649,40.115,17.069
471834.0,-2.739,-0.204,10.613,10.963,1.542,39.122,14.779
471886.0,-2.734,-0.611,10.235,10.612,-9.389,42.099,10.969
471938.0,-3.045,-1.35,9.776,10.328,-4.244,38.641,4.924
471990.0,-3.189,-1.377,9.776,10.374,-17.992,35.672,-6.168
472042.0,-3.977,-1.566,9.644,10.548,-15.824,18.374,-12.962
472094.0,-3.792,-1.312,9.369,10.192,-10.565,-1.824,-13.58
472147.0,-3.859,-1.123,9.172,10.014,-12.389,-4.969,-17.351
472199.0,-3.788,-1.231,8.973,9.818,4.336,-9.115,-13.634
472251.0,-3.642,-0.783,9.163,9.891,8.603,-8.595,-13.244
472303.0,-3.268,-1.027,9.457,10.058,2.359,4.641,-7.16
472355.0,-3.45,-0.97,10.015,10.637,6.985,4.809,-2.687
472407.0,-3.227,-1.46,9.665,10.294,3.763,0.565,0.229
472459.0,-3.254,-1.312,9.749,10.361,1.26,1.298,1.969
472511.0,-3.079,-1.597,9.787,10.384,-0.702,0.069,3.473
472563.0,-3.591,-1.489,9.895,10.632,1.794,1.359,-0.198
472615.0,-3.759,-1.329,9.701,10.489,2.473,-3.763,-1.832
472667.0,-3.579,-1.001,9.512,10.212,2.954,-1.947,-0.863
472719.0,-3.522,-0.955,9.646,10.313,3.214,-0.939,-0.832
472772.0,-3.51,-1.025,9.771,10.432,0.16,-1.321,-0.977
472824.0,-3.431,-1.013,9.732,10.369,1.794,0.863,-0.313
472876.0,-3.407,-1.068,9.641,10.281,1.641,-0.336,2.191
472928.0,-3.385,-1.022,9.584,10.216,1.29,2.611,2.427
472985.0,-3.527,-1.104,9.68,10.361,0.061,1.45,1.351
473037.0,-3.563,-1.051,9.807,10.487,-1.298,-2.908,-1.344
473089.0,-3.51,-1.106,9.677,10.353,2.206,-1.336,-0.893
473141.0,-3.424,-0.814,9.601,10.225,-1.145,-3.893,-0.985
473194.0,-3.357,-0.8,9.495,10.103,8.847,-12.351,1.679
473246.0,-3.462,-0.898,9.558,10.205,22.427,-23.649,3.489
473298.0,-2.875,-1.654,9.074,9.661,46.817,-40.779,1.733
473350.0,-2.993,0.532,9.948,10.402,66.519,-45.076,20.481
473402.0,-1.918,0.117,9.682,9.871,41.656,-58.099,19.924
473454.0,-1.099,0.848,9.716,9.814,98.664,-22.275,19.542
473506.0,-1.077,1.659,8.906,9.123,109.366,-23.855,16.595
473558.0,-1.791,3.175,9.328,10.015,109.916,-31.405,14.069
473610.0,-0.33,2.969,7.745,8.301,172.542,-23.42,13.626
473662.0,-0.716,5.023,7.223,8.827,155.405,-40.336,30.496
473714.0,0.101,6.17,5.361,8.174,195.534,-6.046,23.901
473766.0,0.115,7.673,4.247,8.771,147.092,-7.038,22.519
473818.0,0.086,7.944,3.359,8.625,137.305,24.511,21.931
473870.0,0.539,8.399,2.574,8.801,126.794,26.061,21.969
473922.0,0.304,8.377,1.793,8.572,99.649,21.511,23.565
473974.0,0.804,8.712,1.111,8.82,75.115,10.008,26.885
474026.0,0.627,8.744,0.354,8.773,101.885,1.954,19.634
474078.0,1.199,7.343,-1.02,7.51,41.511,2.969,18.298
474130.0,1.31,8.2,-0.821,8.345,24.198,0.466,12.947
474182.0,0.857,6.031,-1.669,6.316,41.305,-1.389,11.473
474234.0,0.984,7.736,-0.788,7.838,-9.237,-11.626,9.863
474286.0,1.255,6.464,-1.688,6.798,17.527,-7.244,-4.756
474338.0,1.463,8.428,-1.654,8.712,-21.298,-5.061,-6.176
474391.0,1.305,8.844,-1.384,9.046,9.504,-1.855,-6.87
474443.0,1.358,8.681,-1.726,8.955,-11.0,0.122,-0.809
474495.0,1.257,8.011,-1.549,8.256,3.031,0.641,2.687
474547.0,1.109,7.915,-1.29,8.096,-10.557,2.595,0.328
474599.0,1.073,7.796,-1.283,7.973,6.252,0.985,-0.664
474651.0,1.19,7.98,-1.401,8.189,-7.542,1.496,-3.229
474703.0,1.032,8.073,-1.274,8.238,0.626,1.382,-2.031
474755.0,1.192,8.174,-1.279,8.359,-2.954,0.679,-2.015
474807.0,1.144,8.016,-1.314,8.203,0.565,0.084,-0.229
474859.0,1.199,8.203,-1.29,8.39,-2.893,-1.321,-0.748
474912.0,1.037,8.26,-1.264,8.42,2.298,1.458,-0.046
474964.0,0.986,8.035,-1.267,8.194,-1.733,-0.168,0.58
475021.0,1.154,8.121,-1.302,8.305,-0.206,2.023,0.29
475073.0,1.104,7.97,-1.13,8.125,-1.473,-1.557,1.863
475125.0,1.03,7.951,-1.307,8.123,2.153,-0.878,1.511
475177.0,1.015,7.975,-1.35,8.152,-0.901,-1.298,0.336
475229.0,1.104,7.98,-1.348,8.168,-0.313,1.29,0.702
475281.0,1.073,7.884,-1.338,8.069,-1.672,1.389,0.191
475333.0,1.034,7.922,-1.192,8.078,-0.519,-1.626,1.55
475385.0,1.061,8.114,-1.18,8.268,0.206,-0.412,0.031
475437.0,1.073,8.011,-1.271,8.182,-0.74,0.053,0.023
475489.0,1.075,8.059,-1.281,8.231,-1.565,-0.931,0.168
475541.0,1.07,7.91,-1.437,8.111,-3.595,0.275,0.061
475593.0,0.96,8.052,-1.19,8.196,0.122,-0.13,0.618
475645.0,1.006,8.128,-1.252,8.285,-0.641,1.458,-0.137
