t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
544711.0,-0.402,-0.227,9.871,9.882,-1.802,5.466,0.824
544764.0,-0.292,-0.232,9.831,9.838,-2.229,4.893,0.397
544816.0,-0.431,-0.139,9.938,9.949,-0.672,5.069,-0.389
544868.0,-0.388,-0.165,9.95,9.959,-2.267,5.023,0.733
544920.0,-0.417,-0.16,9.924,9.934,-1.191,4.718,0.977
544972.0,-0.438,-0.146,9.881,9.892,-1.511,4.885,1.802
545024.0,-0.426,-0.244,9.843,9.855,-1.42,4.344,1.588
545076.0,-0.328,-0.275,9.895,9.904,-0.771,4.489,0.832
545128.0,-0.409,-0.318,9.905,9.918,-1.481,4.176,0.87
545180.0,-0.417,-0.306,9.871,9.885,-1.435,2.885,0.374
545232.0,-0.431,-0.294,9.811,9.825,-2.832,3.206,1.053
545284.0,-0.373,-0.263,9.771,9.781,0.099,5.687,-0.359
545336.0,-0.46,-0.232,9.754,9.768,-1.45,3.557,0.626
545388.0,-0.223,-0.285,9.869,9.876,-1.29,5.237,0.145
545440.0,-0.362,-0.148,9.936,9.944,-2.305,5.16,0.008
545492.0,-0.35,-0.33,9.922,9.933,1.55,2.069,0.344
545544.0,-0.338,-0.342,9.816,9.828,-3.565,5.031,0.557
545596.0,-0.347,-0.201,9.931,9.939,-0.519,4.435,0.588
545648.0,-0.381,-0.213,9.787,9.797,-0.382,4.908,0.214
545700.0,-0.385,-0.302,9.862,9.874,-0.947,5.481,0.069
545752.0,-0.378,-0.254,10.008,10.018,-3.321,4.817,1.076
545804.0,-0.306,-0.23,9.783,9.79,-0.176,3.344,1.183
545856.0,-0.287,-0.316,10.027,10.036,-1.87,3.13,0.076
545908.0,-0.532,-0.136,9.814,9.829,-0.351,0.725,0.145
545960.0,-0.268,-0.311,9.862,9.87,2.0,6.084,0.473
546012.0,-0.239,-0.352,9.742,9.751,-2.389,2.031,0.366
546064.0,-0.366,-0.084,9.577,9.584,-6.351,9.084,0.824
546116.0,-0.302,-0.314,9.708,9.718,-2.74,3.282,-0.885
546168.0,-0.4,-0.077,9.658,9.667,-3.565,4.687,-0.45
546220.0,-0.524,-0.22,9.792,9.809,-0.061,3.664,2.229
546272.0,-0.453,-0.369,9.711,9.728,1.779,5.366,2.099
546329.0,-0.438,-0.438,9.814,9.833,8.855,0.374,4.183
546381.0,0.237,-1.063,10.427,10.483,50.321,8.351,4.878
546433.0,-0.412,1.166,10.874,10.945,88.298,14.748,-1.931
546485.0,-0.156,0.962,10.817,10.861,133.45,41.695,11.611
546537.0,-0.931,3.067,9.639,10.158,158.382,42.725,-10.153
546589.0,-1.137,4.532,9.263,10.375,145.466,27.931,12.359
546641.0,-2.272,6.285,7.503,10.048,115.244,23.511,20.534
546693.0,0.589,5.018,6.716,8.404,100.954,48.885,32.221
546745.0,-2.016,6.426,5.564,8.736,120.58,130.885,-5.115
546797.0,-3.62,7.405,4.968,9.624,114.137,85.695,-2.115
546849.0,-1.865,7.877,3.766,8.928,73.26,84.718,-33.656
546901.0,-5.193,7.683,4.015,10.105,5.046,59.26,-32.344
