ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-0.115,-0.263,9.946,-3.603,1.611,1.382,like,2
0.012,-0.208,9.936,-2.542,1.672,1.496,like,2
0.057,-0.251,9.852,-2.542,3.115,-0.122,like,2
-0.029,-0.292,9.936,-2.405,2.534,-0.771,like,2
-0.062,-0.34,9.776,-0.962,2.992,-0.885,like,2
-0.022,-0.239,9.78,-2.656,2.763,0.191,like,2
0.005,-0.254,9.735,-2.443,5.588,0.702,like,2
0.0,-0.211,9.778,-0.779,4.382,0.473,like,2
0.019,-0.247,9.708,-3.115,5.611,1.42,like,2
-0.022,-0.306,9.864,-1.053,5.015,1.244,like,2
0.012,-0.314,9.919,-2.145,3.679,2.099,like,2
0.029,-0.309,9.855,-0.947,4.863,0.794,like,2
-0.034,-0.35,9.871,-2.473,4.366,0.55,like,2
-0.043,-0.323,9.95,-0.863,4.473,1.344,like,2
0.113,-0.357,9.771,0.557,5.252,0.519,like,2
0.079,-0.345,9.845,-1.87,4.427,0.466,like,2
-0.017,-0.235,9.957,-0.855,4.603,0.603,like,2
0.091,-0.34,9.795,-0.153,5.252,-0.58,like,2
-0.093,-0.316,9.771,-0.153,3.397,-0.473,like,2
-0.026,-0.316,9.833,-0.336,6.565,-1.511,like,2
-0.029,-0.069,9.821,-1.298,5.916,0.061,like,2
0.093,-0.306,9.967,-0.786,4.504,-0.092,like,2
-0.036,-0.177,9.905,-1.405,3.817,-0.046,like,2
-0.041,-0.266,9.807,0.046,5.863,0.206,like,2
-0.014,-0.189,9.735,-2.099,3.901,1.664,like,2
-0.012,-0.263,9.704,-1.374,5.771,2.16,like,2
-0.045,-0.223,9.893,10.053,-6.16,5.878,like,2
-0.311,-0.4,9.957,17.031,-0.015,7.893,like,2
-0.093,-1.207,10.64,73.221,-19.122,20.153,like,2
0.876,0.484,10.056,118.321,10.084,24.298,like,2
0.479,1.784,9.828,230.031,71.519,28.29,like,2
-0.208,4.798,8.552,186.832,51.397,-0.672,like,2
0.462,4.882,7.372,180.099,73.168,-10.817,like,2
-3.285,7.14,6.304,70.855,92.748,-5.977,like,2
2.289,4.14,4.592,84.786,43.008,-2.046,like,2
-3.038,7.554,4.685,64.595,83.382,-21.626,like,2
-3.29,7.685,4.492,33.321,60.26,-15.382,like,2
-3.089,7.946,5.073,-1.901,23.802,-19.397,like,2
-3.4,7.695,5.25,-13.527,4.015,-8.87,like,2
-3.493,8.145,5.2,-3.55,11.931,-13.771,like,2
-3.381,8.004,5.069,-10.58,-5.298,-2.992,like,2
-3.39,7.738,5.143,-9.496,5.046,-4.405,like,2
-3.354,7.843,5.212,-10.374,-2.702,-0.672,like,2
-3.254,7.513,5.198,-0.267,3.405,-2.038,like,2
-3.299,7.57,5.2,-3.466,0.267,0.015,like,2
-3.4,7.441,5.191,-7.664,2.412,0.985,like,2
-3.187,7.391,5.294,0.29,2.053,0.191,like,2
-3.285,7.542,5.306,-3.13,4.802,-0.733,like,2
-3.16,7.453,5.327,-0.947,4.626,-0.473,like,2
-3.27,7.57,5.341,-5.122,4.153,0.053,like,2
-3.254,7.338,5.387,-0.885,2.496,0.786,like,2
-3.28,7.556,5.365,-5.252,4.351,0.244,like,2
-3.268,7.319,5.363,-1.214,3.183,1.435,like,2
-3.223,7.453,5.298,-3.977,5.641,0.603,like,2
-3.27,7.309,5.346,-4.519,3.649,1.595,like,2
