ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.504,5.816,7.599,-2.847,12.611,2.42,like,1
1.302,5.878,7.726,-2.168,13.176,-0.687,like,1
1.128,5.94,7.867,3.496,2.466,2.679,like,1
1.025,6.333,7.872,-2.473,5.313,-3.756,like,1
1.08,5.823,7.786,-0.855,0.214,-0.336,like,1
1.355,5.665,7.628,-1.863,5.733,-4.443,like,1
1.453,5.981,7.633,-3.863,2.344,-2.542,like,1
1.417,6.148,7.46,-4.336,-0.137,-1.153,like,1
1.413,6.041,7.324,-2.359,3.542,0.908,like,1
1.286,5.971,7.542,-0.511,2.221,0.183,like,1
1.252,5.938,7.733,0.618,6.015,-0.092,like,1
1.216,5.962,7.922,-3.038,5.443,1.252,like,1
1.264,5.854,7.683,-1.198,5.26,0.771,like,1
1.386,5.974,7.714,-2.031,4.305,0.656,like,1
1.348,5.959,7.621,-0.977,3.504,-0.046,like,1
1.374,6.076,7.609,-0.824,1.634,3.58,like,1
1.329,5.875,7.573,-3.038,5.733,0.435,like,1
1.432,5.871,7.578,-1.748,2.687,1.55,like,1
1.42,5.914,7.652,-2.809,3.901,1.198,like,1
1.41,5.983,7.7,-1.916,2.779,1.344,like,1
1.31,5.89,7.621,0.924,0.947,1.031,like,1
1.403,6.266,7.824,-4.45,-3.183,11.313,like,1
1.623,5.447,7.707,-1.511,-1.611,5.336,like,1
1.441,6.127,8.167,5.687,-9.519,12.641,like,1
1.676,6.337,8.564,-19.824,-74.817,50.176,like,1
2.222,5.217,8.394,-17.802,-124.679,67.489,like,1
3.069,2.265,6.366,67.16,-148.298,43.679,like,1
6.1,5.533,3.22,138.511,-183.718,48.771,like,1
6.551,4.35,2.945,149.053,-134.374,15.977,like,1
6.433,6.869,1.085,151.481,-105.519,37.008,like,1
8.011,5.511,0.017,94.45,-102.618,13.725,like,1
6.79,6.737,-0.658,84.511,-84.481,29.313,like,1
7.851,6.139,-2.478,151.351,2.595,-31.756,like,1
9.244,5.392,-2.646,28.397,4.038,6.382,like,1
5.909,8.382,-1.958,-29.443,19.908,19.962,like,1
8.296,5.509,-1.532,4.664,-0.962,5.198,like,1
7.836,6.108,-2.114,-6.26,18.878,1.824,like,1
8.066,5.569,-2.011,12.221,11.969,-2.305,like,1
7.489,5.787,-1.865,-6.214,18.603,1.863,like,1
7.484,6.421,-1.623,-1.496,5.908,5.901,like,1
7.429,5.499,-1.896,-0.397,6.55,-0.137,like,1
7.678,5.938,-1.872,-7.29,5.763,1.305,like,1
7.688,5.693,-1.956,1.046,8.206,-1.344,like,1
7.525,5.59,-1.788,-2.229,2.847,1.962,like,1
7.673,5.981,-1.949,-0.13,9.305,-1.397,like,1
7.678,5.765,-1.721,3.756,6.901,-1.382,like,1
7.652,6.225,-1.676,-5.191,4.198,-0.115,like,1
7.752,5.847,-1.788,0.0,12.435,-2.885,like,1
7.702,5.411,-1.626,-2.481,13.412,-1.145,like,1
7.824,5.507,-1.793,7.275,9.031,-2.008,like,1
7.863,6.081,-1.767,-0.687,4.969,6.107,like,1
7.343,6.534,-1.566,-7.084,17.26,5.511,like,1
7.532,5.574,-1.504,4.107,-1.878,3.023,like,1
7.693,5.887,-1.544,-4.519,5.496,-1.756,like,1
7.726,5.993,-1.681,2.427,8.649,-4.985,like,1
7.827,5.871,-1.422,-1.389,7.939,-1.214,like,1
7.784,5.835,-1.563,-2.573,6.763,1.771,like,1
7.903,5.83,-1.872,-0.74,6.58,2.565,like,1
7.714,5.739,-1.633,-1.855,5.557,4.321,like,1
7.638,5.945,-1.453,-0.908,5.397,3.038,like,1
7.719,5.928,-1.3,0.305,5.0,2.573,like,1
