ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
2.37,4.511,8.308,-1.626,2.71,1.015,like,3
2.274,4.571,8.2,-0.336,6.183,-0.802,like,3
2.397,4.513,8.255,-0.481,4.374,1.588,like,3
2.389,4.501,8.27,-0.74,6.183,-0.084,like,3
2.425,4.657,8.322,-0.969,4.389,0.298,like,3
2.413,4.592,8.586,-0.962,6.061,1.145,like,3
2.428,4.391,8.325,-1.924,3.55,0.435,like,3
2.315,4.717,8.48,-0.176,4.679,-0.84,like,3
2.435,4.532,8.272,-1.198,4.252,1.863,like,3
2.363,4.377,8.31,-0.649,5.863,-0.023,like,3
2.229,4.688,8.341,1.13,4.672,-0.977,like,3
2.339,4.7,8.459,-1.672,3.359,-0.153,like,3
2.375,4.709,8.454,-3.397,3.252,1.244,like,3
2.456,4.611,8.27,0.389,5.053,-0.244,like,3
2.31,4.566,8.523,-4.435,5.664,3.344,like,3
2.456,4.573,8.282,1.473,2.557,-3.473,like,3
2.301,4.678,8.2,-4.779,5.191,3.496,like,3
2.351,4.554,8.356,-1.069,5.542,1.244,like,3
2.344,4.386,8.226,-0.374,3.725,-1.015,like,3
2.399,4.724,8.487,-2.229,6.061,-0.275,like,3
2.437,4.513,8.516,0.069,3.244,-0.45,like,3
2.588,4.535,8.236,0.588,1.916,-1.748,like,3
2.677,4.702,8.674,-3.115,2.84,1.771,like,3
2.461,4.666,8.274,-2.481,0.939,2.977,like,3
2.387,4.41,8.679,2.634,-7.29,0.962,like,3
2.449,4.211,8.329,31.076,-31.275,-6.031,like,3
2.286,4.614,8.224,56.588,-51.122,-15.969,like,3
3.297,5.571,7.436,90.0,-92.618,-32.687,like,3
3.67,6.426,6.175,110.076,-106.87,-40.74,like,3
4.231,7.18,5.286,106.832,-71.725,-31.031,like,3
4.087,7.604,4.525,106.802,-59.351,-25.427,like,3
8.374,-4.654,-1.994,105.168,-44.13,-26.939,like,3
4.185,7.867,2.466,104.756,-56.137,-21.42,like,3
3.436,8.964,1.202,144.13,-63.397,-34.588,like,3
4.35,9.199,-0.63,114.092,-55.885,-14.275,like,3
3.086,8.906,-1.719,80.641,-55.023,0.718,like,3
2.883,8.394,-3.431,144.977,-19.481,-30.786,like,3
3.1,8.377,-3.991,60.542,-21.359,-0.122,like,3
3.124,8.04,-5.085,81.237,-15.405,-18.557,like,3
2.945,8.612,-5.437,54.275,-14.947,-9.313,like,3
2.933,7.678,-6.158,52.542,5.71,-8.191,like,3
2.835,7.891,-6.021,15.42,29.13,-11.916,like,3
2.521,7.252,-5.71,2.496,20.771,-0.985,like,3
3.062,7.721,-5.926,-8.099,16.771,-5.611,like,3
2.842,6.785,-5.179,-8.069,9.893,-4.664,like,3
3.108,8.124,-5.516,-0.626,6.053,-0.176,like,3
3.041,7.657,-5.727,-0.053,0.656,2.718,like,3
2.921,7.743,-5.526,-4.679,4.313,1.519,like,3
2.698,7.204,-5.286,2.511,-3.466,1.427,like,3
2.761,7.654,-5.325,1.45,-3.221,0.542,like,3
2.835,7.539,-5.444,-4.557,-2.397,-0.145,like,3
2.567,7.597,-5.502,0.084,-0.725,-3.29,like,3
2.655,7.578,-5.598,-3.237,1.115,-2.344,like,3
2.622,7.623,-5.588,-1.336,-0.664,-2.031,like,3
2.662,7.719,-5.531,0.092,-2.534,-0.794,like,3
2.701,7.616,-5.76,-2.008,3.817,-3.954,like,3
2.588,7.762,-5.55,-2.962,3.26,-1.305,like,3
2.698,7.999,-5.634,-2.359,2.87,-1.282,like,3
2.591,7.717,-5.624,-1.824,5.183,0.481,like,3
2.605,7.896,-5.514,-3.664,9.489,-0.183,like,3
2.567,7.693,-5.543,-0.473,2.687,1.573,like,3
2.61,7.724,-5.643,-0.885,6.771,-0.939,like,3
2.571,7.719,-5.636,-0.237,4.817,2.046,like,3
2.586,7.523,-5.49,-1.237,6.786,0.511,like,3
2.452,7.616,-5.404,-1.534,5.366,0.916,like,3
2.624,7.8,-5.578,-3.061,7.031,-2.13,like,3
2.655,7.657,-5.641,0.908,4.626,1.237,like,3
2.638,7.815,-5.54,-0.641,8.756,0.824,like,3
2.634,7.628,-5.614,2.344,3.939,0.237,like,3
2.626,7.7,-5.514,-1.42,6.84,1.374,like,3
2.622,7.7,-5.519,0.29,6.725,1.252,like,3
2.655,7.724,-5.483,-1.901,6.092,-0.084,like,3
2.488,7.621,-5.315,-1.58,5.366,-0.061,like,3
2.567,7.87,-5.44,-10.45,4.725,-1.374,like,3
2.648,7.645,-5.464,-2.679,1.115,-0.481,like,3
2.602,7.714,-5.456,-3.496,2.473,-0.214,like,3
2.636,7.807,-5.394,-6.099,1.038,-0.45,like,3
2.387,7.728,-5.401,-3.893,-0.473,-1.58,like,3
2.607,7.695,-5.495,-7.542,2.092,-0.893,like,3
2.404,7.681,-5.416,-7.015,-0.244,1.229,like,3
2.471,7.992,-5.401,-3.145,5.504,-2.702,like,3
2.562,7.942,-5.337,-4.168,2.496,1.313,like,3
2.423,7.822,-5.37,-2.573,5.443,-1.305,like,3
2.425,8.088,-5.193,-7.282,2.939,2.031,like,3
2.449,7.956,-5.368,-3.16,3.824,0.626,like,3
2.468,7.98,-5.239,-3.969,4.511,-0.595,like,3
2.308,7.908,-5.289,-1.29,4.275,-0.618,like,3
2.478,8.035,-5.368,-2.504,5.947,-0.382,like,3
2.401,7.882,-5.227,-2.344,4.656,-0.626,like,3
2.373,7.987,-5.26,-2.13,5.221,-0.679,like,3
2.354,7.887,-5.136,-1.412,2.344,0.435,like,3
2.449,7.966,-5.468,0.229,4.985,-1.313,like,3
2.33,8.128,-5.131,-1.962,6.359,-0.237,like,3
2.394,7.977,-5.191,-1.412,4.649,0.466,like,3
2.466,8.068,-5.32,-3.069,5.443,1.023,like,3
2.416,8.001,-5.205,-3.298,5.55,0.466,like,3
2.423,7.932,-5.157,-1.969,5.015,1.252,like,3
2.425,7.887,-5.246,-3.275,4.847,0.504,like,3
2.337,7.927,-5.236,-1.282,3.977,0.389,like,3
2.397,7.894,-5.265,-1.496,6.206,-0.603,like,3
2.421,7.992,-5.109,-3.542,4.687,0.267,like,3
2.32,7.937,-5.267,-2.771,3.336,-0.534,like,3
2.447,7.956,-5.21,-4.229,3.351,-0.58,like,3
2.354,8.023,-5.128,-2.275,4.321,-0.756,like,3
2.389,8.078,-5.239,-0.84,5.267,-1.122,like,3
2.413,8.095,-5.207,-0.473,3.779,-0.664,like,3
2.334,8.198,-5.174,-0.824,4.733,1.0,like,3
2.435,8.133,-5.217,-2.389,4.565,-0.718,like,3
2.346,8.085,-5.186,-1.443,4.084,1.092,like,3
2.279,8.066,-5.224,-1.237,5.16,1.458,like,3
2.428,7.999,-5.164,-3.733,5.13,0.42,like,3
2.229,7.966,-5.009,2.45,2.733,0.802,like,3
2.356,7.829,-5.341,-2.603,5.023,0.29,like,3
2.327,8.056,-5.112,-0.672,4.634,1.069,like,3
2.358,8.056,-5.128,-1.168,4.748,1.527,like,3
2.409,7.956,-5.303,-1.45,5.458,-0.29,like,3
2.318,7.918,-5.049,-0.069,4.389,2.107,like,3
2.404,7.918,-5.234,-1.244,5.748,0.145,like,3
2.354,7.889,-5.298,-1.466,4.55,0.008,like,3
2.296,7.937,-5.164,0.473,5.779,0.443,like,3
2.337,7.882,-5.04,-0.168,4.435,0.565,like,3
2.31,7.958,-5.045,-1.977,4.588,-0.061,like,3
2.231,7.8,-5.145,0.725,2.664,0.542,like,3
2.409,8.107,-5.167,-1.267,5.985,-1.015,like,3
2.459,8.112,-5.234,1.13,2.023,1.313,like,3
2.253,8.013,-5.27,-3.794,5.427,-1.534,like,3
2.351,8.04,-5.315,-0.954,3.038,1.092,like,3
2.38,8.033,-5.167,-2.87,4.924,-0.267,like,3
2.2,7.736,-5.224,-1.366,4.031,-0.336,like,3
2.286,7.961,-5.054,-5.802,6.519,-1.641,like,3
