t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
522576.0,1.587,4.626,8.849,10.11,-0.099,6.718,-2.084
522629.0,1.757,4.319,8.679,9.852,-2.679,10.473,-0.305
522681.0,1.403,4.798,8.914,10.22,-3.496,-2.267,2.191
522733.0,1.829,3.96,8.396,9.462,-0.137,5.344,1.344
522785.0,1.506,4.537,8.789,10.005,-0.237,5.107,1.237
522837.0,1.633,4.161,8.586,9.68,-2.336,-2.229,1.489
522889.0,1.607,4.563,8.681,9.938,0.702,-4.802,-1.74
522941.0,1.812,3.982,8.54,9.595,-7.947,2.527,4.038
522993.0,1.784,4.164,8.703,9.811,0.252,3.954,-2.702
523045.0,1.755,4.379,8.641,9.845,3.153,6.351,-4.504
523097.0,1.887,4.515,8.741,10.018,-1.992,2.565,1.473
523149.0,1.872,4.293,8.526,9.727,-0.336,5.634,0.947
523201.0,1.76,4.587,8.61,9.913,-0.198,4.809,-0.29
523253.0,1.858,4.209,8.724,9.863,-1.695,5.229,3.16
523305.0,1.851,4.482,8.552,9.831,1.053,7.221,-0.931
523357.0,1.812,4.329,8.784,9.959,1.908,0.824,2.198
523409.0,1.932,4.549,8.732,10.033,4.58,1.779,-0.115
523461.0,1.966,4.336,8.679,9.899,3.534,-5.947,4.13
523513.0,2.035,4.312,8.758,9.972,9.878,-5.305,2.931
523565.0,2.116,4.659,8.904,10.27,15.229,-20.863,5.466
523617.0,1.635,4.401,9.256,10.378,43.107,-62.176,2.496
523669.0,3.318,4.357,7.91,9.622,88.527,-96.092,-27.557
523721.0,3.687,5.835,7.065,9.877,112.771,-102.099,-26.229
523773.0,3.182,5.859,6.074,9.019,173.573,-96.008,-62.374
523825.0,5.373,9.524,3.431,11.461,145.008,-103.809,-13.13
523877.0,3.508,8.772,2.677,9.819,136.519,-21.656,-27.924
523929.0,3.771,7.774,1.693,8.805,111.313,-34.244,0.466
523986.0,4.338,8.669,0.771,9.725,143.962,-25.504,-16.656
524038.0,4.037,7.606,-1.556,8.751,134.351,-18.664,-9.794
524090.0,3.785,8.282,-2.777,9.52,124.0,-21.611,-7.748
524142.0,3.316,7.836,-3.115,9.061,104.74,4.321,-2.962
524194.0,3.575,7.142,-4.262,9.052,88.725,-6.275,-10.0
524246.0,3.376,7.008,-4.602,9.038,98.71,-11.878,-13.626
524298.0,3.117,7.482,-5.351,9.712,58.244,-14.992,-18.076
524350.0,3.376,7.412,-6.165,10.215,21.099,-4.588,-15.931
524402.0,3.366,7.575,-6.519,10.546,1.405,-2.557,-14.626
524454.0,3.184,7.525,-6.364,10.357,5.183,-4.374,-5.931
524506.0,3.464,7.626,-6.414,10.549,-5.351,3.137,-3.137
524558.0,3.117,7.427,-5.969,10.025,-4.115,5.16,0.977
524610.0,3.144,7.379,-5.902,9.958,-0.573,2.191,-0.718
524662.0,2.782,7.24,-5.679,9.613,2.939,3.87,1.244
524714.0,2.923,7.245,-5.816,9.739,-0.641,2.725,1.076
524766.0,2.772,7.288,-5.854,9.75,3.023,6.595,-2.763
524818.0,2.842,7.386,-5.667,9.734,-1.13,8.0,-4.298
524870.0,2.83,7.252,-5.744,9.674,5.588,4.924,-5.198
524922.0,2.909,7.592,-5.823,10.0,-0.656,5.84,-4.863
524974.0,2.849,7.353,-5.679,9.717,2.519,-0.107,-0.076
525026.0,2.904,7.377,-6.057,9.977,0.115,1.573,-1.595
525078.0,2.794,7.444,-5.935,9.922,-10.107,9.893,-4.58
525130.0,2.82,7.412,-5.847,9.853,1.137,1.908,1.664
525182.0,2.837,7.42,-5.923,9.909,-3.382,7.779,-2.313
525234.0,2.749,7.355,-5.696,9.7,0.595,4.26,-1.275
525286.0,2.828,7.458,-5.887,9.913,-3.153,3.053,-1.931
525338.0,2.653,7.444,-5.746,9.77,-5.672,2.931,0.26
525390.0,2.727,7.434,-5.818,9.826,-2.191,2.115,-0.298
525442.0,2.708,7.458,-5.832,9.847,-1.878,2.008,-0.29
525494.0,2.634,7.338,-5.966,9.817,1.351,3.374,-1.412
525546.0,2.751,7.405,-5.794,9.797,-2.74,3.557,0.305
525598.0,2.725,7.36,-5.887,9.811,-1.061,3.733,0.641
525650.0,2.679,7.35,-5.878,9.785,-0.076,2.855,0.008
525702.0,2.617,7.582,-5.878,9.944,-2.328,6.336,-2.214
525754.0,2.67,7.434,-5.854,9.831,-4.244,2.588,0.282
525806.0,2.626,7.475,-5.83,9.837,-2.282,6.565,-2.305
525858.0,2.741,7.479,-5.837,9.876,0.252,4.198,0.71
525910.0,2.607,7.575,-5.816,9.9,-1.038,5.832,-0.832
525962.0,2.667,7.391,-5.787,9.758,-0.244,3.0,1.634
526019.0,2.674,7.542,-5.715,9.833,-2.756,5.443,-0.511
526071.0,2.598,7.439,-5.839,9.807,-2.328,4.824,-0.298
526123.0,2.624,7.542,-5.758,9.845,-2.565,4.42,-0.534
526175.0,2.562,7.46,-5.784,9.782,-1.916,1.145,0.595
526227.0,2.602,7.484,-5.902,9.88,-4.237,4.779,-0.992
526279.0,2.526,7.513,-5.823,9.835,-1.168,3.443,1.45
526331.0,2.591,7.556,-5.885,9.922,-1.916,5.42,-0.328
526383.0,2.655,7.518,-5.801,9.86,0.55,3.664,1.084
526435.0,2.617,7.369,-5.827,9.753,0.015,3.031,0.229
526487.0,2.638,7.638,-5.787,9.939,-2.336,4.992,1.008
526539.0,2.552,7.453,-5.775,9.768,-1.656,5.573,0.092
526591.0,2.653,7.597,-5.763,9.897,-2.092,4.878,0.832
526643.0,2.617,7.355,-5.866,9.765,1.321,4.863,0.817
526695.0,2.523,7.527,-5.667,9.754,-4.321,5.916,0.351
526747.0,2.646,7.434,-5.758,9.768,0.206,3.267,1.13
526799.0,2.552,7.664,-5.808,9.949,-2.145,3.557,1.137
526851.0,2.528,7.293,-5.899,9.715,0.718,5.443,0.382
526903.0,2.607,7.482,-5.787,9.811,-3.298,4.519,-0.702
526955.0,2.677,7.398,-5.89,9.828,2.733,2.008,1.427
527007.0,2.512,7.487,-5.811,9.804,-2.916,5.74,-1.305
527059.0,2.653,7.446,-5.933,9.883,0.374,3.763,0.626
527111.0,2.593,7.477,-5.808,9.817,-1.55,4.756,-0.107
527163.0,2.612,7.551,-5.875,9.918,-0.458,4.55,-0.374
527215.0,2.653,7.561,-5.72,9.845,-2.992,2.092,-0.252
527267.0,2.516,7.47,-5.746,9.754,-0.427,4.84,0.214
527319.0,2.576,7.535,-5.89,9.904,-2.122,3.122,0.015
527371.0,2.567,7.46,-5.993,9.907,1.466,2.763,0.527
527423.0,2.552,7.448,-5.866,9.818,-1.221,4.809,-0.267
527475.0,2.521,7.489,-5.823,9.816,-0.763,4.198,0.641
527527.0,2.545,7.412,-5.942,9.835,-0.763,5.45,-0.679
527579.0,2.413,7.338,-5.954,9.753,5.893,1.817,2.298
527631.0,2.641,7.633,-6.115,10.13,-0.939,6.542,-0.427
527683.0,2.433,7.197,-5.916,9.629,1.87,5.267,0.55
527735.0,2.586,7.606,-5.748,9.879,1.221,2.374,0.771
527787.0,2.509,7.319,-6.065,9.831,-3.466,8.008,-1.855
527839.0,2.519,7.568,-5.725,9.818,-2.198,5.618,0.382
527891.0,2.512,7.465,-5.926,9.856,-2.374,4.427,-0.237
527943.0,2.473,7.489,-5.844,9.816,-2.542,4.802,1.359
527995.0,2.658,7.501,-5.909,9.912,-1.863,4.458,1.389
528052.0,2.543,7.479,-5.966,9.9,-3.718,3.847,-0.443
528104.0,2.562,7.456,-5.978,9.894,0.672,4.664,1.779
528156.0,2.602,7.436,-6.062,9.941,-4.038,5.489,-1.298
528208.0,2.543,7.283,-5.95,9.742,0.794,3.611,1.893
528260.0,2.514,7.441,-5.866,9.803,-2.282,6.618,-1.382
528312.0,2.476,7.321,-5.99,9.778,-0.573,3.687,-0.443
528364.0,2.516,7.551,-5.993,9.963,-0.153,6.496,1.718
528416.0,2.703,7.482,-5.928,9.921,-1.931,4.137,3.282
528468.0,2.48,7.391,-5.921,9.79,0.458,6.374,-0.679
