ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.307,2.942,9.629,-6.008,10.832,0.366,like,4
0.965,3.031,10.013,2.176,1.336,2.412,like,4
1.463,2.904,9.306,-4.847,2.908,5.473,like,4
1.393,2.612,9.409,-7.053,4.076,3.206,like,4
1.226,2.931,9.45,-1.718,1.351,2.191,like,4
1.372,2.832,9.072,-4.588,1.527,2.893,like,4
1.441,2.792,9.052,-10.237,4.733,3.626,like,4
1.489,2.263,9.062,-8.878,9.321,0.405,like,4
1.331,2.564,9.402,-9.298,6.145,-2.061,like,4
1.353,2.78,9.4,-2.115,7.16,-6.229,like,4
1.35,2.875,9.364,-8.977,6.405,-4.74,like,4
1.305,2.672,9.555,-9.069,6.107,-1.71,like,4
1.535,2.44,9.519,-6.611,3.618,-0.733,like,4
1.271,2.641,9.495,1.313,2.962,-2.427,like,4
1.305,2.332,9.345,-0.42,0.557,0.962,like,4
1.47,2.442,9.141,-0.969,3.786,0.695,like,4
1.516,2.416,9.412,-5.748,8.641,1.069,like,4
1.319,2.433,9.486,-3.664,5.573,-1.0,like,4
1.324,2.828,9.371,-4.649,4.015,0.573,like,4
1.353,2.476,9.495,-4.496,6.145,1.84,like,4
1.358,2.428,9.409,-10.733,4.985,2.901,like,4
1.355,2.385,9.656,-6.038,5.13,2.702,like,4
1.401,2.054,9.625,-1.122,3.374,1.939,like,4
1.396,2.231,9.491,-6.695,3.282,1.939,like,4
1.307,2.555,9.503,-2.076,3.672,1.397,like,4
1.468,2.279,9.531,-12.366,2.947,3.817,like,4
1.396,2.222,9.833,16.611,-1.611,-1.176,like,4
1.65,1.963,9.804,49.962,-14.481,-2.298,like,4
1.705,2.916,9.522,191.099,-20.092,-29.244,like,4
2.231,5.394,8.226,163.023,-22.832,-31.496,like,4
0.802,6.318,7.896,175.672,-12.534,-35.496,like,4
1.365,8.073,5.286,148.672,-18.435,-6.878,like,4
1.721,7.185,4.077,160.733,1.366,-10.931,like,4
1.604,8.729,3.124,154.076,16.947,-16.038,like,4
2.155,7.977,2.543,136.115,9.183,-13.038,like,4
0.783,10.736,1.123,124.0,15.305,-10.557,like,4
1.255,9.601,0.632,131.695,13.321,-9.641,like,4
1.477,10.444,-0.455,106.473,-18.748,2.947,like,4
1.283,9.428,-1.561,88.756,-19.901,-4.832,like,4
1.422,9.433,-2.667,50.45,-18.405,-0.397,like,4
0.912,10.319,-2.851,43.046,-3.336,-9.282,like,4
0.915,9.131,-3.278,-1.687,1.405,-2.305,like,4
0.675,9.907,-3.129,-10.947,1.267,2.336,like,4
0.922,8.638,-3.072,-2.71,-0.473,-1.115,like,4
0.828,9.615,-2.899,-14.893,3.977,2.504,like,4
1.015,8.823,-2.916,-6.855,3.191,-1.412,like,4
1.152,9.072,-2.88,-2.214,5.504,-0.137,like,4
0.864,9.402,-2.749,-1.779,4.947,0.817,like,4
0.962,9.371,-2.772,-8.489,6.237,0.244,like,4
0.96,9.234,-2.811,0.244,5.527,0.702,like,4
0.989,9.333,-2.784,-8.42,7.053,0.382,like,4
0.924,9.1,-2.581,-0.489,5.679,1.008,like,4
1.046,9.194,-2.579,-1.115,4.069,1.183,like,4
1.022,9.323,-2.674,-2.198,5.687,-0.824,like,4
0.946,9.33,-2.794,-2.122,5.542,-0.794,like,4
1.006,9.457,-2.634,-3.87,6.153,-0.534,like,4
1.061,9.294,-2.595,0.321,4.298,0.664,like,4
1.116,9.352,-2.662,-2.901,3.267,-0.298,like,4
1.02,9.414,-2.636,-1.847,5.366,-0.496,like,4
1.073,9.321,-2.648,-2.496,4.458,0.58,like,4
1.01,9.414,-2.746,-0.763,6.313,0.695,like,4
1.037,9.366,-2.691,-5.237,6.122,1.511,like,4
0.941,9.462,-2.662,-3.679,7.466,0.641,like,4
1.003,9.069,-2.516,-3.481,3.893,1.176,like,4
1.099,9.436,-2.533,-7.374,4.84,0.153,like,4
1.075,9.467,-2.523,-1.55,4.176,0.328,like,4
1.039,9.345,-2.535,-0.565,4.405,0.763,like,4
0.998,9.519,-2.588,-2.992,6.061,0.389,like,4
1.046,9.462,-2.516,-2.588,4.58,0.87,like,4
0.965,9.385,-2.468,-3.244,4.931,0.779,like,4
1.075,9.407,-2.456,1.969,3.466,1.687,like,4
1.113,9.313,-2.571,0.344,4.733,0.107,like,4
1.053,9.335,-2.523,-1.534,5.802,-0.42,like,4
1.013,9.342,-2.512,-1.832,4.611,0.069,like,4
1.003,9.414,-2.559,-2.344,4.885,-0.176,like,4
1.089,9.33,-2.535,-0.26,4.214,-0.031,like,4
0.979,9.349,-2.641,-2.534,5.115,0.458,like,4
0.989,9.328,-2.528,-2.038,4.977,0.252,like,4
1.13,9.369,-2.636,-0.45,6.29,0.931,like,4
0.979,9.493,-2.521,-3.359,4.198,-0.198,like,4
1.106,9.404,-2.591,0.962,4.794,0.672,like,4
1.01,9.313,-2.519,-2.374,4.924,0.763,like,4
0.994,9.34,-2.476,0.649,3.382,0.679,like,4
1.24,9.476,-2.638,-3.595,5.359,0.168,like,4
1.085,9.404,-2.533,-0.076,3.756,1.809,like,4
1.154,9.23,-2.705,-5.496,5.832,0.382,like,4
1.001,9.297,-2.77,0.618,5.305,0.122,like,4
1.046,9.328,-2.555,-5.13,7.13,0.0,like,4
1.003,9.515,-2.425,0.527,5.496,-0.962,like,4
1.085,9.486,-2.471,-0.794,5.855,0.198,like,4
1.003,9.493,-2.459,-3.603,5.427,1.534,like,4
1.142,9.222,-2.385,-2.092,6.214,1.221,like,4
1.046,9.287,-2.294,-4.641,4.977,0.473,like,4
1.056,9.349,-2.452,-2.084,4.015,0.298,like,4
1.08,9.297,-2.574,-2.748,4.282,-0.359,like,4
1.082,9.388,-2.658,-2.084,5.26,-0.45,like,4
0.986,9.371,-2.593,-1.183,6.237,0.206,like,4
1.03,9.388,-2.351,-1.794,6.031,0.412,like,4
1.034,9.467,-2.373,-0.71,5.565,0.481,like,4
1.097,9.498,-2.217,-4.176,5.595,0.061,like,4
1.161,9.385,-2.231,-1.832,4.237,0.176,like,4
1.02,9.383,-2.339,-1.779,3.427,-0.382,like,4
0.953,9.352,-2.622,-1.58,4.992,-0.42,like,4
1.144,9.517,-2.37,-5.084,6.618,-0.977,like,4
1.125,9.5,-2.306,-3.206,5.366,1.328,like,4
0.994,9.366,-2.337,-2.908,6.489,0.382,like,4
0.986,9.369,-2.253,-3.969,5.214,0.313,like,4
1.03,9.33,-2.246,0.122,4.702,-0.099,like,4
1.07,9.38,-2.361,-2.611,4.939,0.191,like,4
1.032,9.431,-2.205,-1.427,3.786,-0.748,like,4
1.034,9.507,-2.447,-1.481,4.275,0.389,like,4
1.123,9.457,-2.265,-0.733,5.519,0.137,like,4
1.073,9.515,-2.346,-2.237,3.519,-0.092,like,4
1.037,9.476,-2.389,1.519,4.649,0.794,like,4
1.068,9.383,-2.363,-2.847,4.87,0.168,like,4
1.008,9.486,-2.318,-1.328,5.634,-0.145,like,4
1.058,9.421,-2.363,-1.954,5.328,0.008,like,4
1.015,9.641,-2.248,-2.397,4.618,0.763,like,4
0.915,9.431,-2.234,0.237,6.038,0.947,like,4
1.089,9.589,-2.112,-2.069,3.527,0.229,like,4
1.032,9.469,-2.212,-1.947,3.733,1.237,like,4
1.022,9.392,-2.401,-1.115,3.863,1.55,like,4
1.068,9.4,-2.351,-0.366,5.42,1.511,like,4
1.07,9.39,-2.246,-1.252,5.382,0.672,like,4
1.171,9.294,-2.279,-0.137,5.237,0.191,like,4
1.137,9.352,-2.258,-1.053,4.107,-0.863,like,4
1.018,9.467,-2.394,-0.084,4.855,0.359,like,4
1.065,9.357,-2.337,-3.351,5.954,0.344,like,4
1.068,9.527,-2.16,-3.893,5.863,1.099,like,4
0.972,9.562,-2.251,-1.328,5.481,1.13,like,4
1.111,9.407,-2.222,-2.046,5.115,1.145,like,4
1.034,9.412,-2.212,-3.573,3.954,-0.107,like,4
0.991,9.45,-2.416,-0.725,4.13,0.237,like,4
1.077,9.273,-2.284,-2.214,5.45,0.58,like,4
1.118,9.392,-2.102,-3.427,5.626,0.191,like,4
1.056,9.335,-2.1,-4.527,3.878,-0.687,like,4
1.092,9.565,-2.21,-1.985,4.115,-1.0,like,4
1.063,9.565,-2.291,0.908,5.015,0.389,like,4
1.061,9.479,-2.291,-0.374,6.145,0.954,like,4
1.118,9.333,-2.131,-2.58,5.794,-0.023,like,4
1.051,9.51,-2.157,-1.244,3.282,0.855,like,4
1.063,9.582,-2.296,-2.275,4.969,1.282,like,4
1.097,9.359,-2.081,-0.565,3.947,0.664,like,4
1.061,9.507,-2.282,-0.183,3.641,-0.099,like,4
1.018,9.419,-2.368,-1.908,4.893,0.42,like,4
1.085,9.433,-2.284,-2.153,5.893,0.244,like,4
1.063,9.483,-2.181,-0.511,6.595,-0.008,like,4
1.113,9.39,-2.277,-2.145,5.481,-0.198,like,4
1.03,9.634,-2.176,-3.443,5.847,0.046,like,4
1.022,9.572,-2.301,-1.725,6.809,1.191,like,4
