t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
613090.0,1.808,3.067,9.218,9.881,2.275,0.824,4.389
613142.0,1.879,2.95,8.921,9.582,-4.275,3.84,1.985
613194.0,1.879,2.892,8.89,9.535,-4.443,7.626,-0.145
613246.0,1.669,2.998,9.225,9.842,-7.008,10.13,-5.031
613298.0,1.853,3.132,9.141,9.839,-3.962,3.832,-2.695
613350.0,1.604,3.333,9.287,9.997,-2.229,4.779,-5.275
613402.0,1.911,3.134,9.096,9.808,-5.748,8.076,-3.275
613454.0,1.767,3.11,9.256,9.923,-5.947,6.695,-2.405
613506.0,1.563,3.055,9.222,9.84,-4.702,7.076,-1.939
613558.0,1.69,2.919,9.093,9.698,-3.076,5.817,-1.672
613610.0,1.695,3.005,9.285,9.905,-0.359,5.733,-2.588
613662.0,1.776,2.986,9.33,9.956,-2.954,4.282,-0.435
613714.0,1.714,2.727,9.158,9.708,0.366,3.855,-1.0
613766.0,1.767,2.849,9.081,9.68,-5.122,7.092,-2.275
613818.0,1.743,2.887,9.172,9.773,-0.985,8.29,-4.489
613870.0,1.741,2.969,9.179,9.803,-4.977,9.641,-3.84
613922.0,1.501,3.041,9.548,10.132,-1.321,4.863,-2.756
613974.0,1.592,3.141,9.148,9.803,-2.405,3.84,0.588
614026.0,1.664,3.048,9.17,9.805,-3.618,6.641,1.13
614078.0,1.614,2.734,9.416,9.937,-2.931,6.084,0.702
614130.0,1.518,2.851,9.395,9.935,-4.176,4.412,1.855
614182.0,1.563,2.768,9.299,9.827,-1.924,4.489,1.511
614239.0,1.638,2.835,9.335,9.892,-4.26,5.389,0.634
614291.0,1.468,2.947,9.208,9.779,-1.214,4.511,-0.366
614343.0,1.53,2.945,9.191,9.772,-3.931,4.611,1.664
614395.0,1.456,2.909,9.194,9.752,-3.29,5.519,0.229
614447.0,1.513,2.871,9.256,9.808,-0.206,4.29,0.107
614499.0,1.549,2.804,9.208,9.749,-2.382,5.099,-0.328
614551.0,1.487,2.84,9.258,9.798,1.847,5.427,-0.481
614603.0,1.46,2.825,9.345,9.871,-2.023,4.802,-0.969
614655.0,1.539,2.995,9.354,9.942,-2.313,5.397,-0.244
614707.0,1.48,2.921,9.33,9.888,-1.473,4.527,-0.275
614759.0,1.48,2.823,9.258,9.792,-2.786,4.603,0.328
614811.0,1.563,3.043,9.309,9.917,-4.466,5.573,0.084
614863.0,1.465,2.88,9.402,9.942,-0.847,4.107,-0.13
614915.0,1.482,3.096,9.143,9.766,-2.908,4.183,0.214
614967.0,1.535,2.734,9.311,9.825,-1.206,5.496,0.969
615019.0,1.532,2.976,9.225,9.813,-3.962,4.069,0.359
615071.0,1.463,3.007,9.177,9.767,-3.313,4.809,-0.038
615123.0,1.501,3.002,9.27,9.859,-3.382,2.977,1.0
615175.0,1.52,3.06,9.199,9.813,-3.122,4.008,1.58
615227.0,1.607,2.863,9.349,9.909,-3.824,3.992,1.473
615279.0,1.499,2.95,9.201,9.778,-2.038,4.267,1.305
615331.0,1.41,2.78,9.251,9.762,13.702,1.405,-0.076
615383.0,0.579,3.098,10.58,11.039,83.305,-27.672,10.931
615435.0,1.575,2.782,9.555,10.076,157.244,-60.344,-9.71
615487.0,2.612,4.362,7.415,8.991,185.878,-58.153,-31.374
615539.0,3.005,6.823,5.624,9.339,199.702,-51.534,-42.344
615591.0,3.163,7.542,3.761,9.002,193.267,-3.847,-45.786
615643.0,1.592,9.531,2.124,9.894,163.969,22.878,-52.328
615695.0,2.342,8.246,1.513,8.704,164.282,8.458,-47.092
615747.0,0.658,10.532,1.686,10.686,150.718,37.878,-39.58
615799.0,0.776,9.78,-0.625,9.831,148.481,12.115,-18.863
615851.0,1.551,8.859,-2.035,9.221,106.664,20.038,-16.397
615903.0,1.085,10.171,-2.138,10.449,55.695,14.824,-14.977
615955.0,0.828,9.026,-2.449,9.389,25.053,14.153,-4.992
616007.0,0.527,9.694,-2.593,10.049,-18.916,6.023,0.656
616059.0,0.74,9.646,-2.638,10.028,28.221,8.511,-8.809
616111.0,0.548,9.38,-2.749,9.79,-14.847,3.298,1.397
616163.0,0.879,9.957,-2.732,10.363,1.359,7.183,-5.092
616215.0,0.941,9.225,-2.823,9.693,-7.473,1.71,-0.626
616272.0,0.721,9.541,-2.607,9.917,-0.198,-1.573,1.29
616324.0,0.915,9.254,-2.859,9.728,-13.588,5.328,-1.458
616376.0,0.843,9.206,-2.617,9.607,1.893,3.771,0.252
616428.0,0.711,9.203,-2.813,9.65,-7.053,2.0,0.458
616480.0,0.855,9.44,-2.83,9.892,-0.046,3.122,0.046
616532.0,0.699,9.304,-2.737,9.723,-0.977,4.443,0.992
616584.0,0.828,9.182,-2.674,9.599,-0.382,6.252,-0.351
616636.0,0.795,9.51,-2.653,9.905,-0.191,4.412,2.13
616688.0,0.836,9.306,-2.691,9.724,-1.641,4.87,0.55
616740.0,0.831,9.448,-2.749,9.874,-1.122,4.038,0.824
616792.0,0.864,9.431,-2.854,9.891,-4.733,5.809,0.244
616844.0,0.764,9.459,-2.691,9.864,-3.382,5.344,0.527
616896.0,0.819,9.325,-2.67,9.734,-1.122,6.389,1.374
616948.0,0.862,9.347,-2.576,9.734,-2.405,5.702,0.588
617000.0,0.773,9.333,-2.653,9.733,-0.809,3.824,1.366
617052.0,0.773,9.361,-2.741,9.785,-2.397,4.244,0.847
617104.0,0.721,9.311,-2.698,9.721,-0.832,3.313,1.237
617156.0,0.833,9.538,-2.691,9.946,0.198,5.328,1.679
617208.0,0.967,9.297,-2.562,9.692,-1.221,4.611,1.038
617260.0,0.895,9.237,-2.751,9.679,2.267,3.046,2.16
617312.0,0.903,9.096,-2.895,9.588,-0.069,5.389,0.435
617364.0,0.821,9.316,-2.72,9.739,-1.473,5.153,-0.214
617416.0,0.797,9.531,-2.662,9.928,-0.756,6.916,1.076
617468.0,0.824,9.409,-2.66,9.813,-4.412,6.298,2.588
617520.0,0.943,9.481,-2.686,9.899,-6.435,7.618,0.771
617572.0,0.86,9.388,-2.576,9.773,-4.42,5.313,2.099
