ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-4.058,-1.578,9.759,-0.74,-1.504,-1.397,nada,5
-3.505,-1.482,9.483,0.573,0.824,-0.366,nada,5
-2.904,-1.257,9.282,1.855,1.328,1.183,nada,5
-3.486,-1.427,9.203,0.267,3.115,1.122,nada,5
-3.584,-1.501,9.459,1.489,1.076,1.015,nada,5
-3.524,-1.547,9.409,0.137,1.595,1.359,nada,5
-3.642,-1.391,9.55,-0.687,-0.237,-0.076,nada,5
-3.668,-1.48,9.622,1.397,-0.634,0.687,nada,5
-3.541,-1.518,9.503,1.099,-1.427,-1.031,nada,5
-3.591,-1.238,9.352,-0.275,0.145,-0.252,nada,5
-3.551,-1.432,9.495,0.924,0.275,-0.702,nada,5
-3.46,-1.441,9.55,0.168,0.244,0.725,nada,5
-3.529,-1.36,9.471,1.145,-0.214,-0.229,nada,5
-3.577,-1.386,9.558,0.305,0.42,0.015,nada,5
-3.615,-1.372,9.44,0.954,0.718,0.794,nada,5
-3.61,-1.499,9.62,1.092,0.733,-0.496,nada,5
-3.519,-1.463,9.452,0.405,-0.046,0.725,nada,5
-3.587,-1.489,9.541,-1.061,0.305,-0.817,nada,5
-3.663,-1.408,9.517,-0.305,1.13,0.573,nada,5
-3.62,-1.391,9.538,0.557,0.71,-0.221,nada,5
-3.639,-1.381,9.55,-1.115,-0.962,-0.221,nada,5
-3.689,-1.458,9.67,1.397,-0.603,-0.069,nada,5
-3.534,-1.384,9.481,-0.832,-0.939,0.084,nada,5
-3.598,-1.518,9.395,1.534,-0.099,-0.099,nada,5
-3.622,-1.401,9.524,0.893,-0.069,0.527,nada,5
-3.63,-1.374,9.629,2.244,0.511,0.053,nada,5
-3.658,-1.417,9.62,0.344,-1.031,0.13,nada,5
-3.474,-1.484,9.349,1.107,1.298,0.687,nada,5
-3.579,-1.405,9.366,-1.74,1.45,-0.656,nada,5
-3.632,-1.405,9.543,0.817,1.817,-0.374,nada,5
-3.677,-1.25,9.567,0.489,0.206,0.206,nada,5
-3.649,-1.405,9.627,-0.275,-0.031,0.397,nada,5
-3.63,-1.362,9.615,0.74,0.344,0.328,nada,5
-3.589,-1.377,9.474,-0.206,0.756,0.427,nada,5
-3.668,-1.372,9.531,1.45,1.351,0.924,nada,5
-3.618,-1.329,9.491,2.611,1.893,0.542,nada,5
-3.689,-1.396,9.491,-1.359,-0.489,-0.29,nada,5
-3.828,-1.322,9.716,0.397,1.649,0.748,nada,5
-3.759,-1.41,9.373,-1.679,-0.229,-1.359,nada,5
-3.644,-1.257,9.802,0.053,0.076,-0.931,nada,5
-3.572,-1.264,9.682,-0.443,-0.718,0.733,nada,5
-3.577,-1.302,9.313,0.824,1.672,0.664,nada,5
-3.661,-1.346,9.505,-0.412,1.038,0.26,nada,5
-3.639,-1.298,9.493,0.221,1.191,-0.076,nada,5
-3.761,-1.396,9.433,1.977,0.626,1.557,nada,5
-3.694,-1.369,9.421,1.053,0.771,-0.107,nada,5
-3.768,-1.401,9.615,1.634,1.725,-0.672,nada,5
