t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
169670.0,-3.692,-0.745,9.73,10.433,1.74,-2.031,-0.733
169723.0,-3.651,-0.843,9.634,10.337,2.641,-2.878,-1.611
169775.0,-3.376,-0.848,9.342,9.969,0.534,0.588,-0.611
169827.0,-3.493,-0.761,9.553,10.2,-0.931,2.252,-1.183
169879.0,-3.654,-0.929,9.74,10.444,2.206,3.137,2.13
169931.0,-3.666,-1.018,9.948,10.65,-3.389,-1.542,-0.924
169984.0,-3.73,-0.977,9.694,10.433,0.664,-2.435,-0.763
170036.0,-3.689,-1.049,9.29,10.05,1.672,-4.71,0.344
170088.0,-3.385,-0.996,9.141,9.799,-3.069,-0.473,-2.26
170141.0,-3.546,-0.84,9.479,10.155,0.756,4.443,-2.725
170193.0,-3.594,-0.706,9.694,10.363,-1.397,3.115,-0.412
170245.0,-3.589,-0.795,9.948,10.605,-0.145,0.267,0.221
170297.0,-3.622,-1.065,9.795,10.497,-0.015,-2.687,2.496
170349.0,-3.584,-0.984,9.459,10.163,-0.542,-2.702,0.74
170401.0,-3.491,-1.142,9.373,10.067,-0.16,-2.13,1.16
170453.0,-3.371,-1.109,9.273,9.929,0.809,2.504,-2.74
170505.0,-3.57,-0.589,9.603,10.262,-0.412,5.443,-0.519
170557.0,-3.639,-0.905,10.001,10.681,0.87,1.26,2.466
170609.0,-3.546,-1.097,10.034,10.699,0.031,-2.221,1.031
170661.0,-3.563,-1.188,9.685,10.387,1.756,-3.55,0.565
170713.0,-3.4,-1.051,9.316,9.972,1.481,-3.198,-0.779
170765.0,-3.862,-0.792,9.744,10.512,-0.26,1.519,-1.817
170817.0,-3.579,-1.053,9.304,10.024,1.023,-3.611,0.55
170869.0,-3.323,-1.274,9.333,9.988,2.198,2.015,-2.443
170921.0,-3.455,-0.888,9.61,10.251,-0.092,1.878,-3.977
170973.0,-3.68,-0.749,10.032,10.712,1.641,1.221,-2.206
171025.0,-3.414,-0.766,9.661,10.275,0.901,-2.748,0.137
171082.0,-3.314,-1.049,9.486,10.102,2.618,-1.626,1.275
171134.0,-3.467,-0.778,9.467,10.111,-1.916,-0.168,-1.0
171187.0,-3.551,-0.62,9.503,10.163,0.916,2.947,1.618
171239.0,-3.598,-0.833,9.759,10.434,0.45,0.939,3.908
171291.0,-3.452,-1.113,9.783,10.434,-0.924,-1.069,1.702
171343.0,-3.603,-1.18,9.898,10.599,0.664,0.809,0.756
171395.0,-3.378,-0.874,9.306,9.939,1.649,-4.092,-1.305
171447.0,-3.591,-0.546,9.395,10.073,-2.519,3.977,1.099
171499.0,-3.546,-0.946,9.546,10.227,1.481,0.893,3.389
171551.0,-3.632,-1.034,9.797,10.5,-0.809,6.489,2.26
171603.0,-3.713,-1.022,10.051,10.764,-3.275,-2.122,2.053
171655.0,-3.45,-0.95,9.574,10.221,1.382,-1.733,0.595
171707.0,-3.601,-1.156,9.469,10.196,-1.038,-0.489,1.046
171759.0,-3.62,-0.907,9.562,10.265,1.985,0.351,-0.45
171811.0,-3.572,-1.013,9.584,10.278,1.55,-0.031,-0.702
171863.0,-3.577,-0.759,9.632,10.303,0.389,2.809,-0.16
171915.0,-3.699,-0.893,9.615,10.341,-2.969,-1.42,0.481
171967.0,-3.666,-1.14,9.448,10.198,-0.84,2.13,1.87
172019.0,-3.632,-1.401,9.95,10.685,-2.656,-0.137,-0.427
172071.0,-3.417,-1.243,9.883,10.531,-1.695,-0.832,-4.626
172123.0,-3.57,-0.871,9.699,10.372,-0.237,-3.275,-3.855
172175.0,-3.448,-0.632,9.67,10.286,1.511,-3.298,0.443
172227.0,-3.445,-0.453,9.819,10.415,-6.611,-1.359,6.008
172279.0,-3.843,-1.563,9.603,10.461,-7.763,-4.969,4.84
172331.0,-2.636,-1.846,8.588,9.171,-1.412,-3.29,-2.359
172384.0,-3.184,-0.955,9.301,9.878,0.015,12.198,-9.603
172436.0,-4.142,-0.644,10.295,11.116,7.969,5.947,-11.214
172488.0,-4.147,-0.357,10.427,11.227,3.977,-7.534,-3.695
172540.0,-3.598,-0.776,9.357,10.055,3.733,-7.901,1.84
172592.0,-3.282,-0.828,9.172,9.777,-4.603,1.809,4.863
172644.0,-3.275,-1.635,9.515,10.195,-8.427,4.061,4.397
172696.0,-3.105,-1.602,9.845,10.447,-0.802,5.443,0.939
172748.0,-3.666,-1.458,10.18,10.918,0.351,2.84,-1.878
172800.0,-3.551,-1.137,9.874,10.554,2.573,-5.168,-4.679
172852.0,-3.903,-0.579,9.953,10.706,7.008,-18.412,-4.122
172904.0,-3.323,-1.032,9.615,10.225,4.344,-4.687,-3.191
172956.0,-3.393,-0.814,9.816,10.418,9.374,-5.145,-2.748
173008.0,-3.124,-0.73,9.266,9.805,5.076,-6.87,-2.351
173060.0,-3.417,-0.939,9.584,10.218,-0.107,5.687,2.969
173117.0,-3.12,-1.192,9.455,10.027,-4.137,-0.527,1.183
173169.0,-3.814,-0.862,10.142,10.87,-3.214,-1.16,2.878
173221.0,-3.457,-1.044,9.424,10.092,0.198,-2.122,0.252
173273.0,-3.323,-1.252,9.347,9.999,-1.344,1.58,1.229
173325.0,-3.115,-1.415,9.632,10.221,5.321,1.107,-2.992
173377.0,-3.335,-0.737,9.701,10.285,2.458,1.031,-2.58
173429.0,-3.531,-0.888,9.871,10.522,2.344,0.008,-2.069
173481.0,-3.11,-0.745,9.172,9.714,-0.573,-0.511,-0.16
173534.0,-3.57,-1.015,9.493,10.193,-2.885,3.916,-1.206
173586.0,-3.393,-1.14,9.706,10.345,-2.145,7.42,-1.084
173638.0,-3.467,-1.027,9.742,10.391,-2.13,-1.107,-1.473
173690.0,-3.278,-1.061,9.534,10.137,-2.344,1.809,-1.779
173742.0,-3.452,-0.673,9.713,10.331,1.153,5.298,0.412
173794.0,-3.563,-1.087,9.924,10.6,-5.115,2.214,1.374
173846.0,-3.668,-1.049,9.67,10.395,1.053,-4.282,1.481
173898.0,-3.4,-1.609,9.452,10.173,5.824,2.511,0.443
173950.0,-3.898,-1.101,9.835,10.637,-4.885,-2.45,-2.42
174003.0,-3.606,-0.543,9.244,9.937,3.466,-4.786,-1.053
174056.0,-3.692,-0.845,9.337,10.076,1.725,0.435,0.328
174108.0,-3.95,-1.257,9.783,10.625,3.29,-0.595,2.466
174160.0,-3.804,-1.025,9.766,10.531,5.924,-2.504,1.305
174212.0,-3.381,-1.053,9.804,10.424,8.55,-1.344,2.87
174264.0,-2.974,-0.836,9.553,10.04,-0.359,-6.908,-1.924
174317.0,-3.5,-0.785,9.828,10.462,0.061,1.412,-0.809
174369.0,-3.328,-0.642,9.483,10.071,6.053,-4.649,-0.763
174421.0,-3.163,-0.565,9.201,9.746,-0.366,-1.763,1.176
174473.0,-3.045,-0.974,9.34,9.872,-2.015,3.389,-0.71
174525.0,-3.172,-0.505,9.641,10.162,2.58,3.466,-0.725
174577.0,-3.282,-0.505,9.816,10.363,0.664,4.366,0.725
174629.0,-3.191,-0.735,9.85,10.38,-0.519,-1.145,2.809
174681.0,-3.663,-0.711,9.778,10.466,2.29,0.634,4.168
174733.0,-3.417,-1.003,9.953,10.57,-0.756,0.74,3.42
174785.0,-3.318,-0.797,9.768,10.347,1.107,-2.908,-1.366
174837.0,-3.017,-0.742,9.378,9.879,0.588,-3.702,-0.626
174889.0,-3.345,-0.656,9.742,10.321,-4.817,-0.87,-1.176
174942.0,-3.385,-1.027,9.807,10.425,-0.824,-1.672,-2.099
174995.0,-3.364,-0.658,9.567,10.163,4.527,-5.534,-0.916
175047.0,-3.469,-0.345,8.928,9.585,-2.672,-4.702,-0.84
175100.0,-3.117,-0.488,9.196,9.722,-3.458,-4.336,0.145
175157.0,-3.074,-1.106,9.553,10.096,5.885,3.191,2.679
175209.0,-3.069,-0.594,9.874,10.357,-0.092,2.595,-0.74
175261.0,-3.172,-0.919,9.919,10.455,-5.26,-1.992,-1.244
175314.0,-3.168,-1.049,9.464,10.035,3.969,2.389,-0.718
175366.0,-3.242,-0.747,9.828,10.376,0.618,4.038,-2.916
175418.0,-3.364,-0.429,9.833,10.401,-0.092,0.328,0.458
175470.0,-3.12,-0.651,9.493,10.014,1.908,1.771,2.855
175522.0,-3.376,-0.67,9.414,10.023,-2.084,3.26,2.214
175574.0,-3.261,-1.056,9.546,10.142,-2.023,3.359,1.908
175626.0,-3.239,-1.013,9.56,10.145,-1.55,6.076,0.405
175678.0,-3.563,-0.792,10.072,10.713,-5.634,2.382,-2.779
175730.0,-3.302,-0.702,9.835,10.398,2.45,0.916,-2.832
175782.0,-3.575,-0.218,10.494,11.088,-4.687,-3.908,1.084
175834.0,-3.328,-0.73,9.78,10.357,1.137,-5.962,4.137
175886.0,-3.211,-1.101,9.345,9.942,1.924,-2.122,4.473
175938.0,-3.146,-1.214,9.222,9.82,0.992,-1.695,1.313
175990.0,-3.359,-0.718,9.342,9.954,-2.107,3.908,0.237
176042.0,-3.388,-1.111,9.747,10.378,-0.473,4.626,1.321
176094.0,-3.359,-0.919,9.979,10.569,1.863,4.099,0.656
176146.0,-3.318,-0.826,10.02,10.587,0.092,1.321,-1.344
176198.0,-3.443,-0.668,9.852,10.458,3.061,2.076,0.74
176250.0,-3.402,-1.202,9.61,10.265,-4.412,-6.168,-0.328
176303.0,-3.218,-1.338,9.017,9.667,-1.672,0.389,-6.153
180989.0,-3.493,-0.704,9.527,10.171,0.0,1.053,-0.435
181041.0,-3.62,-0.857,9.85,10.529,-0.344,1.313,1.366
181093.0,-3.529,-0.9,9.663,10.327,1.122,-0.84,0.947
181145.0,-3.575,-0.761,9.704,10.369,-1.992,-0.466,0.206
181197.0,-3.529,-0.982,9.558,10.236,1.008,-0.389,0.748
181254.0,-3.452,-0.668,9.179,9.83,-2.206,-0.855,0.244
181306.0,-3.541,-0.771,9.273,9.956,-0.809,4.198,1.718
181358.0,-3.618,-1.231,9.797,10.516,-6.115,3.015,0.679
181410.0,-3.701,-1.178,10.209,10.923,2.252,-2.962,0.252
181462.0,-3.5,-0.891,9.529,10.19,4.45,-1.817,0.344
181514.0,-3.594,-0.888,9.5,10.196,-0.382,-2.031,-0.634
