ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-0.019,-0.563,9.888,-0.931,5.115,0.756,nada,2
0.043,-0.527,9.799,-1.786,3.992,0.641,nada,2
0.029,-0.618,9.898,0.252,4.634,0.252,nada,2
0.05,-0.548,9.838,-1.214,5.466,0.397,nada,2
-0.01,-0.567,9.811,-0.122,5.55,-0.466,nada,2
-0.048,-0.529,9.797,-1.443,5.588,0.557,nada,2
-0.017,-0.546,9.811,-1.458,4.55,0.115,nada,2
-0.036,-0.517,9.888,-1.183,5.588,0.45,nada,2
0.012,-0.536,9.917,-1.282,4.74,0.344,nada,2
-0.11,-0.572,9.914,-1.053,5.084,0.344,nada,2
-0.062,-0.527,9.886,-1.534,3.229,1.336,nada,2
-0.031,-0.555,9.859,-1.198,4.221,0.992,nada,2
0.002,-0.56,9.893,-1.84,4.023,1.336,nada,2
-0.012,-0.553,9.955,-1.458,4.305,0.519,nada,2
0.002,-0.622,9.821,-1.244,3.695,1.122,nada,2
0.019,-0.615,9.838,-1.893,5.305,0.71,nada,2
-0.038,-0.555,9.826,-1.015,4.435,0.473,nada,2
0.017,-0.558,9.826,-1.916,5.031,0.649,nada,2
0.048,-0.582,9.965,-0.42,4.802,0.229,nada,2
-0.005,-0.599,9.799,-1.855,4.092,0.687,nada,2
0.012,-0.589,9.807,-1.137,4.099,0.542,nada,2
0.005,-0.668,9.864,-0.252,4.763,0.817,nada,2
0.041,-0.656,9.905,-1.412,4.55,0.832,nada,2
-0.029,-0.608,9.764,-1.832,4.893,0.603,nada,2
0.026,-0.642,9.831,-0.924,4.504,0.053,nada,2
-0.034,-0.632,9.792,-3.42,4.13,1.099,nada,2
0.103,-0.694,9.869,-1.626,6.084,-0.351,nada,2
0.026,-0.62,9.876,-0.763,4.565,-0.687,nada,2
-0.048,-0.546,9.859,-0.924,4.817,0.443,nada,2
-0.026,-0.527,9.898,-0.58,3.87,1.267,nada,2
0.031,-0.527,9.902,-1.878,5.053,1.656,nada,2
0.012,-0.548,9.773,-1.321,4.939,1.122,nada,2
-0.079,-0.596,9.804,-1.015,4.786,1.489,nada,2
0.041,-0.656,9.922,-1.908,4.893,1.969,nada,2
0.065,-0.646,9.862,-0.832,5.672,0.992,nada,2
0.132,-0.634,9.957,-2.115,4.947,0.756,nada,2
0.098,-0.694,9.91,-0.13,4.565,-0.061,nada,2
-0.029,-0.639,9.876,-2.573,4.641,1.061,nada,2
0.05,-0.577,9.9,-0.099,4.992,0.924,nada,2
-0.01,-0.603,9.888,-0.977,3.382,0.878,nada,2
0.029,-0.579,9.826,-0.26,4.015,0.336,nada,2
0.038,-0.622,9.814,-1.847,4.168,0.794,nada,2
-0.05,-0.551,9.795,-1.481,3.924,0.977,nada,2
0.038,-0.572,9.804,-1.359,4.695,1.084,nada,2
0.048,-0.606,9.787,-1.183,5.069,0.252,nada,2
0.06,-0.62,9.823,-1.031,4.779,0.389,nada,2
0.065,-0.615,9.752,-2.397,4.74,0.382,nada,2
0.105,-0.663,9.783,-2.244,4.336,0.519,nada,2
0.091,-0.599,9.917,-2.198,4.473,0.198,nada,2
-0.005,-0.582,10.015,-0.534,5.649,0.55,nada,2
0.124,-0.563,9.926,-2.939,2.87,1.122,nada,2
0.175,-0.644,9.912,-0.74,4.061,0.519,nada,2
-0.055,-0.539,9.847,-0.359,4.282,0.725,nada,2
0.17,-0.543,9.807,-1.916,3.985,1.733,nada,2
0.091,-0.611,9.831,-0.71,5.58,0.679,nada,2
0.084,-0.651,9.833,-0.321,5.55,0.206,nada,2
0.089,-0.658,9.864,-2.382,4.893,0.756,nada,2
0.065,-0.553,9.826,-1.863,5.359,0.298,nada,2
0.074,-0.68,9.835,-2.046,5.779,0.26,nada,2
0.105,-0.563,9.924,-1.267,5.374,-0.511,nada,2
-0.01,-0.611,9.919,-1.58,5.802,-0.275,nada,2
0.05,-0.675,9.948,-1.244,4.603,-0.168,nada,2
-0.022,-0.603,9.91,-0.374,4.809,-0.336,nada,2
0.036,-0.577,9.797,-1.214,4.481,0.725,nada,2
0.05,-0.678,9.787,-1.252,4.267,0.405,nada,2
0.038,-0.584,9.838,-1.832,4.695,1.672,nada,2
0.043,-0.596,9.864,-1.183,3.634,0.878,nada,2
0.019,-0.515,9.74,-2.786,4.527,2.015,nada,2
0.206,-0.704,9.847,-1.71,6.603,0.137,nada,2
0.055,-0.706,9.986,-0.382,5.496,0.099,nada,2
0.055,-0.69,9.981,-1.931,4.649,0.565,nada,2
0.06,-0.634,9.998,-2.221,3.504,0.679,nada,2
0.072,-0.699,9.823,-0.115,4.176,-0.328,nada,2
-0.031,-0.682,9.816,-0.863,5.397,-0.672,nada,2
0.012,-0.632,9.852,-1.282,4.618,-0.099,nada,2
0.005,-0.611,9.711,-2.397,6.298,-0.29,nada,2
-0.057,-0.577,9.79,-1.588,4.763,0.023,nada,2
0.043,-0.675,9.843,-1.412,5.26,0.115,nada,2
0.007,-0.632,9.934,-2.168,5.145,0.595,nada,2
-0.019,-0.613,9.931,-1.473,5.023,0.534,nada,2
0.005,-0.625,9.917,-0.489,5.206,0.756,nada,2
0.096,-0.678,9.823,-0.977,4.618,0.733,nada,2
0.024,-0.63,9.859,-1.45,4.779,-0.137,nada,2
-0.017,-0.591,9.833,-1.42,4.076,0.534,nada,2
