t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
508615.0,-0.16,-0.175,9.943,9.946,-1.229,3.939,0.496
508668.0,-0.022,-0.141,9.795,9.796,-1.908,4.389,0.855
508720.0,-0.098,-0.204,9.838,9.84,-1.969,4.824,0.687
508772.0,-0.053,-0.194,9.819,9.821,-1.534,4.885,0.817
508824.0,-0.055,-0.261,9.823,9.827,-1.115,5.58,0.183
508876.0,0.019,-0.18,9.785,9.787,-4.16,6.244,0.969
508928.0,0.007,-0.287,10.063,10.067,-1.099,4.748,0.061
508980.0,-0.019,-0.182,9.89,9.892,-1.931,4.328,0.855
509032.0,-0.014,-0.249,10.048,10.052,0.038,5.153,-0.275
509084.0,-0.124,-0.184,9.826,9.828,-1.008,4.191,0.359
509136.0,-0.086,-0.182,9.845,9.847,-2.023,4.069,0.977
509188.0,-0.062,-0.139,9.847,9.849,-1.443,4.305,0.313
509240.0,-0.043,-0.199,9.859,9.861,-0.794,5.359,0.733
509292.0,-0.031,-0.184,9.867,9.868,-1.206,4.969,0.397
509344.0,-0.17,-0.218,9.828,9.832,-1.084,4.412,0.855
509396.0,-0.053,-0.302,9.893,9.898,-0.458,5.664,1.847
509448.0,-0.041,-0.235,9.831,9.833,-0.901,4.527,1.466
509500.0,-0.045,-0.206,9.888,9.89,-0.618,4.244,1.137
509552.0,0.038,-0.223,9.874,9.876,-1.985,5.031,0.168
509604.0,-0.074,-0.18,9.914,9.916,-1.038,4.847,-0.466
509656.0,-0.045,-0.215,9.917,9.919,-3.321,4.412,1.13
509708.0,-0.029,-0.184,9.955,9.957,-3.069,3.511,0.878
509760.0,-0.086,-0.232,9.859,9.862,0.893,4.71,-0.931
509812.0,-0.048,-0.306,9.847,9.852,-2.359,2.031,1.115
509864.0,-0.062,-0.206,9.713,9.716,-1.053,6.878,-0.29
509916.0,0.019,-0.211,9.905,9.907,-2.29,5.313,0.863
509968.0,0.124,-0.239,9.802,9.806,-0.198,4.252,0.618
510025.0,-0.019,-0.266,10.01,10.014,-1.366,5.756,0.13
510077.0,-0.012,-0.134,9.972,9.973,-2.611,3.198,1.198
510129.0,-0.029,-0.158,9.946,9.947,-1.191,5.42,0.252
510181.0,-0.053,-0.239,9.929,9.932,-0.626,5.595,0.427
510233.0,-0.002,-0.268,9.955,9.959,-1.298,4.794,0.458
510285.0,-0.12,-0.148,9.742,9.744,-0.344,4.374,0.076
510337.0,0.024,-0.28,9.84,9.844,-1.496,6.817,0.71
510389.0,-0.105,-0.192,9.941,9.943,-1.557,5.282,-0.137
510441.0,-0.096,-0.268,9.919,9.923,-1.191,4.809,0.55
510493.0,-0.074,-0.175,9.965,9.966,-1.16,4.267,0.992
510545.0,0.038,-0.232,9.926,9.929,-0.748,3.725,0.664
510597.0,-0.108,-0.227,9.84,9.843,-0.397,4.015,-0.198
510649.0,0.103,-0.316,9.886,9.891,-2.702,4.137,0.817
510701.0,-0.077,-0.163,9.862,9.863,-2.374,4.588,0.275
510753.0,-0.012,-0.239,9.718,9.721,-0.718,5.29,0.366
510805.0,-0.065,-0.28,9.859,9.864,-2.611,4.679,0.298
510857.0,-0.103,-0.151,9.867,9.868,-2.802,3.893,1.405
510909.0,-0.002,-0.225,9.926,9.929,-0.435,5.786,0.221
510961.0,0.05,-0.249,9.816,9.82,-2.733,4.786,1.55
511013.0,0.065,-0.383,9.898,9.905,-0.42,6.115,-0.962
511065.0,-0.031,-0.354,9.902,9.909,-2.076,3.794,0.802
511117.0,-0.019,-0.239,9.797,9.8,-2.824,3.198,0.679
511169.0,-0.002,-0.254,9.816,9.82,-1.26,6.42,0.786
511221.0,-0.069,-0.227,9.79,9.793,-3.382,3.733,0.84
