ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
0.922,4.254,8.904,-4.58,6.366,-8.763,nada,1
0.812,4.322,9.002,-0.992,1.573,0.221,nada,1
0.965,4.025,8.861,-1.992,4.13,-5.42,nada,1
0.788,4.48,9.012,0.504,6.473,-0.534,nada,1
0.812,3.998,9.017,-10.275,8.427,-2.695,nada,1
0.95,4.314,8.837,3.168,1.985,0.802,nada,1
0.711,3.996,8.945,-2.595,5.305,-2.725,nada,1
0.828,4.197,8.808,-2.992,0.099,0.947,nada,1
0.888,4.089,8.918,-2.58,4.786,-0.748,nada,1
0.752,4.082,8.95,-1.122,3.244,-1.229,nada,1
0.871,3.989,8.914,-0.641,4.733,-0.748,nada,1
0.812,4.123,8.878,-2.466,2.679,0.328,nada,1
0.838,3.778,8.808,-0.779,5.115,-0.916,nada,1
0.792,4.14,8.914,-6.534,3.71,-0.847,nada,1
0.814,4.075,8.938,-0.687,5.397,-0.443,nada,1
0.733,4.092,9.014,-6.023,1.901,0.931,nada,1
0.771,3.97,8.837,1.237,5.947,-0.389,nada,1
0.783,3.816,8.918,-3.275,5.221,0.45,nada,1
0.895,4.104,8.861,0.26,3.847,1.038,nada,1
0.814,3.764,8.892,-1.702,6.145,0.046,nada,1
0.826,4.068,8.885,-1.916,5.115,-0.389,nada,1
0.776,3.931,8.825,2.565,4.374,0.435,nada,1
0.74,3.946,8.859,-1.145,8.153,0.038,nada,1
0.85,4.044,8.873,-0.641,2.0,1.305,nada,1
0.862,4.087,8.906,0.794,7.206,0.038,nada,1
0.776,3.919,9.041,-3.695,5.565,0.046,nada,1
0.967,4.302,8.839,0.504,4.038,0.458,nada,1
0.747,3.926,8.923,-1.061,4.977,0.359,nada,1
0.857,4.099,8.806,-1.115,3.954,2.473,nada,1
0.795,4.025,8.923,-2.962,4.214,1.466,nada,1
0.735,3.996,8.878,-0.489,5.176,0.87,nada,1
0.814,4.029,8.878,-1.84,2.939,0.458,nada,1
0.747,3.953,8.77,0.382,3.634,0.031,nada,1
0.852,4.032,8.854,-2.031,5.145,0.458,nada,1
0.826,4.113,8.856,-1.305,3.588,-0.092,nada,1
0.915,3.972,8.866,-0.427,5.45,-0.26,nada,1
0.781,4.12,8.952,-4.824,4.443,0.947,nada,1
0.852,4.013,8.916,0.588,5.496,0.267,nada,1
0.819,3.974,8.95,-3.809,3.71,0.611,nada,1
0.778,3.898,8.897,-1.267,3.87,0.099,nada,1
0.922,4.029,8.765,-1.947,4.092,1.282,nada,1
0.821,3.936,8.99,-0.183,5.038,-0.092,nada,1
0.745,3.977,9.038,-1.84,4.794,-0.176,nada,1
0.833,3.989,8.837,-0.29,3.634,0.947,nada,1
0.895,3.926,8.885,-1.901,6.076,0.023,nada,1
0.783,4.106,8.899,-0.771,3.489,0.221,nada,1
0.881,4.015,8.933,-0.947,4.893,0.191,nada,1
0.747,3.893,8.945,0.076,5.107,0.305,nada,1
0.838,3.998,8.916,-2.061,4.84,-0.687,nada,1
0.903,4.302,9.05,-2.084,2.809,2.344,nada,1
0.809,3.864,8.875,0.489,4.985,0.427,nada,1
0.826,4.073,8.878,-2.29,5.931,0.023,nada,1
0.881,4.008,8.882,-1.137,4.069,0.733,nada,1
0.771,4.12,9.041,-3.588,3.786,0.328,nada,1
0.941,4.068,8.878,-2.718,4.969,0.038,nada,1
0.864,4.053,8.966,-1.244,1.916,1.191,nada,1
0.749,3.828,8.899,-1.076,4.901,-0.206,nada,1
0.939,4.166,8.83,-0.985,3.992,1.275,nada,1
0.831,3.862,9.002,-1.092,5.229,-0.771,nada,1
0.843,4.089,8.94,-0.076,4.954,0.13,nada,1
0.874,4.02,8.928,-2.122,2.603,0.679,nada,1
0.924,4.068,8.849,-0.55,6.427,0.786,nada,1
0.886,4.008,8.859,-1.939,3.084,1.214,nada,1
0.862,4.02,8.796,-1.435,6.267,2.153,nada,1
0.8,3.84,8.983,-1.489,5.359,0.733,nada,1
1.03,4.178,8.839,-2.603,4.412,1.664,nada,1
0.879,3.982,8.844,0.939,4.511,1.168,nada,1
0.673,3.883,9.055,-4.443,7.565,2.008,nada,1
0.733,3.828,8.94,0.969,2.679,-0.977,nada,1
0.879,4.087,8.966,-3.405,4.931,-0.504,nada,1
0.883,4.046,8.978,0.42,2.13,-1.0,nada,1
0.931,4.161,8.983,-3.824,5.198,0.176,nada,1
0.893,3.915,8.99,-1.015,2.962,-0.198,nada,1
0.862,3.941,8.837,-1.824,4.542,-0.634,nada,1
