t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1382448.0,-0.091,5.265,8.423,9.933,-1.305,5.29,0.122
1382500.0,0.117,5.1,8.32,9.759,-1.527,6.122,-0.069
1382557.0,0.12,5.227,8.399,9.893,-1.557,2.321,2.71
1382609.0,-0.024,5.016,8.301,9.699,-1.695,5.771,0.145
1382661.0,0.055,5.265,8.274,9.807,-3.901,3.74,1.023
1382713.0,0.129,5.1,8.191,9.649,-1.641,3.466,0.534
1382765.0,0.067,5.212,8.394,9.881,-0.489,3.473,0.359
1382817.0,0.084,5.061,8.267,9.694,-1.74,6.504,-0.374
1382869.0,0.077,5.246,8.435,9.933,-4.046,3.748,1.679
1382921.0,0.057,5.016,8.332,9.725,-0.763,3.802,-0.168
1382973.0,0.017,5.16,8.346,9.812,-3.863,5.16,0.916
1383025.0,0.136,5.171,8.215,9.708,-3.0,4.13,0.229
1383077.0,0.096,5.116,8.492,9.915,-0.779,4.366,1.405
1383129.0,0.151,5.119,8.387,9.827,-1.344,4.931,-1.046
1383181.0,0.067,5.188,8.27,9.763,-2.214,3.214,1.733
1383233.0,0.12,5.114,8.416,9.848,-2.634,3.534,1.26
1383285.0,0.491,5.262,8.131,9.698,2.466,7.244,-0.634
1383337.0,0.038,5.064,8.641,10.015,-2.527,3.504,1.237
1383389.0,0.105,5.116,8.294,9.745,-2.237,3.237,1.603
1383441.0,0.038,5.088,8.334,9.764,0.802,3.985,0.153
1383493.0,0.127,5.21,8.428,9.909,-2.901,5.061,0.115
1383545.0,0.146,5.119,8.37,9.812,-1.031,4.153,0.084
1383597.0,0.005,5.193,8.394,9.871,-1.84,3.305,0.542
1383649.0,0.189,5.107,8.286,9.735,-2.351,5.664,0.969
1383701.0,0.101,5.023,8.356,9.75,-1.542,3.931,0.008
1383753.0,0.215,5.186,8.243,9.741,-0.427,4.198,0.313
1383805.0,0.117,5.088,8.435,9.851,-1.137,4.855,0.603
1383857.0,0.098,5.236,8.334,9.843,-0.389,4.611,0.351
1383909.0,0.081,5.064,8.265,9.693,-0.099,4.618,1.16
1383961.0,0.156,4.997,8.432,9.803,-1.206,5.435,0.985
1384013.0,0.23,5.203,8.195,9.71,-0.916,4.901,0.748
1384065.0,0.163,5.183,8.317,9.802,-1.16,4.321,1.954
1384117.0,0.05,5.148,8.341,9.802,1.626,5.122,0.908
1384169.0,0.11,5.073,8.291,9.721,-2.015,6.435,0.74
1384221.0,0.079,5.217,8.387,9.877,-3.122,3.924,0.565
1384273.0,0.079,5.097,8.365,9.796,-1.107,4.252,0.198
1384325.0,0.144,5.102,8.308,9.751,-1.244,4.916,0.634
1384377.0,0.038,5.1,8.341,9.777,-1.504,4.397,-0.603
1384429.0,0.151,5.145,8.289,9.757,-2.13,3.397,0.87
1384481.0,0.038,5.121,8.346,9.792,1.244,3.824,-0.015
1384533.0,0.156,4.978,8.298,9.678,-2.031,6.076,0.382
1384590.0,0.235,5.385,8.435,10.01,-3.099,2.817,0.359
1384642.0,0.182,5.076,8.332,9.758,-0.802,3.473,0.878
1384694.0,0.213,5.078,8.389,9.809,-2.298,4.183,0.733
1384746.0,0.151,5.037,8.277,9.69,-0.969,3.962,1.473
1384798.0,0.089,5.198,8.329,9.819,-0.618,4.137,0.679
1384850.0,0.192,5.04,8.236,9.658,-1.168,5.115,1.214
1384902.0,0.057,5.121,8.373,9.815,0.504,3.954,0.985
1384954.0,0.141,4.939,8.464,9.8,-2.374,6.824,0.053
1385006.0,0.101,5.162,8.456,9.908,-1.786,2.962,0.847
1385058.0,0.292,5.162,8.286,9.767,-0.947,4.366,0.023
1385110.0,0.206,5.1,8.406,9.834,-2.282,3.939,0.74
1385162.0,0.254,5.195,8.31,9.804,-1.695,3.931,0.45
1385214.0,0.187,5.227,8.356,9.858,-2.985,2.053,2.298
1385266.0,0.235,4.999,8.171,9.582,-0.748,6.092,0.435
1385318.0,0.192,5.035,8.519,9.897,-2.206,6.115,0.664
1385370.0,0.266,5.284,8.361,9.894,0.664,3.901,0.061
1385422.0,0.275,5.102,8.392,9.825,-3.557,7.023,1.672
1385474.0,0.172,5.028,8.406,9.796,-4.13,8.908,2.229
1385526.0,0.12,5.009,8.387,9.769,-3.611,5.458,2.664
1385578.0,0.129,5.023,8.346,9.742,-0.496,6.145,0.405
1385630.0,0.127,5.047,8.428,9.824,-2.802,5.58,1.397
1385682.0,0.12,4.903,8.329,9.666,-0.214,5.13,-0.527
1385734.0,0.122,5.047,8.404,9.803,-1.817,4.863,0.42
1385786.0,0.153,5.073,8.437,9.846,-2.595,4.565,-0.16
1385838.0,0.225,4.997,8.27,9.665,-1.565,5.26,-0.427
1385890.0,0.223,5.028,8.416,9.806,-2.069,4.328,0.473
1385942.0,0.213,4.934,8.449,9.787,-3.565,4.473,0.656
1385994.0,0.189,4.865,8.358,9.673,-1.466,3.061,0.374
1386046.0,0.158,5.138,8.344,9.8,-1.473,3.069,0.924
1386098.0,0.304,4.97,8.186,9.581,-2.779,4.664,0.855
1386150.0,0.158,5.059,8.401,9.808,-1.718,4.496,1.137
1386202.0,0.345,4.946,8.274,9.646,-0.718,5.252,0.611
1386254.0,0.117,4.841,8.389,9.687,-1.656,4.13,0.344
1386306.0,0.268,5.071,8.317,9.745,-1.176,4.053,1.046
1386358.0,0.199,5.121,8.583,9.997,-2.389,4.198,1.397
1386410.0,0.184,4.879,8.349,9.672,0.137,4.137,0.397
1386462.0,0.148,4.997,8.437,9.807,-2.824,3.336,1.023
1386514.0,0.189,4.934,8.346,9.698,1.076,2.855,1.053
1386566.0,0.242,4.968,8.495,9.844,-2.954,6.534,-0.45
1386623.0,0.294,5.073,8.423,9.837,1.939,3.611,1.008
1386675.0,0.18,4.812,8.499,9.769,-2.626,4.763,-0.13
1386727.0,0.328,5.181,8.37,9.849,-0.626,5.809,0.26
1386779.0,0.215,4.903,8.535,9.846,-1.977,4.74,0.901
1386831.0,0.287,5.1,8.514,9.928,-1.198,4.397,0.305
1386883.0,0.213,4.877,8.425,9.737,-0.939,4.626,1.015
1386935.0,0.18,4.961,8.332,9.698,-2.374,3.87,1.046
1386987.0,0.18,5.021,8.291,9.694,-0.496,4.344,1.328
1387039.0,0.249,5.057,8.377,9.788,-2.099,4.687,0.557
1387091.0,0.294,4.937,8.406,9.753,0.855,3.725,0.588
1387143.0,0.244,4.973,8.547,9.892,-4.298,4.321,0.771
1387195.0,0.287,4.997,8.38,9.761,-0.13,4.053,0.695
1387247.0,0.196,4.942,8.521,9.852,-2.847,3.702,0.313
1387299.0,0.35,4.999,8.382,9.766,-1.397,5.206,0.511
1387351.0,0.189,4.877,8.464,9.77,-0.244,1.908,0.534
1387403.0,0.333,5.109,8.356,9.8,-2.107,7.168,0.336
1387455.0,0.321,4.944,8.406,9.757,-1.695,3.588,1.115
1387507.0,0.28,5.057,8.313,9.734,0.382,5.344,0.405
1387559.0,0.201,4.927,8.401,9.742,-1.084,5.061,0.42
1387611.0,0.318,4.944,8.392,9.745,-0.908,5.328,0.427
1387663.0,0.311,4.99,8.547,9.902,0.076,3.71,0.489
1387715.0,0.354,4.956,8.368,9.732,-1.229,5.076,1.092
1387767.0,0.275,4.872,8.339,9.662,-0.603,3.137,1.481
1387819.0,0.285,5.124,8.394,9.838,-0.489,4.466,1.595
1387871.0,0.218,5.021,8.509,9.882,-1.122,4.298,2.076
1387923.0,0.395,4.781,8.186,9.488,-0.328,8.809,-0.008
1387975.0,0.139,5.054,8.792,10.142,-4.595,8.74,-0.137
1388027.0,0.45,5.042,8.471,9.868,-3.473,3.725,1.244
