t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
904607.0,1.061,3.438,8.878,9.579,-2.099,3.809,-0.214
904659.0,1.087,3.555,8.892,9.638,3.137,5.092,-0.023
904711.0,0.919,3.663,9.139,9.888,-1.695,6.725,0.351
904763.0,0.943,3.675,9.213,9.964,-0.779,4.382,2.511
904815.0,0.924,3.323,9.074,9.707,-1.237,4.511,2.153
904867.0,0.929,3.527,8.997,9.708,-0.542,4.611,0.321
904924.0,0.831,3.594,9.019,9.744,0.496,5.84,0.771
904976.0,0.831,3.675,9.172,9.916,-0.695,6.969,0.023
905028.0,0.939,3.606,9.172,9.9,-0.626,4.641,0.679
905080.0,0.917,3.644,9.117,9.861,-1.725,4.901,0.153
905132.0,0.965,3.603,9.088,9.824,-1.29,4.969,0.573
905184.0,0.919,3.649,9.045,9.797,-2.122,5.153,1.0
905236.0,0.934,3.663,9.074,9.83,-3.069,4.466,1.718
905288.0,0.922,3.512,9.052,9.754,-1.718,4.855,1.427
905340.0,0.86,3.577,9.069,9.787,-1.351,4.817,1.351
905392.0,0.905,3.534,9.117,9.82,-1.313,4.618,1.061
905444.0,0.773,3.615,9.184,9.9,-0.939,2.794,1.336
905496.0,0.883,3.46,9.041,9.72,-2.893,2.557,0.649
905548.0,0.934,3.508,9.0,9.704,-3.092,3.595,0.031
905600.0,0.984,3.644,9.076,9.83,-1.603,4.656,-0.069
905652.0,1.001,3.601,9.127,9.862,-0.916,4.13,0.267
905704.0,1.065,3.634,8.973,9.74,-1.55,4.489,1.084
905756.0,1.02,3.512,8.971,9.688,-0.84,5.176,1.435
905808.0,0.939,3.594,9.048,9.78,-0.71,6.023,1.031
905860.0,0.91,3.582,9.06,9.784,-0.015,5.351,1.305
905912.0,0.893,3.445,9.017,9.694,0.16,4.427,1.137
905964.0,0.96,3.567,9.057,9.782,-0.481,5.58,-0.031
906016.0,0.927,3.572,9.076,9.798,-0.466,5.641,0.176
