t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
326442.0,2.193,5.066,7.585,9.381,4.756,13.038,1.519
326494.0,1.836,5.411,7.604,9.512,11.779,21.206,-3.511
326546.0,1.867,5.373,8.018,9.831,-5.534,4.092,0.641
326598.0,1.939,5.693,7.898,9.928,-8.962,3.649,3.023
326650.0,1.925,5.344,7.714,9.58,-2.511,1.672,-2.527
326702.0,2.155,5.411,7.444,9.451,-6.84,4.74,2.931
326754.0,2.248,5.167,7.752,9.584,-3.565,7.168,1.939
326806.0,2.251,5.38,7.805,9.743,-4.176,10.786,-0.42
326858.0,2.102,5.32,7.609,9.519,-9.198,11.481,-2.053
326910.0,1.918,5.052,7.994,9.649,-0.443,-0.832,-3.458
326962.0,1.913,4.932,8.009,9.598,0.71,-0.305,4.183
327014.0,2.124,5.435,7.901,9.822,4.153,-8.672,8.542
327066.0,2.227,5.205,7.681,9.542,-3.649,-6.153,4.153
327118.0,2.272,5.449,7.791,9.775,-3.74,12.13,0.733
327170.0,2.339,5.222,7.922,9.773,-2.595,6.687,0.855
327222.0,2.181,5.464,7.989,9.922,-1.718,10.534,-1.641
327274.0,2.267,5.298,8.042,9.894,-1.229,6.664,1.061
327326.0,2.258,5.389,8.059,9.954,2.771,3.244,1.053
327378.0,2.083,5.282,7.939,9.76,-1.664,7.656,-0.756
327430.0,2.078,5.085,7.599,9.377,-1.389,5.481,1.282
327482.0,2.184,5.246,8.021,9.829,0.427,6.061,-0.344
327534.0,2.105,5.248,7.961,9.764,-3.153,7.527,-0.13
327586.0,2.088,5.143,7.977,9.718,0.183,4.244,0.015
327638.0,2.212,5.363,8.03,9.907,-7.565,11.321,3.641
327690.0,1.894,5.274,8.365,10.069,-4.176,4.061,0.351
327742.0,2.049,5.375,7.824,9.711,-1.244,2.198,-0.733
327794.0,2.061,5.344,7.958,9.805,-4.344,6.351,3.053
327846.0,2.155,5.092,7.901,9.644,-0.198,3.557,-2.504
327898.0,2.028,5.327,8.114,9.916,-3.809,5.565,1.351
327950.0,2.126,5.262,8.08,9.875,-0.115,4.489,0.229
328002.0,2.114,5.272,8.071,9.869,-3.939,3.443,2.26
328054.0,2.133,5.116,7.942,9.685,-0.206,5.542,-0.534
328106.0,2.076,5.243,7.985,9.775,-0.618,2.122,1.458
328158.0,2.083,5.08,8.009,9.71,-1.893,5.595,0.122
