t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
254562.0,1.803,4.597,8.384,9.73,-2.924,6.687,2.763
254614.0,1.676,4.638,8.444,9.779,-1.809,3.603,0.901
254666.0,1.726,4.52,8.428,9.718,-1.053,7.008,-0.672
254718.0,1.705,4.623,8.466,9.795,-3.26,5.626,1.191
254770.0,1.659,4.525,8.461,9.738,-2.756,7.847,0.611
254822.0,1.674,4.571,8.562,9.848,-0.046,4.191,-1.985
254874.0,1.781,4.532,8.612,9.893,-2.954,6.183,0.443
254926.0,1.64,4.681,8.411,9.764,-2.198,5.489,-0.702
254978.0,1.686,4.719,8.483,9.852,-7.298,11.13,5.122
255030.0,1.745,4.451,8.593,9.833,3.763,2.237,-0.702
255082.0,1.8,4.52,8.588,9.871,-4.565,6.29,6.557
255134.0,1.566,4.314,8.583,9.733,0.832,3.313,0.794
255186.0,1.733,4.336,8.681,9.858,-1.679,3.672,2.099
255238.0,1.638,4.666,8.483,9.819,-3.122,5.046,0.847
255290.0,1.63,4.367,8.576,9.761,-2.015,5.321,0.779
255342.0,1.671,4.436,8.578,9.801,-2.763,4.656,-0.679
255394.0,1.688,4.578,8.602,9.89,-3.656,6.237,0.29
255446.0,1.695,4.422,8.586,9.805,-1.756,3.641,-0.756
255498.0,1.721,4.616,8.571,9.886,-5.198,6.931,0.252
255550.0,1.587,4.386,8.55,9.739,-2.618,2.427,-0.87
255602.0,1.585,4.635,8.44,9.758,-5.435,6.878,3.26
255654.0,1.738,4.262,8.339,9.525,-1.382,2.931,0.718
255706.0,1.753,4.477,8.466,9.736,-3.832,8.588,2.504
255758.0,1.695,4.199,8.775,9.874,-2.16,3.992,-0.458
255810.0,1.707,4.506,8.602,9.86,-4.275,7.855,1.053
255862.0,1.539,4.178,8.598,9.682,0.382,0.893,-0.794
255914.0,1.834,4.571,8.631,9.937,-4.489,8.382,0.725
255966.0,1.674,4.257,8.847,9.959,-2.244,1.695,-1.489
256018.0,1.776,4.618,8.492,9.829,-5.611,8.26,3.687
256070.0,1.652,4.243,8.799,9.907,-1.481,3.275,0.565
256122.0,1.69,4.69,8.351,9.726,-9.183,11.351,6.237
256179.0,1.496,3.857,8.569,9.515,-21.244,19.198,13.634
256231.0,1.448,3.881,8.921,9.836,0.115,3.298,0.664
256283.0,1.496,4.209,8.837,9.902,-2.634,6.832,1.435
256335.0,1.439,4.118,8.897,9.909,0.679,2.924,-1.0
256387.0,1.623,4.041,8.765,9.788,-3.725,6.366,1.771
256439.0,1.504,3.881,8.904,9.829,-1.565,4.038,-1.489
256491.0,1.492,3.955,8.815,9.777,-3.084,6.122,-1.626
256543.0,1.508,4.247,8.973,10.042,-0.519,3.061,-2.947
256595.0,1.556,4.173,8.772,9.838,-2.046,4.023,1.069
256647.0,1.659,4.005,8.827,9.835,-1.649,3.084,2.588
256699.0,1.511,3.967,8.701,9.681,0.42,2.496,0.076
256751.0,1.549,3.929,8.844,9.801,-1.947,3.847,1.87
256803.0,1.616,3.96,8.681,9.678,0.855,2.336,-1.282
256855.0,1.513,4.049,8.703,9.717,-3.763,4.397,2.687
256907.0,1.492,3.922,8.696,9.655,1.427,3.916,-3.412
256959.0,1.53,4.171,8.679,9.75,-3.931,6.527,1.481
