t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
149750.0,-0.256,2.318,9.859,10.131,-14.275,-2.214,3.817
149803.0,0.168,2.002,10.259,10.454,-0.481,-39.221,14.26
149855.0,0.864,1.444,10.58,10.713,-9.664,-47.122,-14.198
149907.0,1.087,1.669,9.242,9.454,-40.74,-10.244,-30.191
149959.0,0.632,0.924,8.303,8.378,-24.0,26.374,-46.183
150011.0,-0.23,1.745,8.291,8.476,-33.282,9.87,-12.008
150063.0,-0.244,1.334,8.411,8.519,-3.405,22.985,-13.145
150115.0,0.194,0.771,8.617,8.653,2.015,1.557,-7.863
150167.0,0.144,1.252,8.899,8.988,3.748,10.985,-11.26
150219.0,-0.06,1.238,9.56,9.64,10.847,5.84,-8.099
150271.0,-0.084,1.106,9.723,9.786,4.931,6.534,-8.405
150323.0,-0.481,1.492,9.816,9.941,-0.366,1.809,-2.611
150375.0,-0.39,1.31,9.574,9.671,5.603,3.206,-3.069
150427.0,-0.314,1.188,9.491,9.57,0.458,0.542,1.901
150479.0,-0.235,1.152,9.483,9.556,5.214,4.359,0.962
150531.0,-0.352,1.192,9.603,9.683,-0.328,0.824,0.664
150583.0,-0.354,1.427,9.512,9.625,-0.061,-0.519,1.634
150635.0,-0.311,1.312,9.498,9.593,1.939,-1.939,1.336
150687.0,-0.242,1.322,9.464,9.559,1.084,0.092,0.824
150739.0,-0.294,1.441,9.416,9.531,-1.885,-0.092,0.954
150791.0,-0.254,1.252,9.491,9.576,2.527,1.191,0.992
150843.0,-0.28,1.13,9.553,9.624,-1.053,-0.733,0.405
150895.0,-0.402,1.477,9.438,9.561,-1.832,-0.87,0.031
150947.0,-0.333,1.47,9.395,9.515,-2.672,-0.382,1.55
150999.0,-0.283,1.279,9.433,9.524,2.649,-0.191,0.389
151051.0,-0.213,1.197,9.524,9.601,1.069,-0.969,0.344
151103.0,-0.254,1.329,9.316,9.414,0.771,-0.656,0.069
151155.0,-0.335,1.441,9.419,9.534,1.427,0.748,-0.565
151207.0,-0.292,1.372,9.371,9.475,-0.244,0.214,0.557
151264.0,-0.292,1.286,9.517,9.608,-1.466,1.244,0.16
151316.0,-0.278,1.269,9.577,9.664,1.229,-0.412,0.092
151368.0,-0.309,1.358,9.565,9.666,-0.611,-0.962,-0.229
151420.0,-0.302,1.29,9.419,9.512,-1.122,-1.053,0.206
151472.0,-0.302,1.379,9.28,9.387,-2.901,-0.695,-0.527
151524.0,-0.316,1.47,9.261,9.382,0.649,0.74,-0.878
151576.0,-0.184,1.286,9.464,9.553,-1.252,0.046,0.435
151628.0,-0.201,1.322,9.498,9.591,0.954,0.137,-0.229
151680.0,-0.172,1.35,9.424,9.521,0.481,-0.519,0.71
151732.0,-0.292,1.24,9.57,9.654,1.397,-0.656,1.092
151784.0,-0.259,1.312,9.371,9.466,2.45,-0.55,0.13
151836.0,-0.275,1.264,9.373,9.462,3.26,-0.336,0.718
151888.0,-0.242,1.259,9.347,9.435,-3.298,-0.015,0.42
151940.0,-0.29,1.204,9.517,9.597,1.71,-0.015,-0.557
151992.0,-0.271,1.276,9.5,9.589,-0.58,0.031,-0.214
152044.0,-0.213,1.259,9.385,9.472,2.107,0.137,-0.534
152096.0,-0.273,1.312,9.354,9.45,-0.557,1.061,-0.885
152148.0,-0.292,1.355,9.452,9.553,0.634,0.878,-0.557
152200.0,-0.278,1.326,9.541,9.637,1.038,0.885,-0.229
152252.0,-0.244,1.185,9.443,9.52,1.725,-0.336,-0.626
152304.0,-0.268,1.341,9.424,9.522,0.382,0.107,0.023
152356.0,-0.306,1.389,9.481,9.587,0.786,1.191,-0.489
152408.0,-0.306,1.221,9.637,9.719,1.557,-1.763,-0.336
152460.0,-0.283,1.544,9.328,9.459,1.206,-0.374,-0.534
152512.0,-0.187,1.35,9.409,9.507,0.573,0.725,0.191
152564.0,-0.263,1.317,9.464,9.559,1.87,-0.412,-0.351
152616.0,-0.261,1.362,9.342,9.445,2.595,0.55,-0.542
152668.0,-0.309,1.353,9.369,9.471,0.389,-0.366,0.611
152720.0,-0.249,1.362,9.357,9.458,0.046,0.496,-0.603
152772.0,-0.29,1.367,9.5,9.602,0.092,0.863,-0.13
152824.0,-0.35,1.353,9.527,9.628,1.779,1.069,0.092
152876.0,-0.271,1.276,9.538,9.627,2.153,-0.252,-0.901
152928.0,-0.35,1.314,9.438,9.535,1.74,-0.221,-0.519
152980.0,-0.39,1.535,9.342,9.475,0.092,-0.13,-0.046
153032.0,-0.318,1.523,9.407,9.535,1.229,-0.519,-0.008
153084.0,-0.314,1.353,9.38,9.483,0.351,0.099,-0.145
153136.0,-0.261,1.525,9.383,9.51,0.626,1.26,-0.45
153188.0,-0.314,1.312,9.653,9.747,1.496,0.786,-0.656
153240.0,-0.292,1.551,9.436,9.567,-3.305,-1.405,0.511
153297.0,-0.311,1.437,9.529,9.642,0.656,-0.382,1.244
153349.0,-0.292,1.358,9.402,9.504,-1.481,-1.511,-0.107
153401.0,-0.275,1.496,9.33,9.453,-2.397,-0.412,0.298
153453.0,-0.278,1.267,9.311,9.401,0.328,-0.107,-0.023
153505.0,-0.273,1.365,9.385,9.488,-0.466,-0.42,-0.649
153558.0,-0.254,1.437,9.455,9.567,1.557,1.687,-0.87
153610.0,-0.323,1.537,9.412,9.542,-0.74,-0.954,0.366
153662.0,-0.278,1.437,9.498,9.61,-1.412,0.061,0.427
153714.0,-0.239,1.25,9.419,9.504,-1.275,-1.351,1.55
153766.0,-0.251,1.192,9.402,9.481,0.809,0.908,-0.16
153818.0,-0.268,1.231,9.409,9.493,1.511,-0.137,-0.519
