ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
0.002,1.214,9.948,3.359,-1.71,3.824,nada,4
0.34,0.737,9.661,7.435,-8.122,2.985,nada,4
0.22,0.754,9.33,4.092,-1.435,-3.58,nada,4
-0.158,1.537,9.577,3.122,-4.45,-4.214,nada,4
-0.151,1.448,9.29,-0.191,-1.74,-2.733,nada,4
0.165,1.518,9.057,-0.115,-0.206,-0.382,nada,4
0.292,1.204,9.242,-12.282,6.122,0.115,nada,4
0.283,1.523,9.424,0.183,-0.771,-5.282,nada,4
0.323,1.482,9.215,2.931,1.282,-8.847,nada,4
0.144,1.762,9.443,-8.534,3.969,-7.366,nada,4
0.06,1.618,9.548,-3.527,2.053,-4.061,nada,4
0.048,1.709,9.766,-8.412,2.611,3.145,nada,4
0.168,1.039,9.78,-9.069,0.87,8.725,nada,4
0.397,0.486,9.301,1.565,-3.198,5.916,nada,4
0.309,0.685,9.175,-0.466,-0.183,5.267,nada,4
0.172,0.517,9.285,-1.656,-0.939,4.336,nada,4
0.354,0.883,9.39,-0.443,-2.611,2.641,nada,4
0.309,0.79,9.352,2.351,-2.221,-0.168,nada,4
0.129,0.977,9.407,-0.046,-0.313,-0.321,nada,4
0.019,1.154,9.335,0.939,-0.947,0.389,nada,4
0.196,1.12,9.527,-2.687,1.511,1.443,nada,4
0.323,1.015,9.414,1.916,-1.802,2.405,nada,4
0.204,0.917,9.268,-0.344,1.313,1.557,nada,4
0.148,0.977,9.397,2.702,2.061,0.573,nada,4
0.089,1.044,9.543,-3.947,5.618,1.237,nada,4
0.249,1.077,9.601,-2.275,1.42,4.656,nada,4
0.196,0.857,9.385,0.061,0.237,1.305,nada,4
0.113,1.041,9.469,0.542,0.053,-0.366,nada,4
0.208,1.252,9.421,0.595,0.328,1.763,nada,4
0.184,1.025,9.467,-1.679,1.13,2.153,nada,4
0.053,1.001,9.531,0.237,-1.191,1.366,nada,4
0.196,0.883,9.357,1.061,-0.664,0.962,nada,4
0.294,0.857,9.481,-2.0,0.817,0.55,nada,4
0.204,0.898,9.591,-1.023,-0.084,0.092,nada,4
0.247,0.9,9.491,2.901,-1.008,-1.122,nada,4
0.278,1.073,9.421,-2.481,1.58,-0.336,nada,4
0.261,0.934,9.62,-2.198,0.527,2.115,nada,4
0.247,0.843,9.364,0.603,-1.145,0.893,nada,4
0.041,0.955,9.378,-0.656,-0.092,0.389,nada,4
0.144,1.013,9.462,-0.824,-1.893,2.885,nada,4
0.225,0.699,9.436,-1.015,-1.511,2.176,nada,4
0.194,0.871,9.29,-0.198,1.733,0.046,nada,4
0.251,0.876,9.433,0.962,0.87,0.206,nada,4
0.163,0.733,9.491,0.275,0.763,-0.313,nada,4
0.177,0.883,9.493,3.359,1.473,-1.351,nada,4
0.124,0.869,9.392,1.71,1.053,-0.794,nada,4
0.206,0.821,9.407,5.351,-0.229,-1.221,nada,4
0.273,1.092,9.495,1.55,1.58,-2.168,nada,4
0.132,1.204,9.814,0.733,-0.176,-0.137,nada,4
0.117,1.142,9.857,-3.519,0.931,0.977,nada,4
0.263,0.737,9.421,1.107,-3.58,3.115,nada,4
0.393,0.512,9.153,1.55,-0.626,-0.977,nada,4
0.158,1.08,9.179,-2.031,2.16,-4.725,nada,4
-0.127,1.434,9.419,1.382,0.389,-1.466,nada,4
0.086,1.226,9.574,-2.0,2.038,2.939,nada,4
0.189,0.697,9.639,-1.802,-0.29,3.962,nada,4
0.316,0.699,9.323,-1.695,-0.496,0.267,nada,4
0.079,1.307,9.493,0.679,0.916,0.557,nada,4
0.199,1.116,9.467,0.336,-0.939,5.74,nada,4
0.294,0.79,9.369,-0.473,-0.71,6.527,nada,4
0.292,0.651,9.292,0.527,1.092,1.992,nada,4
0.141,0.773,9.33,0.229,1.405,-1.084,nada,4
0.053,0.97,9.586,-1.366,2.313,-0.366,nada,4
0.065,0.845,9.55,2.229,2.573,-1.328,nada,4
0.17,0.836,9.663,-0.885,2.145,-0.435,nada,4
0.206,0.833,9.68,0.55,1.26,-2.221,nada,4
0.177,0.958,9.723,1.756,-1.626,-2.076,nada,4
0.012,1.03,9.438,-0.397,-2.511,0.924,nada,4
0.18,0.893,9.505,-2.374,-0.282,1.099,nada,4
0.208,0.812,9.462,0.26,-1.595,0.198,nada,4
0.132,0.917,9.299,-0.397,-2.458,-0.214,nada,4
0.182,1.008,9.261,-0.42,-0.527,0.198,nada,4
0.232,0.97,9.306,0.916,2.046,-0.985,nada,4
0.294,0.903,9.495,-0.496,0.885,-0.305,nada,4
0.249,1.118,9.553,-1.244,0.359,0.115,nada,4
0.141,0.924,9.57,-4.87,0.74,1.573,nada,4
0.165,0.766,9.529,2.672,-1.198,-0.359,nada,4
0.244,0.881,9.345,-1.214,-1.221,0.389,nada,4
0.273,1.006,9.328,1.198,-0.626,-0.473,nada,4
0.201,0.979,9.4,-0.366,0.519,-0.076,nada,4
0.172,0.977,9.488,1.305,0.389,-0.145,nada,4
0.153,0.905,9.562,-1.42,1.137,0.954,nada,4
0.168,0.927,9.407,-0.168,0.191,-0.168,nada,4
0.196,0.814,9.548,-3.427,1.313,0.611,nada,4
0.283,0.895,9.45,-1.206,-3.328,1.031,nada,4
0.352,0.95,9.294,-0.618,-0.382,0.725,nada,4
0.239,0.661,9.515,-2.489,0.893,1.084,nada,4
0.254,0.752,9.349,-0.031,-0.053,-0.298,nada,4
0.263,0.845,9.404,-0.252,1.13,0.099,nada,4
0.306,0.843,9.416,1.244,0.618,-0.458,nada,4
0.127,0.785,9.476,1.16,-1.924,-0.435,nada,4
0.177,0.869,9.325,1.718,-0.366,-0.863,nada,4
0.294,0.766,9.445,-0.672,1.527,0.473,nada,4
0.285,0.663,9.503,-0.397,2.397,-1.183,nada,4
0.204,0.996,9.618,0.771,1.641,-1.55,nada,4
0.182,0.879,9.541,-1.565,1.137,0.74,nada,4
0.189,0.723,9.495,2.649,0.855,-1.122,nada,4
0.232,0.898,9.598,0.298,0.29,-0.985,nada,4
0.213,0.912,9.723,-1.237,1.023,-1.298,nada,4
0.122,1.061,9.584,0.771,-0.954,-1.015,nada,4
0.177,0.939,9.579,0.779,-1.344,1.435,nada,4
0.192,0.891,9.44,2.046,-0.679,0.939,nada,4
0.18,0.752,9.486,1.931,-0.603,0.145,nada,4
0.16,0.953,9.488,1.656,-1.435,-0.031,nada,4
0.204,0.742,9.57,-0.908,-0.771,0.885,nada,4
0.34,0.757,9.383,1.244,-1.618,0.015,nada,4
0.232,0.742,9.495,0.939,-0.099,-2.267,nada,4
0.338,0.991,9.354,1.84,0.168,-2.076,nada,4
0.338,0.85,9.416,-1.786,-0.481,-1.122,nada,4
0.414,1.075,9.342,0.252,0.29,-1.282,nada,4
0.261,1.324,9.258,1.107,3.107,-1.053,nada,4
0.024,1.207,9.572,2.015,1.115,3.45,nada,4
0.06,0.874,9.574,1.206,-0.969,6.84,nada,4
0.237,0.395,9.443,0.649,-0.382,4.779,nada,4
0.237,0.328,9.653,-4.794,3.137,0.626,nada,4
0.117,0.572,9.752,-0.977,-0.122,-3.588,nada,4
0.134,0.939,9.488,0.359,-1.191,-3.985,nada,4
0.16,1.044,9.409,1.687,0.519,-5.244,nada,4
0.057,1.173,9.378,-1.389,0.794,-3.084,nada,4
0.11,0.946,9.44,-2.145,1.427,0.832,nada,4
0.28,0.69,9.495,-3.237,2.863,-0.626,nada,4
0.206,0.836,9.706,-1.672,2.214,-4.015,nada,4
0.038,1.228,9.562,2.664,-1.985,-2.977,nada,4
0.067,1.159,9.397,-1.74,-2.382,2.473,nada,4
0.16,0.709,9.409,-1.466,-0.443,3.321,nada,4
0.227,0.551,9.462,0.527,-0.985,1.664,nada,4
0.206,0.508,9.455,-1.58,-0.412,-0.282,nada,4
0.117,0.776,9.383,2.038,0.153,-2.588,nada,4
0.122,0.982,9.534,-0.771,1.374,-1.977,nada,4
0.065,0.907,9.397,-0.153,0.656,-0.931,nada,4
0.177,0.74,9.301,1.496,0.534,0.641,nada,4
0.175,0.742,9.404,-0.214,2.908,-1.298,nada,4
0.105,0.919,9.735,-1.0,3.328,-2.252,nada,4
0.122,0.941,9.73,2.55,-0.405,-1.466,nada,4
0.11,0.967,9.632,2.145,-1.58,0.046,nada,4
0.204,0.864,9.464,-0.519,-1.214,1.237,nada,4
0.218,0.802,9.467,0.58,-1.87,1.435,nada,4
0.208,0.919,9.39,0.573,-0.924,1.252,nada,4
0.18,0.838,9.345,-0.649,0.55,1.023,nada,4
0.057,0.955,9.527,-1.443,1.42,0.634,nada,4
0.014,0.812,9.488,1.473,-2.939,2.076,nada,4
0.17,0.745,9.318,-0.687,0.45,2.0,nada,4
0.376,0.838,9.469,-1.931,2.794,0.435,nada,4
0.189,0.881,9.644,1.29,-2.084,-1.237,nada,4
0.144,0.998,9.349,2.695,-1.824,0.298,nada,4
0.163,0.838,9.347,-1.282,1.359,2.359,nada,4
0.263,0.661,9.409,0.954,0.397,0.397,nada,4
0.196,0.783,9.424,0.817,1.595,-0.466,nada,4
0.254,1.041,9.651,-1.893,2.962,0.924,nada,4
0.213,0.891,9.725,0.252,-0.504,2.626,nada,4
0.196,0.857,9.584,-0.366,-1.13,2.618,nada,4
0.177,0.804,9.278,3.718,-2.756,2.977,nada,4
0.141,0.675,9.268,-0.29,1.176,1.397,nada,4
-0.019,0.804,9.424,1.832,1.191,1.534,nada,4
0.014,0.764,9.402,1.305,1.748,1.534,nada,4
0.0,0.517,9.483,2.092,1.634,0.374,nada,4
0.06,0.646,9.598,-0.489,3.244,-3.466,nada,4
-0.077,0.73,9.708,3.496,-0.84,-5.359,nada,4
0.014,1.12,9.474,1.153,-0.908,-3.702,nada,4
0.251,0.927,9.61,-2.13,1.397,-1.198,nada,4
0.314,0.936,9.613,-1.962,0.191,-1.679,nada,4
0.093,1.123,9.615,-1.527,-2.153,0.099,nada,4
0.175,0.948,9.486,-0.641,-2.153,2.84,nada,4
0.225,0.773,9.395,0.992,-1.832,2.527,nada,4
0.189,0.582,9.4,0.168,0.214,0.328,nada,4
0.091,0.843,9.354,0.405,1.198,-2.573,nada,4
0.077,0.979,9.397,0.351,1.84,-1.969,nada,4
0.069,1.063,9.574,-0.527,1.695,-1.023,nada,4
0.158,0.867,9.565,2.916,-0.519,-0.267,nada,4
0.168,0.941,9.527,0.252,1.664,-0.863,nada,4
0.182,0.958,9.701,-1.26,0.893,-0.137,nada,4
0.101,0.939,9.565,0.985,-1.267,0.282,nada,4
0.115,0.915,9.371,0.863,-1.351,0.626,nada,4
0.091,0.814,9.388,0.588,0.664,-0.702,nada,4
-0.041,0.948,9.383,1.893,-1.153,-0.389,nada,4
0.048,0.91,9.431,-0.16,0.931,0.847,nada,4
0.16,0.673,9.629,-0.504,1.069,-0.664,nada,4
0.101,0.946,9.61,1.305,-0.221,-2.0,nada,4
0.053,1.08,9.582,0.901,-0.817,-0.336,nada,4
0.192,0.888,9.488,0.374,-1.206,1.015,nada,4
0.201,0.836,9.459,-1.046,0.87,0.137,nada,4
0.129,0.881,9.421,0.557,-0.107,-0.443,nada,4
0.122,0.919,9.397,0.733,0.962,-0.573,nada,4
0.146,0.929,9.445,0.313,1.519,-0.237,nada,4
0.113,0.953,9.383,0.458,1.374,-0.16,nada,4
0.098,0.905,9.467,-1.252,2.344,0.733,nada,4
0.156,0.761,9.507,0.634,-0.901,1.122,nada,4
