ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-2.761,1.379,9.234,-3.832,2.748,8.809,presente,5
-3.045,1.207,9.515,1.13,-2.183,7.893,presente,5
-2.861,1.13,9.038,0.817,-3.832,5.588,presente,5
-2.586,1.223,8.825,2.962,-3.679,2.168,presente,5
-2.689,1.195,8.985,6.794,1.519,-2.702,presente,5
-3.16,1.595,9.301,7.023,2.107,-6.809,presente,5
-2.926,1.815,9.163,6.191,-1.229,-3.397,presente,5
-3.141,1.982,9.347,2.924,2.214,-4.924,presente,5
-2.847,1.707,9.079,2.504,0.733,-2.221,presente,5
-2.859,1.76,9.244,-4.168,4.779,-5.183,presente,5
-2.835,2.088,9.218,-4.13,4.618,-2.16,presente,5
-3.048,1.602,9.38,-2.565,0.359,-1.038,presente,5
-3.285,1.717,9.16,1.511,0.221,-2.198,presente,5
-3.033,1.391,9.086,1.198,3.939,1.473,presente,5
-2.954,1.405,9.029,-5.931,10.664,-2.687,presente,5
-3.417,1.805,9.165,-3.374,10.481,-3.229,presente,5
-3.613,1.616,9.653,-6.496,8.298,0.069,presente,5
-3.555,1.338,9.335,-7.244,1.718,-1.702,presente,5
-3.682,1.451,9.562,2.145,-0.16,0.985,presente,5
-3.519,1.094,9.325,0.458,-4.702,0.443,presente,5
-3.409,1.381,9.21,0.664,-0.351,-0.511,presente,5
-3.328,1.748,9.56,-0.992,-1.275,0.122,presente,5
-3.393,1.322,9.505,-2.618,1.458,-0.069,presente,5
-3.407,1.367,9.275,-4.435,-2.275,-1.466,presente,5
-3.364,1.29,9.309,-1.763,0.756,-0.489,presente,5
-3.268,1.264,9.297,-2.176,-1.328,-1.305,presente,5
-3.34,1.353,9.234,-0.069,-2.145,-0.649,presente,5
-3.287,1.358,9.175,-1.084,-1.137,-0.115,presente,5
-3.268,1.3,9.177,0.901,-2.679,0.122,presente,5
-3.187,1.374,9.115,-0.763,-0.198,-0.969,presente,5
-3.208,1.235,9.282,0.519,0.0,-0.527,presente,5
-3.273,1.31,9.175,2.359,0.443,-0.489,presente,5
-3.273,1.389,9.246,0.672,1.931,0.588,presente,5
-3.33,1.238,9.476,1.427,-0.511,-0.466,presente,5
-3.292,1.372,9.167,1.099,0.763,0.84,presente,5
-3.244,1.302,9.273,-0.527,1.42,0.168,presente,5
-3.309,1.283,9.407,0.603,1.183,-0.389,presente,5
-3.299,1.487,9.273,0.046,0.756,0.74,presente,5
-3.306,1.391,9.342,-0.023,-0.176,0.542,presente,5
-3.371,1.283,9.328,-0.328,1.58,0.832,presente,5
-3.357,1.319,9.263,0.779,0.489,0.489,presente,5
-3.383,1.223,9.263,0.267,-0.176,-0.328,presente,5
