t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1637070.0,-2.588,0.103,10.144,10.47,-37.252,-4.802,-2.038
1637123.0,-1.963,1.3,8.313,8.64,34.924,-34.412,-1.496
1637175.0,-1.908,1.056,9.998,10.233,0.481,-35.26,7.183
1637227.0,-1.858,1.405,10.269,10.53,-4.191,-44.389,9.977
1637279.0,-1.487,1.738,10.051,10.308,-13.29,-45.527,6.885
1637331.0,-0.534,1.848,10.724,10.895,-31.641,-45.153,11.282
1637383.0,-0.366,1.247,11.382,11.456,-36.206,-52.107,11.351
1637435.0,0.043,1.188,11.212,11.275,-49.107,-58.458,14.412
1637487.0,0.591,-0.077,10.369,10.386,-21.328,-56.748,16.366
1637539.0,1.568,0.383,10.147,10.274,-18.885,-62.985,18.855
1637591.0,1.697,-0.637,9.414,9.587,-33.176,-73.084,23.519
1637643.0,2.679,-0.972,8.566,9.028,-23.374,-68.481,26.298
1637695.0,3.17,-1.111,8.028,8.702,-25.802,-71.336,23.511
1637747.0,3.644,-1.441,7.108,8.117,-16.878,-63.229,27.947
1637799.0,3.807,-2.011,6.29,7.622,-20.557,-57.504,30.366
1637851.0,4.238,-2.404,5.569,7.399,-17.679,-42.076,27.282
1637903.0,4.202,-2.126,4.027,6.196,-0.466,-22.115,22.336
1637955.0,4.7,-3.086,3.158,6.449,32.427,13.115,25.611
1638012.0,4.003,-2.473,6.155,7.748,-7.176,51.809,7.42
1638064.0,3.778,-3.46,8.705,10.101,0.756,40.191,4.153
1638116.0,3.895,-2.89,10.156,11.255,-4.947,16.756,-7.443
1638168.0,3.587,-2.021,8.885,9.792,18.595,-2.71,-8.389
1638220.0,3.649,-1.848,6.692,7.843,28.221,2.031,-8.496
1638272.0,4.755,-1.451,4.484,6.695,31.527,42.038,-0.305
1638324.0,3.886,-2.598,5.535,7.245,41.435,105.756,1.679
1638376.0,1.453,-1.592,10.369,10.591,9.573,106.13,-19.389
1638428.0,2.181,-1.927,8.93,9.393,36.443,70.969,-11.954
1638480.0,1.393,-1.221,8.392,8.594,68.16,100.237,-20.542
1638532.0,-1.142,0.007,12.005,12.059,8.58,123.313,-41.107
1638584.0,-3.373,0.634,13.458,13.889,21.611,69.603,-28.229
1638636.0,-2.571,2.497,11.643,12.182,30.588,4.695,-11.267
1638688.0,-1.753,1.049,9.9,10.108,-12.267,-7.71,-4.176
1638740.0,-1.504,0.637,9.467,9.606,-3.588,-0.878,-3.031
1638793.0,-0.97,0.371,9.515,9.571,-1.969,-2.321,-0.282
1638845.0,-0.898,-0.259,9.342,9.389,-9.237,-2.069,0.725
1638897.0,-1.044,0.072,9.287,9.346,6.244,3.321,-1.649
1638949.0,-1.379,0.285,9.73,9.831,-3.366,4.504,-1.313
1639001.0,-1.604,0.441,9.814,9.954,3.473,0.954,0.466
1639053.0,-1.159,0.338,9.744,9.819,10.267,-5.481,1.595
1639105.0,-1.008,0.017,9.591,9.644,2.519,-3.359,1.847
1639157.0,-1.097,0.206,9.474,9.539,6.313,1.679,0.695
1639209.0,-1.233,0.491,9.634,9.725,0.397,2.061,-0.321
