t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1458373.0,-0.196,0.915,9.783,9.827,-2.443,5.412,0.87
1458425.0,-0.206,0.893,9.831,9.873,-1.107,5.626,0.458
1458477.0,-0.144,0.881,9.768,9.809,-1.687,5.366,0.191
1458529.0,-0.23,0.97,9.867,9.917,-1.489,5.015,-0.015
1458581.0,-0.206,1.01,9.876,9.93,-1.16,4.786,0.893
1458633.0,-0.18,0.871,9.799,9.84,-0.817,5.0,1.389
1458685.0,-0.153,0.879,9.809,9.85,-1.672,5.298,0.725
1458737.0,-0.256,0.781,9.922,9.956,-2.015,5.16,0.908
1458789.0,-0.206,0.845,9.78,9.819,-2.305,4.695,0.534
1458841.0,-0.268,0.965,9.871,9.922,-2.145,4.748,0.908
1458893.0,-0.194,0.848,9.795,9.833,-1.427,3.817,0.786
1458945.0,-0.254,0.934,9.795,9.842,-1.573,5.092,0.511
1458997.0,-0.182,0.761,9.773,9.804,-1.336,4.802,0.298
1459049.0,-0.235,0.893,9.732,9.776,-1.87,4.198,-0.153
1459101.0,-0.285,0.929,9.732,9.781,-1.198,5.863,0.489
1459153.0,-0.206,0.833,9.766,9.804,-1.908,4.901,0.649
1459205.0,-0.292,0.91,9.816,9.863,-2.015,5.389,1.069
1459257.0,-0.218,0.862,9.902,9.942,-0.718,5.344,0.878
1459309.0,-0.213,0.84,9.807,9.845,0.122,4.718,0.573
1459361.0,-0.237,0.831,9.838,9.876,-1.687,5.13,0.519
1459413.0,-0.182,0.769,9.799,9.831,-1.885,6.069,0.702
1459465.0,-0.278,0.924,9.804,9.852,-2.313,6.305,0.267
1459517.0,-0.28,0.85,9.773,9.814,-1.763,5.069,0.45
1459569.0,-0.294,0.848,9.807,9.848,-1.168,6.427,0.153
1459621.0,-0.328,0.953,9.804,9.856,-1.489,6.046,0.954
1459673.0,-0.227,0.812,9.809,9.845,-1.069,5.458,0.817
1459725.0,-0.206,0.761,9.771,9.803,-1.954,5.344,0.542
1459782.0,-0.266,0.757,9.943,9.975,-2.511,4.908,0.573
1459834.0,-0.292,0.96,9.785,9.836,-1.733,4.634,-0.031
1459886.0,-0.268,0.826,9.809,9.847,-2.26,4.962,0.649
1459938.0,-0.323,0.85,9.797,9.839,-0.878,4.099,0.252
1459990.0,-0.268,0.781,9.776,9.81,-2.015,5.099,0.809
1460042.0,-0.299,0.821,9.859,9.898,-2.092,4.878,0.863
1460094.0,-0.323,0.967,9.785,9.838,-1.588,5.176,0.748
1460146.0,-0.326,0.745,9.699,9.733,-1.298,5.237,0.901
1460198.0,-0.309,0.785,9.72,9.757,-3.115,5.947,0.756
1460250.0,-0.335,0.802,9.857,9.895,-3.244,7.344,1.42
1460302.0,-0.292,0.8,9.833,9.87,-0.427,8.794,0.855
1460354.0,-0.409,0.747,9.874,9.91,-1.588,7.221,1.145
1460406.0,-0.429,0.567,10.491,10.515,-2.214,2.74,1.298
1460458.0,-1.207,0.86,12.17,12.26,4.702,-6.153,2.748
1460510.0,-1.966,0.998,14.49,14.656,46.924,-70.305,19.664
1460562.0,-1.776,1.755,15.117,15.322,117.374,-163.092,35.275
1460614.0,-0.919,2.37,13.475,13.712,132.16,-221.168,32.649
1460666.0,2.215,4.001,9.395,10.449,140.458,-230.229,41.802
1460718.0,4.52,3.812,5.499,8.075,107.763,-217.84,53.84
1460770.0,5.559,3.524,3.215,7.326,100.702,-180.992,54.817
1460822.0,6.287,3.306,0.972,7.17,72.29,-146.473,65.214
1460874.0,7.02,2.394,-1.106,7.499,79.489,-132.901,61.947
1460926.0,8.329,2.289,-1.966,8.859,43.305,-95.267,46.145
1460978.0,8.083,1.872,-2.777,8.749,30.603,-61.718,28.511
1461030.0,8.638,1.7,-3.311,9.406,18.733,-37.0,22.756
1461082.0,9.098,2.071,-3.443,9.946,7.763,-11.641,7.649
1461134.0,8.808,1.915,-2.942,9.482,-2.527,2.931,6.13
1461186.0,9.357,2.667,-2.339,10.007,-2.511,7.29,4.046
1461238.0,9.345,2.947,-1.714,9.947,-4.71,21.0,1.374
1461290.0,9.242,2.658,-1.501,9.733,-1.275,9.137,4.969
1461342.0,9.402,2.37,-1.642,9.834,-2.809,8.992,1.214
1461394.0,9.364,2.447,-1.652,9.818,-2.023,5.481,-1.168
1461446.0,9.273,2.871,-1.525,9.826,-0.305,12.557,-3.427
1461498.0,9.096,3.11,-0.989,9.663,-7.794,11.16,1.855
1461550.0,9.536,2.787,-1.267,10.015,0.389,4.908,1.023
1461602.0,9.115,2.758,-1.255,9.605,0.221,6.832,-0.588
1461654.0,9.426,2.684,-1.391,9.899,-1.794,5.87,1.466
1461706.0,9.208,2.528,-1.221,9.627,-6.885,10.527,0.443
