ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
2.179,5.631,7.779,-0.588,4.916,2.542,presente,1
1.997,5.389,7.803,-3.0,3.565,1.519,presente,1
2.181,5.528,7.673,-1.374,5.053,-0.672,presente,1
2.152,5.404,7.702,-1.725,1.168,0.977,presente,1
2.284,5.665,7.731,-4.832,5.504,-0.641,presente,1
2.339,5.49,7.659,-1.321,3.702,0.466,presente,1
2.303,5.468,7.626,-1.412,2.267,0.718,presente,1
2.255,5.662,7.714,-1.053,7.229,-1.282,presente,1
2.219,5.504,7.743,0.847,2.969,2.45,presente,1
2.188,5.514,7.719,1.153,7.557,-0.519,presente,1
2.282,5.504,7.822,0.198,6.977,-0.084,presente,1
2.112,5.693,8.145,0.458,1.679,4.664,presente,1
2.109,5.801,8.538,-5.305,4.031,2.55,presente,1
2.291,6.273,9.045,-9.16,-11.74,18.336,presente,1
2.409,6.622,9.747,-12.786,-18.573,22.076,presente,1
2.753,6.694,9.965,-34.855,-30.069,40.282,presente,1
3.637,6.242,9.536,-38.275,-56.481,60.504,presente,1
3.862,6.218,9.227,-42.344,-58.595,76.153,presente,1
4.796,5.392,8.054,-87.656,-78.328,92.496,presente,1
4.999,4.173,7.736,-84.298,-66.099,88.71,presente,1
5.392,3.201,6.993,-111.458,-73.473,98.771,presente,1
5.614,1.015,6.79,-110.153,-75.191,89.374,presente,1
6.206,0.278,6.194,-133.374,-79.71,99.328,presente,1
6.196,-1.209,5.183,-117.779,-76.992,95.16,presente,1
6.383,-2.935,3.352,-133.718,-64.405,80.008,presente,1
6.462,-4.302,0.907,-96.74,-80.763,89.901,presente,1
6.402,-6.584,-0.136,-73.053,-36.29,70.519,presente,1
5.578,-7.137,-0.587,-15.931,-39.962,47.45,presente,1
5.885,-7.752,0.086,3.954,15.687,13.634,presente,1
7.396,-6.019,0.263,13.298,20.847,-11.809,presente,1
7.137,-6.385,3.074,-4.374,17.74,-16.366,presente,1
8.191,-5.938,2.612,-10.969,-9.748,0.718,presente,1
7.585,-6.17,2.186,-14.893,-18.389,8.099,presente,1
7.669,-6.28,1.559,-13.702,-10.779,8.099,presente,1
7.47,-6.366,1.472,-1.031,-4.802,5.832,presente,1
7.221,-6.323,1.906,-8.183,-4.061,7.985,presente,1
7.274,-6.246,1.547,0.573,-5.481,-5.053,presente,1
7.599,-6.177,1.312,-6.603,2.305,-4.115,presente,1
7.719,-6.249,1.35,-5.664,5.061,-2.855,presente,1
7.649,-6.606,1.607,-0.26,8.252,-5.435,presente,1
7.685,-6.108,1.353,4.519,4.824,-1.13,presente,1
7.647,-6.103,1.7,5.832,7.198,0.168,presente,1
7.563,-5.986,1.93,-4.412,9.863,3.809,presente,1
7.42,-6.366,1.798,0.046,5.542,-0.954,presente,1
7.623,-5.983,1.702,-7.527,10.038,-0.527,presente,1
7.456,-6.249,1.563,5.305,3.275,-2.893,presente,1
7.606,-5.873,1.75,-8.313,11.817,-2.901,presente,1
7.649,-6.069,1.822,4.427,4.344,-2.763,presente,1
7.621,-6.05,1.927,-4.015,4.557,0.107,presente,1
7.633,-6.227,1.753,-3.229,5.473,-1.702,presente,1
7.542,-6.115,1.69,-2.916,3.634,-0.695,presente,1
7.745,-5.938,1.618,1.191,8.107,-4.046,presente,1
7.592,-6.057,1.719,1.252,3.687,1.702,presente,1
7.769,-6.036,1.724,-1.511,10.58,-4.618,presente,1
7.688,-5.957,1.719,2.076,2.137,-0.16,presente,1
7.898,-5.952,1.765,-4.489,10.374,-5.847,presente,1
7.599,-5.66,2.152,0.267,0.092,-4.473,presente,1
7.8,-5.854,1.817,-6.305,7.16,-0.947,presente,1
7.898,-5.612,1.434,-1.924,7.412,-0.214,presente,1
7.728,-6.065,1.87,0.351,9.725,2.58,presente,1
7.719,-5.763,1.686,5.893,0.794,4.489,presente,1
7.604,-5.99,1.863,1.084,6.611,0.771,presente,1
7.676,-5.811,1.671,-5.328,6.305,1.282,presente,1
7.712,-6.084,1.877,3.046,0.702,0.206,presente,1
7.779,-5.837,1.798,-1.748,5.382,-0.809,presente,1
7.712,-5.808,1.812,0.458,3.786,1.519,presente,1
7.681,-5.918,1.863,-3.924,5.168,-0.168,presente,1
7.819,-5.966,1.669,1.557,2.542,1.969,presente,1
7.642,-6.067,1.748,-0.885,8.405,1.878,presente,1
7.755,-5.756,1.733,3.565,6.397,1.305,presente,1
7.527,-6.026,2.069,0.198,4.947,2.313,presente,1
7.752,-5.971,1.93,2.16,2.809,-0.519,presente,1
7.628,-5.883,2.145,-0.107,6.183,0.992,presente,1
7.518,-5.976,1.937,1.832,6.252,2.336,presente,1
7.482,-6.06,2.057,-1.405,5.153,0.046,presente,1
7.779,-6.002,1.923,-1.794,3.573,0.069,presente,1
7.733,-5.873,1.949,-0.206,3.763,0.885,presente,1
7.616,-5.952,1.925,0.977,2.947,0.733,presente,1
7.728,-5.775,1.982,-3.756,7.405,0.061,presente,1
7.661,-5.926,2.059,1.221,3.588,0.115,presente,1
7.645,-6.007,1.913,-6.427,6.206,1.206,presente,1
7.791,-5.885,1.856,3.382,2.13,-1.237,presente,1
7.642,-5.926,2.148,-4.382,2.916,2.756,presente,1
7.712,-5.926,1.872,0.771,2.656,-0.076,presente,1
7.535,-6.0,1.86,-4.756,5.29,1.74,presente,1
7.645,-5.935,1.887,1.42,3.053,-0.458,presente,1
7.657,-6.014,1.961,-3.496,4.489,1.107,presente,1
7.69,-5.89,1.913,-2.275,4.901,0.107,presente,1
7.774,-5.914,1.879,-2.611,1.588,0.87,presente,1
7.664,-5.871,1.836,-3.168,5.26,0.893,presente,1
7.642,-5.995,1.932,0.069,4.595,1.053,presente,1
7.652,-6.031,1.923,-3.542,6.374,-0.008,presente,1
7.688,-5.914,1.858,0.672,2.344,1.26,presente,1
7.645,-6.038,1.827,-3.901,5.252,0.847,presente,1
7.683,-5.971,1.767,1.366,3.374,0.55,presente,1
7.678,-6.036,1.851,-1.328,7.794,-1.282,presente,1
7.719,-5.856,1.803,2.084,4.618,0.893,presente,1
7.685,-5.986,1.865,-4.511,7.061,-0.13,presente,1
7.776,-6.024,1.812,1.42,3.809,-1.084,presente,1
7.609,-5.887,1.848,-1.008,6.496,0.397,presente,1
7.683,-5.923,1.903,0.618,7.053,-2.099,presente,1
7.649,-5.856,2.152,-2.359,5.58,-0.443,presente,1
7.812,-5.799,1.858,-2.641,4.748,0.473,presente,1
7.63,-5.835,1.772,0.71,2.298,1.511,presente,1
7.685,-5.993,1.853,0.565,6.74,-0.26,presente,1
7.628,-5.986,2.09,0.931,4.71,-0.595,presente,1
7.647,-5.95,1.942,2.45,4.13,-2.122,presente,1
7.748,-5.818,2.114,0.214,6.046,-2.656,presente,1
7.592,-5.806,1.628,3.962,5.29,-2.618,presente,1
