t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
2163266.0,3.354,5.387,7.499,9.823,-2.427,4.992,-0.092
2163318.0,3.402,5.418,7.429,9.804,-0.435,2.855,1.718
2163370.0,3.361,5.289,7.468,9.749,-1.519,4.863,-0.031
2163422.0,3.39,5.375,7.515,9.842,0.061,2.71,0.58
2163474.0,3.46,5.318,7.396,9.744,-3.053,5.031,0.115
2163526.0,3.496,5.492,7.412,9.866,-1.878,3.45,0.893
2163578.0,3.519,5.409,7.415,9.829,-2.939,4.061,1.817
2163630.0,3.381,5.296,7.415,9.719,-2.588,3.58,0.397
2163682.0,3.395,5.32,7.403,9.728,-0.656,4.496,-0.023
2163734.0,3.467,5.353,7.477,9.828,-3.481,3.611,1.328
2163786.0,3.407,5.397,7.482,9.834,-0.664,4.74,0.183
2163838.0,3.419,5.334,7.508,9.824,-2.786,3.809,1.13
2163890.0,3.45,5.325,7.321,9.688,-1.015,4.687,0.221
2163942.0,3.378,5.231,7.434,9.698,-0.191,4.176,0.374
2163994.0,3.366,5.313,7.544,9.822,-2.122,4.557,0.489
2164046.0,3.517,5.377,7.424,9.819,-1.733,4.542,0.092
2164098.0,3.448,5.351,7.451,9.8,-1.427,5.389,-0.275
2164150.0,3.512,5.411,7.365,9.79,-0.901,4.557,0.786
2164202.0,3.407,5.308,7.535,9.826,-0.748,4.603,0.588
2164254.0,3.464,5.492,7.539,9.95,-3.473,4.267,0.527
2164306.0,3.539,5.744,7.872,10.367,-3.901,-0.496,5.008
2164358.0,3.663,5.899,8.282,10.808,-11.359,-6.817,10.305
2164410.0,3.996,6.067,8.94,11.519,-16.435,-17.756,19.641
2164462.0,4.235,6.359,9.115,11.893,-30.282,-31.214,34.931
2164514.0,4.544,6.522,8.935,11.959,-35.412,-45.092,46.031
2164566.0,4.911,4.911,8.746,11.168,-44.618,-68.282,66.252
2164618.0,5.473,4.518,7.63,10.421,-55.771,-67.183,67.832
2164670.0,5.964,3.328,6.95,9.744,-45.695,-76.13,79.718
2164722.0,6.273,2.799,6.11,9.193,-74.389,-60.076,73.71
2164785.0,-5.833,-4.711,5.78,9.467,-74.389,-60.076,73.71
2164848.0,-5.833,-4.711,5.78,9.467,-74.389,-60.076,73.71
2164911.0,-5.833,-4.711,5.78,9.467,-74.389,-60.076,73.71
2164974.0,-5.833,-4.711,5.78,9.467,-74.389,-60.076,73.71
2165037.0,-5.833,-4.711,5.78,9.467,-74.389,-60.076,73.71
2165100.0,-5.833,-4.711,5.78,9.467,-74.389,-60.076,73.71
2165152.0,8.045,-4.298,1.942,9.325,-43.763,-16.405,47.718
2165220.0,-3.431,-1.286,3.742,5.237,-43.763,-16.405,47.718
2165283.0,-3.431,-1.286,3.742,5.237,-43.763,-16.405,47.718
2165346.0,-3.431,-1.286,3.742,5.237,-43.763,-16.405,47.718
2165409.0,-3.431,-1.286,3.742,5.237,-43.763,-16.405,47.718
2165472.0,-3.431,-1.286,3.742,5.237,-43.763,-16.405,47.718
2165535.0,-3.431,-1.286,3.742,5.237,-43.763,-16.405,47.718
2165598.0,-3.431,-1.286,3.742,5.237,-43.763,-16.405,47.718
2165661.0,-3.431,-1.286,3.742,5.237,-43.763,-16.405,47.718
2165724.0,-3.431,-1.286,3.742,5.237,-43.763,-16.405,47.718
2165787.0,-3.431,-1.286,3.742,5.237,-43.763,-16.405,47.718
