t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1058091.0,1.109,5.82,7.606,9.642,-3.687,5.893,1.244
1058143.0,1.168,6.005,7.673,9.813,-0.45,5.275,-0.008
1058195.0,1.123,5.686,7.858,9.764,2.565,2.656,-0.206
1058247.0,1.211,5.971,7.654,9.783,-3.145,4.901,1.275
1058299.0,1.24,5.799,7.836,9.827,3.557,3.206,-0.702
1058351.0,1.147,5.753,7.843,9.795,0.947,3.397,0.725
1058403.0,1.338,6.1,7.676,9.896,-4.435,4.198,0.992
1058455.0,1.188,5.387,7.738,9.503,4.466,3.55,-5.015
1058507.0,1.109,5.909,7.683,9.756,-0.901,5.321,-1.634
1058559.0,1.197,6.098,7.764,9.945,-5.053,6.794,1.412
1058616.0,1.221,5.911,7.824,9.882,-1.13,4.489,-0.649
1058668.0,1.166,6.026,8.035,10.111,-2.183,2.771,2.595
1058720.0,1.413,6.361,8.703,10.872,-7.977,-1.099,8.42
1058772.0,1.671,6.361,9.972,11.946,6.053,-20.305,6.733
1058824.0,2.315,8.404,10.274,13.473,33.489,-47.985,9.763
1058876.0,2.574,8.495,10.539,13.779,-0.229,-65.969,42.504
1058928.0,3.153,8.368,9.675,13.174,6.992,-91.55,59.366
1058980.0,3.316,7.736,9.105,12.399,-15.695,-97.664,84.336
1059032.0,3.752,7.956,8.294,12.089,-30.55,-111.748,109.313
1059084.0,3.979,5.365,6.852,9.569,-67.198,-121.847,129.435
1059136.0,4.238,3.232,5.069,7.355,-68.924,-125.214,125.817
1059188.0,5.088,1.98,3.488,6.479,-70.595,-124.695,128.252
1059240.0,5.538,0.555,2.38,6.053,-73.718,-112.221,116.26
1059292.0,6.711,-0.697,0.95,6.814,-57.618,-103.206,105.122
1059344.0,7.523,-1.556,0.522,7.7,-55.153,-81.053,91.779
1059396.0,8.004,-2.116,0.23,8.282,-38.153,-66.733,66.618
1059448.0,8.236,-2.191,-0.761,8.556,-35.519,-56.252,58.382
1059501.0,8.753,-3.385,-1.317,9.477,-35.573,-45.282,59.191
1059553.0,8.183,-4.331,-1.554,9.388,-17.969,-34.031,37.389
1059605.0,8.914,-4.817,-2.387,10.409,-21.641,-20.771,39.237
1059658.0,8.911,-5.253,-2.064,10.548,-2.282,-6.611,18.626
1059710.0,8.806,-4.594,-1.561,10.054,3.588,1.969,-1.252
1059762.0,8.825,-4.295,-1.03,9.869,-0.115,6.756,1.305
1059814.0,8.758,-3.845,-0.967,9.614,1.069,-0.107,0.107
1059866.0,8.928,-4.247,-1.25,9.965,0.718,2.855,2.229
1059918.0,8.801,-4.089,-1.267,9.787,1.496,5.458,-0.099
1059970.0,8.859,-4.458,-0.91,9.959,-1.573,8.832,-2.42
1060022.0,8.914,-3.972,-1.082,9.818,5.122,4.42,-6.496
1060074.0,9.005,-4.106,-1.085,9.956,-4.443,8.863,0.053
1060126.0,8.976,-3.833,-1.053,9.817,4.328,6.206,-1.885
1060178.0,8.976,-4.3,-0.773,9.983,0.74,5.725,1.809
1060230.0,8.94,-4.022,-0.984,9.852,1.702,2.84,-0.206
1060282.0,8.89,-4.02,-1.075,9.815,1.321,6.267,-0.183
1060334.0,8.916,-3.883,-0.931,9.77,-1.908,10.221,-0.458
1060387.0,8.875,-4.085,-0.682,9.794,1.939,1.511,-2.076
1060439.0,9.057,-4.075,-1.082,9.991,-1.099,11.489,-0.282
