ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
2.899,7.037,6.316,-1.672,7.832,-0.496,presente,3
2.868,7.149,6.404,1.511,4.901,1.237,presente,3
2.703,6.79,6.498,-2.626,4.061,5.115,presente,3
2.715,6.785,6.436,0.221,4.863,2.26,presente,3
2.679,6.5,6.534,-1.145,4.641,1.351,presente,3
2.765,6.823,6.28,-10.817,12.29,-3.611,presente,3
2.478,6.62,6.797,0.214,6.595,-4.13,presente,3
2.863,7.099,6.383,-12.847,4.229,1.565,presente,3
2.677,6.831,6.349,2.16,8.374,-2.534,presente,3
2.567,6.704,6.584,-6.473,7.748,0.931,presente,3
2.61,6.718,6.426,-2.916,5.618,-0.466,presente,3
2.466,6.732,6.67,2.916,6.496,-1.504,presente,3
2.531,6.663,6.704,-0.649,7.443,0.137,presente,3
2.497,6.845,6.694,-0.55,4.443,-0.229,presente,3
2.521,6.759,6.68,-1.977,5.901,0.336,presente,3
2.55,6.756,6.828,-0.969,0.527,1.542,presente,3
2.667,6.859,6.852,-2.771,0.855,3.29,presente,3
3.098,7.436,7.175,0.214,-4.053,5.756,presente,3
3.251,7.389,7.776,2.038,-9.626,12.366,presente,3
3.675,8.181,8.234,-14.71,-16.763,23.74,presente,3
4.07,8.399,8.921,-4.611,-35.214,39.603,presente,3
4.199,7.374,9.301,-20.397,-51.237,58.092,presente,3
5.03,7.468,8.145,-24.359,-81.611,71.733,presente,3
5.14,6.275,7.245,-69.863,-103.389,98.191,presente,3
6.258,5.227,6.263,-48.611,-89.076,93.664,presente,3
6.416,4.719,5.715,-49.626,-75.679,93.87,presente,3
6.294,3.79,5.212,-51.481,-76.847,98.046,presente,3
6.723,3.613,3.929,-53.321,-81.817,96.069,presente,3
7.032,2.028,2.772,-61.756,-72.679,94.115,presente,3
7.142,0.232,1.63,-58.015,-69.931,86.756,presente,3
7.501,-0.043,1.221,-55.023,-59.0,74.237,presente,3
