t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
980559.0,1.884,2.947,9.392,10.023,-0.168,4.275,0.26
980611.0,1.824,2.784,9.357,9.931,-2.336,1.969,2.679
980663.0,2.332,2.421,8.961,9.571,1.275,2.664,2.916
980715.0,2.014,2.602,9.354,9.916,-0.168,4.427,-3.237
980767.0,1.678,2.756,9.364,9.904,3.916,-1.779,-2.015
980819.0,1.99,2.612,8.727,9.324,-1.939,1.214,2.733
980871.0,2.047,2.583,9.199,9.771,-3.061,7.359,-4.13
980923.0,2.09,2.804,9.395,10.025,-1.527,1.29,-1.573
980975.0,2.265,2.892,8.842,9.575,-2.298,0.794,-0.809
981027.0,2.753,2.538,8.756,9.523,-0.832,6.519,-5.71
981084.0,2.253,3.359,9.38,10.215,-0.153,5.481,-5.382
981136.0,1.954,3.139,9.419,10.118,-1.641,0.168,4.351
981188.0,2.277,2.579,9.357,9.969,-5.939,6.122,4.397
981240.0,2.203,2.382,9.359,9.905,-3.412,5.344,2.008
981292.0,2.172,2.306,9.184,9.715,-2.412,4.298,-0.443
981344.0,2.162,2.715,8.818,9.476,-4.321,7.13,-2.145
981396.0,2.248,2.574,9.084,9.705,-3.458,9.115,-1.382
981448.0,2.179,2.777,9.313,9.96,-3.771,8.282,-0.443
981500.0,2.143,2.703,9.522,10.127,-0.061,5.718,0.42
981552.0,2.184,2.842,9.433,10.091,-1.206,3.901,1.298
981604.0,2.263,2.861,9.591,10.261,0.374,3.221,2.611
981656.0,2.622,3.11,10.065,10.856,-7.656,3.725,7.168
981708.0,2.097,3.637,13.089,13.746,-25.237,-12.053,21.542
981760.0,1.834,3.615,14.236,14.802,15.29,-75.84,29.679
981812.0,1.958,3.417,13.894,14.441,20.42,-134.0,49.137
981864.0,2.674,2.974,11.001,11.706,50.053,-194.969,64.435
981916.0,3.97,2.907,7.266,8.775,30.198,-201.435,68.771
981968.0,6.273,1.942,3.821,7.597,26.771,-217.168,88.901
982020.0,5.715,0.453,1.923,6.047,13.344,-209.092,87.695
982072.0,7.582,-0.522,0.113,7.601,17.42,-163.084,83.336
982124.0,7.226,0.091,-2.073,7.518,10.611,-106.053,62.275
982176.0,8.887,-1.053,-3.314,9.543,-6.191,-52.817,52.145
982229.0,8.669,-2.286,-2.459,9.297,-3.672,-15.771,34.458
982281.0,8.854,-1.97,-1.607,9.212,-24.908,18.817,14.954
982333.0,9.366,-1.748,-0.601,9.547,-4.992,22.321,-6.191
982385.0,10.333,-1.171,-1.027,10.45,5.718,10.145,-9.305
982437.0,10.056,-0.5,-0.057,10.068,-1.534,11.542,-5.748
982489.0,10.046,-0.05,-0.192,10.048,2.168,9.885,-0.679
982541.0,10.082,-0.615,-0.036,10.101,1.244,12.718,0.496
982593.0,9.984,-0.816,0.136,10.018,2.557,3.107,1.863
982645.0,9.993,-0.891,0.022,10.033,-1.695,6.74,1.71
982697.0,9.876,-0.833,-0.048,9.911,0.244,5.504,0.344
982749.0,9.787,-0.812,-0.084,9.821,-1.397,5.992,-0.183
982802.0,9.867,-0.79,-0.22,9.901,1.206,6.786,-1.634
982854.0,9.852,-0.898,-0.184,9.895,-3.496,7.412,1.374
982906.0,9.802,-0.654,0.007,9.824,-0.374,9.183,-3.214
