ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
2.614,2.698,9.383,0.153,2.969,-0.74,presente,4
2.753,2.251,9.273,0.046,-0.389,1.206,presente,4
2.885,2.358,8.997,1.023,0.924,-2.107,presente,4
2.782,2.387,8.801,-0.267,0.649,-3.916,presente,4
2.179,3.182,9.052,0.702,3.466,-4.809,presente,4
2.507,2.638,8.95,-2.351,2.45,2.115,presente,4
2.547,2.787,9.155,-4.351,5.069,2.878,presente,4
2.837,2.437,9.122,-5.0,8.931,-0.237,presente,4
2.466,2.758,9.687,-2.519,2.809,0.382,presente,4
2.648,2.217,9.052,-11.122,1.855,3.405,presente,4
2.734,2.739,9.632,-2.26,2.702,0.954,presente,4
2.655,2.399,9.285,-8.137,1.153,0.099,presente,4
2.698,2.229,9.194,-1.626,0.282,-1.771,presente,4
2.315,2.629,9.05,-0.977,-1.183,-3.145,presente,4
2.983,2.184,8.61,-6.0,1.206,0.573,presente,4
2.942,2.186,8.799,-6.427,9.183,-3.885,presente,4
2.648,2.607,9.282,-5.527,7.29,-5.321,presente,4
2.653,2.725,9.203,-0.015,2.038,-1.893,presente,4
2.861,2.349,9.038,-0.389,3.931,-0.214,presente,4
2.923,2.356,9.153,-6.443,6.939,0.718,presente,4
2.602,2.313,9.323,-1.412,6.931,-0.802,presente,4
2.662,2.488,9.129,-3.107,3.756,1.435,presente,4
2.828,2.133,9.021,-2.031,6.046,0.344,presente,4
2.593,2.466,9.069,-2.794,6.122,-1.359,presente,4
2.605,2.416,9.117,-3.282,6.176,-1.183,presente,4
2.682,2.377,9.282,2.275,4.626,-2.061,presente,4
2.82,2.447,9.215,1.29,5.244,-1.298,presente,4
2.634,2.71,9.337,-2.954,5.55,0.389,presente,4
2.77,2.538,9.232,-2.519,6.023,0.282,presente,4
2.631,2.641,9.301,-3.42,4.153,1.252,presente,4
2.691,2.418,9.029,-1.58,1.298,1.267,presente,4
2.713,2.286,8.95,-3.672,3.42,1.473,presente,4
2.708,2.274,8.978,-0.13,4.58,0.382,presente,4
2.638,2.344,9.115,-2.992,5.053,2.527,presente,4
2.725,2.215,9.112,0.168,6.527,1.588,presente,4
2.686,2.006,9.203,-2.695,6.084,1.023,presente,4
2.591,2.224,9.191,-0.038,6.443,-0.802,presente,4
2.636,2.155,9.246,-4.252,5.58,0.107,presente,4
2.71,2.349,9.273,0.176,4.206,-0.115,presente,4
2.789,2.327,9.155,-4.298,5.947,-0.046,presente,4
2.569,2.399,9.325,-2.45,4.397,0.076,presente,4
2.684,2.332,9.225,-0.359,4.305,0.969,presente,4
2.717,2.191,9.069,-0.786,4.168,1.481,presente,4
2.715,2.037,9.031,-0.176,4.74,0.58,presente,4
2.751,2.241,9.112,0.55,5.779,-1.153,presente,4
2.583,2.258,9.565,-1.458,3.84,-0.824,presente,4
2.593,2.545,9.11,1.939,0.855,0.733,presente,4
2.72,2.286,9.093,-4.771,5.122,2.573,presente,4
2.741,2.112,9.129,-3.313,5.42,0.702,presente,4
2.749,2.401,9.309,-3.351,5.427,0.305,presente,4
2.95,2.543,10.949,4.206,-6.405,4.504,presente,4
3.021,3.773,14.995,24.328,-60.214,16.71,presente,4
2.954,5.286,15.747,58.0,-152.504,36.069,presente,4
3.553,5.495,11.109,53.977,-229.519,82.023,presente,4
4.956,3.302,5.691,31.565,-230.939,96.008,presente,4
4.975,1.384,1.051,30.733,-233.412,104.374,presente,4
7.056,-0.601,-0.39,33.252,-186.466,92.817,presente,4
8.183,-0.383,-2.43,3.931,-102.977,74.916,presente,4
8.291,-0.979,-2.365,0.252,-50.779,59.008,presente,4
9.1,-1.858,-1.721,9.588,-21.748,30.099,presente,4
9.531,-1.46,-1.391,1.618,-0.282,16.748,presente,4
9.242,-1.829,-0.464,-14.496,6.313,8.527,presente,4
9.673,-1.525,-0.06,-0.42,9.679,-8.824,presente,4
9.967,-0.474,-0.086,-1.748,3.298,-10.702,presente,4
10.19,-0.285,-0.153,3.74,7.504,-5.802,presente,4
10.029,-0.383,-0.007,-2.191,0.947,1.069,presente,4
10.029,-0.644,0.16,-3.916,2.557,3.779,presente,4
10.051,-0.864,0.122,-7.122,0.031,6.534,presente,4
9.852,-0.433,-0.182,3.412,1.427,-1.473,presente,4
9.776,-0.618,-0.306,-2.573,-0.611,3.489,presente,4
9.675,-0.723,-0.486,-3.389,2.038,2.099,presente,4
9.912,-0.838,-0.476,3.298,4.603,-1.29,presente,4
9.867,-0.977,-0.395,-1.473,8.489,-2.679,presente,4
9.96,-0.421,-0.309,-3.55,4.794,-1.626,presente,4
9.871,-0.347,-0.266,0.802,5.115,-0.939,presente,4
9.914,-0.491,-0.302,-1.176,7.901,0.061,presente,4
10.058,-0.754,-0.151,-0.427,6.023,1.58,presente,4
9.938,-0.563,-0.084,-2.229,7.885,1.031,presente,4
9.857,-0.584,-0.194,-1.939,8.122,-1.626,presente,4
9.821,-0.438,-0.215,-1.336,10.221,-1.267,presente,4
9.613,-0.608,-0.05,1.267,8.885,-1.618,presente,4
9.828,-0.67,-0.192,2.351,5.489,-1.855,presente,4
9.792,-0.582,-0.156,2.206,7.649,-1.046,presente,4
9.936,-0.67,0.053,2.802,6.588,-1.725,presente,4
9.898,-0.271,-0.148,-0.756,8.87,-1.756,presente,4
10.01,-0.503,0.05,4.038,5.702,-3.061,presente,4
9.969,-0.438,0.048,3.748,7.046,-1.115,presente,4
9.785,-0.393,0.134,1.718,11.901,-1.412,presente,4
9.852,-0.711,-0.093,2.74,10.42,-1.412,presente,4
9.835,-0.426,0.172,0.412,9.779,-1.771,presente,4
9.917,-0.424,0.321,2.061,10.511,-2.924,presente,4
9.804,-0.338,0.345,1.344,8.489,-2.756,presente,4
9.874,-0.378,0.285,0.763,6.267,-3.038,presente,4
9.948,-0.235,0.464,3.901,7.626,-5.603,presente,4
10.321,-0.208,0.577,-7.58,3.809,-1.794,presente,4
10.025,-0.182,0.412,1.267,8.351,-4.305,presente,4
10.001,-0.041,0.426,0.58,6.679,-2.061,presente,4
9.828,0.031,0.488,0.58,5.496,-0.046,presente,4
9.816,-0.187,0.565,1.649,8.832,0.427,presente,4
9.969,-0.393,0.419,0.198,10.481,1.618,presente,4
10.424,-0.67,0.589,1.931,13.069,-1.382,presente,4
9.986,-0.067,0.606,1.344,6.084,-2.466,presente,4
9.862,0.01,0.596,0.206,5.443,-0.924,presente,4
9.883,-0.127,0.723,0.489,6.053,0.305,presente,4
9.783,-0.101,0.661,-0.496,4.511,0.389,presente,4
9.847,-0.036,0.522,0.198,6.176,0.168,presente,4
9.886,-0.06,0.575,1.901,8.427,-1.87,presente,4
9.972,-0.043,0.792,-2.038,7.87,0.939,presente,4
9.998,-0.077,0.905,-2.053,6.794,0.916,presente,4
9.876,-0.084,0.706,-0.137,1.969,0.511,presente,4
9.747,-0.156,0.706,-0.672,4.985,1.137,presente,4
9.548,-0.268,0.725,2.794,2.809,0.046,presente,4
9.771,-0.215,0.543,-1.359,9.969,0.0,presente,4
9.862,-0.304,0.97,-4.519,7.076,-0.137,presente,4
9.914,-0.091,0.915,-1.695,4.573,-1.42,presente,4
9.989,-0.227,0.721,-1.107,2.313,0.061,presente,4
9.926,-0.062,0.553,-2.382,4.267,0.481,presente,4
9.857,-0.122,0.644,-0.527,7.153,1.237,presente,4
9.742,-0.101,0.795,-1.305,6.038,1.496,presente,4
9.893,-0.108,0.879,-0.55,6.176,0.916,presente,4
9.917,-0.211,0.903,0.053,4.389,0.107,presente,4
9.814,-0.034,0.769,-0.748,4.45,-0.893,presente,4
9.845,0.067,0.68,-1.183,4.809,0.046,presente,4
9.838,-0.165,0.761,0.901,5.939,0.771,presente,4
9.862,-0.239,0.709,-1.046,5.786,0.435,presente,4
9.816,-0.16,0.606,3.122,5.214,-2.321,presente,4
9.811,-0.117,0.737,1.389,5.26,-0.718,presente,4
9.802,-0.278,0.702,-0.695,6.099,-0.168,presente,4
9.926,-0.23,0.802,-0.687,5.153,-1.412,presente,4
9.859,-0.084,0.855,-0.527,5.076,-0.29,presente,4
9.78,-0.053,0.915,-0.313,5.573,0.756,presente,4
9.742,-0.223,0.833,0.374,2.718,0.45,presente,4
9.874,-0.124,0.737,-1.527,5.962,-0.649,presente,4
9.84,-0.091,0.776,-2.336,5.626,-0.641,presente,4
9.826,0.122,0.668,-1.046,4.275,-1.916,presente,4
9.761,0.297,0.687,1.985,3.137,-1.618,presente,4
9.855,0.151,0.718,0.794,4.107,0.565,presente,4
9.905,-0.089,0.819,-1.198,6.221,0.664,presente,4
9.886,0.072,0.915,0.382,6.84,-1.16,presente,4
9.898,0.105,0.804,0.244,5.053,-2.26,presente,4
9.979,0.201,0.831,-0.855,6.992,0.405,presente,4
9.862,-0.022,0.785,-2.015,8.359,2.611,presente,4
9.938,-0.194,0.915,-3.878,7.618,2.313,presente,4
9.761,0.129,0.785,-1.603,5.618,0.588,presente,4
9.785,0.014,0.745,-0.832,5.115,0.466,presente,4
9.613,0.062,0.646,0.626,5.656,0.092,presente,4
9.807,-0.11,0.826,1.382,7.282,-2.122,presente,4
9.9,0.062,0.922,0.427,8.0,-0.595,presente,4
9.905,0.134,1.044,0.794,7.824,-1.45,presente,4
9.943,0.124,1.097,-1.382,6.603,1.053,presente,4
9.823,0.18,1.073,-2.611,7.756,1.305,presente,4
9.852,0.005,1.039,-3.771,6.435,1.672,presente,4
9.79,-0.139,1.065,-1.382,6.573,0.954,presente,4
9.802,-0.122,1.109,-0.679,5.992,1.008,presente,4
9.804,-0.041,1.125,-1.298,5.214,-0.733,presente,4
9.847,0.048,1.008,0.458,5.183,-0.679,presente,4
9.857,-0.012,1.003,0.947,6.672,-0.519,presente,4
9.744,0.098,1.051,0.351,6.893,-0.122,presente,4
