ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-2.447,-1.887,9.239,-3.412,0.397,-2.412,spider,5
-2.588,-2.09,9.567,-1.29,-5.893,-2.351,spider,5
-2.514,-2.148,9.366,-5.069,-2.069,-5.481,spider,5
-2.811,-2.614,10.278,10.504,-11.962,-1.504,spider,5
-0.86,-1.803,7.721,-0.366,-5.321,-7.748,spider,5
-2.818,-0.814,9.855,17.809,2.168,-7.992,spider,5
-1.982,-2.677,8.983,-22.489,9.069,-6.252,spider,5
-2.279,-2.538,9.28,37.328,8.061,-4.405,spider,5
-2.911,-1.887,10.264,35.863,-10.328,-7.794,spider,5
-3.112,-0.754,10.369,72.496,-21.779,-3.756,spider,5
-2.114,-0.172,9.768,33.42,-60.122,0.427,spider,5
-1.465,-0.594,9.637,22.702,-23.374,-7.863,spider,5
-1.415,-0.603,9.967,-8.687,-3.473,-9.588,spider,5
-1.532,-0.129,9.548,-15.038,7.763,-9.473,spider,5
-1.599,-0.673,9.694,-29.031,17.221,-5.924,spider,5
-1.784,-1.178,9.644,-15.885,11.901,-5.977,spider,5
-1.585,-1.362,9.187,-11.84,9.802,-2.672,spider,5
-1.982,-1.374,9.512,-8.374,22.237,-4.542,spider,5
-2.246,-1.173,9.869,-22.809,8.29,-2.405,spider,5
-2.176,-1.863,9.682,-8.015,11.786,2.473,spider,5
-2.32,-1.506,10.089,-21.42,10.55,-2.863,spider,5
-2.377,-1.585,9.845,0.42,7.863,1.099,spider,5
-2.559,-1.81,10.288,-4.962,10.374,1.641,spider,5
-2.727,-1.848,10.618,17.634,-35.779,6.45,spider,5
-1.937,-1.721,10.039,33.275,-39.992,-2.443,spider,5
-1.42,-1.851,8.756,138.061,-55.725,-0.405,spider,5
-1.358,-1.015,7.831,250.13,-61.71,-12.511,spider,5
-0.611,3.342,6.335,250.13,-63.626,-47.664,spider,5
0.338,8.236,3.936,250.13,-47.313,-55.626,spider,5
-0.486,7.975,0.778,250.13,-58.412,-80.71,spider,5
-2.045,8.677,-2.674,250.13,-53.496,-81.969,spider,5
