t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1055183.0,-1.496,2.145,8.995,9.368,-12.183,-37.794,9.618
1055236.0,-1.183,1.832,8.806,9.072,0.29,-21.069,13.962
1055288.0,-0.883,1.391,8.811,8.963,-13.656,-2.87,14.412
1055340.0,-1.106,1.434,9.457,9.629,-12.626,8.366,9.916
1055392.0,-1.18,1.504,10.027,10.207,-19.71,-0.489,12.977
1055444.0,-1.267,0.922,9.749,9.874,-23.947,-3.305,9.305
1055496.0,-1.089,0.848,9.919,10.015,-24.962,-17.885,18.359
1055548.0,-0.84,0.462,9.33,9.379,-13.992,-7.206,17.542
1055600.0,-0.702,-0.16,8.722,8.752,3.382,12.45,15.794
1055652.0,-1.542,0.048,8.262,8.405,6.817,49.015,10.664
1055704.0,-1.762,1.221,9.515,9.753,31.069,65.412,7.588
1055756.0,-2.579,0.864,10.06,10.422,-4.565,50.031,3.069
1055808.0,-2.758,0.994,10.242,10.654,-2.023,38.427,1.084
1055860.0,-2.856,0.498,9.754,10.176,-13.481,22.443,1.603
1055912.0,-3.122,0.536,9.682,10.187,-3.527,18.229,0.977
1055964.0,-3.0,0.014,9.287,9.76,-9.527,2.481,-1.87
1056016.0,-3.0,0.168,9.05,9.536,7.58,-5.427,-2.107
1056068.0,-2.899,0.512,9.392,9.843,-1.137,-6.985,-2.58
1056120.0,-2.892,-0.002,9.287,9.727,6.427,-11.977,-4.626
1056172.0,-2.66,0.496,9.304,9.689,6.305,-2.878,-7.076
1056224.0,-2.808,0.754,9.299,9.743,6.046,-2.87,-5.0
1056276.0,-2.729,0.876,9.421,9.848,-1.802,2.275,-0.947
1056333.0,-2.928,0.792,9.802,10.261,2.802,1.427,-1.229
1056385.0,-2.844,0.888,9.661,10.11,-2.366,-0.771,2.534
1056437.0,-2.756,0.747,9.519,9.938,-1.099,-1.847,4.221
1056489.0,-2.717,0.39,9.304,9.7,0.832,-0.695,2.618
1056541.0,-2.83,0.508,9.369,9.8,-2.756,-0.649,0.786
1056593.0,-2.792,0.462,9.457,9.871,-0.427,1.725,0.664
1056645.0,-2.837,0.517,9.608,10.031,-1.664,1.13,-1.611
1056697.0,-2.921,0.838,9.646,10.114,0.397,2.557,0.137
1056749.0,-2.916,0.73,9.723,10.177,-2.611,-0.985,-1.725
1056801.0,-2.84,0.874,9.476,9.931,-0.679,1.366,0.595
1056853.0,-2.83,0.773,9.73,10.163,-9.008,3.374,0.023
1056905.0,-2.861,0.359,9.603,10.027,-5.969,-0.359,-0.649
1056957.0,-2.868,0.453,9.536,9.968,-4.794,-1.084,-0.542
1057009.0,-2.928,0.627,9.608,10.064,-1.504,-1.046,0.237
1057061.0,-2.749,0.287,9.395,9.793,-0.786,0.168,0.046
1057113.0,-2.962,0.369,9.541,9.997,2.565,2.458,0.366
1057165.0,-2.942,0.39,9.474,9.928,-2.473,0.977,-1.061
1057217.0,-2.954,0.297,9.51,9.963,3.641,3.473,1.328
1057269.0,-2.885,0.429,9.443,9.883,-1.687,4.695,0.527
1057321.0,-2.957,0.393,9.574,10.028,-1.267,2.389,-0.55
1057373.0,-3.079,0.453,9.61,10.102,-3.008,3.603,-0.198
1057425.0,-3.029,0.311,9.634,10.104,0.008,4.679,-0.595
1057477.0,-3.043,0.275,9.527,10.005,0.893,4.145,-0.153
1057529.0,-3.187,0.347,9.689,10.206,-0.183,2.298,0.244
1057581.0,-3.139,0.405,9.567,10.077,0.252,2.221,0.412
1057633.0,-3.105,0.366,9.349,9.858,1.405,2.473,0.176
1057685.0,-3.141,0.292,9.5,10.01,-0.527,1.832,-0.084
1057737.0,-3.086,0.357,9.548,10.041,-1.038,1.649,0.412
1057789.0,-3.168,0.316,9.701,10.21,-3.328,-1.023,0.099
1057841.0,-3.273,0.369,9.653,10.2,-1.771,-6.504,3.038
1057893.0,-3.055,0.397,10.041,10.503,7.397,-29.649,2.565
1057945.0,-2.725,0.283,9.797,10.173,16.74,-57.504,8.397
1057997.0,-1.695,0.165,9.254,9.409,50.702,-99.74,12.588
1058049.0,-1.396,-0.474,8.904,9.025,137.389,-127.366,18.298
1058101.0,-1.425,2.717,7.125,7.758,250.13,-115.962,-8.069
1058153.0,1.719,5.2,3.615,6.563,250.13,-57.115,-42.198
1058205.0,1.657,7.542,0.481,7.737,250.13,-46.229,-44.695
1058257.0,0.026,7.772,-3.836,8.667,250.13,-33.008,-65.076
1058309.0,-0.038,11.399,-9.27,14.693,250.13,-22.733,3.519
1058366.0,-0.402,4.604,-9.282,10.369,250.13,-32.489,45.42
