ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-1.135,0.599,9.651,-1.313,4.649,0.282,spider,2
-1.243,0.634,9.694,-1.84,5.397,1.481,spider,2
-1.199,0.565,9.773,-2.206,4.809,1.008,spider,2
-1.197,0.654,9.819,0.733,5.26,0.962,spider,2
-1.137,0.505,9.843,-2.305,3.282,0.893,spider,2
-1.192,0.661,9.701,-0.794,5.115,0.42,spider,2
-1.14,0.508,9.807,-2.153,5.214,1.664,spider,2
-1.128,0.565,9.708,-2.649,4.969,-0.015,spider,2
-1.233,0.625,9.754,-0.947,4.374,0.626,spider,2
-1.058,0.548,9.857,-2.008,4.298,1.412,spider,2
-1.132,0.601,9.771,-1.924,5.695,0.046,spider,2
-1.166,0.529,9.735,-1.015,5.328,1.092,spider,2
-1.082,0.515,9.752,-2.435,3.809,0.603,spider,2
-1.19,0.572,9.78,-0.275,3.954,0.84,spider,2
-1.183,0.567,9.776,-2.992,4.557,0.954,spider,2
-1.269,0.536,9.778,-3.489,5.206,0.84,spider,2
-1.211,0.747,9.759,-7.817,3.435,1.412,spider,2
-1.13,0.309,9.814,-3.221,2.443,1.427,spider,2
-1.101,0.393,9.756,-3.756,3.153,1.092,spider,2
-1.209,0.283,9.799,-3.206,3.351,0.779,spider,2
-1.52,0.309,10.08,11.221,2.656,2.084,spider,2
-2.176,0.211,12.591,115.198,-70.74,28.771,spider,2
-0.345,1.662,10.307,250.13,-124.626,27.275,spider,2
1.841,4.063,7.343,250.13,-13.786,-80.145,spider,2
0.232,7.113,1.336,250.13,73.351,-89.679,spider,2
-0.105,5.959,-2.389,250.13,109.359,-123.023,spider,2
-1.604,7.642,-6.144,250.13,112.023,-159.16,spider,2
-3.5,7.994,-6.246,250.13,77.87,-103.389,spider,2
-4.051,6.304,-8.835,200.374,48.229,-47.42,spider,2
-2.78,2.31,-10.063,58.435,38.107,-12.954,spider,2
-3.146,4.216,-9.895,35.84,21.053,-16.351,spider,2
-2.447,3.211,-9.9,9.305,21.145,-10.435,spider,2
-2.081,2.758,-9.498,9.908,-2.16,1.153,spider,2
-2.761,2.966,-9.493,-4.885,7.122,1.183,spider,2
-2.231,2.899,-9.515,-8.26,-0.168,3.389,spider,2
-2.557,2.777,-9.407,1.351,8.008,-1.206,spider,2
-2.248,2.562,-9.23,-8.336,7.458,0.992,spider,2
-2.43,2.904,-9.129,-6.229,7.206,-0.641,spider,2
-2.04,2.519,-9.179,-0.038,4.298,2.481,spider,2
-2.358,2.775,-9.127,-3.336,6.992,0.573,spider,2
-1.927,2.799,-9.261,-2.824,0.504,5.046,spider,2
-2.502,2.931,-8.978,-2.29,8.053,1.084,spider,2
-1.966,3.072,-9.165,-0.84,5.008,2.076,spider,2
-2.248,2.689,-9.11,0.634,3.481,2.779,spider,2
-2.016,2.717,-9.21,2.817,5.527,2.832,spider,2
-2.231,2.667,-9.373,0.13,2.145,2.29,spider,2
-2.229,2.804,-9.108,7.962,7.206,-0.756,spider,2
-2.433,2.799,-9.124,0.145,1.763,1.344,spider,2
-2.38,2.885,-9.203,1.832,9.954,0.321,spider,2
-2.37,2.799,-9.27,-5.427,5.817,0.046,spider,2
-2.229,2.789,-9.139,0.817,5.137,0.947,spider,2
-2.325,2.682,-9.141,-4.229,4.191,1.443,spider,2
-2.162,2.816,-9.292,2.076,8.84,-0.87,spider,2
-2.332,2.591,-9.225,-0.794,3.122,0.466,spider,2
-2.296,2.734,-9.294,-5.221,4.992,-0.954,spider,2
-2.265,2.928,-9.179,-2.038,6.42,-1.756,spider,2
-2.344,2.789,-9.28,-4.069,2.733,0.443,spider,2
-2.21,3.031,-9.309,-1.885,5.092,0.985,spider,2
-2.186,2.794,-9.222,-2.206,6.176,1.038,spider,2
-2.186,2.787,-9.206,-3.092,5.053,2.588,spider,2
-2.138,2.823,-9.282,-2.267,5.771,1.779,spider,2
-2.119,2.753,-9.273,-0.641,4.611,0.763,spider,2
-2.155,2.763,-9.244,-2.29,5.878,0.015,spider,2
-2.298,2.789,-9.299,-1.771,5.237,0.603,spider,2
-2.207,2.818,-9.203,-1.634,5.023,0.855,spider,2
-2.243,2.863,-9.163,-1.359,6.099,0.046,spider,2
-2.239,2.842,-9.146,-4.374,4.076,0.435,spider,2
-2.286,3.01,-9.143,-2.542,3.084,0.542,spider,2
-2.167,2.887,-9.179,-1.992,3.71,0.595,spider,2
-2.318,3.017,-9.17,-2.389,4.473,0.26,spider,2
-2.188,2.986,-9.213,-2.237,3.817,-0.588,spider,2
-2.219,2.863,-9.287,-3.023,3.687,-0.588,spider,2
-2.274,2.892,-9.273,-3.489,4.992,0.145,spider,2
-2.2,2.974,-9.203,-3.45,5.298,1.023,spider,2
-2.248,2.871,-9.167,-2.45,5.038,0.26,spider,2
-2.274,2.945,-9.143,-1.779,5.565,1.122,spider,2
-2.217,2.897,-9.012,-3.267,3.733,0.26,spider,2
