t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1570915.0,-0.84,0.563,9.677,9.73,1.023,4.0,-1.282
1570967.0,-1.058,0.797,9.823,9.912,-3.107,6.809,-0.168
1571019.0,-0.795,0.567,10.087,10.134,-3.534,4.458,1.282
1571071.0,-0.769,0.381,9.833,9.87,0.336,1.023,0.939
1571123.0,-0.948,0.733,9.598,9.673,-2.931,5.344,-0.656
1571175.0,-1.022,0.694,9.955,10.032,-4.504,6.107,0.954
1571227.0,-0.673,0.326,10.094,10.122,-2.26,2.931,2.305
1571279.0,-0.812,0.555,9.565,9.615,1.458,1.176,-0.191
1571331.0,-0.97,0.699,9.68,9.753,-2.069,6.137,0.397
1571383.0,-0.735,0.412,10.051,10.086,-2.038,4.313,1.366
1571435.0,-0.79,0.464,9.771,9.814,-0.069,1.626,1.282
1571487.0,-0.742,0.572,9.464,9.511,-0.366,5.87,1.0
1571539.0,-0.742,0.541,9.804,9.847,-3.107,8.71,-0.389
1571591.0,-0.764,0.517,10.065,10.107,-1.206,2.824,1.443
1571643.0,-0.73,0.512,9.637,9.678,-2.511,2.183,1.893
1571695.0,-0.886,0.608,9.706,9.765,-2.13,7.618,0.603
1571747.0,-0.735,0.491,9.984,10.023,-3.321,5.389,1.221
1571799.0,-0.821,0.39,9.948,9.989,-1.656,1.008,1.198
1571851.0,-0.836,0.611,9.732,9.787,-3.389,4.664,1.267
1571903.0,-0.716,0.455,9.814,9.85,-5.198,5.374,1.053
1571955.0,-0.891,0.462,9.886,9.936,-0.221,2.901,0.122
1572007.0,-0.704,0.424,9.639,9.674,-1.672,4.634,1.55
1572059.0,-0.716,0.426,9.814,9.849,-1.405,5.756,0.656
1572111.0,-0.826,0.426,9.922,9.965,-0.153,3.634,0.336
1572163.0,-0.764,0.472,9.792,9.833,-2.16,4.878,1.038
1572215.0,-0.67,0.426,9.847,9.879,-1.641,5.443,1.298
1572267.0,-0.742,0.577,9.809,9.854,-1.779,3.924,0.573
1572319.0,-0.788,0.486,9.756,9.8,1.473,7.573,1.672
1572371.0,-0.802,0.51,9.814,9.86,-0.099,5.351,1.389
1572423.0,-0.826,0.508,9.658,9.707,1.244,6.42,2.618
1572475.0,-0.634,0.333,9.665,9.692,-1.863,6.534,2.611
1572527.0,-0.939,0.366,9.886,9.937,3.153,8.779,0.412
1572579.0,-1.204,0.534,10.415,10.498,6.947,8.26,5.397
1572631.0,-1.039,0.438,10.779,10.838,97.405,-15.527,28.878
1572683.0,0.014,-0.333,10.058,10.064,250.13,35.809,21.649
1572740.0,-0.421,3.146,5.217,6.107,250.13,110.656,-12.588
1572792.0,-1.101,4.908,-3.223,5.974,250.13,207.176,-15.031
1572844.0,-0.646,11.092,-8.899,14.236,250.13,147.863,-25.84
1572896.0,-2.586,8.492,-7.93,11.903,250.13,87.351,-32.611
1572948.0,-1.662,5.284,-8.938,10.515,107.26,-12.641,1.977
1573000.0,-1.633,3.73,-9.732,10.55,26.763,-12.542,-10.351
1573053.0,-1.35,3.366,-10.116,10.746,6.229,-1.565,-6.901
1573105.0,-1.815,3.316,-9.735,10.443,-3.328,-0.069,-7.366
1573158.0,-1.346,3.479,-9.689,10.382,2.794,4.305,-2.046
1573210.0,-1.753,3.215,-9.574,10.251,-5.84,-0.191,-0.779
1573263.0,-1.719,3.218,-9.436,10.116,-3.176,8.183,-1.817
1573315.0,-1.683,2.897,-9.457,10.033,0.046,5.702,-1.29
1573367.0,-1.53,3.335,-9.136,9.846,-7.87,8.13,1.542
1573419.0,-1.602,3.352,-8.887,9.632,-2.015,2.756,3.321
1573471.0,-1.53,3.11,-9.218,9.848,0.168,4.26,3.489
1573523.0,-1.59,3.048,-9.139,9.764,-1.313,4.42,0.962
1573575.0,-1.561,3.129,-9.266,9.904,-2.725,5.397,2.023
1573627.0,-1.518,3.141,-9.215,9.854,-1.42,5.031,-0.496
1573680.0,-1.463,3.23,-9.232,9.889,1.13,5.359,1.618
1573732.0,-1.561,3.124,-9.239,9.877,-2.374,4.115,0.267
1573784.0,-1.542,3.134,-9.294,9.929,-1.359,7.832,0.466
1573836.0,-1.592,3.249,-9.323,10.0,-0.542,4.229,1.42
1573888.0,-1.571,3.194,-9.167,9.834,-2.634,6.305,0.573
1573940.0,-1.63,3.306,-9.242,9.95,-4.122,5.84,0.076
1573992.0,-1.513,3.201,-9.256,9.91,0.069,6.908,1.389
1574044.0,-1.587,3.079,-9.201,9.831,-3.527,3.87,0.924
1574096.0,-1.523,3.227,-9.27,9.933,-1.198,5.053,1.084
1574148.0,-1.511,3.136,-9.151,9.79,-2.069,4.649,1.351
1574200.0,-1.571,3.22,-9.129,9.807,0.786,4.565,1.763
1574252.0,-1.528,3.191,-9.191,9.849,-2.893,3.908,0.282
1574304.0,-1.492,3.177,-9.158,9.807,-0.45,3.511,0.962
1574356.0,-1.504,3.218,-9.242,9.901,0.29,5.176,1.16
1574408.0,-1.52,3.182,-9.249,9.898,-0.588,4.58,0.275
1574460.0,-1.532,3.196,-9.306,9.958,-0.649,4.099,-0.221
1574512.0,-1.523,3.242,-9.254,9.923,-2.496,3.588,0.901
1574564.0,-1.561,3.189,-9.124,9.791,0.817,4.366,-0.29
1574616.0,-1.563,3.17,-9.256,9.908,0.015,4.29,1.313
1574668.0,-1.475,3.196,-9.266,9.912,-1.557,4.954,-0.481
1574721.0,-1.441,3.227,-9.294,9.944,-0.939,4.863,0.198
1574778.0,-1.511,3.108,-9.278,9.9,-0.985,5.237,1.069
1574830.0,-1.554,3.22,-9.33,9.992,-1.336,4.534,0.168
1574882.0,-1.528,3.172,-9.306,9.95,-1.71,6.786,0.779
1574934.0,-1.542,3.261,-9.151,9.836,-0.626,5.863,0.809
1574986.0,-1.568,3.208,-9.194,9.863,-1.656,6.107,0.489
1575038.0,-1.492,3.191,-9.167,9.821,-0.893,4.244,0.389
1575090.0,-1.604,3.038,-9.249,9.866,0.466,1.779,1.328
1575142.0,-1.458,3.251,-9.337,9.994,-1.84,4.344,-0.351
1575194.0,-1.63,3.179,-9.33,9.991,-2.023,9.817,-2.206
1575247.0,-1.566,3.22,-9.17,9.844,-2.901,5.008,0.427
1575299.0,-1.575,3.196,-9.261,9.923,0.489,1.618,1.939
1575351.0,-1.484,3.06,-9.299,9.901,-1.244,6.061,0.725
1575403.0,-1.528,3.266,-9.167,9.851,-1.939,4.55,0.099
