ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
0.117,4.654,8.629,-1.611,9.153,-1.893,spider,1
0.129,4.621,8.815,0.863,4.641,4.023,spider,1
-0.014,4.501,8.851,-3.718,9.496,-0.855,spider,1
-0.153,4.549,8.751,-1.802,3.626,-0.901,spider,1
0.079,4.757,8.679,-1.885,2.618,-0.16,spider,1
0.091,4.65,8.605,-3.191,4.496,-0.481,spider,1
-0.12,4.599,8.777,-2.794,3.313,2.0,spider,1
-0.007,4.379,8.751,-1.595,7.802,-0.962,spider,1
-0.153,4.666,8.619,-2.863,3.145,1.832,spider,1
0.187,4.532,8.499,2.229,5.145,0.183,spider,1
-0.115,4.413,8.741,-0.901,9.725,-2.099,spider,1
0.077,4.647,8.72,0.107,-0.321,2.794,spider,1
-0.096,4.52,8.803,-1.748,6.382,-1.229,spider,1
0.18,4.537,8.744,-0.863,4.061,1.458,spider,1
0.139,4.559,8.645,-4.023,4.55,0.191,spider,1
0.096,4.621,8.598,-0.695,5.038,1.634,spider,1
0.012,4.408,8.667,-4.221,3.137,2.122,spider,1
0.019,4.585,8.724,-3.679,5.557,0.527,spider,1
-0.065,4.338,8.724,0.031,4.305,1.244,spider,1
-0.091,4.362,8.696,-0.534,4.275,-0.786,spider,1
0.117,4.386,8.839,1.366,4.733,0.244,spider,1
-0.062,4.245,9.041,7.519,-10.588,1.87,spider,1
-0.124,4.152,9.787,13.931,-69.168,41.122,spider,1
0.749,3.536,8.801,68.748,-137.328,60.237,spider,1
2.863,3.96,6.481,129.588,-232.679,103.206,spider,1
5.255,5.155,4.02,172.664,-250.137,105.924,spider,1
6.498,4.786,1.295,189.595,-235.794,86.802,spider,1
6.551,4.566,-0.733,250.13,-250.137,126.389,spider,1
6.965,3.136,-3.958,211.443,-250.137,142.168,spider,1
7.001,2.99,-8.981,250.13,-236.466,138.603,spider,1
6.984,2.433,-5.66,12.878,-161.221,64.847,spider,1
6.852,1.377,-10.245,87.71,-124.527,86.145,spider,1
4.836,-0.912,-9.323,34.977,-87.443,40.397,spider,1
4.312,0.043,-9.56,-7.573,-48.786,40.725,spider,1
4.264,-0.239,-10.099,-20.473,-31.115,30.725,spider,1
3.929,-1.065,-9.61,-20.985,-36.786,29.534,spider,1
2.703,-1.281,-10.295,3.244,-17.939,14.58,spider,1
4.408,-0.053,-8.045,-15.351,12.611,-7.176,spider,1
3.05,-1.132,-9.859,-5.519,22.832,-15.779,spider,1
3.388,-0.441,-9.347,9.191,25.901,-13.565,spider,1
4.037,-0.924,-9.831,0.061,12.565,-2.389,spider,1
3.632,-0.771,-9.184,-2.908,7.893,6.153,spider,1
3.716,-0.86,-9.266,7.641,4.275,6.573,spider,1
3.163,-1.018,-9.143,4.779,4.496,1.824,spider,1
3.886,-0.752,-9.562,5.664,1.786,4.435,spider,1
3.745,-0.67,-8.902,-1.153,-1.802,5.053,spider,1
3.124,-0.879,-9.268,2.153,9.412,-0.618,spider,1
3.16,-1.171,-9.282,2.985,1.511,3.344,spider,1
3.539,-1.113,-9.278,-4.595,7.489,-6.924,spider,1
3.713,-0.955,-9.352,-6.153,1.748,1.824,spider,1
3.615,-1.025,-9.371,0.557,4.939,-0.336,spider,1
3.45,-0.836,-9.448,-1.916,4.191,2.504,spider,1
3.314,-0.754,-9.069,-7.153,4.519,0.595,spider,1
3.321,-0.919,-9.268,-1.649,4.809,0.817,spider,1
3.428,-0.785,-9.16,-3.748,6.603,-2.069,spider,1
3.596,-0.802,-9.407,-3.405,3.267,0.328,spider,1
3.51,-1.058,-9.309,-2.725,4.031,-1.359,spider,1
3.587,-0.761,-9.409,-2.748,7.473,-2.55,spider,1
3.615,-0.694,-9.416,-1.145,4.038,2.031,spider,1
3.333,-0.792,-9.419,-2.802,5.588,2.252,spider,1
3.28,-0.898,-9.232,-5.58,6.13,0.595,spider,1
3.498,-0.903,-9.33,-0.939,5.588,-0.206,spider,1
3.433,-0.816,-9.285,-1.115,3.832,2.435,spider,1
3.433,-0.931,-9.335,-1.634,4.527,1.344,spider,1
3.563,-0.974,-9.428,0.023,4.908,0.702,spider,1
3.227,-0.984,-9.275,0.664,5.221,0.489,spider,1
3.407,-0.972,-9.258,2.031,4.87,0.221,spider,1
3.256,-0.886,-9.301,1.351,2.87,2.389,spider,1
3.452,-0.812,-9.182,-2.099,6.336,-1.992,spider,1
3.522,-1.137,-9.354,0.275,1.824,2.489,spider,1
3.328,-0.946,-9.342,-1.252,8.176,-3.122,spider,1
3.706,-0.821,-9.294,1.641,2.817,3.0,spider,1
3.531,-0.919,-9.414,-2.031,6.008,1.351,spider,1
3.493,-0.977,-9.402,0.924,2.771,5.298,spider,1
3.467,-0.862,-9.294,-1.573,7.794,-0.817,spider,1
3.347,-1.082,-9.292,1.031,2.832,3.817,spider,1
3.4,-1.025,-9.349,-0.824,6.366,-1.382,spider,1
3.515,-1.022,-9.285,1.023,5.969,0.099,spider,1
3.46,-0.893,-9.227,-3.374,6.0,-2.947,spider,1
3.543,-0.991,-9.282,-0.336,5.618,0.267,spider,1
3.577,-0.814,-9.199,-5.664,6.649,-2.786,spider,1
3.649,-0.828,-9.321,0.092,5.992,-0.038,spider,1
3.33,-1.159,-9.22,-4.267,5.595,-0.786,spider,1
3.508,-1.013,-9.455,0.748,7.603,-2.794,spider,1
3.697,-1.223,-8.799,-0.137,5.031,-2.664,spider,1
3.347,-0.778,-9.254,0.099,2.618,-0.893,spider,1
3.871,-0.445,-8.918,-3.244,2.176,-3.16,spider,1
3.725,-1.295,-9.62,-0.863,-2.214,7.779,spider,1
3.4,-1.056,-9.529,2.344,11.206,-3.954,spider,1
3.591,-1.125,-9.275,1.137,0.061,3.328,spider,1
3.34,-0.862,-9.323,0.565,5.71,-0.466,spider,1
3.773,-0.879,-9.313,-3.603,2.595,-2.061,spider,1
3.716,-0.611,-9.261,-0.344,6.58,0.565,spider,1
3.323,-1.07,-9.488,0.649,5.191,2.763,spider,1
3.112,-1.085,-9.206,0.84,7.023,0.031,spider,1
3.484,-1.24,-9.079,-1.656,2.779,-3.534,spider,1
3.436,-1.166,-9.352,-2.855,4.435,-5.962,spider,1
4.005,-0.812,-9.847,-0.679,7.489,-4.489,spider,1
3.632,-0.599,-9.155,-0.626,9.16,-4.137,spider,1
3.419,-1.19,-9.287,-3.275,7.71,1.695,spider,1
3.579,-0.886,-9.718,-3.13,13.878,-7.557,spider,1
3.847,-0.807,-9.124,1.74,8.244,2.023,spider,1
3.282,-0.816,-8.837,-1.267,7.061,2.275,spider,1
3.711,-0.685,-9.313,-1.511,8.328,-2.443,spider,1
3.759,-0.785,-8.784,-1.916,5.855,-0.786,spider,1
3.752,-1.398,-9.4,-0.198,4.023,0.16,spider,1
4.336,-0.699,-9.641,-0.74,9.74,-5.634,spider,1
3.936,-0.721,-9.179,5.176,6.817,7.847,spider,1
3.716,-1.243,-9.182,-4.053,7.321,2.069,spider,1
3.376,-1.176,-9.323,3.84,10.557,-2.672,spider,1
