t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1851945.0,-0.917,6.024,7.683,9.806,-0.542,1.389,1.214
1851997.0,-0.946,6.103,7.738,9.9,-4.405,3.55,0.061
1852049.0,-0.943,5.962,7.7,9.783,-1.519,3.992,-1.214
1852101.0,-0.862,6.096,7.491,9.696,0.328,2.099,3.313
1852158.0,-0.848,5.93,7.539,9.63,1.916,7.71,-1.748
1852210.0,-0.639,6.239,7.518,9.791,0.779,-3.412,4.282
1852262.0,-0.891,5.875,7.544,9.603,-1.374,8.855,-0.336
1852314.0,-0.773,6.175,7.532,9.77,-1.137,0.611,1.389
1852366.0,-0.845,6.1,7.489,9.696,-1.427,7.344,-0.137
1852418.0,-0.661,6.076,7.594,9.749,-5.366,1.481,0.137
1852470.0,-0.757,6.096,7.63,9.795,0.473,2.214,2.656
1852522.0,-0.685,5.981,7.542,9.65,-3.489,5.046,-0.565
1852574.0,-0.769,6.189,7.599,9.831,-1.702,0.366,2.374
1852626.0,-0.718,6.148,7.626,9.822,-3.023,6.542,-1.168
1852678.0,-0.783,5.957,7.563,9.659,-1.885,4.504,1.466
1852730.0,-0.697,5.938,7.578,9.652,-0.58,6.252,-1.015
1852782.0,-0.771,6.167,7.685,9.884,-1.626,1.924,1.649
1852834.0,-0.699,6.019,7.561,9.689,0.092,8.672,-1.443
1852886.0,-0.747,6.033,7.693,9.805,-3.603,1.405,0.13
1852938.0,-0.622,6.065,7.645,9.778,0.244,3.977,-0.061
1852990.0,-0.752,6.076,7.757,9.882,-3.977,4.542,-1.183
1853042.0,-0.656,6.091,7.671,9.817,-2.191,-0.076,3.008
1853094.0,-0.661,5.827,7.487,9.51,0.893,6.603,0.427
1853146.0,-0.697,6.258,7.642,9.902,-0.122,0.221,2.153
1853198.0,-0.826,5.995,7.594,9.711,0.336,2.901,5.74
1853250.0,-0.649,6.299,7.621,9.908,-0.557,-9.573,8.519
1853302.0,-0.304,5.863,7.678,9.666,-1.626,-17.107,18.13
1853354.0,-0.002,6.388,7.726,10.025,12.901,-39.817,36.183
1853406.0,0.589,5.976,7.566,9.659,11.687,-49.672,44.924
1853458.0,1.051,6.177,7.403,9.699,4.489,-53.527,41.252
1853510.0,1.626,5.713,7.233,9.359,32.359,-82.901,62.26
1853562.0,1.853,6.208,6.644,9.28,52.099,-194.099,132.015
1853614.0,3.352,3.797,4.69,6.903,122.985,-204.718,126.74
1853666.0,6.946,5.799,1.003,9.103,154.351,-250.137,157.962
1853718.0,6.766,3.845,-1.954,8.024,213.336,-250.137,140.786
1853770.0,9.268,3.194,-5.243,11.117,119.252,-250.137,109.58
1853822.0,8.514,2.729,-6.797,11.231,174.0,-248.542,104.145
1853874.0,7.19,2.641,-7.113,10.453,8.229,-127.313,47.13
1853926.0,6.124,1.748,-9.153,11.151,45.863,-88.313,49.863
1853978.0,5.842,1.106,-8.847,10.659,24.901,-56.038,39.802
1854030.0,4.934,0.637,-8.171,9.567,30.13,-52.802,54.603
1854082.0,3.917,-0.503,-8.48,9.355,56.008,-36.702,33.382
1854134.0,4.518,-1.099,-9.639,10.702,12.198,-13.809,11.137
1854191.0,4.841,-0.692,-10.551,11.629,43.351,14.779,15.389
1854243.0,4.583,-1.283,-9.893,10.978,-3.947,-0.901,-4.71
1854296.0,4.24,-1.195,-9.206,10.205,-4.626,12.855,-12.183
1854348.0,4.283,-0.687,-8.849,9.855,-11.878,7.855,-1.374
1854401.0,4.484,-1.065,-9.244,10.329,-2.008,11.244,-7.244
1854453.0,4.166,-1.168,-9.069,10.048,-11.908,3.053,5.672
1854505.0,4.199,-0.972,-9.11,10.078,12.023,14.168,-5.718
1854557.0,4.673,-1.14,-8.794,10.024,-3.794,5.885,-3.229
1854609.0,4.266,-0.857,-9.06,10.051,4.511,6.229,5.45
1854661.0,4.175,-1.499,-8.88,9.927,3.947,5.71,1.679
1854713.0,4.195,-1.046,-8.744,9.754,2.557,8.992,-2.588
1854765.0,4.444,-1.243,-8.839,9.971,1.321,4.924,1.214
