t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
773937.0,1.518,3.651,8.954,9.789,-2.389,2.595,2.046
773989.0,1.525,3.704,8.909,9.768,-0.718,6.298,0.679
774041.0,1.647,3.62,8.969,9.811,-1.969,3.557,1.092
774093.0,1.377,3.725,8.928,9.772,-2.473,4.809,0.458
774150.0,1.599,3.718,8.985,9.855,-4.595,1.634,2.809
774202.0,1.595,3.618,8.961,9.795,0.29,4.473,-0.863
774254.0,1.575,3.704,9.012,9.87,-3.198,5.0,0.42
774306.0,1.59,3.658,8.921,9.772,-2.206,7.817,-0.115
774358.0,1.717,3.553,9.005,9.831,-2.198,1.542,1.802
774410.0,1.63,3.642,8.844,9.703,-1.458,4.496,1.298
774462.0,1.566,3.57,9.117,9.915,-2.145,4.885,1.603
774514.0,1.53,3.725,8.971,9.834,-2.252,4.947,-0.046
774566.0,1.69,3.639,8.94,9.799,-0.191,4.603,0.427
774618.0,1.566,3.594,9.031,9.845,-4.16,5.534,1.55
774670.0,1.571,3.668,8.866,9.722,0.573,4.618,-1.191
774722.0,1.621,3.661,9.009,9.859,-4.305,4.817,1.26
774774.0,1.7,3.637,8.88,9.745,-1.794,5.336,1.061
774826.0,1.683,3.63,8.892,9.751,-1.084,5.947,0.29
774878.0,1.827,3.577,8.598,9.489,-1.412,4.122,-0.557
774930.0,1.92,3.503,9.139,9.974,-2.061,3.099,3.382
774982.0,1.951,3.493,9.493,10.302,9.687,-3.069,0.893
775034.0,1.788,3.225,10.374,11.01,51.031,-42.26,-6.832
775086.0,2.152,4.427,9.086,10.334,127.382,-81.634,-33.809
775138.0,2.966,4.482,8.583,10.127,167.458,-158.397,-37.321
775190.0,2.607,6.05,5.349,8.486,247.305,-184.015,-100.481
775242.0,4.068,5.514,1.47,7.008,250.13,-177.702,-100.962
775294.0,1.537,8.217,-0.532,8.376,250.13,-203.053,-79.45
775346.0,-0.773,9.232,-5.976,11.025,250.13,-217.282,-80.924
775399.0,0.493,6.608,-7.547,10.043,250.13,-179.947,-24.45
775451.0,-0.85,5.65,-8.147,9.951,226.985,-124.519,-17.985
775503.0,-1.815,2.27,-8.736,9.207,180.092,-87.313,-17.13
775555.0,-1.664,3.005,-9.27,9.886,113.031,-66.206,-2.389
775608.0,-3.043,0.668,-10.123,10.591,97.443,-34.252,-7.779
775660.0,-2.686,0.352,-10.52,10.863,27.275,-25.176,6.534
775712.0,-3.249,0.244,-10.283,10.787,9.237,-13.229,5.275
775764.0,-3.328,-0.352,-10.408,10.932,23.618,1.305,-5.458
775816.0,-3.33,-0.579,-9.299,9.894,-1.511,1.718,-3.282
775868.0,-3.364,-0.074,-9.455,10.036,0.893,5.237,-2.305
775920.0,-3.376,-0.594,-9.395,10.001,3.229,8.214,-4.344
775972.0,-3.493,-0.115,-9.306,9.941,-4.321,6.26,-0.298
776024.0,-3.249,-0.18,-9.342,9.893,-2.015,11.443,-4.634
776076.0,-3.376,-0.06,-9.225,9.823,-5.359,2.115,3.901
776128.0,-3.218,-0.108,-9.38,9.918,-4.015,4.878,-1.038
776186.0,-3.378,-0.156,-9.44,10.028,-4.023,8.107,-0.076
776239.0,-3.366,-0.256,-9.39,9.979,1.145,5.359,-0.122
776291.0,-3.124,-0.16,-9.486,9.988,-1.725,5.855,-1.878
776343.0,-3.179,-0.014,-9.565,10.079,-2.023,8.45,-0.863
776395.0,-3.156,-0.098,-9.419,9.934,1.588,7.473,-1.725
776447.0,-3.134,-0.12,-9.311,9.825,-1.855,7.221,-0.718
776500.0,-3.084,-0.108,-9.38,9.875,-2.13,3.122,2.305
776552.0,-3.136,-0.065,-9.618,10.116,-5.16,7.863,2.313
776604.0,-3.191,0.086,-9.33,9.861,-2.389,8.855,0.214
776656.0,-3.287,0.05,-9.031,9.611,-1.405,3.84,0.725
776708.0,-3.158,-0.156,-9.347,9.867,-6.74,5.214,1.74
776760.0,-3.148,0.096,-9.11,9.639,-9.397,6.023,-0.634
776812.0,-3.254,-0.153,-9.11,9.675,-3.542,0.176,2.466
776864.0,-3.043,-0.096,-9.634,10.104,-4.153,5.29,-2.26
776916.0,-3.146,0.151,-9.357,9.872,-1.763,3.397,-0.672
776968.0,-3.086,0.211,-9.57,10.057,-1.519,2.893,-0.458
777020.0,-3.084,0.285,-9.33,9.831,-0.809,6.855,-0.802
777072.0,-3.223,-0.189,-9.495,10.029,-4.824,5.229,-0.504
777125.0,-3.017,0.242,-9.34,9.818,-0.656,6.458,-1.321
777178.0,-3.203,-0.141,-9.503,10.029,-0.473,4.588,-1.16
777231.0,-3.069,0.11,-9.5,9.984,-1.031,5.809,-0.382
777283.0,-3.127,0.124,-9.388,9.895,-3.687,4.702,0.992
777335.0,-3.136,-0.048,-9.263,9.78,-4.603,9.176,-2.779
777388.0,-3.069,0.33,-9.177,9.682,2.656,0.405,1.87
777440.0,-3.089,0.062,-9.443,9.935,-3.794,3.153,0.229
777492.0,-3.081,0.227,-9.409,9.904,-1.939,6.55,-1.13
777545.0,-3.208,0.134,-9.448,9.978,-8.443,7.939,0.275
777597.0,-3.055,0.261,-9.376,9.864,-3.534,2.221,3.023
777649.0,-3.024,-0.093,-9.467,9.938,1.191,8.008,-2.084
777701.0,-3.158,0.211,-9.304,9.827,-6.45,6.122,1.42
777753.0,-3.038,0.172,-9.443,9.921,1.611,6.832,-0.824
777805.0,-3.093,-0.036,-9.29,9.791,0.076,3.748,-0.573
777857.0,-3.077,0.067,-9.309,9.804,-0.718,7.405,-1.321
777910.0,-3.079,0.218,-9.318,9.816,-3.771,3.908,0.412
777962.0,-2.998,0.302,-9.397,9.868,-0.954,6.092,-2.763
778015.0,-2.995,0.223,-9.383,9.852,-0.412,1.779,1.244
778067.0,-3.072,0.089,-9.414,9.903,-1.061,6.099,-1.382
778120.0,-3.057,0.369,-9.371,9.864,-3.947,3.534,1.794
778172.0,-2.952,0.285,-9.498,9.95,-2.626,5.145,-0.626
778229.0,-3.11,0.165,-9.483,9.982,-0.321,2.069,1.595
778281.0,-3.069,0.278,-9.424,9.915,-3.305,6.038,-0.435
778333.0,-2.923,0.294,-9.565,10.006,-4.565,5.725,0.626
778385.0,-3.089,0.175,-9.524,10.014,-1.13,6.802,-0.206
778437.0,-3.002,0.273,-9.512,9.978,-2.511,5.359,-0.023
778489.0,-3.002,0.493,-9.397,9.878,-1.191,9.099,-0.908
778541.0,-2.986,0.201,-9.459,9.921,-1.573,7.84,-0.863
778593.0,-2.981,0.405,-9.373,9.844,-1.924,5.16,1.466
778645.0,-2.966,0.373,-9.354,9.82,-1.321,5.45,-0.336
778697.0,-2.928,0.294,-9.424,9.872,-1.267,5.26,-0.214
778750.0,-3.048,0.177,-9.364,9.849,-2.817,5.71,-0.573
778802.0,-2.875,0.347,-9.491,9.923,-3.588,5.588,-0.191
778855.0,-3.105,0.256,-9.232,9.744,-7.595,4.137,-0.534
778907.0,-2.981,0.23,-9.445,9.907,-2.107,1.489,1.763
778959.0,-2.964,0.359,-9.625,10.077,-1.168,7.252,-2.626
779011.0,-2.88,0.366,-9.555,9.987,0.282,4.092,0.542
779063.0,-2.947,0.491,-9.586,10.041,-1.763,7.534,-1.733
779115.0,-2.875,0.364,-9.459,9.894,-0.481,5.29,0.977
779167.0,-2.938,0.481,-9.4,9.86,-0.695,7.618,-1.115
779219.0,-2.83,0.371,-9.357,9.782,-0.817,5.885,0.779
779271.0,-3.045,0.419,-9.292,9.787,-4.794,4.053,1.336
779323.0,-2.895,0.328,-9.416,9.857,-0.977,6.595,-0.42
779375.0,-2.909,0.424,-9.455,9.901,-2.756,4.13,1.649
779427.0,-2.966,0.235,-9.503,9.958,-0.954,4.641,0.626
779479.0,-2.842,0.476,-9.5,9.928,-0.359,4.359,0.336
779531.0,-2.861,0.335,-9.481,9.909,-1.931,7.137,-3.595
779583.0,-2.926,0.429,-9.371,9.826,-2.137,5.252,0.374
779635.0,-2.878,0.338,-9.416,9.852,-0.221,6.595,-3.198
779687.0,-2.875,0.627,-9.321,9.774,-2.641,3.305,0.076
779739.0,-3.005,0.28,-9.419,9.89,-4.466,2.382,1.626
779791.0,-2.765,0.352,-9.653,10.048,1.305,2.389,1.763
779843.0,-2.993,0.316,-9.584,10.045,-2.702,5.55,-1.344
779895.0,-2.926,0.426,-9.747,10.185,0.527,6.069,-0.45
779947.0,-2.89,0.395,-9.469,9.908,-3.023,6.237,1.214
779999.0,-2.945,0.397,-9.369,9.828,-0.137,6.405,-0.565
780051.0,-2.938,0.338,-9.287,9.747,-2.336,5.198,0.893
780103.0,-2.916,0.441,-9.306,9.762,-2.176,8.237,-0.702
780155.0,-2.863,0.4,-9.311,9.75,-1.443,2.908,1.458
780207.0,-2.739,0.378,-9.431,9.828,1.779,4.855,-0.924
780264.0,-2.976,0.433,-9.613,10.072,-1.374,0.466,2.344
780316.0,-2.957,0.208,-9.814,10.252,2.397,6.855,-2.336
780368.0,-3.069,0.429,-9.565,10.054,-4.046,3.878,1.542
780420.0,-2.672,0.01,-9.867,10.222,-2.206,3.565,0.305
780472.0,-2.95,0.144,-9.28,9.738,1.313,9.84,-2.496
