ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.324,3.845,8.811,1.023,1.58,0.0,spider,3
1.269,3.469,9.05,1.817,-2.962,-5.023,spider,3
1.24,3.979,8.952,3.977,-5.779,-6.412,spider,3
1.669,4.065,8.815,5.458,-7.374,2.802,spider,3
1.628,4.087,8.859,3.481,-8.779,6.328,spider,3
1.714,3.991,8.729,3.817,-1.779,-0.26,spider,3
1.793,4.154,8.715,-1.42,0.496,3.511,spider,3
1.719,4.073,8.617,-5.618,6.527,3.206,spider,3
1.779,3.833,8.782,-2.229,5.206,1.282,spider,3
1.595,4.08,8.825,-5.031,6.809,0.931,spider,3
1.769,4.025,8.792,-4.611,5.618,5.198,spider,3
1.587,3.792,8.923,-1.008,9.153,-0.328,spider,3
1.951,3.862,8.617,-1.359,5.023,0.664,spider,3
1.678,3.905,8.844,-1.359,3.84,2.137,spider,3
1.776,3.814,8.82,-0.87,8.71,0.336,spider,3
1.827,3.814,8.789,-0.565,4.679,1.626,spider,3
1.681,4.053,8.815,-3.496,7.817,1.87,spider,3
1.765,3.852,8.914,2.985,4.893,-0.153,spider,3
1.693,4.156,9.031,-3.649,6.565,2.26,spider,3
2.164,3.742,8.959,16.122,0.0,-1.473,spider,3
1.841,4.506,9.797,28.153,-19.847,-1.344,spider,3
2.976,3.021,9.134,76.519,-63.237,-4.031,spider,3
2.112,4.978,9.519,149.863,-130.214,-55.069,spider,3
2.476,4.104,5.962,242.16,-174.26,-63.389,spider,3
3.96,7.484,0.208,250.13,-148.473,-74.611,spider,3
3.014,9.122,-2.246,250.13,-203.267,-100.42,spider,3
1.269,9.301,-6.582,250.13,-239.924,-89.023,spider,3
0.117,7.784,-7.839,250.13,-148.382,-39.42,spider,3
-0.498,4.329,-8.203,250.13,-121.221,-9.389,spider,3
-2.643,3.879,-8.624,189.313,-77.443,4.87,spider,3
-2.67,0.366,-8.844,175.588,-56.214,-0.473,spider,3
-2.835,-0.345,-8.571,83.214,-39.603,16.389,spider,3
-3.12,-1.7,-8.849,98.412,-30.756,8.267,spider,3
-3.608,-2.555,-9.043,37.855,-22.939,15.015,spider,3
-3.407,-2.172,-9.687,39.519,-6.328,1.702,spider,3
-3.828,-2.966,-9.352,26.405,-5.313,2.084,spider,3
-3.795,-2.09,-9.206,-0.863,2.015,1.985,spider,3
-3.594,-2.904,-9.115,6.443,3.198,-3.427,spider,3
-3.809,-2.703,-9.038,-3.489,3.084,0.099,spider,3
-3.675,-2.729,-8.942,0.656,6.534,-1.084,spider,3
-3.625,-2.586,-8.94,-3.023,4.656,-0.176,spider,3
-3.589,-2.598,-9.05,-0.702,6.634,-1.603,spider,3
-3.709,-2.564,-8.588,1.031,3.756,1.74,spider,3
-3.543,-2.6,-8.878,-3.489,8.58,-2.748,spider,3
-3.682,-2.581,-8.871,0.893,6.618,-1.298,spider,3
-3.503,-2.485,-8.878,-7.389,9.214,-3.695,spider,3
-3.589,-2.5,-8.763,3.725,1.489,5.74,spider,3
-3.61,-2.737,-8.792,-3.947,4.351,-0.466,spider,3
-3.759,-2.523,-8.717,1.74,5.397,0.435,spider,3
