ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
0.68,1.216,9.337,3.427,-2.893,3.664,spider,4
0.448,1.31,9.311,0.473,-1.595,3.718,spider,4
0.642,1.12,9.031,3.374,-4.29,4.702,spider,4
0.443,0.967,9.436,5.802,0.13,-1.298,spider,4
0.431,1.195,9.426,0.809,-2.145,-1.863,spider,4
0.646,1.425,9.227,5.336,-4.336,1.656,spider,4
0.663,1.099,9.232,-0.626,1.588,-2.183,spider,4
0.654,1.125,9.287,-6.542,3.511,-2.824,spider,4
0.227,1.319,9.562,1.0,-1.084,-3.824,spider,4
0.905,1.037,8.885,-3.214,-0.855,-0.87,spider,4
0.833,1.03,9.031,-5.397,6.282,-7.099,spider,4
0.491,1.405,9.512,-0.328,5.557,-10.427,spider,4
0.294,1.448,9.503,0.397,-0.824,-8.168,spider,4
0.436,1.599,9.215,1.641,1.183,-3.344,spider,4
0.515,1.075,9.38,-1.351,0.74,1.076,spider,4
0.464,1.556,9.438,-2.496,1.244,1.244,spider,4
0.527,1.073,9.517,-2.252,1.275,2.214,spider,4
0.594,1.295,9.488,-2.298,0.802,2.122,spider,4
0.46,1.166,9.361,-8.992,-0.885,4.137,spider,4
0.515,1.097,9.44,-4.229,-0.794,3.733,spider,4
0.453,0.848,9.4,-4.71,-1.183,3.412,spider,4
0.476,1.003,9.337,-1.359,-2.687,2.053,spider,4
0.548,0.639,9.33,0.527,-1.847,2.695,spider,4
0.548,0.764,9.431,-2.534,-0.656,2.557,spider,4
0.515,1.006,9.407,1.16,-1.496,0.351,spider,4
0.548,0.819,9.318,0.29,-1.435,1.359,spider,4
0.491,1.113,9.287,0.786,-0.672,0.023,spider,4
0.644,0.862,9.273,-6.794,1.595,1.573,spider,4
0.603,0.704,9.392,-1.885,2.031,0.397,spider,4
0.771,0.622,9.639,6.939,-5.786,-3.374,spider,4
0.845,0.68,10.228,39.985,-44.435,-5.855,spider,4
1.403,-0.735,8.691,137.145,-41.809,-41.863,spider,4
0.785,8.382,7.827,125.214,-116.802,-11.695,spider,4
2.801,-0.072,6.5,250.13,-62.107,-72.053,spider,4
0.579,7.831,4.231,250.13,-98.481,-62.267,spider,4
2.435,4.537,1.86,250.13,-84.389,-68.725,spider,4
1.168,7.798,-1.492,250.13,-51.954,-104.58,spider,4
-0.242,6.481,-3.675,250.13,-17.008,-110.244,spider,4
-0.646,4.803,-7.195,250.13,-30.061,-112.351,spider,4
-2.073,8.43,-8.966,250.13,-71.466,-42.206,spider,4
-2.392,3.39,-10.233,206.817,-17.878,-17.656,spider,4
-1.942,1.468,-10.099,137.0,-16.496,-11.725,spider,4
-2.124,1.137,-9.711,78.145,-12.466,-5.053,spider,4
-2.354,1.152,-9.16,32.725,-9.29,3.122,spider,4
-1.966,0.134,-10.137,0.198,-7.954,-1.87,spider,4
-2.03,0.637,-10.116,-21.031,-7.954,7.168,spider,4
-2.251,0.481,-10.209,-13.015,-0.626,3.282,spider,4
-2.377,0.457,-9.838,0.924,-1.618,-0.641,spider,4
-2.31,0.357,-9.938,-4.412,-3.954,3.466,spider,4
-2.727,0.934,-9.637,0.519,1.458,0.58,spider,4
-2.243,-0.168,-9.708,7.748,1.389,0.26,spider,4
-2.768,0.113,-9.752,-0.916,-4.618,2.076,spider,4
-2.377,0.381,-9.67,-5.924,-1.145,4.74,spider,4
-2.591,0.508,-9.838,-7.328,-0.275,4.649,spider,4
-2.461,0.86,-9.888,-2.443,-6.282,-0.031,spider,4
-2.643,0.412,-10.175,4.656,1.221,0.023,spider,4
-2.543,0.431,-9.919,-4.542,5.099,-2.237,spider,4
-2.253,0.421,-9.862,4.87,-3.092,2.321,spider,4
-2.468,0.402,-9.773,-6.863,-2.046,1.092,spider,4
-2.538,0.376,-9.761,3.931,1.977,-0.947,spider,4
-2.375,0.211,-9.512,-2.183,-4.366,-0.298,spider,4
-2.547,0.644,-9.517,2.466,-1.779,0.298,spider,4
-2.488,0.601,-9.823,-0.412,-3.244,-0.008,spider,4
-2.569,0.618,-9.871,-1.405,-1.847,0.046,spider,4
-2.413,0.335,-10.032,2.718,-2.115,1.427,spider,4
-2.5,0.472,-9.898,-3.534,1.16,0.008,spider,4
-2.444,0.725,-9.864,-0.847,-0.718,1.71,spider,4
-2.521,0.563,-9.78,-1.779,-0.565,0.916,spider,4
-2.552,0.338,-9.79,-2.931,0.649,0.145,spider,4
-2.452,0.491,-9.706,-1.427,1.336,1.298,spider,4
-2.619,0.632,-9.799,-0.969,0.649,-0.084,spider,4
-2.483,0.35,-9.625,-0.511,0.252,0.763,spider,4
-2.583,0.577,-9.754,0.351,-2.649,-1.061,spider,4
-2.547,0.503,-9.735,-1.198,3.565,0.397,spider,4
-2.382,0.45,-9.747,-0.58,-2.176,-0.42,spider,4
-2.509,0.536,-9.907,1.931,2.107,0.618,spider,4
-2.409,0.395,-9.716,-1.313,-1.298,-0.687,spider,4
-2.581,0.584,-9.744,-0.305,-1.099,1.519,spider,4
-2.461,0.63,-9.759,1.847,2.542,-0.084,spider,4
-2.54,0.524,-9.692,-5.313,0.863,-1.473,spider,4
-2.696,0.661,-9.653,-0.634,-0.298,-0.771,spider,4
-2.425,0.622,-9.819,-4.489,-0.099,0.397,spider,4
-2.569,0.725,-9.756,-1.061,0.145,1.611,spider,4
-2.43,0.723,-9.852,0.901,0.702,1.252,spider,4
-2.413,0.761,-9.962,-2.985,1.092,0.725,spider,4
-2.562,0.496,-9.831,-0.443,1.855,0.626,spider,4
-2.591,0.467,-9.613,1.435,2.496,0.725,spider,4
-2.289,0.352,-9.682,-1.366,0.267,-0.977,spider,4
-2.483,0.551,-9.821,-1.069,-0.008,0.023,spider,4
-2.507,0.649,-9.646,0.084,0.282,-0.695,spider,4
-2.461,0.694,-9.747,-0.656,-1.565,-0.023,spider,4
-2.5,0.747,-9.799,-0.511,0.046,0.321,spider,4
-2.509,0.706,-9.675,-2.634,-0.794,1.107,spider,4
-2.377,0.721,-9.838,-2.786,0.244,-0.634,spider,4
-2.442,0.599,-9.797,-1.481,-1.237,-0.107,spider,4
-2.512,0.73,-9.776,-2.962,0.863,-0.405,spider,4
-2.387,0.713,-9.663,0.107,-0.618,0.374,spider,4
-2.605,0.807,-9.749,-3.908,0.229,0.977,spider,4
-2.502,0.831,-9.613,2.221,-0.183,-0.878,spider,4
-2.5,0.596,-9.708,1.931,0.313,-0.817,spider,4
-2.497,0.666,-9.558,-1.046,-1.573,0.237,spider,4
-2.641,0.79,-9.596,0.542,0.023,0.992,spider,4
-2.658,0.883,-9.802,0.565,-0.267,1.687,spider,4
-2.54,0.601,-9.831,1.672,2.069,0.847,spider,4
-2.476,0.742,-9.814,0.168,2.718,0.84,spider,4
