t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
433070.0,1.437,2.729,9.735,10.212,-6.176,1.282,5.656
433122.0,1.456,2.899,9.321,9.869,-2.344,-2.458,5.29
433174.0,1.968,2.437,8.878,9.414,-9.947,5.069,5.29
433226.0,1.709,2.581,9.404,9.901,-9.672,7.939,-1.229
433278.0,1.544,2.55,9.4,9.861,-12.305,5.786,-3.13
433330.0,1.587,2.593,9.299,9.783,-6.374,1.84,-3.779
433382.0,1.709,2.567,9.16,9.665,-8.008,4.756,-6.275
433434.0,1.793,2.523,9.084,9.597,-6.458,7.023,-6.389
433486.0,1.618,2.576,9.184,9.675,-9.802,6.542,-5.672
433538.0,1.803,2.392,9.165,9.642,-11.985,8.107,-5.466
433590.0,1.444,2.622,9.483,9.944,-1.809,7.344,-7.0
433642.0,1.47,2.66,9.634,10.102,2.504,4.008,-3.412
433694.0,1.532,2.83,9.457,9.99,-0.901,0.687,1.145
433746.0,1.573,2.253,9.443,9.834,0.13,4.519,3.901
433798.0,1.731,2.461,9.136,9.619,-7.969,7.397,3.893
433850.0,1.532,2.277,9.594,9.978,-3.74,11.13,-0.71
433902.0,1.322,2.686,9.668,10.121,-3.427,4.565,-1.969
433954.0,1.451,2.579,9.206,9.669,-4.87,3.534,-0.473
434006.0,1.374,2.749,9.369,9.86,-0.435,4.641,0.275
434058.0,1.448,2.188,9.582,9.934,-5.962,4.588,0.969
434110.0,1.523,2.444,9.498,9.925,-1.817,2.656,0.55
434162.0,1.547,2.212,9.426,9.805,-5.809,3.87,1.725
434214.0,1.496,2.222,9.378,9.753,-0.618,6.359,-0.458
434266.0,1.566,2.071,9.546,9.892,-4.527,5.603,0.74
434318.0,1.52,2.212,9.436,9.81,-1.954,2.221,1.511
434370.0,1.559,2.15,9.426,9.793,1.122,5.748,-0.374
434422.0,1.549,2.346,9.347,9.761,-1.588,3.511,0.824
434474.0,1.508,2.363,9.424,9.832,-1.557,5.061,0.206
434526.0,1.501,2.337,9.448,9.847,-0.412,3.901,1.718
