ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-2.157,1.14,9.967,2.527,-2.679,7.214,yessr,5
-1.875,1.149,9.893,-1.664,-12.489,6.45,yessr,5
-1.841,0.225,8.756,-4.84,-6.092,8.389,yessr,5
-1.824,0.67,9.364,-2.649,-2.641,3.786,yessr,5
-1.755,1.049,9.361,2.893,-3.321,5.13,yessr,5
-1.642,0.757,9.139,2.115,-0.687,5.328,yessr,5
-2.128,0.965,9.744,0.573,5.626,1.336,yessr,5
-1.851,0.539,9.72,-6.145,11.916,0.443,yessr,5
-2.136,0.654,9.498,1.626,9.641,-0.321,yessr,5
-1.956,0.575,9.596,6.557,7.763,1.305,yessr,5
-2.188,0.855,9.847,7.962,13.947,2.519,yessr,5
-2.562,0.45,10.003,-2.672,1.573,2.611,yessr,5
-2.081,0.503,9.38,0.374,-1.58,1.786,yessr,5
-2.409,0.627,9.574,-1.466,2.305,-2.435,yessr,5
-2.404,0.816,9.572,0.183,-0.489,1.099,yessr,5
-2.234,0.608,9.414,-7.427,-0.634,1.328,yessr,5
-2.045,0.414,9.481,-0.855,1.237,-1.45,yessr,5
-1.836,0.948,9.416,1.771,3.954,-0.992,yessr,5
-2.27,0.728,9.756,-0.641,1.573,-3.046,yessr,5
-2.602,0.946,9.706,2.634,-0.847,-0.344,yessr,5
-2.437,0.766,9.433,-2.115,-1.183,4.122,yessr,5
-2.215,0.323,9.385,-1.802,2.489,0.649,yessr,5
-2.349,0.622,9.598,3.008,1.053,-1.473,yessr,5
-2.332,0.781,9.45,1.817,2.168,-1.458,yessr,5
-2.389,0.704,9.857,1.718,1.321,-1.786,yessr,5
-2.286,0.682,9.586,1.588,0.374,-2.473,yessr,5
-2.284,0.759,9.543,3.466,1.153,-2.389,yessr,5
-2.224,0.883,9.51,2.191,1.908,-1.595,yessr,5
-2.303,1.018,9.51,-0.74,1.389,-0.122,yessr,5
-2.344,0.833,9.728,0.626,1.229,0.473,yessr,5
-2.399,0.96,9.541,1.267,1.0,0.496,yessr,5
-2.409,0.862,9.4,2.557,0.0,3.16,yessr,5
-2.488,0.646,9.675,4.382,-3.198,3.656,yessr,5
-2.401,0.792,10.247,23.153,-23.779,9.893,yessr,5
-2.243,1.599,10.743,32.885,-37.534,14.282,yessr,5
-1.812,2.976,10.977,53.763,-82.069,59.702,yessr,5
-1.032,3.041,10.602,34.137,-75.901,69.053,yessr,5
-0.69,3.472,10.008,45.534,-91.466,95.107,yessr,5
0.833,3.579,9.27,35.725,-79.374,106.13,yessr,5
1.999,3.239,8.598,32.824,-72.809,105.695,yessr,5
2.713,3.215,8.001,16.55,-57.16,113.519,yessr,5
3.675,1.877,7.077,43.763,-49.71,110.29,yessr,5
4.053,1.846,6.876,37.076,-50.794,116.748,yessr,5
3.888,1.336,6.457,31.252,-43.771,113.725,yessr,5
4.592,0.247,5.945,38.069,-45.527,109.794,yessr,5
5.083,-0.453,5.693,26.908,-27.817,107.664,yessr,5
5.404,-0.874,5.667,20.031,-26.794,95.885,yessr,5
5.636,-0.917,5.971,29.015,-18.863,90.336,yessr,5
5.957,-2.559,5.413,17.733,-8.603,91.191,yessr,5
5.969,-2.746,5.406,13.397,2.672,84.626,yessr,5
5.54,-4.743,5.358,5.626,9.733,69.137,yessr,5
5.313,-3.675,5.672,3.053,11.87,51.656,yessr,5
5.09,-4.458,5.904,2.977,10.038,44.427,yessr,5
5.274,-4.59,5.636,-2.069,7.832,29.229,yessr,5
5.308,-4.664,5.696,5.351,4.519,23.618,yessr,5
5.315,-3.917,5.978,-4.763,5.733,17.244,yessr,5
5.212,-4.791,5.959,5.229,2.305,5.847,yessr,5
5.265,-4.42,6.464,-3.29,-4.115,6.908,yessr,5
5.411,-4.724,6.062,-2.84,2.504,-1.176,yessr,5
5.519,-4.211,6.06,-10.901,1.046,2.298,yessr,5
5.476,-4.355,5.952,-5.053,3.42,-0.595,yessr,5
5.619,-4.221,5.99,-6.863,2.725,-0.725,yessr,5
5.602,-4.46,6.06,-2.908,-1.603,-1.191,yessr,5
5.471,-4.427,5.986,-0.282,1.023,0.267,yessr,5
5.571,-4.276,5.777,2.412,-0.573,-0.893,yessr,5
5.435,-4.398,6.155,-0.863,1.252,-1.008,yessr,5
5.646,-4.293,6.036,-0.405,-1.504,-0.198,yessr,5
5.636,-4.518,6.1,3.237,0.542,-1.679,yessr,5
5.368,-4.401,6.436,-0.695,0.015,-0.023,yessr,5
5.511,-4.326,5.837,0.496,0.099,-2.511,yessr,5
5.447,-3.962,6.062,-2.305,2.893,-2.924,yessr,5
5.43,-4.286,5.825,-3.656,-2.336,-2.275,yessr,5
5.657,-4.451,5.598,1.534,1.534,-2.908,yessr,5
5.832,-4.326,6.177,0.183,-1.634,-2.0,yessr,5
5.818,-4.202,6.134,2.718,-3.702,-0.099,yessr,5
5.559,-4.355,6.0,-0.443,-3.947,-0.435,yessr,5
5.643,-4.329,5.835,0.534,-2.649,-0.947,yessr,5
5.701,-4.3,5.808,3.008,0.573,-1.802,yessr,5
5.784,-4.379,5.842,4.275,0.42,-1.504,yessr,5
5.672,-4.283,6.055,1.061,1.275,0.191,yessr,5
5.614,-4.305,5.859,4.878,-0.053,0.038,yessr,5
5.744,-4.247,6.239,0.74,0.389,0.046,yessr,5
5.629,-4.185,5.95,1.206,1.443,-1.519,yessr,5
5.559,-4.19,6.079,1.519,1.321,-0.42,yessr,5
5.586,-4.164,5.875,1.107,2.756,-1.496,yessr,5
5.677,-4.13,5.954,1.26,0.84,-1.137,yessr,5
5.681,-4.166,6.201,-1.954,0.466,-0.885,yessr,5
5.832,-3.919,6.0,-1.115,1.847,-0.687,yessr,5
5.631,-4.247,5.986,1.794,0.099,0.038,yessr,5
5.638,-4.152,6.223,-1.351,2.397,0.206,yessr,5
5.571,-4.022,5.971,1.809,1.176,-0.687,yessr,5
5.552,-4.149,6.163,-1.504,1.328,-1.168,yessr,5
5.789,-4.065,5.935,1.504,0.618,0.0,yessr,5
5.578,-4.178,6.05,2.496,1.084,0.221,yessr,5
5.641,-4.029,6.254,0.069,1.16,0.374,yessr,5
5.464,-4.171,6.215,-0.427,-1.16,0.26,yessr,5
5.638,-4.192,5.916,1.504,-1.168,-0.855,yessr,5
5.514,-4.278,6.302,-0.206,1.038,-0.076,yessr,5
5.679,-4.092,5.986,-1.115,1.267,-0.275,yessr,5
5.605,-4.283,6.06,0.511,1.382,-0.389,yessr,5
5.614,-4.113,6.179,0.45,0.656,0.046,yessr,5
5.614,-4.132,6.182,-0.015,0.511,0.443,yessr,5
5.612,-4.223,6.134,0.191,0.206,0.176,yessr,5
5.655,-4.195,6.007,0.046,0.718,-0.321,yessr,5
5.629,-4.089,6.103,0.878,0.718,-0.168,yessr,5
5.578,-4.187,6.189,-0.321,1.542,-0.366,yessr,5
5.602,-4.164,6.146,-0.092,1.344,-0.053,yessr,5
5.622,-4.154,6.038,-0.069,1.733,-0.176,yessr,5
5.511,-4.211,6.232,-0.435,0.893,0.328,yessr,5
5.488,-4.164,6.076,-1.45,1.023,0.542,yessr,5
5.528,-4.329,6.009,0.214,-1.252,0.603,yessr,5
5.545,-4.262,6.165,1.427,-0.443,0.626,yessr,5
5.655,-4.111,6.112,0.87,-1.221,-0.115,yessr,5
5.588,-4.108,6.172,0.145,0.176,-0.053,yessr,5
5.681,-4.161,6.096,1.099,1.252,0.015,yessr,5
