t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1339620.0,-2.234,0.376,10.594,10.834,51.16,-51.26,-21.939
1339673.0,-1.199,3.608,10.082,10.775,10.702,-29.634,15.168
1339725.0,-1.228,2.646,9.311,9.757,19.084,-9.55,17.718
1339777.0,-0.749,1.788,8.93,9.138,1.725,-3.366,24.42
1339829.0,-0.749,1.563,9.033,9.198,10.015,-4.74,24.206
1339881.0,-0.493,1.41,8.938,9.062,4.618,-7.145,18.779
1339933.0,-0.357,1.427,8.705,8.829,13.794,-7.16,16.611
1339985.0,0.156,1.822,8.442,8.638,14.382,-8.58,22.733
1340042.0,0.385,1.695,8.732,8.903,5.634,-3.405,22.824
1340094.0,0.728,1.142,8.875,8.978,-0.267,5.611,19.069
1340146.0,0.828,1.116,9.158,9.263,2.321,12.16,10.458
1340198.0,0.34,0.965,9.088,9.146,-1.42,12.763,-1.321
1340250.0,0.302,1.355,9.285,9.388,-10.344,10.183,-12.023
1340302.0,-0.146,1.25,8.981,9.068,-6.076,2.374,-15.26
1340354.0,0.022,1.623,8.138,8.298,0.015,5.855,-17.603
1340406.0,-0.723,1.946,8.796,9.038,6.046,14.466,-23.305
1340458.0,-0.587,2.519,8.789,9.162,9.626,16.427,-22.626
1340510.0,-0.467,2.892,8.825,9.299,-3.42,21.916,-14.641
1340562.0,-1.015,2.21,9.158,9.475,-5.214,19.634,-16.58
1340614.0,-1.372,2.284,9.239,9.616,-10.26,25.947,-12.962
1340666.0,-1.772,2.09,9.639,10.021,-9.237,11.443,-3.565
1340718.0,-2.181,1.784,9.742,10.141,-15.45,8.443,-7.389
1340770.0,-1.911,1.393,9.483,9.774,-9.771,-1.947,-3.405
1340822.0,-1.535,1.405,9.081,9.317,0.542,-4.649,-3.031
1340874.0,-1.595,1.506,9.366,9.619,-3.046,4.275,-1.969
1340926.0,-1.65,1.599,9.694,9.963,-2.893,1.885,-1.519
1340978.0,-1.595,1.525,9.462,9.716,-2.038,-2.076,-2.053
1341030.0,-1.616,1.731,9.349,9.645,0.916,-2.038,-0.496
1341082.0,-1.501,1.379,9.172,9.396,-1.076,-1.351,4.389
1341134.0,-1.571,1.396,9.249,9.484,2.351,2.847,0.405
1341186.0,-1.523,1.47,9.234,9.474,4.153,-0.847,0.71
1341238.0,-1.511,1.547,9.325,9.573,2.618,0.198,-1.634
1341290.0,-1.7,1.654,9.373,9.669,2.382,0.779,-2.557
1341342.0,-1.618,1.575,9.445,9.711,-0.076,3.847,-1.756
1341394.0,-1.714,1.585,9.5,9.783,-5.015,6.611,-4.244
1341446.0,-1.755,1.437,9.594,9.858,-1.847,5.832,-2.634
1341498.0,-1.712,1.532,9.56,9.832,-5.206,3.214,-3.191
1341550.0,-1.913,1.061,9.479,9.728,-6.023,4.237,-3.038
1341602.0,-1.769,1.561,9.009,9.313,-3.115,9.527,-1.611
