ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-0.773,0.318,9.742,2.191,3.618,1.237,yessr,2
-0.692,0.328,9.699,2.359,6.359,0.427,yessr,2
-0.742,0.395,9.855,-3.321,8.924,-0.16,yessr,2
-0.721,0.443,9.878,-3.053,7.16,1.115,yessr,2
-0.692,0.316,10.001,-3.008,8.115,0.855,yessr,2
-0.769,0.204,9.962,-0.328,1.664,0.534,yessr,2
-0.766,0.263,9.89,-1.58,3.0,1.008,yessr,2
-0.771,0.292,9.713,0.206,2.168,0.397,yessr,2
-0.759,0.235,9.68,-4.038,3.473,1.229,yessr,2
-0.745,0.261,9.603,-1.855,6.015,0.168,yessr,2
-0.737,0.29,9.835,-5.145,4.939,0.282,yessr,2
-0.709,0.204,9.792,-0.893,5.649,0.244,yessr,2
-0.8,0.311,9.905,-2.458,5.458,-0.374,yessr,2
-0.766,0.204,9.845,0.847,6.847,-0.237,yessr,2
-0.745,0.146,9.926,-1.16,5.344,-0.992,yessr,2
-0.778,0.196,9.802,0.427,6.0,-0.748,yessr,2
-0.713,0.201,9.831,-3.55,4.542,-0.641,yessr,2
-0.713,0.256,9.723,0.885,6.687,-1.573,yessr,2
-0.831,0.249,9.761,-1.847,7.626,-1.802,yessr,2
-0.883,0.469,9.768,-0.137,8.321,-1.328,yessr,2
-0.922,0.22,9.855,-0.466,6.099,0.336,yessr,2
-0.881,0.376,9.778,-3.221,4.931,0.748,yessr,2
-0.8,0.263,9.862,2.603,6.802,0.718,yessr,2
-0.814,0.22,9.912,-0.878,6.221,0.038,yessr,2
-0.867,0.299,9.886,5.664,4.718,-1.0,yessr,2
-1.183,0.328,10.472,7.618,0.328,2.244,yessr,2
-1.583,0.747,11.777,27.382,-7.13,16.038,yessr,2
-2.083,1.858,12.354,92.664,-26.641,49.443,yessr,2
-2.538,3.926,12.254,157.122,-20.947,91.321,yessr,2
-3.766,6.735,12.352,181.939,-37.855,154.908,yessr,2
-2.339,7.681,10.719,94.061,-78.076,167.122,yessr,2
0.362,5.466,8.085,106.382,-64.603,200.985,yessr,2
2.473,3.936,6.275,88.84,-48.313,212.542,yessr,2
3.668,2.531,6.649,119.275,-6.565,218.061,yessr,2
5.262,1.834,5.523,107.015,-13.023,199.366,yessr,2
5.729,1.422,4.99,44.229,-4.275,169.145,yessr,2
6.943,-1.86,4.252,33.916,-1.45,144.107,yessr,2
7.621,-2.758,4.453,1.282,2.557,64.427,yessr,2
8.124,-1.305,4.594,11.924,14.427,15.427,yessr,2
8.317,0.891,4.578,12.229,4.137,2.374,yessr,2
8.222,1.867,4.867,-10.542,11.893,-0.038,yessr,2
8.229,1.671,5.327,-8.366,11.756,4.038,yessr,2
7.949,2.119,5.567,-8.046,8.534,5.458,yessr,2
8.171,1.463,5.21,-10.397,2.603,5.603,yessr,2
7.836,1.635,5.406,-8.733,5.053,1.359,yessr,2
8.143,1.195,5.385,-3.366,5.137,2.618,yessr,2
8.073,1.618,5.313,-3.985,0.527,-0.496,yessr,2
8.183,1.539,5.277,-6.679,1.695,1.504,yessr,2
8.243,1.697,5.104,-4.527,2.092,2.489,yessr,2
8.27,1.389,5.04,-2.947,1.618,4.527,yessr,2
8.219,1.183,5.176,-6.443,5.046,2.916,yessr,2
8.155,1.216,5.267,-1.053,4.954,1.092,yessr,2
8.114,1.216,5.236,-4.687,4.504,-1.16,yessr,2
8.162,1.405,5.2,-0.786,4.405,-0.374,yessr,2
8.255,1.439,5.128,-5.198,2.947,0.137,yessr,2
8.193,1.35,5.224,-4.916,5.076,0.496,yessr,2
8.176,1.211,5.306,-5.198,4.916,-0.954,yessr,2
8.181,1.446,5.104,0.145,4.046,0.489,yessr,2
8.109,1.391,5.253,-5.985,4.626,-0.153,yessr,2
8.238,1.369,5.255,0.45,5.275,0.74,yessr,2
8.14,1.247,5.138,-3.939,4.183,0.649,yessr,2
8.119,1.353,5.296,-1.153,7.122,-0.29,yessr,2
8.284,1.089,5.296,-1.069,3.931,-0.069,yessr,2
