t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1995411.0,-2.545,5.935,7.372,9.8,-1.344,4.511,1.435
1995463.0,-2.502,6.079,7.393,9.893,1.634,2.542,5.198
1995515.0,-2.567,5.887,7.362,9.77,-1.099,5.13,0.641
1995567.0,-2.169,6.191,7.286,9.804,-1.031,1.229,1.802
1995619.0,-2.313,6.158,7.389,9.892,-0.275,0.038,2.931
1995671.0,-2.272,5.983,7.41,9.791,1.351,4.473,2.649
1995723.0,-2.337,6.048,7.398,9.837,-1.198,1.153,5.328
1995775.0,-2.385,5.954,7.245,9.676,0.931,5.183,0.794
1995827.0,-2.184,6.146,7.178,9.699,-0.947,1.916,3.573
1995879.0,-2.282,6.005,7.317,9.736,3.031,4.863,2.542
1995931.0,-2.143,6.287,7.283,9.857,1.115,0.985,4.489
1995983.0,-2.332,6.031,7.266,9.727,-0.763,4.122,3.183
1996035.0,-2.167,6.17,7.355,9.842,1.13,2.42,0.534
1996087.0,-2.234,6.196,7.266,9.807,2.893,1.947,4.847
1996139.0,-2.169,6.227,7.159,9.733,-0.405,4.267,-0.573
1996191.0,-2.114,6.172,7.245,9.75,3.229,3.321,1.725
1996243.0,-2.174,6.127,7.321,9.791,-1.824,5.557,-0.634
1996295.0,-2.014,6.258,7.137,9.704,-4.053,2.176,-0.412
1996347.0,-2.255,6.148,7.286,9.796,1.595,5.588,-0.183
1996399.0,-2.337,6.139,7.429,9.917,-1.626,2.252,0.45
1996451.0,-2.854,6.431,8.078,10.712,6.992,-4.023,21.794
1996503.0,-2.942,7.75,9.452,12.572,17.656,-41.931,88.824
1996555.0,-0.869,8.605,9.922,13.162,33.206,-78.137,217.947
1996607.0,2.411,10.046,8.373,13.298,82.298,-36.176,207.313
1996659.0,3.938,10.467,7.496,13.464,-82.374,17.053,125.267
1996711.0,4.482,8.882,6.062,11.651,-79.908,78.824,97.626
1996763.0,3.39,5.083,6.713,9.077,-97.534,24.916,80.443
1996815.0,4.015,5.133,6.431,9.156,-102.214,25.718,96.229
1996867.0,3.024,3.589,6.16,7.744,-79.855,24.435,75.092
1996924.0,3.369,2.016,7.214,8.213,-78.481,24.16,81.649
1996976.0,3.711,1.913,7.065,8.207,-59.947,41.977,92.885
1997028.0,2.902,0.129,8.222,8.72,-44.55,43.191,65.786
1997080.0,3.089,0.63,7.934,8.538,-83.435,14.084,41.672
1997132.0,2.093,-0.584,8.255,8.536,-32.153,26.038,67.198
