ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-0.019,4.233,8.782,-3.305,8.74,-1.504,yessr,1
0.127,4.511,8.746,1.985,0.397,1.878,yessr,1
-0.115,4.187,8.851,-4.046,11.435,-1.229,yessr,1
0.086,4.377,8.736,-0.443,1.847,2.366,yessr,1
-0.031,4.226,8.794,-1.71,8.557,0.015,yessr,1
0.045,4.36,8.832,-1.603,4.382,1.565,yessr,1
-0.113,4.161,8.885,-0.145,3.817,0.832,yessr,1
0.053,4.365,8.796,-3.214,7.511,-0.687,yessr,1
-0.098,4.192,8.83,-2.656,0.672,1.176,yessr,1
0.026,4.377,8.722,-1.855,6.473,-0.412,yessr,1
0.014,4.262,8.746,-1.092,5.122,0.107,yessr,1
-0.048,4.271,8.854,0.191,3.565,1.191,yessr,1
-0.101,4.156,8.751,-3.947,8.931,-0.885,yessr,1
-0.01,4.413,8.902,0.084,0.84,1.763,yessr,1
-0.117,4.223,9.069,-0.443,7.496,-0.534,yessr,1
-0.156,4.949,9.809,2.863,-11.962,13.038,yessr,1
-0.141,5.205,10.817,4.153,-45.092,48.16,yessr,1
0.79,4.757,10.63,10.893,-62.863,46.069,yessr,1
2.035,5.392,10.563,10.511,-54.718,58.611,yessr,1
3.388,5.54,9.483,-12.107,-54.84,88.282,yessr,1
3.737,5.009,8.763,15.55,-31.298,103.931,yessr,1
4.587,4.855,8.571,-2.069,-34.939,111.29,yessr,1
5.94,4.858,7.807,-8.771,-9.626,116.366,yessr,1
6.009,4.226,8.497,-26.939,-11.473,110.374,yessr,1
-2.112,-0.9,8.654,-26.939,-11.473,110.374,yessr,1
-2.112,-0.9,8.654,-26.939,-11.473,110.374,yessr,1
5.009,-0.424,5.701,-26.496,15.702,131.87,yessr,1
3.285,-0.84,6.445,-22.679,32.977,113.756,yessr,1
3.838,-1.465,5.775,-12.206,20.763,91.16,yessr,1
2.272,-2.828,7.332,-29.557,23.45,65.382,yessr,1
-2.318,1.839,5.127,-29.557,23.45,65.382,yessr,1
2.478,-3.809,8.358,-6.023,21.817,31.649,yessr,1
3.158,-2.274,7.997,-19.878,25.947,16.87,yessr,1
2.856,-2.969,8.569,17.985,10.695,10.45,yessr,1
4.302,-1.87,7.63,1.969,19.382,20.992,yessr,1
1.35,-4.233,9.668,-6.229,6.954,-1.168,yessr,1
3.096,-3.072,8.509,-5.008,13.664,2.145,yessr,1
4.017,-2.928,8.404,3.176,-0.679,1.397,yessr,1
3.457,-2.356,9.1,2.947,2.542,2.198,yessr,1
3.709,-2.962,8.42,0.84,-2.969,4.137,yessr,1
3.836,-2.478,8.626,7.939,-3.725,3.893,yessr,1
3.555,-3.132,8.746,2.565,2.473,1.794,yessr,1
3.982,-2.325,8.645,3.038,-0.511,1.962,yessr,1
3.546,-3.038,8.564,4.397,-2.947,0.305,yessr,1
3.809,-2.631,8.722,-1.252,-2.45,3.023,yessr,1
4.118,-2.674,9.06,-0.244,1.786,1.244,yessr,1
4.154,-2.945,8.734,-6.29,4.557,2.305,yessr,1
3.898,-2.784,8.404,-6.595,7.397,4.397,yessr,1
3.721,-3.017,8.54,-3.649,6.229,2.87,yessr,1
3.773,-2.741,8.626,-2.672,4.29,1.695,yessr,1
4.037,-3.026,8.365,-4.992,-0.977,2.687,yessr,1
3.68,-2.904,8.768,-10.015,1.336,3.908,yessr,1
4.022,-3.139,8.329,-9.786,5.618,-0.336,yessr,1
3.893,-3.4,8.734,-15.534,9.809,1.763,yessr,1
3.869,-3.304,8.509,-1.954,2.221,-2.252,yessr,1
3.965,-3.237,8.387,-5.672,7.817,-1.695,yessr,1
3.809,-3.244,8.509,-2.969,7.985,-1.42,yessr,1
3.881,-3.225,8.322,-3.656,6.649,-0.733,yessr,1
3.814,-3.108,8.622,-3.748,8.779,-3.954,yessr,1
3.603,-3.436,8.514,0.328,1.519,-0.542,yessr,1
3.677,-3.519,8.418,-2.954,6.885,-2.107,yessr,1
3.994,-3.302,8.605,-0.695,4.557,-1.153,yessr,1
3.915,-3.194,8.519,-0.412,4.466,-0.771,yessr,1
3.814,-3.215,8.444,-2.664,4.351,0.015,yessr,1
3.881,-3.201,8.37,-2.237,6.527,-0.939,yessr,1
3.84,-3.22,8.444,0.351,3.244,-0.481,yessr,1
3.84,-3.223,8.519,0.069,4.351,-0.931,yessr,1
3.843,-3.275,8.569,2.031,3.489,-0.947,yessr,1
3.962,-3.208,8.545,0.641,4.87,-0.328,yessr,1
3.771,-3.227,8.641,-0.099,3.206,-0.328,yessr,1
3.907,-3.16,8.667,-0.015,4.0,0.397,yessr,1
3.907,-3.105,8.475,-3.527,5.267,0.885,yessr,1
3.905,-3.189,8.435,-3.229,4.649,0.565,yessr,1
3.752,-3.182,8.545,0.031,4.58,0.527,yessr,1
3.974,-3.251,8.473,-1.779,3.641,-0.237,yessr,1
4.015,-3.16,8.71,-0.534,2.115,0.405,yessr,1
4.02,-3.247,8.265,-0.489,4.779,-0.389,yessr,1
3.876,-3.309,8.337,1.115,5.756,0.511,yessr,1
3.778,-3.218,8.562,0.466,4.282,-0.313,yessr,1
3.958,-2.993,8.6,1.855,3.878,-0.237,yessr,1
3.898,-3.129,8.519,-0.435,3.901,-0.351,yessr,1
3.919,-2.99,8.509,-2.099,6.069,-0.878,yessr,1
3.931,-3.208,8.48,-1.015,2.656,1.405,yessr,1
4.061,-3.139,8.487,-0.176,2.687,1.26,yessr,1
3.977,-3.179,8.612,0.527,0.931,1.16,yessr,1
3.9,-3.16,8.607,-2.359,5.87,1.206,yessr,1
3.991,-3.084,8.341,-6.336,8.618,0.679,yessr,1
3.948,-3.093,8.739,-5.321,3.42,1.45,yessr,1
3.912,-3.187,8.564,-0.366,1.58,0.023,yessr,1
4.077,-3.074,8.389,-3.092,2.702,0.038,yessr,1
4.094,-3.156,8.353,-3.183,4.237,0.244,yessr,1
3.977,-3.189,8.475,-4.458,6.603,0.496,yessr,1
4.013,-3.251,8.241,-3.321,3.626,0.427,yessr,1
4.032,-3.148,8.61,2.191,1.832,-0.496,yessr,1
4.113,-3.144,8.428,0.496,2.824,-0.031,yessr,1
4.008,-3.179,8.492,-1.908,6.366,0.481,yessr,1
4.058,-3.089,8.423,-3.069,6.519,0.023,yessr,1
3.895,-3.263,8.576,-0.618,3.084,1.626,yessr,1
3.955,-3.304,8.21,-1.397,3.115,-0.183,yessr,1
4.149,-3.069,8.595,-0.046,3.115,0.237,yessr,1
4.025,-3.203,8.418,-2.282,1.252,0.786,yessr,1
4.12,-3.409,8.272,-0.901,-0.084,1.595,yessr,1
4.264,-3.203,8.322,-2.374,0.863,2.168,yessr,1
