t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
983097.0,1.415,4.999,8.26,9.758,-2.656,6.977,-1.519
983149.0,1.482,5.073,8.284,9.826,-0.115,9.015,-2.267
983201.0,1.456,4.944,8.404,9.858,-2.008,7.061,-0.802
983253.0,1.393,5.15,8.243,9.819,-1.656,6.069,0.443
983305.0,1.293,5.033,8.303,9.795,-1.702,6.321,1.275
983357.0,1.286,5.028,8.389,9.865,-1.809,4.008,0.069
983409.0,1.173,5.049,8.461,9.923,1.336,2.328,-0.359
983461.0,1.413,4.937,8.265,9.73,-0.26,4.687,-0.473
983513.0,1.257,5.064,8.282,9.788,0.26,4.023,-0.092
983565.0,1.322,4.997,8.191,9.685,0.397,3.229,-0.481
983617.0,1.156,5.018,8.351,9.811,-2.267,6.29,0.641
983669.0,1.276,4.99,8.284,9.754,0.221,2.649,-1.176
983721.0,1.109,5.143,8.248,9.783,2.153,1.977,-1.595
983773.0,1.262,5.028,8.152,9.661,-3.725,4.382,0.786
983825.0,1.317,5.016,8.188,9.692,2.351,4.267,-4.695
983877.0,1.396,5.248,8.325,9.939,0.244,4.145,1.198
983929.0,1.477,5.26,8.327,9.959,4.977,0.496,5.099
983981.0,1.405,4.98,8.188,9.686,13.511,-3.885,3.817
984038.0,1.53,5.413,8.686,10.349,36.389,-13.931,12.122
984090.0,1.377,5.526,8.004,9.823,36.458,-12.061,22.481
984142.0,2.274,7.417,8.459,11.478,75.443,-15.16,21.611
984194.0,2.263,7.369,7.585,10.815,51.557,-15.641,51.198
984246.0,2.777,7.389,7.465,10.864,85.756,11.382,39.74
984298.0,3.218,8.193,6.646,11.03,59.687,-11.015,40.023
984350.0,3.481,8.82,5.581,11.003,119.794,-10.893,29.504
984402.0,4.073,9.917,4.594,11.664,103.069,-26.702,67.969
984454.0,4.02,8.274,3.306,9.775,123.176,28.588,53.099
984506.0,3.062,10.865,2.576,11.578,120.756,46.794,89.74
984558.0,4.685,8.155,2.72,9.79,47.924,38.611,99.084
984610.0,5.622,8.538,2.076,10.431,47.519,41.977,85.282
984662.0,6.565,7.887,2.09,10.472,14.321,54.779,95.42
984714.0,6.862,7.101,2.406,10.164,8.092,75.221,80.649
984766.0,6.007,4.65,3.282,8.275,24.16,68.725,67.023
984818.0,6.553,5.782,2.868,9.198,58.931,54.565,104.427
984870.0,6.898,4.427,2.935,8.706,8.137,50.779,99.969
984922.0,6.936,4.69,2.954,8.879,-1.954,45.824,108.595
984974.0,7.214,3.081,3.598,8.63,-3.176,50.695,98.832
985026.0,7.08,2.088,4.348,8.566,-23.779,42.008,87.901
985078.0,7.223,1.286,4.307,8.508,-29.588,43.725,72.405
985130.0,7.496,0.761,4.233,8.642,-28.0,46.809,54.588
985182.0,7.436,-0.184,4.683,8.79,-12.832,46.878,38.168
985234.0,7.101,-0.721,5.555,9.044,-7.42,36.847,30.26
985286.0,6.766,-0.764,6.06,9.115,-23.13,36.863,10.672
985338.0,6.85,-0.761,6.388,9.397,-13.13,27.351,1.282
985390.0,6.747,0.017,6.879,9.635,-17.893,13.885,-2.969
985442.0,7.353,-0.007,6.227,9.635,-0.397,3.504,-0.565
985494.0,7.913,0.208,5.89,9.866,5.84,3.435,6.244
985546.0,7.805,0.881,6.299,10.069,-5.382,-0.885,10.344
985598.0,7.575,-0.608,6.091,9.739,-4.336,2.229,5.061
985650.0,7.767,0.393,5.906,9.765,2.626,5.038,0.237
985702.0,7.731,-0.127,5.997,9.785,10.107,3.626,1.802
985754.0,7.796,0.637,6.062,9.896,-11.802,5.16,-0.573
985806.0,7.791,-0.151,5.816,9.723,0.321,3.802,3.603
985858.0,7.626,0.273,6.084,9.759,-14.435,6.817,0.45
985910.0,7.685,0.034,5.851,9.659,5.153,3.771,2.031
985962.0,7.839,0.419,6.115,9.95,-0.183,3.595,1.74
986014.0,7.81,0.227,5.962,9.828,-2.076,4.298,2.435
986071.0,7.618,-0.067,6.041,9.723,4.802,3.366,0.061
986123.0,7.824,0.579,6.079,9.925,3.649,2.053,0.519
986175.0,7.776,-0.036,6.062,9.86,-4.779,3.298,1.527
986227.0,7.669,-0.069,5.717,9.566,0.908,4.282,0.244
986279.0,7.74,0.34,6.103,9.863,-5.58,4.992,-1.588
986331.0,7.779,0.16,5.959,9.8,-2.008,4.046,-1.153
986383.0,7.796,0.225,6.093,9.897,-6.061,4.527,0.031
986435.0,7.841,0.156,5.837,9.776,-0.771,4.939,-0.061
986487.0,7.743,0.127,6.024,9.811,0.832,4.695,-0.076
986539.0,7.726,0.204,6.014,9.793,2.496,2.855,-0.809
986591.0,7.865,0.254,5.921,9.848,4.947,3.481,-0.489
986643.0,7.714,0.158,5.935,9.734,1.901,3.473,-0.237
986695.0,7.908,0.359,5.897,9.871,0.496,4.511,0.122
986747.0,7.776,0.115,6.031,9.842,-1.458,4.42,0.237
986799.0,7.882,0.177,5.839,9.811,1.153,3.168,0.702
986851.0,7.812,0.357,6.043,9.883,1.023,5.076,-0.992
986903.0,7.875,0.172,5.856,9.815,2.595,5.763,-2.023
986955.0,7.764,0.359,5.725,9.653,2.702,4.573,-0.885
987007.0,7.824,0.536,5.827,9.771,2.695,4.962,0.191
987059.0,7.918,0.524,6.06,9.984,0.931,3.992,0.069
987111.0,7.898,0.488,5.789,9.805,0.473,4.45,0.595
987163.0,7.774,0.378,6.005,9.83,0.031,2.573,-2.817
987215.0,7.894,0.479,5.816,9.816,3.802,5.718,-0.168
987267.0,7.843,0.572,5.935,9.853,1.595,4.252,-0.382
987319.0,7.867,0.611,5.93,9.871,-1.725,6.076,-0.061
987371.0,7.728,0.517,5.808,9.682,-1.038,4.046,-0.664
987423.0,7.853,0.704,5.868,9.829,0.527,-3.359,-4.389
987475.0,7.901,0.467,5.918,9.883,1.412,3.916,-0.344
987527.0,7.942,0.735,5.77,9.844,-1.237,2.916,-0.74
987579.0,8.004,0.563,5.827,9.917,1.206,4.397,0.336
987631.0,7.87,0.599,5.969,9.895,-0.779,5.122,0.412
987683.0,7.887,0.584,5.796,9.805,2.359,3.481,-0.092
987735.0,7.831,0.67,5.842,9.793,0.015,4.107,-1.092
987787.0,7.961,0.704,5.686,9.808,1.511,4.916,-0.031
987839.0,7.836,0.666,5.813,9.78,-1.573,4.351,-0.168
987891.0,7.898,0.692,5.765,9.803,0.542,3.527,0.779
987943.0,7.875,0.601,5.801,9.799,2.626,2.046,-0.191
987995.0,8.049,0.788,5.715,9.903,0.55,4.977,0.076
