ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
4.872,3.268,7.834,1.817,2.168,2.168,yessr,4
4.8,3.366,7.647,2.611,2.214,2.405,yessr,4
5.171,3.357,7.389,-4.756,7.55,2.794,yessr,4
4.875,3.598,7.525,-2.962,9.267,1.824,yessr,4
4.781,3.596,7.697,-2.969,11.382,0.061,yessr,4
4.817,3.541,7.836,1.443,9.412,2.412,yessr,4
4.767,3.244,8.064,-3.924,11.626,-0.214,yessr,4
5.004,3.22,8.018,-3.504,8.794,0.397,yessr,4
4.906,3.476,8.023,0.725,8.389,-3.023,yessr,4
4.606,3.567,7.81,-2.015,5.237,-1.679,yessr,4
4.568,3.345,7.846,-1.214,6.382,-1.221,yessr,4
4.681,3.285,7.91,-4.603,9.115,-1.275,yessr,4
4.63,3.273,7.966,-4.153,9.817,-3.573,yessr,4
4.673,3.314,7.982,-4.588,9.71,-3.534,yessr,4
4.547,3.239,8.207,-7.672,7.878,-2.443,yessr,4
4.571,3.364,7.999,-0.481,4.809,-2.863,yessr,4
4.618,3.294,7.982,-1.817,5.0,-1.893,yessr,4
4.578,3.663,7.898,-6.099,5.985,-0.16,yessr,4
4.513,3.369,8.097,-0.099,7.038,-2.099,yessr,4
4.453,3.929,8.011,-7.863,6.702,1.779,yessr,4
4.551,3.105,8.133,-5.901,8.603,0.939,yessr,4
4.393,3.249,8.363,-1.153,9.718,-1.221,yessr,4
4.355,3.493,8.284,-1.221,4.29,1.313,yessr,4
4.312,3.44,8.037,-3.229,4.473,1.695,yessr,4
4.35,3.187,8.131,-6.473,5.038,2.756,yessr,4
4.417,3.01,8.183,-4.153,5.153,1.763,yessr,4
4.367,3.239,8.126,-0.84,4.595,-1.053,yessr,4
4.384,3.1,8.294,-3.252,4.573,0.649,yessr,4
4.396,3.122,8.167,-1.191,4.771,0.305,yessr,4
4.331,2.969,8.092,0.252,5.046,-1.252,yessr,4
4.413,3.304,8.097,0.504,10.122,-1.328,yessr,4
4.556,6.199,9.364,14.076,14.779,1.611,yessr,4
4.034,9.905,12.768,50.008,-6.023,63.29,yessr,4
5.246,9.206,11.7,77.435,-61.069,126.473,yessr,4
4.968,6.45,8.969,81.901,-88.076,181.344,yessr,4
4.934,3.709,5.969,61.359,-81.618,207.42,yessr,4
4.767,-0.582,5.143,64.405,-54.511,207.878,yessr,4
5.265,-1.932,4.475,89.611,-31.198,182.382,yessr,4
5.04,-2.382,4.144,64.45,-9.374,149.992,yessr,4
6.093,-4.092,4.46,45.634,14.756,108.046,yessr,4
6.17,-5.205,4.798,24.076,12.756,49.244,yessr,4
7.147,-3.543,5.203,-1.168,7.084,26.58,yessr,4
8.052,-2.897,5.432,-2.137,4.802,1.183,yessr,4
8.705,-1.937,4.934,12.947,7.771,5.191,yessr,4
8.104,-1.968,5.485,-20.015,5.748,6.481,yessr,4
8.071,-2.557,5.624,-8.939,3.191,4.687,yessr,4
8.071,-1.733,5.488,-26.122,10.74,7.71,yessr,4
8.025,-2.617,5.291,-10.458,3.473,5.168,yessr,4
8.116,-2.09,5.073,-10.771,7.924,4.397,yessr,4
7.987,-2.89,5.246,-2.916,5.336,2.847,yessr,4
8.03,-2.459,4.978,-18.763,3.885,7.359,yessr,4
7.788,-2.502,5.157,-1.099,3.45,0.84,yessr,4
7.992,-2.808,4.994,-3.962,1.649,2.099,yessr,4
8.08,-2.751,4.896,-0.992,0.954,-1.076,yessr,4
8.164,-2.535,4.978,-4.947,1.145,1.221,yessr,4
8.26,-2.708,5.171,-2.634,2.74,1.466,yessr,4
8.102,-2.555,4.824,0.656,3.786,0.427,yessr,4
8.116,-2.717,5.025,0.527,5.023,1.58,yessr,4
7.944,-2.406,5.126,-1.992,4.427,1.198,yessr,4
7.985,-2.782,4.853,3.84,0.168,-0.252,yessr,4
8.028,-2.703,4.915,3.794,3.115,-2.023,yessr,4
8.238,-2.631,5.112,2.992,2.107,-0.908,yessr,4
8.545,-2.485,4.896,-1.015,7.214,0.198,yessr,4
8.176,-2.488,5.1,-3.221,7.061,1.107,yessr,4
8.056,-2.643,4.999,-3.611,5.092,1.809,yessr,4
7.977,-2.586,4.817,0.336,3.557,-0.336,yessr,4
8.09,-2.653,4.571,2.992,-0.16,-0.443,yessr,4
8.109,-2.32,5.334,-1.931,4.527,-0.695,yessr,4
8.183,-2.543,5.291,-5.069,2.466,0.481,yessr,4
7.824,-2.725,4.743,-4.336,0.969,1.969,yessr,4
8.236,-2.619,4.666,-2.84,3.573,0.504,yessr,4
8.198,-2.562,5.066,-1.023,3.863,1.611,yessr,4
8.097,-2.653,4.946,-3.45,2.733,1.71,yessr,4
8.138,-2.629,4.762,-1.115,4.046,0.45,yessr,4
8.365,-2.528,4.721,-3.748,6.756,0.947,yessr,4
8.124,-2.612,4.772,-2.687,4.771,2.336,yessr,4
8.238,-2.588,4.798,-1.405,1.863,2.931,yessr,4
8.231,-2.679,4.901,-0.641,4.588,1.45,yessr,4
8.179,-2.636,4.93,-2.443,2.229,1.351,yessr,4
8.238,-2.849,4.779,-1.275,4.847,0.412,yessr,4
8.147,-2.665,4.769,-3.718,5.252,1.008,yessr,4
8.016,-2.789,4.602,0.206,4.542,-0.84,yessr,4
8.167,-2.722,4.937,-0.573,4.985,0.191,yessr,4
8.274,-2.806,4.779,-0.046,2.489,0.244,yessr,4
8.164,-2.583,4.805,-1.344,3.481,-0.321,yessr,4
8.215,-2.744,4.788,0.099,3.282,-0.71,yessr,4
8.313,-2.662,4.855,0.29,4.267,-0.618,yessr,4
8.291,-2.667,4.764,-1.466,3.916,-0.069,yessr,4
8.162,-2.545,4.774,-1.092,5.351,-0.397,yessr,4
8.243,-2.634,4.942,-1.71,4.977,-0.321,yessr,4
8.404,-2.636,4.822,-1.817,4.992,0.137,yessr,4
8.191,-2.703,4.798,-2.794,5.382,0.924,yessr,4
8.037,-2.646,4.836,-2.618,3.679,1.282,yessr,4
8.162,-2.677,4.659,-1.084,3.878,0.557,yessr,4
