t_ms,ax_ms2,ay_ms2,az_ms2,a_total_ms2,gx_dps,gy_dps,gz_dps
1124780.0,2.84,2.045,9.416,10.045,-9.458,6.374,-3.443
1124832.0,2.698,1.954,9.208,9.792,-0.557,0.061,-3.855
1124884.0,3.16,1.774,8.765,9.485,-2.206,4.817,1.519
1124936.0,2.885,1.781,9.151,9.759,0.42,10.656,-5.565
1124988.0,3.191,1.949,9.002,9.748,-4.542,8.931,-4.023
1125040.0,2.411,2.351,9.613,10.186,6.847,3.893,-6.153
1125092.0,3.191,2.085,8.758,9.552,-0.267,4.168,-2.435
1125144.0,2.969,2.298,9.337,10.064,0.053,7.847,-1.168
1125196.0,2.746,2.425,9.294,9.99,-1.756,6.45,-0.038
1125248.0,2.892,2.016,9.222,9.873,-3.985,7.206,4.076
1125300.0,2.78,1.97,9.443,10.039,0.794,5.282,2.275
1125352.0,2.744,2.025,9.369,9.97,-4.885,5.687,1.771
1125404.0,2.914,1.738,9.258,9.86,-3.466,4.206,0.725
1125456.0,2.708,2.093,9.299,9.909,0.542,3.313,-1.427
1125508.0,2.626,1.956,9.29,9.85,0.328,3.206,0.13
1125560.0,2.77,1.834,9.189,9.771,-3.115,4.206,1.412
1125612.0,3.024,1.616,9.129,9.752,-3.275,7.687,-0.634
1125664.0,3.067,1.702,9.007,9.666,-8.008,13.779,-3.206
1125716.0,2.871,2.085,9.251,9.908,-6.069,10.733,-2.557
1125768.0,2.78,2.143,9.469,10.099,-4.015,6.13,-0.115
1125820.0,2.796,1.889,9.345,9.935,-4.168,1.336,0.878
1125872.0,2.732,1.999,9.129,9.737,-2.74,4.71,1.901
1125924.0,2.816,1.609,9.199,9.753,-2.519,7.321,0.046
1125976.0,2.717,1.834,9.39,9.946,-3.16,5.794,-0.412
1126028.0,2.758,1.738,9.28,9.836,-2.214,4.718,0.992
1126080.0,2.751,1.97,9.313,9.909,-2.824,5.672,1.45
1126132.0,2.761,1.894,9.309,9.892,-2.733,6.748,2.374
1126189.0,2.729,1.86,9.244,9.816,-0.504,3.076,3.58
1126241.0,2.626,1.844,9.086,9.636,-1.153,4.237,3.687
1126293.0,2.693,1.729,9.294,9.83,-1.626,5.084,3.588
1126345.0,2.648,1.607,9.479,9.972,-2.198,5.916,2.405
1126397.0,2.631,1.7,9.361,9.872,1.504,4.092,3.145
1126449.0,2.6,1.736,9.273,9.786,1.939,2.275,-0.282
1126501.0,2.684,1.832,9.246,9.801,-1.649,3.435,0.634
1126553.0,2.722,1.738,9.378,9.919,1.534,4.107,-1.847
1126605.0,2.761,1.899,9.244,9.832,-2.412,4.496,-0.252
1126657.0,2.717,1.717,9.33,9.868,-2.046,5.42,-0.473
1126709.0,2.787,1.686,9.285,9.839,0.924,5.069,0.092
1126761.0,2.729,1.812,9.189,9.756,2.687,5.031,-0.908
1126813.0,2.746,1.803,9.325,9.887,2.076,5.252,-0.481
1126865.0,2.655,1.882,9.342,9.893,1.55,4.603,-0.756
1126917.0,2.696,1.8,9.256,9.807,-2.664,2.198,1.214
1126969.0,2.808,1.64,9.067,9.632,0.092,3.855,0.702
1127021.0,2.729,1.757,9.251,9.804,-3.557,6.115,-0.115
1127073.0,2.696,1.781,9.352,9.894,-0.359,3.939,-0.748
1127125.0,2.765,1.707,9.297,9.848,-1.687,4.748,0.985
1127177.0,2.758,1.678,9.354,9.896,-1.382,4.756,0.244
1127229.0,2.734,1.76,9.206,9.763,-0.618,4.466,-0.763
1127281.0,2.775,1.748,9.246,9.811,-2.626,5.511,0.87
1127333.0,2.732,1.741,9.416,9.958,-3.023,4.969,0.412
1127385.0,2.689,1.856,9.28,9.838,-2.298,4.954,-0.183
1127437.0,2.686,1.664,9.369,9.887,-1.076,3.664,0.763
1127489.0,2.765,1.616,9.153,9.697,-1.031,4.534,0.435
1127541.0,2.705,1.724,9.215,9.758,-2.977,5.634,-0.038
1127593.0,2.758,1.724,9.27,9.824,-2.359,4.237,-0.702
1127645.0,2.811,1.724,9.189,9.763,0.053,5.954,-0.641
1127697.0,2.717,1.69,9.349,9.882,-1.031,6.733,-0.359
1127749.0,2.725,1.7,9.21,9.754,1.069,5.687,-0.305
1127801.0,2.686,2.071,9.651,10.23,5.817,6.298,0.603
1127853.0,1.944,4.448,11.667,12.637,63.931,-3.092,18.092
1127905.0,2.832,6.936,13.858,15.753,87.947,-47.863,62.771
1127957.0,3.484,6.304,12.117,14.096,132.137,-97.885,105.763
1128009.0,3.85,7.132,8.71,11.898,69.328,-88.206,148.107
1128061.0,4.8,4.436,6.551,9.254,109.969,-86.443,177.985
1128113.0,4.293,4.329,5.535,8.234,64.183,-47.641,206.313
1128165.0,4.891,1.305,5.504,7.478,50.084,-25.42,207.427
1128222.0,5.301,-2.488,5.351,7.932,57.504,-12.695,182.427
1128274.0,5.215,-3.0,5.042,7.85,38.847,-0.931,160.641
1128326.0,5.461,-5.054,5.555,9.286,13.947,6.214,115.58
1128378.0,6.098,-5.995,5.377,10.102,-8.786,4.435,68.214
1128430.0,6.199,-5.681,5.246,9.911,-19.122,20.13,-9.588
1128482.0,8.133,-1.575,4.671,9.51,6.931,-3.473,4.466
1128534.0,7.853,-1.499,5.262,9.571,-3.214,6.656,8.817
1128586.0,7.52,-3.551,5.555,10.001,6.328,9.656,-3.855
1128638.0,7.932,-2.061,5.619,9.937,-2.183,4.298,5.542
