ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-4.01,-0.479,9.069,5.183,-6.115,3.489,dislike,5
-3.989,-0.539,8.997,4.305,-5.397,1.878,dislike,5
-4.166,-0.517,9.163,4.557,-1.863,-0.298,dislike,5
-4.049,-0.247,9.278,4.443,0.099,1.298,dislike,5
-4.171,0.026,9.436,-0.29,-1.55,-0.794,dislike,5
-3.766,-0.158,9.306,1.947,0.344,3.466,dislike,5
-3.735,0.141,9.404,-3.832,1.656,1.947,dislike,5
-3.807,-0.476,9.565,-1.489,4.336,3.206,dislike,5
-4.549,-0.189,9.787,0.084,3.832,-0.702,dislike,5
-4.587,-0.4,9.797,-0.527,-0.481,1.908,dislike,5
-4.056,-0.326,9.436,-7.855,0.115,-0.947,dislike,5
-4.02,-0.532,9.565,-1.336,-0.725,-0.099,dislike,5
-3.869,-0.333,9.448,-3.389,0.321,-1.519,dislike,5
-4.219,-0.199,9.27,-2.901,0.595,-0.298,dislike,5
-4.367,-0.541,9.543,-0.542,1.534,1.977,dislike,5
-3.768,-0.749,9.352,-2.229,-0.389,2.16,dislike,5
-3.907,-0.481,9.242,-3.198,-0.099,0.313,dislike,5
-4.147,-0.304,9.34,0.031,0.008,0.267,dislike,5
-4.216,-0.223,9.311,-0.206,2.26,2.84,dislike,5
-4.144,-0.481,9.582,-2.221,1.305,3.45,dislike,5
-4.187,-0.771,9.682,-0.634,0.122,1.702,dislike,5
-4.247,-0.697,9.62,0.542,-2.359,0.046,dislike,5
-4.12,-0.606,9.62,-1.206,-2.718,-1.511,dislike,5
-3.881,-0.62,9.1,1.504,-2.74,0.183,dislike,5
-3.965,-0.496,9.369,0.237,-0.191,-1.992,dislike,5
-3.845,-0.622,9.337,0.389,-4.076,-0.679,dislike,5
-4.008,-0.218,10.001,-3.672,-12.313,-1.282,dislike,5
-3.541,0.084,10.159,-42.771,-12.573,-7.053,dislike,5
-2.816,-1.494,8.626,-58.786,13.16,-15.817,dislike,5
-3.598,-1.199,9.263,-50.664,29.397,-2.55,dislike,5
-4.48,-1.695,9.835,-93.336,-2.214,-15.969,dislike,5
-3.11,-3.349,8.758,-138.496,9.321,-11.031,dislike,5
-4.034,-2.528,8.404,-167.008,20.229,6.672,dislike,5
-4.401,-7.448,7.211,-120.908,55.298,31.893,dislike,5
-5.981,-5.363,7.484,-127.885,48.87,6.672,dislike,5
-5.557,-8.612,6.024,-94.969,69.931,41.26,dislike,5
-5.574,-8.231,5.368,-131.588,74.191,-4.58,dislike,5
-8.258,-9.158,5.471,-82.985,73.252,14.977,dislike,5
-6.642,-8.169,2.99,-129.87,59.84,-13.0,dislike,5
-7.219,-9.783,1.513,-134.137,68.298,4.588,dislike,5
-7.005,-10.709,1.065,-107.649,63.16,7.038,dislike,5
-8.011,-10.58,0.699,-72.115,23.244,-8.435,dislike,5
-6.223,-8.605,-0.922,-34.939,28.756,4.351,dislike,5
-7.269,-9.431,-1.044,-15.893,25.412,9.794,dislike,5
-7.286,-7.52,-0.342,5.489,29.527,12.031,dislike,5
-7.64,-9.795,-0.781,16.511,7.84,17.916,dislike,5
-7.247,-9.802,-0.927,2.969,-1.122,0.84,dislike,5
-7.491,-9.45,-0.388,9.977,3.542,1.74,dislike,5
-7.415,-9.021,-0.421,9.771,-0.481,3.511,dislike,5
-7.587,-8.849,-0.225,-3.588,-7.473,0.557,dislike,5
-7.513,-9.244,-0.23,3.344,-1.252,5.122,dislike,5
-7.4,-9.251,-0.582,-2.069,-3.405,-2.84,dislike,5
-7.573,-9.311,-0.354,8.779,-7.748,6.122,dislike,5
-7.477,-9.201,-0.522,1.481,-2.076,-4.771,dislike,5
-7.35,-8.921,-0.45,2.061,-3.221,1.71,dislike,5
-7.314,-9.012,-0.362,-2.313,-3.313,0.519,dislike,5
-7.393,-9.455,-0.292,7.725,-1.588,6.107,dislike,5
-7.379,-9.203,-0.297,0.061,-3.168,-0.939,dislike,5
-7.618,-8.981,-0.244,3.84,1.489,0.74,dislike,5
-7.432,-8.928,-0.294,5.046,0.824,2.595,dislike,5
