ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-1.475,0.29,9.653,-2.626,2.74,1.763,dislike,2
-1.427,0.189,9.713,-0.153,6.244,0.183,dislike,2
-1.451,0.464,9.704,0.069,5.786,-1.076,dislike,2
-1.508,0.366,9.732,-0.412,4.153,-0.542,dislike,2
-1.434,0.445,9.749,-1.519,5.107,-0.176,dislike,2
-1.338,0.476,9.711,-0.695,4.817,-0.389,dislike,2
-1.401,0.419,9.725,0.229,5.969,-0.29,dislike,2
-1.539,0.46,9.737,-1.481,5.588,-0.519,dislike,2
-1.465,0.469,9.716,-0.656,4.168,0.847,dislike,2
-1.468,0.453,9.752,-1.916,6.046,1.389,dislike,2
-1.422,0.455,9.732,-1.29,4.153,1.153,dislike,2
-1.434,0.481,9.692,-2.389,5.45,1.115,dislike,2
-1.482,0.436,9.742,-0.389,4.725,1.069,dislike,2
-1.482,0.376,9.656,-2.038,5.679,1.328,dislike,2
-1.468,0.381,9.79,-2.023,3.214,2.153,dislike,2
-1.432,0.259,9.713,-2.076,4.718,1.412,dislike,2
-1.41,0.354,9.847,-1.168,3.939,1.069,dislike,2
-1.372,0.196,9.742,-2.321,4.588,0.092,dislike,2
-1.439,0.314,9.735,-0.962,3.985,-0.092,dislike,2
-1.408,0.297,9.713,-2.412,6.092,-1.115,dislike,2
-1.468,0.318,9.857,-0.679,5.45,-2.0,dislike,2
-1.427,0.259,9.807,-1.74,5.58,-0.954,dislike,2
-1.377,0.278,9.742,-2.977,4.939,-1.611,dislike,2
-1.487,0.227,9.742,-1.908,6.947,-2.672,dislike,2
-1.532,0.311,9.701,-1.412,4.763,-2.771,dislike,2
-1.475,0.271,9.773,0.069,5.87,-2.427,dislike,2
-1.52,0.311,9.816,-1.191,6.351,-1.252,dislike,2
-1.48,0.383,9.768,-1.947,5.725,-0.069,dislike,2
-1.501,0.371,9.922,-2.252,2.725,0.046,dislike,2
-1.439,0.328,9.677,-1.237,3.397,0.382,dislike,2
-1.358,0.371,9.72,-2.168,5.229,1.13,dislike,2
-1.444,0.28,9.723,1.45,6.122,-0.412,dislike,2
-1.475,0.33,9.685,-2.359,4.656,0.786,dislike,2
-1.532,0.397,9.749,-0.214,5.618,0.87,dislike,2
-1.549,0.421,9.847,-1.221,4.214,1.534,dislike,2
-1.523,0.402,9.859,-1.618,3.16,2.275,dislike,2
-1.396,0.249,9.689,-0.695,4.496,1.443,dislike,2
-1.472,0.263,9.749,-3.13,3.305,1.344,dislike,2
-1.484,0.311,9.68,-1.061,5.504,0.427,dislike,2
-1.446,0.285,9.792,-3.069,5.588,0.153,dislike,2
-1.427,0.347,9.725,-1.038,4.107,-0.542,dislike,2
-1.501,0.352,9.713,-1.275,5.45,-0.351,dislike,2
-1.58,0.362,9.78,-1.718,4.794,-0.351,dislike,2
-1.537,0.364,9.761,-1.092,5.214,0.748,dislike,2
-1.537,0.362,9.783,-1.481,5.809,0.901,dislike,2
-1.523,0.227,9.718,-0.244,4.824,-0.206,dislike,2
-1.494,0.287,9.716,-1.58,5.527,0.092,dislike,2
-1.523,0.311,9.716,-0.076,5.664,0.504,dislike,2
-1.453,0.271,9.785,0.145,6.687,0.435,dislike,2
-1.511,0.28,9.898,2.718,4.725,-0.427,dislike,2
-1.683,0.292,9.874,0.298,4.061,0.0,dislike,2
-1.7,0.464,9.96,0.466,0.611,0.084,dislike,2
-1.305,0.333,9.409,1.328,-0.412,1.298,dislike,2
-1.188,0.381,9.299,-2.229,4.359,0.962,dislike,2
-1.214,0.328,9.61,-1.137,7.481,-0.626,dislike,2
-1.384,0.438,9.613,-2.198,9.328,-2.252,dislike,2
-1.65,0.579,9.823,1.359,10.84,-1.374,dislike,2
-1.709,0.613,9.783,-4.244,4.115,2.557,dislike,2
-1.702,0.352,9.84,0.038,4.969,1.756,dislike,2
-1.472,0.424,9.656,1.229,3.969,2.198,dislike,2
-1.413,0.285,9.682,-0.405,4.527,0.519,dislike,2
-1.46,0.417,9.744,-1.725,5.0,1.198,dislike,2
-1.48,0.359,9.78,-0.382,4.824,0.71,dislike,2
-1.506,0.479,9.855,-1.534,5.412,-0.206,dislike,2
-1.528,0.472,9.756,-0.725,2.176,0.321,dislike,2
-1.453,0.323,9.723,-0.298,4.405,-0.023,dislike,2
-1.422,0.515,9.622,-2.198,5.298,-0.038,dislike,2
-1.432,0.474,9.711,-1.115,4.855,-0.344,dislike,2
-1.523,0.548,9.713,-0.42,5.153,0.305,dislike,2
-1.458,0.476,9.67,-1.29,7.58,0.389,dislike,2
-1.501,0.376,9.78,-3.275,4.305,1.092,dislike,2
-1.551,0.534,9.773,-0.046,5.42,0.053,dislike,2
-1.547,0.433,9.747,-1.427,4.595,0.954,dislike,2
-1.525,0.429,9.761,-1.504,3.794,0.748,dislike,2
-1.504,0.445,9.737,-2.282,5.092,1.084,dislike,2
-1.427,0.491,9.874,-2.695,3.389,0.985,dislike,2
-1.429,0.46,9.689,-0.664,3.954,0.847,dislike,2
-1.448,0.376,9.725,-0.382,5.481,1.015,dislike,2
-1.405,0.311,9.713,0.427,4.099,0.427,dislike,2
-1.331,0.412,9.756,-0.954,4.122,1.206,dislike,2
-1.326,0.347,9.874,-2.573,5.45,-0.977,dislike,2
-1.532,0.45,9.874,3.16,1.466,-2.466,dislike,2
-1.733,0.668,9.787,1.053,0.191,0.046,dislike,2
-1.566,0.548,9.536,4.725,2.611,0.679,dislike,2
-1.274,0.611,9.673,4.229,1.305,1.389,dislike,2
-1.322,0.563,9.653,-1.168,4.519,0.061,dislike,2
