ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.437,4.98,8.435,-0.031,7.969,-1.344,dislike,1
1.343,4.961,8.341,-0.16,4.038,0.511,dislike,1
1.19,4.846,8.444,1.038,6.282,0.244,dislike,1
1.31,4.875,8.425,-0.137,3.427,0.412,dislike,1
1.36,5.085,8.351,0.885,7.695,-2.198,dislike,1
1.228,5.15,8.461,-3.015,7.359,-2.145,dislike,1
1.398,5.119,8.267,0.221,1.244,1.473,dislike,1
1.377,4.944,8.373,-4.855,2.718,-0.534,dislike,1
1.47,4.882,8.147,-0.305,3.183,0.076,dislike,1
1.379,4.978,8.368,-2.527,4.664,-0.496,dislike,1
1.427,5.016,8.356,-2.405,4.832,1.282,dislike,1
1.283,5.025,8.447,-2.931,3.542,1.008,dislike,1
1.19,4.729,8.531,-7.107,10.519,-2.29,dislike,1
1.288,4.858,8.37,1.176,2.924,0.389,dislike,1
1.238,4.709,8.44,-10.321,10.901,-2.099,dislike,1
1.116,4.877,8.492,1.817,1.756,0.176,dislike,1
1.147,4.872,8.562,-1.656,5.107,-1.076,dislike,1
1.312,4.815,8.487,-5.023,5.618,-1.656,dislike,1
1.24,4.872,8.396,-2.695,2.397,1.076,dislike,1
1.24,4.748,8.38,-2.374,4.366,-0.924,dislike,1
1.267,4.743,8.373,-2.863,7.55,-0.908,dislike,1
1.288,4.76,8.526,-4.695,5.504,0.13,dislike,1
1.482,4.623,8.045,-11.71,17.466,-3.305,dislike,1
0.642,4.29,9.395,-20.267,20.191,-6.511,dislike,1
1.19,4.561,8.753,-21.282,17.542,-2.252,dislike,1
0.697,3.9,8.471,-22.779,43.748,-17.573,dislike,1
0.634,4.391,9.158,-45.771,36.985,-9.672,dislike,1
0.409,3.859,9.105,-37.344,58.595,-20.603,dislike,1
-0.069,3.268,8.832,-77.145,84.504,-29.336,dislike,1
-1.642,2.246,8.856,-62.229,109.206,-35.924,dislike,1
-2.164,1.604,8.643,-82.237,127.176,-37.924,dislike,1
-3.33,2.332,8.806,-95.328,151.519,-24.824,dislike,1
-4.02,1.566,7.908,-114.779,167.695,-20.58,dislike,1
-6.974,-0.606,9.227,-84.206,131.626,-6.718,dislike,1
-6.294,-0.304,4.992,-118.756,133.557,-2.519,dislike,1
-7.851,-1.623,5.186,-70.183,116.153,3.137,dislike,1
-8.21,-2.847,4.101,-96.626,126.557,-4.977,dislike,1
-10.266,-3.898,4.463,-36.847,78.023,6.992,dislike,1
-8.914,-4.156,2.418,-33.794,79.023,-14.115,dislike,1
-10.032,-3.634,2.837,-19.603,43.84,-12.618,dislike,1
-9.254,-2.564,3.0,-34.786,31.107,-4.053,dislike,1
-9.22,-3.333,2.595,14.046,11.053,-3.687,dislike,1
-8.681,-3.031,2.128,-11.252,17.26,-2.336,dislike,1
-9.11,-3.33,2.437,-7.939,3.198,-2.252,dislike,1
-9.024,-3.263,2.09,-5.527,8.321,3.794,dislike,1
-8.792,-3.27,1.949,-7.427,9.573,-0.977,dislike,1
-9.201,-3.328,2.191,-4.0,-0.282,10.55,dislike,1
-9.299,-3.376,2.337,-8.374,5.473,6.45,dislike,1
-8.902,-3.721,1.743,-7.947,8.107,5.282,dislike,1
-9.076,-3.424,2.018,2.321,5.885,2.931,dislike,1
-9.167,-3.072,2.279,3.641,8.779,1.947,dislike,1
-9.139,-3.029,2.097,-5.115,-0.611,4.939,dislike,1
-9.136,-3.0,2.181,-6.038,8.481,7.176,dislike,1
-8.758,-3.141,1.796,-5.344,1.901,3.252,dislike,1
-9.56,-3.508,2.112,-9.275,1.832,5.962,dislike,1
-9.175,-3.182,1.81,-2.092,7.947,-0.634,dislike,1
-9.395,-3.172,1.98,-5.198,1.229,2.321,dislike,1
-9.318,-3.414,1.865,3.901,3.16,1.366,dislike,1
-9.165,-2.954,2.155,-13.092,3.771,0.282,dislike,1
-9.041,-2.866,2.112,-3.427,-0.275,3.305,dislike,1
-8.933,-2.911,1.887,-6.489,5.351,1.351,dislike,1
-8.897,-2.739,1.939,-3.634,4.214,0.817,dislike,1
-9.12,-2.931,2.045,0.443,3.824,3.153,dislike,1
-9.222,-2.904,2.016,-5.046,4.061,0.939,dislike,1
-9.17,-3.05,1.994,2.198,4.542,2.16,dislike,1
-9.321,-3.06,2.054,-2.107,1.641,-0.519,dislike,1
-9.122,-2.981,2.069,0.252,4.382,-0.756,dislike,1
-8.983,-2.792,1.999,-3.649,3.779,2.954,dislike,1
-9.318,-3.12,2.1,-6.008,4.779,-2.496,dislike,1
-8.873,-2.725,1.836,0.824,4.908,0.55,dislike,1
-9.1,-2.856,2.145,-6.366,3.672,-0.069,dislike,1
-9.155,-3.029,2.15,-3.916,3.244,1.061,dislike,1
-8.844,-3.053,1.829,-1.45,7.359,-0.42,dislike,1
-9.287,-3.05,2.277,-1.977,4.443,-1.908,dislike,1
-9.261,-3.213,2.143,2.817,0.695,-0.618,dislike,1
-8.906,-2.899,2.128,-5.794,5.802,-3.962,dislike,1
-8.997,-2.722,2.207,1.252,4.901,-2.153,dislike,1
-9.182,-2.986,2.109,-0.718,-0.275,3.771,dislike,1
-8.961,-3.057,1.908,-0.359,9.786,-2.038,dislike,1
-8.911,-3.021,1.956,1.802,-0.115,2.458,dislike,1
-9.215,-2.787,2.179,1.321,6.275,0.321,dislike,1
-8.976,-3.024,2.04,4.656,6.366,3.748,dislike,1
-9.16,-2.964,2.351,-4.16,5.672,1.168,dislike,1
