ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
0.62,4.31,8.703,-4.366,4.412,2.0,dislike,3
0.62,4.317,8.892,-2.481,6.344,-1.382,dislike,3
0.783,4.544,8.674,-0.45,4.252,0.649,dislike,3
0.697,4.468,8.842,-1.611,7.282,-0.198,dislike,3
0.713,4.381,8.873,-2.939,4.305,0.595,dislike,3
0.622,4.441,8.684,-2.458,4.176,0.015,dislike,3
0.632,4.434,8.521,-0.122,4.672,-0.42,dislike,3
0.692,4.501,8.782,-2.076,6.595,1.878,dislike,3
0.725,4.219,8.736,0.519,6.359,-0.672,dislike,3
0.433,4.477,8.899,-1.962,5.359,-0.053,dislike,3
0.69,4.525,8.861,-0.824,5.893,-0.076,dislike,3
0.637,4.262,8.815,-0.672,4.061,0.229,dislike,3
0.704,4.362,8.622,-2.198,5.183,-0.099,dislike,3
0.634,4.492,8.66,-3.45,4.534,2.053,dislike,3
0.627,4.298,8.648,-1.374,4.855,0.985,dislike,3
0.661,4.405,8.619,-1.16,6.649,0.382,dislike,3
0.634,4.343,8.818,-1.229,6.771,0.0,dislike,3
0.555,4.444,8.842,-4.244,7.649,1.107,dislike,3
0.464,4.319,9.038,-3.359,5.939,0.076,dislike,3
0.601,4.345,8.93,-3.267,7.641,1.802,dislike,3
0.603,4.544,9.498,-6.023,5.183,-1.481,dislike,3
0.45,4.329,9.0,-7.763,7.137,-2.626,dislike,3
0.678,4.252,9.469,-19.649,2.489,-0.527,dislike,3
0.441,4.226,9.304,-27.672,6.252,-5.321,dislike,3
0.939,3.654,9.419,-47.038,10.931,-3.214,dislike,3
0.364,4.044,9.946,-50.282,14.573,-3.809,dislike,3
0.596,2.574,9.335,-53.664,23.84,-3.511,dislike,3
0.62,3.254,9.804,-73.229,55.672,-6.58,dislike,3
-0.438,2.246,9.105,-118.13,94.863,1.321,dislike,3
-1.585,1.695,9.165,-172.802,126.588,17.015,dislike,3
-3.294,-0.572,7.719,-175.802,139.008,26.687,dislike,3
-4.556,-1.044,6.515,-250.137,181.252,65.382,dislike,3
-5.782,-6.215,5.665,-186.015,126.664,32.901,dislike,3
-7.01,-6.567,6.122,-150.931,119.267,18.031,dislike,3
-6.115,-6.203,4.853,-81.405,71.092,-0.679,dislike,3
-6.785,-7.35,3.936,-34.336,49.038,-15.702,dislike,3
-6.687,-5.938,2.909,-23.992,30.489,-9.458,dislike,3
-6.687,-5.641,3.474,4.519,24.847,-9.832,dislike,3
-6.541,-5.133,3.361,14.26,12.435,-6.229,dislike,3
-7.037,-6.744,4.137,17.992,0.84,0.038,dislike,3
-6.821,-6.452,3.785,2.924,-0.321,4.298,dislike,3
-6.821,-6.481,3.91,18.473,3.046,-2.916,dislike,3
-6.835,-6.531,4.13,-3.038,-5.626,3.16,dislike,3
-6.764,-6.184,3.958,10.076,-0.466,-1.336,dislike,3
-6.618,-5.995,3.97,0.382,-5.992,1.847,dislike,3
-6.922,-6.163,3.938,5.542,-3.855,1.611,dislike,3
-6.457,-6.409,4.18,-0.878,-3.496,5.282,dislike,3
-6.606,-5.892,3.819,3.115,-0.649,-0.763,dislike,3
-6.555,-5.713,4.345,0.42,0.664,-0.099,dislike,3
-6.357,-5.717,3.991,-1.565,5.359,0.099,dislike,3
-6.558,-5.61,4.041,10.183,2.504,-2.664,dislike,3
-6.567,-6.383,4.199,2.511,1.229,4.015,dislike,3
-6.443,-5.938,4.209,1.985,8.939,0.924,dislike,3
-6.601,-6.254,4.195,1.0,3.496,1.122,dislike,3
-6.785,-5.842,4.525,0.214,1.74,4.366,dislike,3
-6.426,-5.875,4.24,-0.947,2.489,6.053,dislike,3
-6.661,-5.866,4.523,2.756,7.366,-3.885,dislike,3
-6.594,-5.827,4.312,-4.107,-0.84,4.328,dislike,3
-6.517,-5.722,4.322,4.473,10.176,-4.053,dislike,3
-6.486,-5.562,4.35,-0.244,1.122,2.733,dislike,3
-6.57,-5.878,4.413,0.992,4.847,-0.779,dislike,3
-6.536,-6.026,4.429,-0.405,3.489,2.496,dislike,3
-6.548,-5.662,4.401,0.137,4.374,0.45,dislike,3
-6.424,-5.097,4.384,1.137,4.504,1.023,dislike,3
-6.409,-6.416,4.729,-3.16,3.084,4.641,dislike,3
-6.601,-6.117,4.238,-0.702,3.244,4.534,dislike,3
-6.646,-6.285,4.429,0.328,6.565,2.069,dislike,3
-6.828,-6.172,4.391,-1.031,1.672,1.55,dislike,3
-6.759,-6.397,4.583,3.779,6.405,-0.939,dislike,3
-6.67,-5.698,4.29,0.58,4.878,-1.206,dislike,3
-6.567,-5.926,4.41,4.672,2.962,-1.313,dislike,3
-6.555,-5.732,4.59,-0.55,5.435,-1.397,dislike,3
-6.634,-5.89,4.434,0.099,2.618,1.901,dislike,3
-6.606,-5.813,4.597,-3.26,5.252,-0.099,dislike,3
-6.539,-5.794,4.623,-3.015,6.443,-0.061,dislike,3
-6.596,-5.722,4.369,2.962,5.092,-2.58,dislike,3
-6.395,-5.794,4.604,-1.069,6.557,0.137,dislike,3
-6.594,-5.689,4.635,-0.924,6.534,-1.015,dislike,3
-6.402,-5.634,4.36,1.916,5.405,-0.397,dislike,3
-6.634,-5.945,4.334,5.489,1.763,-0.817,dislike,3
-6.567,-5.543,4.513,1.038,5.603,1.672,dislike,3
-6.582,-5.681,4.774,1.298,8.534,0.611,dislike,3
-6.527,-5.95,4.63,-1.137,6.71,-0.351,dislike,3
-6.565,-5.454,4.583,-3.885,5.595,1.252,dislike,3
-6.503,-5.82,4.556,-3.397,12.267,-1.779,dislike,3
-6.618,-5.641,4.362,-3.099,5.55,1.374,dislike,3
-6.661,-6.012,4.547,-2.901,6.588,0.695,dislike,3
-6.567,-5.772,4.542,3.221,4.901,-1.779,dislike,3
-6.586,-6.072,4.458,-7.832,9.031,-0.626,dislike,3
-6.668,-5.787,4.496,-7.206,14.542,-4.947,dislike,3
-6.539,-5.583,4.211,3.214,3.038,-1.466,dislike,3
-6.706,-6.045,4.561,4.893,4.534,-0.641,dislike,3
-6.455,-5.552,4.417,-5.298,5.435,2.084,dislike,3
-6.567,-5.887,4.542,8.046,0.237,-2.458,dislike,3
-6.551,-5.813,4.448,-5.221,-1.634,7.534,dislike,3
-6.594,-6.136,4.271,3.359,1.695,1.351,dislike,3
-6.78,-5.983,4.736,-1.947,6.924,2.168,dislike,3
-6.553,-5.655,4.539,-2.992,7.061,2.443,dislike,3
-6.642,-5.655,4.597,6.847,5.061,-2.443,dislike,3
-6.61,-5.648,4.911,-4.275,4.87,0.794,dislike,3
-6.732,-5.732,4.616,0.015,1.481,1.893,dislike,3
-6.469,-5.746,4.537,-2.885,6.74,-2.145,dislike,3
-6.74,-5.974,4.317,-0.504,2.687,0.061,dislike,3
-6.551,-5.842,4.621,1.267,3.672,-0.145,dislike,3
-6.598,-5.837,4.312,4.015,3.695,0.008,dislike,3
-6.658,-5.964,4.664,3.786,3.435,-1.282,dislike,3
-6.519,-5.725,4.499,-1.382,3.87,-1.458,dislike,3
-6.613,-5.746,4.547,2.382,4.634,-2.672,dislike,3
-6.579,-5.612,4.822,10.641,1.252,-3.504,dislike,3
-6.155,-4.638,5.195,4.198,1.214,3.153,dislike,3
-6.364,-5.377,5.009,6.137,-4.504,5.336,dislike,3
-6.376,-6.033,4.695,-4.252,1.496,5.893,dislike,3
-6.618,-5.693,4.635,-2.466,2.374,5.305,dislike,3
-6.632,-5.629,4.721,-3.794,5.702,1.977,dislike,3
-6.773,-6.009,4.508,-2.0,5.229,0.038,dislike,3
-6.534,-5.329,4.841,-2.099,4.511,-0.214,dislike,3
-6.579,-5.842,4.736,1.16,7.405,-1.824,dislike,3
-6.558,-5.691,4.712,1.634,5.611,-1.679,dislike,3
-6.512,-5.595,4.915,5.802,11.87,-3.13,dislike,3
-6.366,-5.164,4.872,-0.191,5.802,-2.374,dislike,3
-6.551,-5.61,4.992,3.206,4.511,1.786,dislike,3
-6.416,-5.598,4.784,-0.046,5.137,-0.84,dislike,3
-6.574,-5.358,4.944,1.534,4.252,0.573,dislike,3
-6.34,-5.492,4.594,-5.412,7.939,-0.557,dislike,3
-6.519,-5.466,4.781,-0.168,6.153,-1.534,dislike,3
-6.673,-6.05,4.82,-1.313,10.473,1.198,dislike,3
-6.563,-5.483,4.942,-2.443,3.855,-0.618,dislike,3
-6.574,-5.942,4.889,6.473,6.099,-2.046,dislike,3
-6.483,-5.425,5.08,1.771,1.748,-1.878,dislike,3
-6.563,-5.574,4.793,11.015,-2.015,2.901,dislike,3
-6.345,-4.329,4.956,-0.542,1.718,7.023,dislike,3
-6.773,-5.454,5.176,6.16,2.649,2.832,dislike,3
-6.436,-5.859,4.946,-5.954,7.031,4.183,dislike,3
-6.644,-5.507,4.994,0.87,4.794,-0.939,dislike,3
-6.603,-5.871,5.169,-2.023,8.595,0.443,dislike,3
-6.428,-5.48,4.618,8.282,1.672,-3.092,dislike,3
-6.716,-5.641,5.176,3.496,10.718,-1.504,dislike,3
-6.244,-4.391,4.788,-4.542,4.534,-0.679,dislike,3
-6.618,-5.713,5.143,8.718,6.282,-2.855,dislike,3
-6.596,-5.37,5.179,18.389,-0.58,-2.794,dislike,3
-6.337,-4.729,5.296,-13.397,7.969,7.656,dislike,3
-6.28,-5.04,4.939,-1.183,2.198,5.107,dislike,3
-6.574,-5.679,5.466,2.0,4.901,2.687,dislike,3
