ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.511,2.253,9.72,-2.969,6.344,0.504,dislike,4
1.647,2.325,9.471,-3.008,1.534,1.786,dislike,4
1.791,2.322,9.275,-2.756,3.977,1.969,dislike,4
1.274,2.401,9.57,-4.763,5.634,-1.427,dislike,4
1.721,2.318,8.983,-4.366,2.046,3.015,dislike,4
1.477,2.265,9.586,-1.298,8.046,-2.092,dislike,4
1.611,2.222,9.392,-6.565,5.031,-1.656,dislike,4
1.697,2.083,9.266,1.809,3.397,0.046,dislike,4
1.686,2.2,9.371,-7.115,8.695,-5.458,dislike,4
1.547,2.337,9.589,0.809,4.267,-2.023,dislike,4
1.506,2.387,9.438,1.26,3.168,-0.885,dislike,4
1.578,2.241,9.512,2.748,4.183,-1.863,dislike,4
1.683,2.382,9.613,-4.389,4.595,-0.168,dislike,4
1.578,2.404,9.522,-1.679,6.053,0.13,dislike,4
1.58,2.234,9.464,-1.496,5.305,0.756,dislike,4
1.623,2.231,9.27,-1.901,3.687,0.924,dislike,4
1.635,2.236,9.177,-1.824,6.855,-0.183,dislike,4
1.465,2.583,9.534,-3.557,7.328,-1.137,dislike,4
1.477,2.365,9.586,0.214,4.229,-0.206,dislike,4
1.573,2.48,9.445,-3.282,4.145,1.221,dislike,4
1.618,2.349,9.555,0.069,5.0,-0.397,dislike,4
1.575,2.286,9.534,-0.252,4.718,-0.328,dislike,4
1.556,2.337,9.366,-1.397,4.588,0.885,dislike,4
1.583,2.145,9.225,0.092,4.191,0.076,dislike,4
1.621,2.277,9.412,0.824,6.824,-0.389,dislike,4
1.628,1.997,9.668,-5.489,6.099,-2.099,dislike,4
2.102,2.662,9.871,-26.267,8.58,-3.504,dislike,4
2.356,2.002,10.288,-33.511,35.206,-27.664,dislike,4
0.156,3.371,10.496,-71.115,28.015,3.382,dislike,4
0.953,1.192,9.294,-68.435,45.458,-8.542,dislike,4
0.239,1.077,10.008,-112.87,17.725,8.824,dislike,4
0.103,-0.457,9.517,-101.695,55.069,-0.664,dislike,4
-1.003,-0.848,8.641,-140.237,56.511,-0.634,dislike,4
-1.798,-2.078,9.103,-149.901,67.115,-5.603,dislike,4
-2.078,-3.364,8.332,-152.618,53.115,12.519,dislike,4
-2.452,-5.444,8.894,-124.786,38.679,13.626,dislike,4
-2.105,-6.369,7.872,-79.099,19.328,14.397,dislike,4
-2.234,-5.923,5.952,-73.45,28.527,9.29,dislike,4
-2.749,-7.075,6.732,-32.542,11.13,4.252,dislike,4
-2.44,-8.282,7.444,-10.908,15.58,-6.824,dislike,4
-2.155,-7.312,6.275,-13.237,10.863,-5.962,dislike,4
-2.121,-6.407,5.866,11.282,-3.504,-4.603,dislike,4
-2.157,-6.883,6.153,2.58,5.168,-3.847,dislike,4
-2.109,-6.95,6.172,2.397,9.237,-3.939,dislike,4
-2.332,-6.993,6.366,10.313,4.748,0.076,dislike,4
-2.236,-7.537,6.879,0.0,5.863,6.084,dislike,4
-2.126,-7.132,6.211,-2.214,5.382,5.122,dislike,4
-2.124,-7.207,6.57,1.023,2.412,1.969,dislike,4
-2.387,-7.24,6.68,-7.496,7.901,3.573,dislike,4
-2.303,-7.439,6.869,6.321,3.13,-2.008,dislike,4
-2.272,-7.025,6.639,-2.221,3.275,2.275,dislike,4
-2.296,-6.967,6.699,9.427,-1.389,0.168,dislike,4
-2.286,-6.9,6.656,-3.221,4.672,1.649,dislike,4
-2.243,-6.931,6.649,0.328,-0.878,2.634,dislike,4
-2.176,-6.958,6.783,-7.641,6.916,3.076,dislike,4
-2.423,-7.767,7.185,-15.145,9.275,0.344,dislike,4
-2.105,-7.278,6.337,-12.595,8.13,-1.634,dislike,4
-2.382,-7.946,6.816,7.511,0.969,2.015,dislike,4
-1.781,-7.271,5.578,-12.84,7.023,4.168,dislike,4
-2.466,-5.737,5.926,-3.458,3.0,3.099,dislike,4
-2.629,-7.274,6.598,3.489,5.695,3.511,dislike,4
-2.569,-7.362,6.388,-12.137,7.565,5.191,dislike,4
-2.471,-7.317,6.146,-13.328,9.176,3.496,dislike,4
-2.614,-7.173,6.395,-2.031,5.908,-2.305,dislike,4
-2.454,-7.587,6.381,-1.351,7.443,-2.855,dislike,4
-2.409,-6.989,6.443,-6.977,3.511,-0.023,dislike,4
-2.538,-7.209,6.349,-3.527,5.71,0.542,dislike,4
-2.538,-7.302,6.158,-9.534,1.733,5.939,dislike,4
-2.392,-7.872,6.493,1.153,4.87,0.901,dislike,4
-2.569,-7.288,6.158,-13.954,7.458,2.26,dislike,4
-2.411,-7.35,5.978,-5.191,7.076,1.115,dislike,4
-2.509,-7.717,6.438,3.183,4.901,-1.626,dislike,4
-2.602,-6.709,6.184,-4.038,5.389,0.389,dislike,4
-2.547,-7.171,6.258,7.053,-0.664,1.473,dislike,4
-2.409,-7.259,6.261,2.359,0.969,2.527,dislike,4
-2.679,-7.391,6.627,4.313,-2.855,0.313,dislike,4
-2.497,-6.831,6.321,5.977,-0.244,-0.16,dislike,4
-2.423,-7.422,6.476,7.137,-1.328,0.817,dislike,4
-2.358,-6.541,6.105,-3.229,6.229,0.527,dislike,4
-2.49,-7.199,6.443,6.099,3.542,1.42,dislike,4
-2.533,-7.424,6.809,2.603,2.412,-0.382,dislike,4
-2.504,-6.886,6.634,4.504,1.55,0.641,dislike,4
-2.43,-6.862,6.567,2.847,5.023,0.115,dislike,4
-2.289,-6.622,6.357,-1.153,5.656,0.504,dislike,4
-2.612,-6.998,6.902,2.649,2.13,3.153,dislike,4
-2.349,-7.02,6.218,6.115,2.206,2.015,dislike,4
-2.301,-7.18,6.476,-8.611,12.481,-1.55,dislike,4
-2.514,-6.881,7.247,-2.55,7.794,-4.641,dislike,4
-2.526,-6.553,6.749,-6.863,5.275,-0.863,dislike,4
-2.746,-6.8,6.967,-4.748,4.397,2.191,dislike,4
-2.33,-6.764,6.093,-2.13,-0.176,4.473,dislike,4
-2.389,-7.178,6.373,-3.656,6.038,0.588,dislike,4
-2.471,-7.187,6.342,-15.443,13.26,4.252,dislike,4
-2.617,-6.986,6.347,-8.939,8.061,4.511,dislike,4
-2.229,-7.872,6.225,-0.908,6.046,3.557,dislike,4
-2.413,-7.254,6.376,1.008,5.71,-2.244,dislike,4
-2.823,-7.135,6.797,2.16,6.496,-0.626,dislike,4
-2.581,-6.783,6.177,1.298,0.969,1.687,dislike,4
-2.705,-7.436,6.632,6.443,2.366,2.893,dislike,4
-2.433,-7.216,6.074,-5.305,6.687,0.45,dislike,4
-2.784,-7.391,6.687,1.313,4.489,-0.931,dislike,4
-2.555,-6.905,6.481,1.733,0.977,-1.489,dislike,4
-2.483,-7.341,6.388,1.168,1.344,0.252,dislike,4
-2.507,-7.027,6.443,-1.107,4.229,-1.885,dislike,4
-2.495,-7.343,6.809,8.023,-1.046,-3.008,dislike,4
-2.442,-6.543,6.524,1.863,2.634,-1.969,dislike,4
-2.471,-6.871,6.665,12.237,-2.481,-1.122,dislike,4
-2.318,-6.656,6.383,-4.763,2.252,2.252,dislike,4
-2.459,-7.195,6.96,1.985,2.733,0.618,dislike,4
-2.27,-6.96,6.445,-2.076,5.664,-1.145,dislike,4
-2.423,-6.598,6.687,-0.763,1.756,0.252,dislike,4
-2.227,-6.826,6.416,-4.916,8.252,1.443,dislike,4
-2.401,-6.991,6.857,1.397,1.328,1.916,dislike,4
-2.409,-6.792,6.716,-3.924,6.412,2.626,dislike,4
-2.449,-6.989,6.879,-2.374,6.244,0.053,dislike,4
-2.346,-6.687,6.598,0.893,1.099,-0.115,dislike,4
-2.476,-6.716,6.773,3.282,2.473,1.405,dislike,4
-2.181,-6.632,6.625,1.031,5.29,1.511,dislike,4
-2.6,-6.761,6.986,0.458,1.489,0.916,dislike,4
-2.303,-6.867,6.584,-1.71,4.115,-0.412,dislike,4
-2.32,-6.929,6.747,-0.412,5.878,1.298,dislike,4
-2.456,-6.833,6.9,0.183,4.969,-2.786,dislike,4
-2.435,-6.879,6.979,1.107,2.382,0.29,dislike,4
-2.272,-6.74,6.704,3.695,3.397,-4.061,dislike,4
-2.322,-6.709,6.797,-1.695,6.023,-2.718,dislike,4
-2.191,-6.622,6.721,0.885,2.206,-1.901,dislike,4
-2.277,-6.512,6.73,-0.55,4.115,0.603,dislike,4
-2.04,-6.677,6.34,-1.16,6.069,1.244,dislike,4
-2.456,-6.905,7.147,1.962,5.305,0.374,dislike,4
-2.198,-6.891,6.737,-2.824,7.893,-0.221,dislike,4
-2.416,-6.821,7.068,-0.061,7.198,-1.336,dislike,4
-2.332,-6.752,7.142,2.771,2.55,-0.74,dislike,4
-2.116,-6.625,6.756,1.427,2.878,-2.214,dislike,4
-2.363,-6.524,6.986,1.29,4.191,1.183,dislike,4
-2.133,-6.826,6.874,0.74,3.221,1.397,dislike,4
-2.284,-6.821,7.056,-1.687,4.947,0.168,dislike,4
-2.251,-6.821,6.78,1.496,0.542,2.863,dislike,4
-2.093,-7.317,6.864,-0.504,3.038,1.336,dislike,4
-2.306,-6.673,6.941,-6.74,6.824,-1.985,dislike,4
-2.27,-6.179,6.871,-0.344,4.183,-0.153,dislike,4
