ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-3.165,-0.563,9.919,3.534,-10.13,1.756,like,5
-2.909,-0.467,9.06,-1.519,-1.321,1.519,like,5
-3.328,-0.563,9.546,-0.206,-0.252,2.42,like,5
-2.95,-0.407,9.426,-0.153,-0.817,5.802,like,5
-3.345,-0.438,9.704,5.817,-0.847,6.366,like,5
-3.4,-0.522,9.78,2.969,-2.542,7.985,like,5
-3.038,-0.584,9.689,3.443,-2.298,7.969,like,5
-3.105,-0.766,9.809,4.458,-4.145,7.481,like,5
-2.931,-0.639,9.649,14.031,-13.55,11.198,like,5
-2.495,-0.283,9.529,-2.511,-2.16,5.74,like,5
-2.746,-0.376,9.541,0.878,6.496,0.107,like,5
-3.179,-0.52,9.574,1.55,9.023,1.084,like,5
-3.349,-0.29,9.517,-3.634,11.901,0.168,like,5
-3.675,-0.591,9.821,-9.26,12.405,2.092,like,5
-3.737,-0.843,9.969,-8.855,-1.282,3.344,like,5
-3.316,-1.001,9.558,-5.702,2.412,2.115,like,5
-3.196,-0.8,9.55,-4.061,4.031,0.588,like,5
-3.105,-0.783,9.747,-2.229,-1.244,2.26,like,5
-3.371,-0.895,9.677,-3.664,-0.137,3.145,like,5
-3.29,-0.982,9.519,-3.779,-3.206,2.481,like,5
-3.203,-1.063,9.428,-1.992,2.855,1.962,like,5
-3.405,-0.979,9.56,-0.542,4.42,0.71,like,5
-3.407,-0.974,9.565,-0.611,4.061,0.466,like,5
-3.503,-0.91,9.57,0.489,4.168,-0.031,like,5
-3.457,-0.857,9.51,3.282,4.046,0.214,like,5
-3.548,-0.718,9.61,2.046,3.328,0.115,like,5
-3.577,-0.792,9.74,0.824,2.176,-0.405,like,5
-3.531,-0.91,9.699,-0.206,2.557,0.885,like,5
-3.543,-0.771,9.673,0.053,-0.092,-0.252,like,5
-3.575,-0.819,9.618,1.481,-0.313,-0.374,like,5
-3.179,-0.833,9.275,9.603,-5.45,2.229,like,5
